,GEOGRAPHY_CODE,"1. Higher managerial, administrative and professional occupations",1.1 Large employers and higher managerial and administrative occupations,1.2 Higher professional occupations,"2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,All categories: NS-SeC,L14.1 Never worked,L14.2 Long-term unemployed,L15 Full-time students,Not classified
0,E02000001,0.35468527033454894,0.0573965435230696,0.29728872681147933,0.31266846361185985,0.07198351038528619,0.05961629934992865,0.023941652132551134,0.04058982083399398,0.02457586808308229,0.034089107341049626,4730.25,0.023783098144918344,0.010306009196131283,0.07785000792769939,0.0692000070468439
1,E02000002,0.05114678899082569,0.011238532110091744,0.03990825688073395,0.15412844036697249,0.12889908256880733,0.10321100917431193,0.05802752293577982,0.1848623853211009,0.11720183486238532,0.10298165137614679,3270.0,0.07018348623853211,0.03279816513761468,0.09954128440366973,0.08848114169215086
2,E02000003,0.0741362428311652,0.01566652678696321,0.05846971604420199,0.1882780808504686,0.1654776891872989,0.10029374737725556,0.06406490418240314,0.1405791019723038,0.08756469436284794,0.08644565673520772,5361.75,0.058749475451112046,0.027696181284095678,0.0931598825010491,0.08280878444537698
3,E02000004,0.061739522307345654,0.014195583596214511,0.04754393871113114,0.1879224876070302,0.17372690401081567,0.09598918431726003,0.0761604326273096,0.13722397476340695,0.11063542136097342,0.06714736367733214,3328.5,0.040333483551149164,0.026813880126182965,0.08945470932852637,0.07951529718091233
4,E02000005,0.044665430642170906,0.010787122872071465,0.033878307770099446,0.15051407382437215,0.14158098769593797,0.0942187763357492,0.0790493847968987,0.17411090510702848,0.1307938648238665,0.08983650766897017,4449.75,0.06118321254003034,0.02865329512893983,0.0952300691050059,0.0846489503155608
5,E02000007,0.050189720593308035,0.008106243532252502,0.04208347706105554,0.14470507071403932,0.1210762331838565,0.08364953432218006,0.07088651259054847,0.16298723697826836,0.13918592618144188,0.11693687478440842,4348.5,0.07744049672300793,0.03949637806140048,0.11038289065194895,0.09811812502395463
6,E02000008,0.037945863900834806,0.008601062484189223,0.029344801416645586,0.1433088793321528,0.13989375158107767,0.0906906147229952,0.07209714141158614,0.17138881861877056,0.13976726536807488,0.10953706046040981,5929.5,0.07778902099671135,0.03174803946369846,0.09537060460409816,0.08477387075919836
7,E02000009,0.046073650580124435,0.009080208508491677,0.03699344207163276,0.14965528838069614,0.12106944677988903,0.09988229359340844,0.0697830839078527,0.17201950563309232,0.1182108626198083,0.11098032621489827,4460.25,0.07852698839751135,0.03245333781738692,0.11232554229023037,0.09984492648020477
8,E02000010,0.04046639231824417,0.007887517146776405,0.032578875171467764,0.15089163237311384,0.13237311385459533,0.09379286694101509,0.0723593964334705,0.16666666666666666,0.13391632373113854,0.10853909465020577,4374.0,0.07767489711934156,0.030864197530864196,0.10099451303155006,0.08977290047248895
9,E02000011,0.05009149130832571,0.011665141811527904,0.0384263494967978,0.1655992680695334,0.15736505032021958,0.10978956999085086,0.07456541628545288,0.14409881061299176,0.11527904849039342,0.07616651418115279,3279.0,0.053979871912168347,0.022186642268984445,0.1070448307410796,0.09515096065873742
