,GEOGRAPHY_CODE,All usual residents aged 16 to 74,Economically Inactive,Economically active,Economically active: Employee: Full-time,Economically active: Employee: Part-time,Economically active: Full-time student,Economically active: In employment,Economically active: Self-employed,Economically active: Unemployed,Economically inactive: Long-term sick or disabled,Economically inactive: Looking after home or family,Economically inactive: Other,Economically inactive: Retired,Economically inactive: Student (including full-time students),Long-term unemployed,Unemployed: Age 16 to 24,Unemployed: Age 50 to 74,Unemployed: Never worked
0,E02000001,1,0.16240266963292546,0.8375973303670745,0.5494994438264739,0.04087875417130145,0.021134593993325918,0.7869855394883204,0.19660734149054504,0.029477196885428252,0.020578420467185762,0.005005561735261402,0.018631813125695215,0.07063403781979978,0.04755283648498331,0.010845383759733037,0.005005561735261402,0.008342602892102336,0.00389321468298109
1,E02000002,1,0.27427427427427425,0.7257257257257257,0.4099099099099099,0.06006006006006006,0.024024024024024024,0.6186186186186187,0.14864864864864866,0.08308308308308308,0.05655655655655656,0.014014014014014014,0.023523523523523524,0.1036036036036036,0.07657657657657657,0.03403403403403404,0.023523523523523524,0.015015015015015015,0.012012012012012012
2,E02000003,1,0.22170900692840648,0.7782909930715936,0.4529445727482679,0.06524249422632794,0.03435334872979215,0.6683025404157044,0.15011547344110854,0.075635103926097,0.034064665127020784,0.01212471131639723,0.017321016166281754,0.09122401847575058,0.06697459584295612,0.03117782909930716,0.01674364896073903,0.01674364896073903,0.013279445727482679
3,E02000004,1,0.22483841181902123,0.7751615881809788,0.46722068328716526,0.05170821791320406,0.027700831024930747,0.6666666666666666,0.14773776546629733,0.08079409048938135,0.034164358264081256,0.008771929824561403,0.0221606648199446,0.09556786703601108,0.0641735918744229,0.03139427516158818,0.035549399815327794,0.009233610341643583,0.014312096029547553
4,E02000005,1,0.2506203473945409,0.749379652605459,0.43956043956043955,0.06380716058135413,0.03013115916341723,0.641970932293513,0.13860333215171924,0.07727756114852889,0.04714640198511166,0.015951790145338533,0.02587734845799362,0.09606522509748316,0.06557958170861397,0.03225806451612903,0.020205600850762142,0.013824884792626729,0.01347040056717476
5,E02000007,1,0.2578125,0.7421875,0.4069940476190476,0.06398809523809523,0.03869047619047619,0.5989583333333334,0.12797619047619047,0.10453869047619048,0.058407738095238096,0.01488095238095238,0.028273809523809524,0.07626488095238096,0.07998511904761904,0.046130952380952384,0.031994047619047616,0.015625,0.019717261904761904
6,E02000008,1,0.2721553610503282,0.7278446389496718,0.4223194748358862,0.05443107221006564,0.032275711159737416,0.6096827133479212,0.13293216630196936,0.08588621444201312,0.06838074398249452,0.013949671772428883,0.03446389496717724,0.0836980306345733,0.07166301969365427,0.03336980306345733,0.026805251641137857,0.01312910284463895,0.019146608315098467
7,E02000009,1,0.255024255024255,0.7449757449757449,0.40505890505890507,0.059944559944559946,0.04677754677754678,0.6143451143451143,0.14934164934164934,0.08385308385308385,0.062023562023562025,0.01282051282051282,0.032224532224532226,0.06756756756756757,0.08038808038808039,0.034996534996534996,0.02598752598752599,0.01697851697851698,0.014553014553014554
8,E02000010,1,0.24880029531192321,0.7511997046880767,0.42709486895533405,0.055740125507567365,0.039128829826504244,0.6267995570321152,0.14396456256921372,0.08527131782945736,0.05389442598744924,0.018826135105204873,0.03211517165005537,0.07493540051679587,0.06902916205241787,0.03506829088224437,0.025839793281653745,0.014027316352897749,0.01808785529715762
9,E02000011,1,0.24292237442922374,0.7570776255707763,0.41735159817351597,0.062100456621004566,0.045662100456621,0.636986301369863,0.15753424657534246,0.07442922374429224,0.029223744292237442,0.012328767123287671,0.026940639269406392,0.10821917808219178,0.06621004566210045,0.026484018264840183,0.017351598173515982,0.01141552511415525,0.012785388127853882
