,GEOGRAPHY_CODE,1 car or van in household,2 cars or vans in household,3 cars or vans in household,4 or more cars or vans in household,All categories: Car or van availability,No cars or vans in household,sum of all cars or vans in the area
0,E02000001,0.2508551881413911,0.039452679589509695,0.011630558722919042,0.004104903078677309,1,0.6939566704675029,0.38586088939566704
1,E02000002,0.43715444157758937,0.15628455584224107,0.024327312937707336,0.006266126059712496,1,0.37596756358274974,0.8496129745669001
2,E02000003,0.4572248304642671,0.18022952529994785,0.04042775169535733,0.010172143974960876,1,0.31194574856546686,0.98226395409494
3,E02000004,0.46807592752372734,0.22217428817946505,0.055220017256255395,0.014667817083692839,1,0.23986194995685936,1.1432269197584124
4,E02000005,0.4470625196355639,0.17310713163682062,0.03424442349984291,0.006283380458686773,1,0.3393025447690858,0.9227144203581527
5,E02000007,0.41964545190351643,0.12176692821854113,0.018308631211857017,0.005521650682941005,1,0.4347573379831444,0.7407730310956118
6,E02000008,0.449357438466565,0.13591810063167065,0.021346111958179047,0.00653452406883032,1,0.38684382487475494,0.8135482465693749
7,E02000009,0.4638854296388543,0.13480697384806975,0.023349937733499377,0.00684931506849315,1,0.3711083437110834,0.8328144458281445
8,E02000010,0.44015795868772783,0.1382138517618469,0.02490886998784933,0.007594167679222357,1,0.38912515188335356,0.8241190765492102
9,E02000011,0.4858016601135867,0.16557448667540411,0.045434687636522496,0.011358671909130624,1,0.29183049366535607,1.003058103975535
10,E02000012,0.449048496009822,0.21393492940454267,0.05033763044812769,0.0187231430325353,1,0.26795580110497236,1.1313689379987724
11,E02000013,0.45248,0.144,0.02816,0.00512,1,0.37024,0.84608
12,E02000014,0.4389691305579156,0.1277258566978193,0.026338147833474938,0.005097706032285472,1,0.40186915887850466,0.7966581704899461
13,E02000015,0.39589905362776023,0.10126182965299685,0.016403785488958992,0.002523659305993691,1,0.48391167192429024,0.6602523659305993
14,E02000016,0.30334014996591685,0.04976141785957737,0.004430811179277437,0.0027266530334014998,1,0.6397409679618269,0.4274028629856851
15,E02000017,0.41920117259069256,0.14510809820447051,0.03187980945401246,0.00659582264565775,1,0.3972150971051667,0.8329058263100036
16,E02000018,0.4170174383644017,0.1253758268190018,0.025255562236921228,0.005111244738424534,1,0.42723992784125076,0.7696933253156946
17,E02000019,0.47674418604651164,0.15415282392026577,0.02558139534883721,0.0049833887043189366,1,0.33853820598006645,0.8840531561461794
