,GEOGRAPHY_CODE,All categories: Household composition,One family household,One family only: All aged 65 and over,One family only: Cohabiting couple,One family only: Cohabiting couple: All children non-dependent,One family only: Cohabiting couple: Dependent children,One family only: Cohabiting couple: No children,One family only: Lone parent,One family only: Lone parent: All children non-dependent,One family only: Lone parent: Dependent children,One family only: Married or same-sex civil partnership couple,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Married or same-sex civil partnership couple: Dependent children,One family only: Married or same-sex civil partnership couple: No children,One person household,One person household: Aged 65 and over,One person household: Other,Other household types,Other household types: All aged 65 and over,Other household types: All full-time students,Other household types: Other,Other household types: With dependent children
0,E02000001,4385.0,0.3473204104903079,0.031242873432155073,0.09555302166476624,0.0011402508551881414,0.014367160775370582,0.08004561003420753,0.03489167616875713,0.014139110604332953,0.020752565564424175,0.18563283922462942,0.013226909920182441,0.05541619156214367,0.11698973774230331,0.5637400228050171,0.11995438996579247,0.4437856328392246,0.08893956670467502,0.0036488027366020524,0.0068415051311288486,0.07069555302166476,0.007753705815279362
1,E02000002,2713.0,0.6067084408403981,0.07077036490969407,0.07482491706597862,0.006266126059712496,0.04386288241798747,0.024695908588278657,0.22005160339108,0.05455215628455584,0.16549944710652414,0.2410615554736454,0.04865462587541467,0.13711758201253224,0.055289347585698485,0.30003685956505716,0.15075562108367122,0.14928123848138591,0.09325469959454478,0.004054552156284556,0.0007371913011426465,0.04386288241798747,0.044600073719130114
2,E02000003,3834.0,0.6053729786124152,0.05894627021387585,0.06364110589462701,0.004434011476264998,0.0297339593114241,0.029473135106937925,0.15362545644235784,0.04720918101199791,0.10641627543035993,0.3291601460615545,0.07563901930099114,0.17266562336984873,0.08085550339071466,0.2709963484611372,0.12154407929055816,0.14945226917057902,0.12363067292644757,0.003129890453834116,0.0018257694314032342,0.0649452269170579,0.05372978612415232
3,E02000004,2318.0,0.6630716134598792,0.07894736842105263,0.0815358067299396,0.0030198446937014668,0.04055220017256255,0.03796376186367558,0.13891285591026747,0.04918032786885246,0.08973252804141502,0.3636755823986195,0.08628127696289906,0.17860224331320104,0.09879206212251941,0.2627264883520276,0.13934426229508196,0.12338222605694564,0.07420189818809318,0.0021570319240724763,0.0,0.034943917169974116,0.03710094909404659
4,E02000005,3183.0,0.6346214263273641,0.04806786050895382,0.08890983349041784,0.008796732642161484,0.050581212692428525,0.029531888155827836,0.18630223060006285,0.0471253534401508,0.13917687715991203,0.3113415017279296,0.05969211435752435,0.1665095821551995,0.08513980521520578,0.25384857053094567,0.11655670750863965,0.137291863022306,0.11153000314169023,0.000942507068803016,0.00031416902293433867,0.04429783223374175,0.06597549481621112
5,E02000007,3441.0,0.5934321418192386,0.03894216797442604,0.0895088637024121,0.005812263876780006,0.053763440860215055,0.02993315896541703,0.22551583841906422,0.04911362975879105,0.17640220866027317,0.23946527172333623,0.046207497820401046,0.13310084277826215,0.06015693112467306,0.3092124382446963,0.12467306015693112,0.1845393780877652,0.0973554199360651,0.0023249055507120024,0.0011624527753560012,0.042720139494333044,0.05114792211566405
6,E02000008,4591.0,0.5968198649531693,0.042910041385319106,0.08538444783271619,0.0058810716619472885,0.0490089305162274,0.030494445654541496,0.1979960792855587,0.05118710520583751,0.14680897407972118,0.27052929644957524,0.04726639076453932,0.15443258549335656,0.06883032019167937,0.30450882160749293,0.13395774341102157,0.17055107819647136,0.09867131343933784,0.004574166848181224,0.00043563493792202136,0.03506861250272272,0.05859289915051187
7,E02000009,3212.0,0.5912204234122043,0.027708592777085927,0.08499377334993774,0.007160647571606476,0.047322540473225407,0.030510585305105854,0.20797011207970112,0.05510585305105853,0.1528642590286426,0.2705479452054795,0.04919053549190536,0.14850560398505605,0.07285180572851806,0.27926525529265256,0.10118306351183064,0.1780821917808219,0.1295143212951432,0.0037359900373599006,0.004047322540473225,0.05946450809464508,0.062266500622665005
8,E02000010,3292.0,0.6169501822600243,0.037363304981773995,0.08718104495747266,0.007897934386391251,0.05285540704738761,0.026427703523693804,0.2129404617253949,0.053462940461725394,0.1594775212636695,0.27946537059538273,0.04829890643985419,0.15795868772782504,0.07320777642770353,0.27369380315917374,0.10965978128797084,0.16403402187120292,0.10935601458080195,0.00425273390036452,0.0015188335358444715,0.04465370595382746,0.058930741190765495
9,E02000011,2289.0,0.6400174748798602,0.07164700742682394,0.08082131935342944,0.005242463958060288,0.0345128877238969,0.04106596767147226,0.1559633027522936,0.04106596767147226,0.11489733508082133,0.3315858453473132,0.07514198339886413,0.16994320664045434,0.08650065530799476,0.2512013979903888,0.09217999126256007,0.15902140672782875,0.10878112712975098,0.00218435998252512,0.00218435998252512,0.04499781564001747,0.059414591524683265
10,E02000012,3258.0,0.600061387354205,0.05862492326580725,0.04665438919582566,0.004910988336402701,0.022099447513812154,0.019643953345610803,0.11233885819521179,0.040208717004297116,0.07213014119091467,0.38244321669736037,0.08502148557397177,0.22007366482504603,0.07734806629834254,0.24278698588090852,0.12369551872314304,0.1190914671577655,0.15715162676488642,0.003069367710251688,0.003683241252302026,0.05402087170042971,0.09637814610190301
11,E02000013,3125.0,0.61728,0.04064,0.088,0.00384,0.05472,0.02944,0.19872,0.04992,0.1488,0.28992,0.0576,0.16256,0.06976,0.27456,0.11264,0.16192,0.10816,0.00288,0.00128,0.04448,0.05952
12,E02000014,3531.0,0.6275842537524781,0.047861795525346924,0.09005947323704333,0.0053809119229679975,0.059473237043330504,0.02520532427074483,0.1988105352591334,0.05324270744831493,0.14556782781081848,0.2908524497309544,0.06032285471537808,0.1526479750778816,0.0778816199376947,0.2625318606627018,0.10421976777116965,0.15831209289153214,0.10988388558482017,0.0022656471254602095,0.0008496176720475786,0.045312942509204195,0.06145567827810818
13,E02000015,3170.0,0.544794952681388,0.031230283911671923,0.07823343848580441,0.0037854889589905363,0.04416403785488959,0.03028391167192429,0.20599369085173502,0.04037854889589906,0.16561514195583596,0.22933753943217666,0.038485804416403785,0.12429022082018927,0.0665615141955836,0.35962145110410093,0.11261829652996845,0.2470031545741325,0.09558359621451104,0.0037854889589905363,0.0012618296529968455,0.04037854889589906,0.050157728706624605
14,E02000016,2934.0,0.5320381731424676,0.005794137695978187,0.07975460122699386,0.00408997955010225,0.028629856850715747,0.04703476482617587,0.1632583503749148,0.028970688479890934,0.13428766189502386,0.2832310838445808,0.018404907975460124,0.18029993183367415,0.0845262440354465,0.2743694614860259,0.034764826175869123,0.23960463531015677,0.19359236537150648,0.00034083162917518747,0.021813224267211998,0.09918200408997956,0.07225630538513975
15,E02000017,2729.0,0.519970685232686,0.03737632832539392,0.04983510443385856,0.003297911322828875,0.022352510076951264,0.024184683034078416,0.11066324661048003,0.03994137046537193,0.0707218761451081,0.32209600586295345,0.062293880542323196,0.18981311835837303,0.06998900696225724,0.21766214730670574,0.07145474532795897,0.1462074019787468,0.2623671674606083,0.003664345914254306,0.015023818248442653,0.1330157566874313,0.11066324661048003
16,E02000018,3326.0,0.6136500300661455,0.03517739025856885,0.08388454600120264,0.004509921828021648,0.05171377029464823,0.027660853878532773,0.21557426337943475,0.047504509921828024,0.16806975345760675,0.2790138304269393,0.047504509921828024,0.16446181599518941,0.06704750450992183,0.26608538785327723,0.10523150932050511,0.1608538785327721,0.12026458208057728,0.0012026458208057728,0.0024052916416115455,0.05772699939867709,0.058929645219482865
17,E02000019,3010.0,0.6458471760797342,0.04086378737541528,0.08637873754152824,0.004651162790697674,0.05116279069767442,0.030564784053156147,0.19800664451827243,0.046843853820598004,0.1511627906976744,0.32059800664451826,0.05647840531561462,0.18571428571428572,0.07840531561461794,0.2398671096345515,0.0840531561461794,0.1558139534883721,0.11428571428571428,0.002325581395348837,0.00132890365448505,0.04784053156146179,0.06279069767441861
18,E02000020,3460.0,0.5632947976878613,0.035838150289017344,0.057803468208092484,0.005491329479768786,0.03352601156069364,0.01878612716763006,0.1861271676300578,0.05809248554913295,0.12803468208092486,0.2835260115606936,0.04450867052023121,0.17658959537572255,0.06242774566473988,0.2835260115606936,0.12254335260115606,0.16098265895953756,0.1531791907514451,0.002601156069364162,0.0060693641618497106,0.07658959537572255,0.06791907514450866
