,GEOGRAPHY_CODE,Age 16 to 64,Age 3 to 15,Age 65 and over,All categories: Age 3 and over,All categories: Can speak Welsh by age 3 and over,All categories: One or more skills in Welsh age 3 and over,Can speak Welsh,Can speak Welsh: Age 16 to 64,Can speak Welsh: Age 3 to 15,Can speak Welsh: Age 65 and over,"Can speak, read and write Welsh",Can understand spoken Welsh only,One or more skills in Welsh: Age 16 to 64,One or more skills in Welsh: Age 3 to 15,One or more skills in Welsh: Age 65 and over
0,W02000001,0.6320845341018252,0.14085014409221902,0.22706532180595582,8328.0,0.6167146974063401,0.7146974063400576,0.6167146974063401,0.3867675312199808,0.11803554274735831,0.11191162343900096,0.5076849183477425,0.0866954851104707,0.4583333333333333,0.13016330451488953,0.12620076849183479
1,W02000002,0.5859461162754057,0.1225775957145108,0.2914762880100835,6347.0,0.5605798014810146,0.65463998739562,0.5605798014810146,0.3362218370883882,0.10776744918859303,0.11659051520403341,0.46809516306916654,0.08035292264061761,0.40365527020639674,0.1150149677012762,0.13596974948794707
2,W02000003,0.6620521172638436,0.16113599348534202,0.17681188925081434,9824.0,0.4123574918566775,0.6380293159609121,0.4123574918566775,0.23890472312703584,0.07970276872964169,0.09375,0.2619096091205212,0.1987988599348534,0.4118485342019544,0.11085097719869706,0.11532980456026058
3,W02000004,0.5952744961779013,0.1359277275886032,0.2687977762334955,7195.0,0.5109103544127866,0.6525364836692147,0.5109103544127866,0.2954829742876998,0.09965253648366922,0.11577484364141766,0.3949965253648367,0.1210562890896456,0.39833217512161223,0.11688672689367616,0.13731758165392632
4,W02000005,0.5894479385045422,0.1232238527836012,0.2873282087118565,8586.0,0.4932448171441882,0.6239226648031679,0.4932448171441882,0.2932681108781738,0.09736780805963195,0.10260889820638248,0.37933845795481014,0.11029583042161659,0.38690892150011646,0.10924761239226648,0.127766130910785
5,W02000006,0.637944540184866,0.1594861350462165,0.20256932476891742,6383.0,0.7895973680087733,0.8615071283095723,0.7895973680087733,0.4975716747610841,0.14366285445715182,0.14836283879053735,0.6730377565408115,0.06376312078959737,0.5492715024283252,0.15133949553501488,0.16089613034623218
6,W02000007,0.6482658959537573,0.15404624277456647,0.1976878612716763,6920.0,0.5589595375722544,0.6579479768786127,0.5589595375722544,0.3527456647398844,0.10664739884393064,0.0995664739884393,0.461271676300578,0.08439306358381503,0.42124277456647397,0.12283236994219653,0.1138728323699422
7,W02000008,0.6412663060769965,0.13124403436207446,0.22748965956092904,6286.0,0.630130448615972,0.7440343620744512,0.630130448615972,0.3827553293032135,0.1073814826598791,0.13999363665287942,0.508749602290805,0.10101813553929367,0.4691377664651607,0.11597200127266942,0.15892459433662107
8,W02000009,0.6402973188213432,0.13724449163790814,0.2224581895407486,7534.0,0.6693655428723122,0.7596230422086541,0.6693655428723122,0.42912131669763737,0.11786567560392885,0.12237855057074595,0.5573400584019114,0.07778072736925935,0.49535439341651183,0.12689142553756305,0.13737722325457924
9,W02000010,0.8561480095624155,0.060908429477185326,0.08294356096039912,9621.0,0.27180126805945326,0.36597027336035753,0.27180126805945326,0.18896164639850327,0.0397048123895645,0.04313480927138551,0.21432283546408898,0.07338114541107993,0.2631743062051762,0.048331774243841594,0.054464192911339776
