,GEOGRAPHY_CODE,All lone parent housholds with dependent children,Female lone parent: In full-time employment,Female lone parent: In part-time employment,Female lone parent: Not in employment,Female lone parent: Total,Lone parent in full-time employment: Total,Lone parent in part-time employment: Total,Lone parent not in employment: Total,Male lone parent: In full-time employment,Male lone parent: In part-time employment,Male lone parent: Not in employment,Male lone parent: Total
0,E02000001,1,0.4065934065934066,0.16483516483516483,0.2087912087912088,0.7802197802197802,0.5164835164835165,0.24175824175824176,0.24175824175824176,0.10989010989010989,0.07692307692307693,0.03296703296703297,0.21978021978021978
1,E02000002,1,0.17303370786516853,0.22247191011235956,0.5393258426966292,0.9348314606741573,0.20898876404494382,0.23146067415730337,0.5595505617977528,0.035955056179775284,0.008988764044943821,0.020224719101123594,0.0651685393258427
2,E02000003,1,0.22549019607843138,0.24754901960784315,0.4534313725490196,0.9264705882352942,0.2549019607843137,0.25735294117647056,0.4877450980392157,0.029411764705882353,0.00980392156862745,0.03431372549019608,0.07352941176470588
3,E02000004,1,0.20388349514563106,0.3058252427184466,0.3786407766990291,0.8883495145631068,0.2669902912621359,0.3106796116504854,0.4223300970873786,0.06310679611650485,0.0048543689320388345,0.043689320388349516,0.11165048543689321
4,E02000005,1,0.21040723981900453,0.2171945701357466,0.497737556561086,0.9253393665158371,0.25565610859728505,0.22171945701357465,0.5226244343891403,0.04524886877828054,0.004524886877828055,0.024886877828054297,0.0746606334841629
5,E02000007,1,0.18106312292358803,0.19767441860465115,0.5498338870431894,0.9285714285714286,0.2159468438538206,0.21096345514950166,0.5730897009966778,0.03488372093023256,0.013289036544850499,0.023255813953488372,0.07142857142857142
6,E02000008,1,0.17164179104477612,0.23880597014925373,0.508955223880597,0.9194029850746268,0.19850746268656716,0.25223880597014925,0.5492537313432836,0.026865671641791045,0.013432835820895522,0.04029850746268657,0.08059701492537313
7,E02000009,1,0.19591836734693877,0.24081632653061225,0.47551020408163264,0.9122448979591836,0.22244897959183674,0.2673469387755102,0.5102040816326531,0.026530612244897958,0.026530612244897958,0.03469387755102041,0.08775510204081632
8,E02000010,1,0.13102119460500963,0.2254335260115607,0.5799614643545279,0.9364161849710982,0.15221579961464354,0.23121387283236994,0.6165703275529865,0.02119460500963391,0.005780346820809248,0.036608863198458574,0.06358381502890173
9,E02000011,1,0.22053231939163498,0.24714828897338403,0.43346007604562736,0.9011406844106464,0.25475285171102663,0.2623574144486692,0.4828897338403042,0.034220532319391636,0.015209125475285171,0.049429657794676805,0.09885931558935361
