,GEOGRAPHY_CODE,All usual residents,Area (Hectares),Density (number of persons per hectare),Females,Lives in a communal establishment,Lives in a household,Males,Schoolchild or full-time student aged 4 and over at their non term-time address
0,E02000001,1,0.039292203389830506,0.0034576271186440677,0.44528813559322034,0.025491525423728813,0.9745084745762712,0.5547118644067797,0.010576271186440679
1,E02000002,1,0.031904059040590405,0.004619926199261993,0.5341697416974169,0.007527675276752768,0.9924723247232472,0.465830258302583,0.007232472324723248
2,E02000003,1,0.021319064211050273,0.004668989547038327,0.5177700348432056,0.0011946241911398707,0.9988053758088601,0.48222996515679445,0.010353409656545545
3,E02000004,1,0.040323519896473634,0.004011646716273051,0.5228081527013911,0.03963118731802006,0.9603688126819799,0.47719184729860886,0.008573277256551277
4,E02000005,1,0.013876430740481196,0.008420929689324924,0.5171688857743518,0.0,1.0,0.48283111422564823,0.008292455033870591
5,E02000007,1,0.019745193948356277,0.00575588670230918,0.5337276760323058,0.013536571493572973,0.986463428506427,0.46627232396769425,0.007735183710613127
6,E02000008,1,0.01227331662200709,0.007044688391390786,0.5289134756677327,0.0004321894718644654,0.9995678105281355,0.4710865243322673,0.010199671536001383
7,E02000009,1,0.011442525312686124,0.010410958904109589,0.5139964264443121,0.0022632519356759976,0.997736748064324,0.4860035735556879,0.008933889219773675
8,E02000010,1,0.013014509576320372,0.008914683691236215,0.5258270458502612,0.0,1.0,0.4741729541497388,0.007312826465467209
9,E02000011,1,0.025762081784386614,0.006271213835461451,0.5076773880717633,0.016324551478907386,0.9836754485210926,0.4923226119282366,0.01196056246969452
10,E02000012,1,0.013150283171521036,0.007686084142394822,0.5148665048543689,0.0009101941747572816,0.9990898058252428,0.4851334951456311,0.010922330097087379
11,E02000013,1,0.015527255415377292,0.007664841704356107,0.519995239228755,0.0007141156867412521,0.9992858843132587,0.48000476077124493,0.008331349678647942
12,E02000014,1,0.012685598808764091,0.008381195490321208,0.5306317804722399,0.008827908955541374,0.9911720910444586,0.46936821952776003,0.00574345883854499
13,E02000015,1,0.018006082242496366,0.007338357794525982,0.5193706201242893,0.0018511172815020495,0.998148882718498,0.4806293798757107,0.010577813037154568
14,E02000016,1,0.011545075560187598,0.011281917665450754,0.4747264200104221,0.000781657113079729,0.9992183428869202,0.5252735799895779,0.008207399687337155
15,E02000017,1,0.010314191574488115,0.011414450458931514,0.4676394445751942,0.0035302424099788185,0.9964697575900212,0.5323605554248059,0.010473052482937163
16,E02000018,1,0.01527334083239595,0.007367829021372329,0.5154105736782902,0.0006749156355455568,0.9993250843644544,0.48458942632170976,0.007086614173228346
17,E02000019,1,0.0367049299178347,0.0032866118898018364,0.5170372160463992,0.005074915418076365,0.9949250845819236,0.48296278395360076,0.009424842919284679
18,E02000020,1,0.03686179387667098,0.0029215178956446745,0.5003234152652005,0.00021561017680034498,0.9997843898231996,0.4996765847347995,0.010025873221216041
19,E02000021,1,0.0364423076923077,0.0034665991902834005,0.5196103238866396,0.013410931174089069,0.9865890688259109,0.4803896761133603,0.009615384615384616
20,E02000022,1,0.00853252819870115,0.01335308191865102,0.4976643500056967,0.0105958755839125,0.9894041244160875,0.5023356499943032,0.00843112680870457
21,E02000023,1,0.026923788954026535,0.005723542116630669,0.5124961431656896,0.0,1.0,0.4875038568343104,0.00755939524838013
22,E02000024,1,0.036958448207955893,0.002668373375344624,0.5220559275305239,0.018412760929499804,0.9815872390705002,0.4779440724694762,0.021071287908625443
23,E02000025,1,0.030189793866264455,0.004160382101558572,0.519482151835093,0.003393665158371041,0.996606334841629,0.480517848164907,0.017596782302664656
24,E02000026,1,0.02322033898305085,0.006827182005385712,0.508632979565975,0.0058609219071756695,0.9941390780928243,0.491367020434025,0.018057975605892604
25,E02000027,1,0.017446342988122525,0.005969993748697645,0.5261512815169826,0.010314648885184413,0.9896853511148156,0.4738487184830173,0.01239841633673682
26,E02000028,1,0.017119688614985404,0.009471294193966915,0.5079468050600064,0.009568602011028219,0.9904313979889717,0.4920531949399935,0.018650664936749918
27,E02000029,1,0.01977809087706939,0.005941059058353881,0.5142655864741106,0.0011741223435481978,0.9988258776564518,0.4857344135258894,0.014206880356933193
28,E02000030,1,0.15967907995618838,0.0006900328587075575,0.5255202628696605,0.012814895947426068,0.987185104052574,0.47447973713033953,0.030558598028477546
29,E02000031,1,0.026582122292295035,0.005154921853578283,0.5197422539073211,0.019742253907321084,0.9802577460926789,0.4802577460926789,0.02289553057307376
30,E02000032,1,0.017790505281914216,0.007152857324678631,0.5147002672775869,0.00407280132366043,0.9959271986763396,0.4852997327224131,0.017436680666921216
31,E02000033,1,0.020802389598219517,0.005634297762680099,0.5150521260395924,0.0115965795947054,0.9884034204052946,0.4849478739604076,0.01417359728241771
32,E02000034,1,0.018314527503526093,0.006417489421720733,0.5229196050775741,0.0068171133051245884,0.9931828866948754,0.47708039492242593,0.017277856135401976
33,E02000035,1,0.01629127432517263,0.00770872567482737,0.5235404896421846,0.022849968612680478,0.9771500313873195,0.4764595103578154,0.014563716258631513
34,E02000036,1,0.016705761891464208,0.005575723727078097,0.5145676254305129,0.00502652890254119,0.9949734710974588,0.4854323745694871,0.017034347947500698
35,E02000037,1,0.044393799404578584,0.002309824453341546,0.5186325839236218,0.0,1.0,0.4813674160763782,0.020634431783184477
36,E02000038,1,0.016763363134867794,0.005678143427810539,0.5035191173673198,0.021780483165303406,0.9782195168346965,0.49648088263268025,0.015027582271257372
37,E02000039,1,0.03194007490636704,0.004689138576779026,0.5119101123595505,0.0,1.0,0.4880898876404494,0.02666666666666667
38,E02000040,1,0.07162845630123663,0.001945254967347506,0.5261914686675003,0.014311518688342365,0.9856884813116576,0.47380853133249967,0.020842017507294707
39,E02000041,1,0.015312677335149244,0.007411190557257973,0.5067529224832595,0.005561230280331404,0.9944387697196686,0.49324707751674046,0.017364657814096015
40,E02000042,1,0.011396747814644233,0.008243255945107624,0.5073785130181409,0.017012877150108092,0.9829871228498919,0.4926214869818592,0.011937212143998496
41,E02000043,1,0.019093035343035344,0.006808731808731808,0.5155925155925156,0.010395010395010396,0.9896049896049897,0.48440748440748443,0.018061330561330562
42,E02000044,1,0.013720728534258455,0.009032338000247801,0.5326477512080288,0.0,1.0,0.46735224879197124,0.015239747243216454
43,E02000045,1,0.016948324704503272,0.005763407248217251,0.5113802871935137,0.001074533554752369,0.9989254664452476,0.48861971280648625,0.011624499365048354
44,E02000046,1,0.013723630185473595,0.010321393175704376,0.512246920571995,0.008919722497522299,0.9910802775024777,0.4877530794280051,0.01217612912360187
45,E02000047,1,0.012506814384946805,0.0070342038160555705,0.522025850699024,0.014595972918315308,0.9854040270816847,0.477974149300976,0.008968609865470852
46,E02000048,1,0.03141692981562596,0.003239278802078028,0.5199144341448507,0.0,1.0,0.4800855658551492,0.01904858918203117
47,E02000049,1,0.00927202163942138,0.012689638950958485,0.5293425849700106,0.0,1.0,0.4706574150299894,0.01258379395507468
48,E02000050,1,0.021070151033386327,0.0047197933227345,0.5167925278219396,0.0011923688394276629,0.9988076311605724,0.4832074721780604,0.01232114467408585
49,E02000051,1,0.01675378744073089,0.006904128599514283,0.5179831155313982,0.009020469527003585,0.9909795304729964,0.4820168844686018,0.02347635017925292
50,E02000052,1,0.009993813157352031,0.01032171581769437,0.5158795627964529,0.0,1.0,0.48412043720354714,0.013301711693132604
51,E02000053,1,0.01782453719673451,0.006450500172473267,0.49177877428998507,0.05139703345981373,0.9486029665401863,0.5082212257100149,0.015407611820167874
52,E02000054,1,0.020818762142658896,0.006661115736885929,0.5070774354704413,0.004301970580072162,0.9956980294199278,0.4929225645295587,0.015542603386067166
53,E02000055,1,0.012939802336028752,0.0069451931716082655,0.5045822102425876,0.021293800539083557,0.9787061994609164,0.4954177897574124,0.014645103324348607
54,E02000056,1,0.03503148067737733,0.0030937907077724707,0.5311550151975684,0.018454190186712984,0.981545809813287,0.4688449848024316,0.026595744680851064
55,E02000057,1,0.014624532335649386,0.009139497594869055,0.5060128273650454,0.0062800641368252275,0.9937199358631748,0.49398717263495456,0.019241047568145375
56,E02000058,1,0.017742661448140903,0.005518590998043053,0.5298434442270059,0.004207436399217221,0.9957925636007828,0.47015655577299414,0.02289628180039139
57,E02000059,1,0.02097332440959939,0.004560665455588489,0.5038722631226694,0.0016253943971699016,0.9983746056028301,0.4961277368773305,0.009465532077636485
58,E02000060,1,0.011288461538461539,0.008113553113553114,0.5087912087912088,0.020787545787545787,0.9792124542124542,0.4912087912087912,0.030402930402930402
59,E02000061,1,0.019807812305004367,0.006302258829402221,0.5110445526020218,0.017222014226881317,0.9827779857731187,0.4889554473979783,0.022338699613128666
60,E02000062,1,0.028998422712933753,0.0054416403785488955,0.5124605678233438,0.005993690851735016,0.9940063091482649,0.48753943217665613,0.00946372239747634
61,E02000063,1,0.014881652560608234,0.009639936881365658,0.5050925261798881,0.012193372543394062,0.987806627456606,0.4949074738201119,0.01233682398508105
62,E02000064,1,0.012714468629961588,0.012596030729833547,0.5176056338028169,0.03713188220230474,0.9628681177976952,0.4823943661971831,0.016005121638924456
63,E02000065,1,0.041806678841638405,0.003117662405426559,0.5163057657187582,0.001826245760500913,0.9981737542394991,0.48369423428124186,0.015783981215757893
64,E02000066,1,0.01631469764547246,0.006358261591121253,0.5235971372264288,0.004356394564879162,0.9956436054351209,0.4764028627735712,0.012758012654288975
65,E02000067,1,0.026443428571428573,0.00432,0.5193142857142857,0.0014857142857142857,0.9985142857142857,0.48068571428571427,0.0088
66,E02000068,1,0.030748511099079587,0.004399025446670276,0.5129940443963183,0.0,1.0,0.48700595560368165,0.008933405522468869
67,E02000069,1,0.02343073942525024,0.006893768162738134,0.5171133354859542,0.008072328059412335,0.9919276719405876,0.4828866645140458,0.010171133354859542
68,E02000070,1,0.023566984126984127,0.005384126984126984,0.518984126984127,0.0,1.0,0.481015873015873,0.01180952380952381
69,E02000071,1,0.016146575342465753,0.00847945205479452,0.5163013698630137,0.0,1.0,0.4836986301369863,0.010273972602739725
