,GEOGRAPHY_CODE,All categories: Highest level of qualification,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,No qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 and over
0,E02000001,6755.0,0.015247964470762399,0.0044411547002220575,0.04278312361213916,0.0069578090303478906,0.04307920059215396,0.06587712805329386,0.07165062916358253,0.6836417468541821,0.0615840118430792,0.06720947446336048,0.010214655810510733,0.06247224278312361
1,E02000002,5024.0,0.016719745222929936,0.004777070063694267,0.03244426751592357,0.023487261146496817,0.15704617834394904,0.14052547770700638,0.09534235668789809,0.1819267515923567,0.07862261146496816,0.32304936305732485,0.03244426751592357,0.054140127388535034
2,E02000003,7798.0,0.02064631956912029,0.0056424724288279045,0.030135932290330854,0.021672223647088998,0.15516799179276738,0.15850218004616567,0.10861759425493717,0.23454731982559632,0.0934855091048987,0.22800718132854578,0.028981790202616056,0.056681200307771226
3,E02000004,4986.0,0.014841556357801846,0.005014039310068191,0.022663457681508223,0.032691536301644605,0.16044925792218212,0.1654632972322503,0.1081026875250702,0.17870036101083034,0.05334937825912555,0.3012434817488969,0.03710389089450461,0.04312073806658644
4,E02000005,6362.0,0.016818610499842818,0.008016347060672745,0.027507073247406477,0.025149324111914492,0.16127004086765168,0.16315624017604527,0.10264067903175102,0.175888085507702,0.08283558629361835,0.2890600440113172,0.03646651996227601,0.05234203080792204
5,E02000007,6403.0,0.021083866937373106,0.008277369982820552,0.0332656567234109,0.025925347493362488,0.1663282836170545,0.15633296892081835,0.08683429642355146,0.17632359831329064,0.06699984382320787,0.32125566140871464,0.03732625331875683,0.06278307043573325
6,E02000008,8627.0,0.017619102816738147,0.00765039990726788,0.028515126927089372,0.01889416946794946,0.15810826475020284,0.1637881071055987,0.09226845948765504,0.16239712530427727,0.08148835052741393,0.32305552335690274,0.03361539353193462,0.05390054480120552
7,E02000009,6333.0,0.022738038844149693,0.010737407231959577,0.0364756039791568,0.019106268750986893,0.15474498657824096,0.15537659876835622,0.08874151271119532,0.19579977893573347,0.09553134375493447,0.29069951050055265,0.035528185693983895,0.06995105005526607
8,E02000010,6280.0,0.021019108280254776,0.006528662420382166,0.028343949044585988,0.01894904458598726,0.16289808917197451,0.15684713375796178,0.09490445859872612,0.17372611464968152,0.08200636942675159,0.3106687898089172,0.03789808917197452,0.05589171974522293
9,E02000011,4800.0,0.021875,0.007291666666666667,0.031875,0.028541666666666667,0.15895833333333334,0.15833333333333333,0.09333333333333334,0.19541666666666666,0.07895833333333334,0.2864583333333333,0.036458333333333336,0.06104166666666667
