,GEOGRAPHY_CODE,All households,Living rent free,Owned,Owned: Owned outright,Owned: Owned with a mortgage or loan,Private rented,Private rented: Other,Private rented: Private landlord or letting agency,Shared ownership (part owned and part rented),Social rented,Social rented: Other,Social rented: Rented from council (Local Authority)
0,E02000001,1,0.049942987457240594,0.42303306727480045,0.2492588369441277,0.17377423033067274,0.3587229190421893,0.02782212086659065,0.33090079817559864,0.0029646522234891676,0.1653363740022805,0.06088939566704675,0.10444697833523375
1,E02000002,1,0.012532252119424991,0.464061924069296,0.21968300774050867,0.24437891632878733,0.09915223000368596,0.005160339107998526,0.09399189089568744,0.006634721710283818,0.41761887209730925,0.08809436048654626,0.329524511610763
2,E02000003,1,0.005998956703182056,0.652321335419927,0.2681272822117893,0.3841940532081377,0.21648408972352634,0.010954616588419406,0.20552947313510694,0.008868022952529996,0.11632759520083463,0.02269170579029734,0.0936358894105373
3,E02000004,1,0.006902502157031924,0.7277825711820535,0.3097497842968076,0.4180327868852459,0.09836065573770492,0.0064710957722174285,0.09188955996548749,0.006902502157031924,0.16005176876617774,0.04443485763589301,0.11561691113028473
4,E02000005,1,0.010367577756833177,0.5834118755890669,0.2233741753063148,0.3600377002827521,0.15142946905435123,0.008168394596292806,0.14326107445805844,0.005655042412818096,0.24913603518693056,0.02858938108702482,0.22054665409990576
5,E02000007,1,0.00988084859052601,0.4007555943039814,0.16216216216216217,0.23859343214181924,0.0967741935483871,0.008137169427492008,0.0886370241208951,0.00929962220284801,0.4832897413542575,0.02702702702702703,0.4562627143272305
6,E02000008,1,0.008712698758440426,0.4571988673491614,0.15421476802439554,0.30298409932476583,0.13962099760400784,0.011326508385972555,0.1282944892180353,0.010673055979089524,0.3837943803093008,0.03986059681986495,0.3439337834894359
7,E02000009,1,0.01774595267745953,0.4592154420921544,0.1519302615193026,0.3072851805728518,0.1927148194271482,0.00933997509339975,0.18337484433374845,0.02459526774595268,0.3057285180572852,0.05759651307596513,0.24813200498132004
8,E02000010,1,0.008201701093560146,0.4529161603888214,0.14064398541919806,0.31227217496962334,0.15704738760631834,0.011846901579586877,0.14520048602673147,0.018833535844471446,0.3630012150668287,0.04738760631834751,0.31561360874848116
9,E02000011,1,0.011795543905635648,0.6644823066841415,0.29357798165137616,0.3709043250327654,0.19222367846221058,0.010484927916120577,0.18173875054608998,0.005242463958060288,0.12625600698995196,0.037570991699432066,0.08868501529051988
10,E02000012,1,0.012584407612031922,0.6918354818907305,0.28698588090853283,0.4048496009821977,0.14610190300798034,0.006445672191528545,0.13965623081645182,0.003683241252302026,0.14579496623695518,0.03100061387354205,0.11479435236341314
11,E02000013,1,0.01056,0.46048,0.15328,0.3072,0.1392,0.01056,0.12864,0.01184,0.37792,0.02816,0.34976
12,E02000014,1,0.0076465590484282074,0.43840271877655057,0.1577456811101671,0.28065703766638345,0.1492495043896913,0.0073633531577456815,0.14188615123194562,0.004531294250920419,0.4001699235344095,0.05720758991787029,0.3429623336165392
13,E02000015,1,0.006624605678233439,0.30914826498422715,0.116403785488959,0.19274447949526813,0.15930599369085174,0.00694006309148265,0.1523659305993691,0.01892744479495268,0.5059936908517351,0.1082018927444795,0.3977917981072555
14,E02000016,1,0.007157464212678937,0.22597137014314927,0.054533060668029994,0.1714383094751193,0.3994546693933197,0.02283571915473756,0.37661895023858216,0.013633265167007498,0.3537832310838446,0.11860940695296524,0.23517382413087934
15,E02000017,1,0.010626603151337486,0.5687064858922682,0.23488457310370098,0.33382191278856727,0.3151337486258703,0.023818248442652987,0.2913155001832173,0.007695126419934042,0.09783803591058995,0.022352510076951264,0.0754855258336387
16,E02000018,1,0.006313890559230307,0.38815393866506315,0.1211665664461816,0.2669873722188815,0.16987372218881538,0.010523150932050512,0.15935057125676488,0.0132291040288635,0.42242934455802766,0.07276007215874924,0.3496692723992784
17,E02000019,1,0.0106312292358804,0.4627906976744186,0.13421926910299004,0.32857142857142857,0.1568106312292359,0.006312292358803987,0.1504983388704319,0.022591362126245847,0.34717607973421927,0.06677740863787375,0.28039867109634553
18,E02000020,1,0.009248554913294798,0.4283236994219653,0.15057803468208092,0.2777456647398844,0.18294797687861272,0.016184971098265895,0.16676300578034683,0.015317919075144508,0.36416184971098264,0.06069364161849711,0.30346820809248554
19,E02000021,1,0.010512037978975925,0.539844014920312,0.19735503560528994,0.34248897931502204,0.24313326551373346,0.01017293997965412,0.23296032553407936,0.014920311970159377,0.19159036961681927,0.06544591386910817,0.12614445574771108
20,E02000022,1,0.010426249616682,0.1478074210364919,0.03955841766329347,0.1082490033731984,0.1726464274762343,0.013186139221097824,0.15946028825513647,0.037105182459368294,0.6320147194112236,0.040478380864765406,0.5915363385464582
21,E02000023,1,0.00658165364047717,0.29494035376388317,0.08350473056355409,0.21143562320032908,0.16289592760180996,0.010283833813245578,0.15261209378856438,0.012751953928424516,0.5228301110654052,0.03661044837515426,0.4862196626902509
22,E02000024,1,0.014355231143552312,0.7399026763990267,0.36666666666666664,0.3732360097323601,0.18321167883211678,0.00997566909975669,0.17323600973236009,0.010462287104622872,0.05206812652068127,0.030900243309002432,0.021167883211678833
23,E02000025,1,0.011595803423522915,0.6272777471010491,0.28989508558807286,0.33738266151297625,0.21065709552733297,0.007454445057979017,0.20320265046935396,0.009110988404196576,0.1413583655438984,0.06515737161789067,0.07620099392600774
24,E02000026,1,0.014823717948717948,0.7604166666666666,0.38100961538461536,0.37940705128205127,0.16185897435897437,0.01201923076923077,0.14983974358974358,0.009615384615384616,0.05328525641025641,0.021634615384615384,0.031650641025641024
25,E02000027,1,0.011875843454790824,0.5265856950067477,0.23724696356275304,0.2893387314439946,0.09959514170040486,0.007827260458839407,0.09176788124156546,0.022132253711201078,0.3398110661268556,0.09149797570850203,0.2483130904183536
26,E02000028,1,0.009300444803881924,0.7169429842296805,0.35503437120905784,0.3619086130206227,0.23210675293166194,0.011322280630812778,0.22078447230084916,0.005661140315406389,0.035988677719369186,0.020622725434694702,0.015365952284674484
27,E02000029,1,0.01138627953316254,0.6356390549387988,0.27355536578423,0.36208368915456873,0.2533447196128665,0.011955593509820665,0.24138912610304583,0.003985197836606889,0.09564474807856532,0.0421292342727014,0.05351551380586393
28,E02000030,1,0.01847507331378299,0.7768328445747801,0.4252199413489736,0.35161290322580646,0.08885630498533724,0.00469208211143695,0.0841642228739003,0.002932551319648094,0.11290322580645161,0.016715542521994135,0.09618768328445748
29,E02000031,1,0.011714589989350373,0.6741214057507987,0.38267660631877887,0.2914447994320199,0.22470713525026625,0.021654242101526448,0.20305289314873978,0.007454739084132056,0.08200212992545261,0.04863329783457579,0.03336883209087682
30,E02000032,1,0.0087527352297593,0.8581327498176513,0.42414296134208607,0.4339897884755653,0.10211524434719182,0.006199854121079504,0.09591539022611233,0.0014587892049598833,0.02954048140043764,0.023340627279358133,0.006199854121079504
31,E02000033,1,0.00904431715405487,0.6680735604461863,0.308411214953271,0.35966234549291526,0.15676816400361773,0.009948748869460356,0.14681941513415736,0.02562556526982213,0.14048839312631897,0.08019294543261983,0.06029544769369913
32,E02000034,1,0.01616220981486923,0.6432559506317955,0.2994416691154863,0.34381428151630916,0.2383191301792536,0.010872759330002939,0.22744637084925065,0.004114017043784896,0.0981486923302968,0.041727887158389654,0.05642080517190714
33,E02000035,1,0.013013901212658977,0.5560485063590653,0.2806861875184857,0.2753623188405797,0.29310854776693285,0.013901212658976633,0.2792073351079562,0.00857734398107069,0.1292517006802721,0.07039337474120083,0.05885832593907128
34,E02000036,1,0.01293759512937595,0.65220700152207,0.278285134449518,0.373921867072552,0.19533231861998984,0.0121765601217656,0.18315575849822424,0.013191273465246067,0.1263318112633181,0.06265854895991882,0.06367326230339929
35,E02000037,1,0.014130114807182808,0.6535178098322049,0.32028260229614364,0.33323520753606123,0.1209891080365028,0.004415660877244628,0.11657344715925817,0.009420076538121873,0.20194289078598765,0.07182808360317927,0.13011480718280835
36,E02000038,1,0.020992837737713016,0.6347246233637935,0.2632748826870832,0.37144974067671027,0.24425784144233145,0.012842677204247963,0.23141516423808348,0.003457643862682144,0.09656705359347988,0.04198567547542603,0.05458137811805384
37,E02000039,1,0.010865191146881288,0.7287726358148894,0.34164989939637824,0.3871227364185111,0.2181086519114688,0.010865191146881288,0.20724346076458752,0.0016096579476861167,0.040643863179074445,0.0096579476861167,0.030985915492957747
38,E02000040,1,0.03473008682521706,0.5639864099660249,0.2891657229143073,0.27482068705171764,0.14647036617591544,0.01963004907512269,0.12684031710079274,0.0056625141562853904,0.2491506228765572,0.14647036617591544,0.10268025670064175
39,E02000041,1,0.016666666666666666,0.6044871794871794,0.29134615384615387,0.31314102564102564,0.26634615384615384,0.010576923076923078,0.25576923076923075,0.002564102564102564,0.10993589743589743,0.03365384615384615,0.07628205128205129
40,E02000042,1,0.022393123727663423,0.5306491743949333,0.24949106536982582,0.28115810902510746,0.3562542411219181,0.013345396969011537,0.34290884415290657,0.0038452838724270526,0.08685817688305814,0.02827414612078715,0.05858403076227098
