,GEOGRAPHY_CODE,All categories: Long-term health problem or disability,Bad health,Day-to-day activities limited a little,Day-to-day activities limited a little: Age 16 to 64,Day-to-day activities limited a lot,Day-to-day activities limited a lot: Age 16 to 64,Day-to-day activities not limited,Day-to-day activities not limited: Age 16 to 64,Fair health,Good health,Provides 1 to 19 hours unpaid care a week,Provides 20 to 49 hours unpaid care a week,Provides 50 or more hours unpaid care a week,Provides no unpaid care,Very bad health,Very good health
0,E02000001,7375.0,0.02576271186440678,0.07050847457627119,0.034305084745762715,0.04447457627118644,0.01911864406779661,0.8850169491525424,0.7221694915254238,0.0871864406779661,0.32189830508474576,0.06169491525423729,0.006915254237288135,0.009491525423728813,0.9218983050847458,0.007593220338983051,0.5575593220338984
1,E02000002,6775.0,0.057416974169741695,0.10007380073800738,0.04649446494464945,0.10435424354243543,0.03985239852398524,0.7955719557195572,0.49269372693726937,0.156309963099631,0.3377121771217712,0.04797047970479705,0.014612546125461255,0.028634686346863468,0.9087822878228782,0.015645756457564577,0.4329151291512915
2,E02000003,10045.0,0.04041811846689895,0.08063713290194126,0.041612742658038826,0.07884519661523146,0.03683424589347934,0.8405176704828273,0.5704330512692882,0.13190642110502737,0.3616724738675958,0.06012941762070682,0.01612742658038825,0.02618218018914883,0.8975609756097561,0.011448481831757094,0.4545545047287208
3,E02000004,6182.0,0.0488515043675186,0.08848269168553866,0.044160465868650925,0.0947913296667745,0.03445486897444193,0.8167259786476868,0.5642186994500161,0.13927531543189905,0.33743125202199936,0.055483662245228084,0.016823034616628922,0.02814623099320608,0.8995470721449369,0.012293756065998059,0.4621481721125849
4,E02000005,8562.0,0.04811959822471385,0.08432609203457136,0.048703573931324455,0.08327493576267227,0.04192945573464144,0.8323989722027564,0.5419294557346415,0.1324456902592852,0.3283111422564821,0.04753562251810325,0.01635131978509694,0.029549170754496614,0.9065638869423032,0.013548236393366036,0.4775753328661528
5,E02000007,8791.0,0.0462973495620521,0.08554203162325105,0.05084745762711865,0.09418723694687749,0.042202252303492206,0.8202707314298715,0.5175747924013195,0.14241838243658286,0.34296439540439083,0.04515982254578546,0.014560345808212945,0.028893186213172564,0.911386645432829,0.013764076896826299,0.45455579570014787
6,E02000008,11569.0,0.05549312818739736,0.08885815541533408,0.053764370299939496,0.10329328377560723,0.05004754084190509,0.8078485608090586,0.5224306335897657,0.13812775520788315,0.3324401417581468,0.04442907770766704,0.017806206240815973,0.029302446192410753,0.9084622698591063,0.01910277465640937,0.45483620019016335
7,E02000009,8395.0,0.05443716497915426,0.0806432400238237,0.04919594997022037,0.0919594997022037,0.052888624181060155,0.8273972602739726,0.5580702799285289,0.13031566408576534,0.3330553901131626,0.05145920190589637,0.017510422870756402,0.02501488981536629,0.9060154854079809,0.016319237641453245,0.46587254318046456
8,E02000010,8615.0,0.050261172373766684,0.0791642484039466,0.04619849100406268,0.09112013929193268,0.0481717933836332,0.8297156123041207,0.5315147997678468,0.12663958212420198,0.33731863029599535,0.04503772489843297,0.01625072547881602,0.029251305861868835,0.9094602437608822,0.01625072547881602,0.46952988972722
9,E02000011,6187.0,0.03943753030547923,0.08372393728786165,0.045417811540326494,0.07548084693712623,0.0307095522870535,0.8407952157750122,0.5639243575238403,0.13059641183125908,0.3476644577339583,0.04881202521415872,0.014708259253272992,0.023436237271698725,0.9130434782608695,0.014223371585582673,0.4680782285437207
10,E02000012,9888.0,0.03499190938511327,0.07311893203883495,0.040250809061488674,0.0684668284789644,0.02872168284789644,0.8584142394822006,0.57959142394822,0.11872977346278317,0.34476132686084143,0.06118527508090615,0.017192556634304208,0.01820388349514563,0.903418284789644,0.011529126213592233,0.4899878640776699
11,E02000013,8402.0,0.05284456081885265,0.08140918828850274,0.047012616043799096,0.08985955724827423,0.048321828136158054,0.828731254463223,0.5205903356343727,0.1379433468221852,0.3390859319209712,0.050345155915258274,0.01582956438943109,0.030111878124256128,0.9037134015710545,0.014877410140442752,0.4552487502975482
12,E02000014,9402.0,0.051584769198042967,0.08657732397362264,0.051584769198042967,0.09391618804509679,0.047543075941289085,0.8195064879812806,0.5296745373324825,0.13731121038077004,0.3410976388002553,0.044139544777706874,0.017655817911082748,0.02818549244841523,0.9100191448627951,0.01520952988725803,0.4547968517336737
13,E02000015,7563.0,0.04720349067830226,0.08092026973423244,0.05156683855612852,0.09136586010842258,0.04826127198201772,0.827713870157345,0.5385429062541319,0.1367182335052228,0.33624223191855085,0.04138569350786725,0.014544492926087532,0.023403411344704483,0.9206664022213408,0.01586671955573185,0.46396932434219224
14,E02000016,7676.0,0.028921313183949974,0.04494528400208442,0.033220427305888485,0.04194893173527879,0.02996352266805628,0.9131057842626368,0.638353309015112,0.08819697759249609,0.3492704533611256,0.03061490359562272,0.011855132881709224,0.012636789994788953,0.944893173527879,0.007556018759770714,0.5260552371026577
15,E02000017,8498.0,0.03918569075076488,0.07613556130854318,0.04754059778771476,0.06648623205460108,0.034125676629795244,0.8573782066368557,0.6132031066133208,0.11755707225229466,0.3429042127559426,0.050482466462697106,0.014238644386914568,0.020122381736879264,0.9151565074135091,0.013061896916921629,0.48729112732407626
16,E02000018,8890.0,0.045106861642294716,0.08042744656917886,0.04983127109111361,0.08425196850393701,0.046906636670416196,0.8353205849268841,0.531496062992126,0.12913385826771653,0.33104611923509564,0.043982002249718787,0.016647919010123736,0.027109111361079866,0.9122609673790776,0.01687289088863892,0.4778402699662542
17,E02000019,8276.0,0.04482841952634123,0.07938617689705171,0.047728371193813436,0.07986950217496375,0.04132431126147897,0.8407443209279846,0.5478492025132915,0.125060415659739,0.3291445142580957,0.042411793136781055,0.017883035282745288,0.02416626389560174,0.9155389076848719,0.011841469308844853,0.48912518124697923
18,E02000020,9276.0,0.04915912031047866,0.07977576541612764,0.04128934885726606,0.08861578266494179,0.043122035360069,0.8316084519189306,0.5457093574816732,0.13507977576541613,0.3385079775765416,0.04118154376886589,0.017680034497628287,0.024471755066839154,0.9166666666666666,0.018973695558430356,0.45827943078913325
19,E02000021,7904.0,0.04326923076923077,0.0750253036437247,0.04579959514170041,0.09159919028340081,0.046052631578947366,0.8333755060728745,0.5425101214574899,0.12968117408906882,0.3347672064777328,0.0423836032388664,0.01720647773279352,0.025050607287449393,0.9153593117408907,0.013663967611336033,0.4786184210526316
20,E02000022,8777.0,0.042611370627777145,0.0653981998404922,0.04671299988606585,0.06232197789677566,0.04181383160533212,0.8722798222627322,0.5340093425999772,0.10687022900763359,0.30967300900079753,0.032357297482055375,0.014013899965819756,0.015950780448900536,0.9376780221032244,0.010937678022103225,0.5299077133416885
21,E02000023,6482.0,0.046282011724776306,0.07883369330453564,0.05229867324899722,0.0668003702560938,0.0425794507867942,0.8543659364393705,0.5308546744831842,0.12280160444307313,0.31286639925948784,0.037025609379821044,0.014501697007096576,0.020518358531317494,0.9279543350817648,0.011570502931194077,0.5064794816414687
22,E02000024,10156.0,0.0278653012997243,0.08192201654194564,0.036727057896809766,0.06331232768806616,0.022351319417093344,0.8547656557699882,0.5831035840882237,0.1145135880267822,0.3253249310752265,0.07837731390311146,0.008467900748326113,0.016148089799133517,0.8970066955494289,0.009058684521465145,0.5232374950768018
23,E02000025,7956.0,0.036701860231272,0.08722976370035193,0.04612870789341378,0.06963298139768728,0.033056812468577175,0.8431372549019608,0.5976621417797888,0.11978381096028155,0.33710407239819007,0.07352941176470588,0.01282051282051282,0.017973856209150325,0.895676219205631,0.011814982403217697,0.49459527400703873
