,GEOGRAPHY_CODE,All usual residents,England,Ireland,Northern Ireland,Other EU,Other EU: Accession countries April 2001 to March 2011,Other EU: Member countries in March 2001,Other countries,Scotland,United Kingdom,United Kingdom not otherwise specified,Wales
0,E02000001,1,0.5810169491525424,0.01505084745762712,0.009220338983050847,0.10779661016949152,0.019389830508474575,0.08840677966101695,0.24393220338983052,0.02766101694915254,0.6332203389830509,0.0002711864406779661,0.01505084745762712
1,E02000002,1,0.7515867158671586,0.013431734317343173,0.0035424354243542436,0.0407380073800738,0.03158671586715867,0.00915129151291513,0.18435424354243543,0.004870848708487085,0.7614760147601476,0.0,0.0014760147601476014
2,E02000003,1,0.7042309606769537,0.012643106022896963,0.002190144350423096,0.05057242409158785,0.03643603782976605,0.014136386261821801,0.22070681931309108,0.005574912891986063,0.7160776505724241,9.955201592832254e-05,0.003982080637132902
3,E02000004,1,0.8451957295373665,0.010999676480103526,0.0021028793270786153,0.03105791006146878,0.019572953736654804,0.011484956324813975,0.10190876738919444,0.005338078291814947,0.8560336460692333,0.0,0.003396958912973148
4,E02000005,1,0.7410651716888578,0.012497080121466947,0.001985517402476057,0.05641205325858444,0.04192945573464144,0.014482597523943003,0.18068208362532118,0.003854239663629993,0.7504087829946274,0.000350385423966363,0.003153468815697267
5,E02000007,1,0.7470139915823001,0.010579001251279719,0.0026163121374132635,0.042998521214878856,0.030258218632692527,0.012740302582186327,0.18905699010351495,0.004436355363439882,0.7573654874303265,0.00022750540325332727,0.003071322943919918
6,E02000008,1,0.7556400726078313,0.006828593655458553,0.0013830063099662892,0.05903708185668597,0.04563920822888754,0.013397873627798427,0.17010977612585357,0.0040625810355259745,0.764024548362002,0.0004321894718644654,0.0025066989368138994
7,E02000009,1,0.7017272185824895,0.00631328171530673,0.0023823704586063135,0.0699225729600953,0.052054794520547946,0.01786777843954735,0.21310303752233473,0.0040500297796307325,0.7106611078022632,0.0,0.002501488981536629
8,E02000010,1,0.7497388276262333,0.008357515960533952,0.002669762042948346,0.06430644225188624,0.05095763203714451,0.013348810214741729,0.1688914683691236,0.0027858386535113177,0.7584445734184562,0.0006964596633778294,0.0025536854323853744
9,E02000011,1,0.737029254889284,0.010990787134313885,0.0009697753353806369,0.0651365766930661,0.049943429772102796,0.01519314692096331,0.17795377404234686,0.0038791013415225475,0.7459188621302731,0.00016162922256343946,0.0038791013415225475
10,E02000012,1,0.6678802588996764,0.006371359223300971,0.0018203883495145632,0.05805016181229773,0.0445995145631068,0.013450647249190938,0.25910194174757284,0.003539644012944984,0.6764765372168284,0.0005056634304207119,0.0027305825242718447
11,E02000013,1,0.744822661271126,0.007855272554153773,0.0013092120923589622,0.07355391573434897,0.05189240656986432,0.021661509164484647,0.16722208997857652,0.0030945013092120925,0.7513687217329207,0.00023803856224708403,0.0019043084979766722
12,E02000014,1,0.7376090193575835,0.008508827908955541,0.0014890448840672197,0.07275047862156987,0.05786002978089768,0.014890448840672197,0.17166560306317805,0.005530738140821102,0.7470750904062965,0.00042544139544777704,0.002020846628376941
13,E02000015,1,0.7192912865265106,0.009255586407510247,0.001322226629644321,0.056723522411741376,0.03675790030411213,0.019965622107629248,0.20560624090969193,0.005288906518577284,0.7284146502710565,0.0009255586407510248,0.0015866719555731853
14,E02000016,1,0.4072433559145388,0.006644085461177697,0.0006513809275664409,0.10435122459614382,0.07321521625846796,0.031136008337675873,0.47303282959874937,0.0036477331943720686,0.41597186034392913,0.0009119332985930171,0.0035174570088587808
15,E02000017,1,0.48470228289009176,0.005413038361967522,0.002000470698987997,0.09190397740644858,0.07236996940456578,0.019534008001882795,0.40762532360555426,0.0051776888679689334,0.4950576606260296,0.0003530242409978819,0.002824193927983055
16,E02000018,1,0.7074240719910011,0.005849268841394826,0.0012373453318335209,0.07952755905511812,0.06344206974128234,0.01608548931383577,0.19887514060742406,0.00483689538807649,0.715748031496063,0.0003374578177727784,0.0019122609673790777
17,E02000019,1,0.7144755920734654,0.0083373610439826,0.0008458192363460609,0.07261962300628323,0.05630739487675206,0.016312228129531176,0.19768003866602224,0.003141614306428226,0.7213629772837119,0.0001208313194780087,0.0027791203479942002
18,E02000020,1,0.596269943941354,0.006791720569210867,0.00129366106080207,0.0858128503665373,0.06522207848210436,0.020590771884432944,0.30347132384648556,0.004096593359206554,0.6039241052177663,0.00010780508840017249,0.0021561017680034496
19,E02000021,1,0.6570091093117408,0.01910425101214575,0.0012651821862348178,0.0833755060728745,0.0625,0.020875506072874493,0.23114878542510123,0.004681174089068826,0.6663714574898786,0.00012651821862348178,0.003289473684210526
20,E02000022,1,0.4974364817135696,0.0034180243819072575,0.001367209752762903,0.08670388515438077,0.05354904864988037,0.0331548365045004,0.40628916486270933,0.002734419505525806,0.5035889256010027,0.0010254073145721772,0.0010254073145721772
21,E02000023,1,0.6228016044430731,0.006633755013884603,0.0021598272138228943,0.06062943535945696,0.037488429497068806,0.023141005862388153,0.2986732489972231,0.005708114779389078,0.6340635606294354,0.000617093489663684,0.002776920703486578
22,E02000024,1,0.7579755809373769,0.01910200866482867,0.006006301693580149,0.0621307601417881,0.03190232374950768,0.030228436392280424,0.13115399763686492,0.012504923198109492,0.7876132335565184,0.00029539188656951555,0.010831035840882236
23,E02000025,1,0.741955756661639,0.014957264957264958,0.005279034690799397,0.06322272498743087,0.04084967320261438,0.02237305178481649,0.15510306686777275,0.011060834590246356,0.7667169431875315,0.0,0.008421317244846656
24,E02000026,1,0.731823221923016,0.012989070172659592,0.003168065895770632,0.08252811658482496,0.05670837953429431,0.02581973705053065,0.15175035640741327,0.011246633929985744,0.7527324568351021,0.0,0.006494535086329796
25,E02000027,1,0.7100437591164827,0.02125442800583455,0.003750781412794332,0.05605334444675974,0.03209001875390707,0.02396332569285268,0.19295686601375286,0.009793707022296311,0.7297353615336528,0.00020837674515524068,0.005938737236924359
