,GEOGRAPHY_CODE,"1. Higher managerial, administrative and professional occupations",1.1 Large employers and higher managerial and administrative occupations,1.2 Higher professional occupations,"2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,All categories: NS-SeC,L14.1 Never worked,L14.2 Long-term unemployed,L15 Full-time students
0,E02000001,0.3021025451862781,0.0416820361490225,0.2604205090372556,0.3153817779417189,0.10475839173736629,0.05016599040944301,0.016599040944300997,0.04942825525636296,0.02434526005164146,0.04537071191442272,1,0.03578015492438215,0.009590556990040576,0.09184802655846551
1,E02000002,0.03767993226079593,0.010584250635055038,0.027095681625740897,0.165961049957663,0.17612193056731584,0.04826418289585097,0.03132938187976291,0.2171888230313294,0.09187129551227773,0.13124470787468248,1,0.09949195596951736,0.03175275190516511,0.10033869602032176
2,E02000003,0.054816824966078696,0.01248303934871099,0.042333785617367704,0.20515603799185889,0.22388059701492538,0.050203527815468114,0.03554952510176391,0.16200814111261871,0.07082767978290366,0.10881953867028493,1,0.08439620081411126,0.024423337856173677,0.0887381275440977
3,E02000004,0.03917253521126761,0.010123239436619719,0.029049295774647887,0.20290492957746478,0.25880281690140844,0.032570422535211266,0.047975352112676055,0.17693661971830985,0.08274647887323944,0.07086267605633803,1,0.04841549295774648,0.02244718309859155,0.0880281690140845
4,E02000005,0.03374035989717224,0.010282776349614395,0.02345758354755784,0.17287917737789202,0.19890745501285348,0.042416452442159386,0.04402313624678663,0.20533419023136246,0.099293059125964,0.10829048843187661,1,0.08290488431876607,0.02538560411311054,0.09511568123393316
5,E02000007,0.03472668810289389,0.006430868167202572,0.02829581993569132,0.16688102893890674,0.1707395498392283,0.03504823151125402,0.038263665594855306,0.1987138263665595,0.10932475884244373,0.14019292604501607,1,0.10643086816720257,0.03376205787781351,0.10610932475884244
6,E02000008,0.028,0.007764705882352941,0.02023529411764706,0.16541176470588234,0.1983529411764706,0.04305882352941177,0.03741176470588235,0.20023529411764707,0.11270588235294117,0.12588235294117647,1,0.09552941176470588,0.03035294117647059,0.08894117647058823
7,E02000009,0.03626265926167919,0.008493956223456387,0.027768703038222802,0.17706631819666777,0.1715125775890232,0.04344985298921921,0.04279647174126103,0.20222149624305782,0.09800718719372754,0.1274093433518458,1,0.09735380594576935,0.030055537406076447,0.10127409343351845
8,E02000010,0.02945885366634646,0.0067243035542747355,0.022734550112071726,0.17259045789305155,0.1777137367915466,0.040345821325648415,0.044508485430675634,0.19756644252321487,0.11143131604226705,0.12968299711815562,1,0.10246557796990073,0.027217419148254884,0.09670188920909382
9,E02000011,0.04078826764436297,0.011915673693858845,0.028872593950504125,0.19019248395967003,0.23510540788267645,0.04537121906507791,0.04537121906507791,0.1681943171402383,0.08157653528872594,0.09028414298808432,1,0.07241063244729606,0.017873510540788267,0.10311640696608616
