,GEOGRAPHY_CODE,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations,All categories: Occupation
0,E02000001,0.1780071624183695,0.3989888350537181,0.23109332209816727,0.07057088687592164,0.02401516747419423,0.026964398567516326,0.02296187065515062,0.010954286918053507,0.03644406993890879,1
1,E02000002,0.06558704453441296,0.1360323886639676,0.09271255060728745,0.13076923076923078,0.12550607287449392,0.12226720647773279,0.10566801619433198,0.08825910931174089,0.1331983805668016,1
2,E02000003,0.08628318584070796,0.15398230088495576,0.11438053097345133,0.1579646017699115,0.11128318584070797,0.09690265486725663,0.09026548672566372,0.07654867256637168,0.11238938053097346,1
3,E02000004,0.07516684229012996,0.13558131366350545,0.12118018967334036,0.1650860554970144,0.13523006673691607,0.09483667017913593,0.08465050930804355,0.08991921320688444,0.09834913944502986,1
4,E02000005,0.06811836962590731,0.11585706309324399,0.07984366275823562,0.1440536013400335,0.13819095477386933,0.12116136236739251,0.09547738693467336,0.10078168620882189,0.13651591289782244,1
5,E02000007,0.05374396135265701,0.1473429951690821,0.07669082125603864,0.12107487922705314,0.11503623188405797,0.12983091787439613,0.09601449275362318,0.10295893719806763,0.15730676328502416,1
6,E02000008,0.06494936151475121,0.11404667547335975,0.09114927344782034,0.13232056362835756,0.12241303390576838,0.12703654777631,0.08564509026860415,0.10568031704095113,0.1567591369440775,1
7,E02000009,0.06051046745053054,0.13392601089761974,0.07829079437912245,0.12933753943217666,0.12618296529968454,0.10868941783768282,0.0986521365070261,0.09176942930886149,0.17264123888729566,1
8,E02000010,0.0566588785046729,0.12207943925233646,0.08060747663551401,0.12529205607476634,0.13434579439252337,0.12353971962616822,0.09258177570093458,0.0995911214953271,0.16530373831775702,1
9,E02000011,0.06977584960231381,0.1272595806218366,0.09689081706435286,0.15798987707881418,0.1334056399132321,0.10556760665220535,0.08496023138105567,0.08821402747650037,0.13593637020968907,1
10,E02000012,0.0974056603773585,0.1554245283018868,0.11674528301886793,0.14693396226415095,0.10165094339622642,0.08985849056603773,0.0938679245283019,0.09599056603773586,0.10212264150943397,1
11,E02000013,0.05958862673926195,0.11161524500907441,0.07773744706594071,0.13430127041742287,0.13127646702964307,0.11857229280096794,0.102843315184513,0.10193587416817906,0.16212946158499697,1
12,E02000014,0.05636411749139984,0.10452500661550675,0.081503043133104,0.11590367822175178,0.13469171738555175,0.13442709711563905,0.09446943635882508,0.1071712093146335,0.17094469436358825,1
13,E02000015,0.06625043357613597,0.11793270898369754,0.07284079084287201,0.1293791189732917,0.11897329171002428,0.13250086715227194,0.09781477627471384,0.10440513354144988,0.15990287894554284,1
14,E02000016,0.07358374384236453,0.19519704433497537,0.1022167487684729,0.09852216748768473,0.08897783251231527,0.09359605911330049,0.1062192118226601,0.0668103448275862,0.1748768472906404,1
15,E02000017,0.07522005868231528,0.16617764737263271,0.10189383835689517,0.10642838090157375,0.11336356361696452,0.08535609495865565,0.10989597225926914,0.08508935716190984,0.15657508668978395,1
16,E02000018,0.062280701754385964,0.11900584795321638,0.0871345029239766,0.13567251461988303,0.14415204678362573,0.11695906432748537,0.08859649122807017,0.0912280701754386,0.15497076023391812,1
17,E02000019,0.059114735002912054,0.13249854397204427,0.09405940594059406,0.12492719860221316,0.11560861968549796,0.10687245195107746,0.09813628421665696,0.11182294700058241,0.15695981362842168,1
18,E02000020,0.06648351648351648,0.13406593406593406,0.09395604395604396,0.12774725274725274,0.11950549450549451,0.10192307692307692,0.10137362637362637,0.09230769230769231,0.16263736263736264,1
19,E02000021,0.06666666666666667,0.1248868778280543,0.0832579185520362,0.134841628959276,0.13604826546003015,0.10829562594268477,0.09321266968325792,0.0971342383107089,0.15565610859728507,1
20,E02000022,0.05757071547420965,0.13643926788685523,0.08386023294509151,0.1048252911813644,0.09484193011647254,0.11314475873544093,0.0978369384359401,0.09217970049916806,0.21930116472545758,1
21,E02000023,0.05860349127182045,0.1259351620947631,0.08478802992518704,0.1172069825436409,0.10640066500415628,0.12926018287614296,0.10099750623441396,0.09725685785536159,0.17955112219451372,1
22,E02000024,0.14365599691477055,0.30485923640570767,0.1652526031623602,0.10971847281141535,0.07231006556112611,0.07211723871962977,0.0541843424604705,0.031237948322406478,0.04666409564211338,1
23,E02000025,0.11771964461994076,0.28208292201382035,0.15029615004935834,0.12586377097729518,0.07996051332675222,0.08588351431391905,0.06095755182625864,0.039486673247778874,0.057749259624876606,1
24,E02000026,0.13988095238095238,0.2490079365079365,0.1583994708994709,0.1359126984126984,0.0796957671957672,0.08498677248677249,0.05588624338624339,0.041005291005291,0.055224867724867725,1
25,E02000027,0.09692898272552783,0.19937619961612285,0.12979846449136276,0.12667946257197696,0.10652591170825336,0.10676583493282149,0.08973128598848369,0.0559021113243762,0.08829174664107485,1
26,E02000028,0.14182842830306824,0.2539135879774577,0.17564182842830306,0.14527238572323106,0.07795867251095805,0.06981840951784596,0.05353788353162179,0.029743268628678772,0.05228553537883532,1
27,E02000029,0.11323003575685339,0.22908224076281286,0.16209773539928488,0.133015494636472,0.10178784266984506,0.09272943980929678,0.0567342073897497,0.04815256257449344,0.0631704410011919,1
28,E02000030,0.20909528392685275,0.24061597690086622,0.14990375360923966,0.11934552454282965,0.07050048123195381,0.07507218479307026,0.05221366698748797,0.03344562078922041,0.049807507218479305,1
29,E02000031,0.14804229779937125,0.2829379822806516,0.17062017719348385,0.12432123463846813,0.06401829094026865,0.07487853672477851,0.05744498428122321,0.026864818519577022,0.050871677622177765,1
30,E02000032,0.14113009198423127,0.2533508541392904,0.14875164257555848,0.14034165571616294,0.08462549277266754,0.08173455978975033,0.05519053876478318,0.04204993429697766,0.05282522996057819,1
31,E02000033,0.11239547466797836,0.1955238563698967,0.14977865223807182,0.14608952287260207,0.10059026069847515,0.09370388588293163,0.07525823905558288,0.05017215937038859,0.0764879488440728,1
32,E02000034,0.14128352490421456,0.2377873563218391,0.1446360153256705,0.13553639846743296,0.09099616858237548,0.08477011494252873,0.06704980842911877,0.038314176245210725,0.05962643678160919,1
33,E02000035,0.14477946673311737,0.28532270122103165,0.17044605033640667,0.11338151009220035,0.06877647645153252,0.06927485671567406,0.06130077248940942,0.03089957637677548,0.05581858958385248,1
34,E02000036,0.12507601864990878,0.22237989053314414,0.1382525846340969,0.13541455503750252,0.09547942428542469,0.09568214068518142,0.06811271031826474,0.04743563754307723,0.07216703831339956,1
35,E02000037,0.14654188541428897,0.27733394202236933,0.13375941565852545,0.13581374115498746,0.05478201323898653,0.08468386213193335,0.06391234877881762,0.043825610591189224,0.05934718100890208,1
36,E02000038,0.13230595752678068,0.2381131366284533,0.16801353129111068,0.1157677128359331,0.0860740462319113,0.08043600826912234,0.06784439015222703,0.042849088517196016,0.06859612854726554,1
37,E02000039,0.18832731648616124,0.2851985559566787,0.16305655836341756,0.10499398315282792,0.060770156438026475,0.06768953068592058,0.04362214199759326,0.03279181708784597,0.05354993983152828,1
