,GEOGRAPHY_CODE,All usual residents aged 16 to 74 in employment the week before the census,Females: Full-time: 31 to 48 hours worked,Females: Full-time: 49 or more hours worked,Females: Part-time: 15 hours or less worked,Females: Part-time: 16 to 30 hours worked,Females: Total,Full-time: 31 to 48 hours worked,Full-time: 49 or more hours worked,Males: Full-time: 31 to 48 hours worked,Males: Full-time: 49 or more hours worked,Males: Part-time: 15 hours or less worked,Males: Part-time: 16 to 30 hours worked,Males: Total,Part-time: 15 hours or less worked,Part-time: 16 to 30 hours worked
0,E02000001,1,0.20160101116494628,0.11712660627764904,0.02591110174847272,0.04803033494838846,0.3926690541394565,0.47440488729724034,0.3827680640404466,0.27280387613229407,0.2656414577627976,0.028860332841794817,0.04002527912365705,0.6073309458605435,0.05477143459026754,0.0880556140720455
1,E02000002,1,0.2611336032388664,0.016194331983805668,0.05303643724696356,0.15587044534412955,0.4862348178137652,0.6230769230769231,0.08218623481781377,0.36194331983805667,0.0659919028340081,0.025910931174089068,0.05991902834008097,0.5137651821862348,0.07894736842105263,0.21578947368421053
2,E02000003,1,0.2595132743362832,0.02831858407079646,0.059734513274336286,0.12101769911504424,0.4685840707964602,0.6207964601769912,0.10995575221238937,0.36128318584070795,0.08163716814159291,0.026991150442477876,0.061504424778761065,0.5314159292035399,0.08672566371681416,0.18252212389380532
3,E02000004,1,0.26870389884088514,0.022128556375131718,0.06252195293291184,0.12539515279241306,0.47874956094134175,0.6399719002458728,0.1053740779768177,0.3712680014049877,0.08324552160168598,0.02599227256761503,0.040744643484369514,0.5212504390586582,0.08851422550052687,0.16613979627678258
4,E02000005,1,0.2585147962032384,0.022054718034617532,0.07035175879396985,0.1306532663316583,0.4815745393634841,0.6172529313232831,0.10106085985482971,0.35873813512004465,0.07900614182021218,0.026242322724734785,0.05443886097152429,0.518425460636516,0.09659408151870463,0.18509212730318259
5,E02000007,1,0.2702294685990338,0.019021739130434784,0.0625,0.14070048309178743,0.49245169082125606,0.6165458937198067,0.09269323671497584,0.34631642512077293,0.07367149758454106,0.029891304347826088,0.057669082125603864,0.5075483091787439,0.09239130434782608,0.1983695652173913
6,E02000008,1,0.26860413914575076,0.019374724790841038,0.06230735358872743,0.14376926464112727,0.4940554821664465,0.6217525319242624,0.09445178335535007,0.3531483927785117,0.07507705856450902,0.020695728753852928,0.05702333773667988,0.5059445178335535,0.08300308234258036,0.20079260237780713
7,E02000009,1,0.25322626899913964,0.022368798394034987,0.06079724691712073,0.13277889303125895,0.4691712073415543,0.6142816174361916,0.09807857757384571,0.3610553484370519,0.07570977917981073,0.03211930025810152,0.061944364783481504,0.5308287926584456,0.09291654717522226,0.19472325781474045
8,E02000010,1,0.2514602803738318,0.018107476635514017,0.06016355140186916,0.1530373831775701,0.48276869158878505,0.6141939252336449,0.09082943925233646,0.3627336448598131,0.07272196261682243,0.024240654205607476,0.057535046728971966,0.517231308411215,0.08440420560747663,0.21057242990654207
9,E02000011,1,0.2650036153289949,0.017715112075198842,0.054591467823571944,0.13304410701373826,0.470354302241504,0.6301518438177874,0.0918293564714389,0.36514822848879247,0.07411424439624006,0.033622559652928416,0.05676066522053507,0.529645697758496,0.08821402747650037,0.1898047722342733
10,E02000012,1,0.24528301886792453,0.02240566037735849,0.05636792452830189,0.1205188679245283,0.44457547169811323,0.6099056603773585,0.09858490566037736,0.36462264150943396,0.07617924528301886,0.037971698113207546,0.07665094339622641,0.5554245283018868,0.09433962264150944,0.19716981132075473
11,E02000013,1,0.25468844525105866,0.02117362371445856,0.060193587416817906,0.147005444646098,0.48306110102843314,0.6137326073805203,0.10042347247428918,0.3590441621294616,0.07924984875983061,0.0205686630369026,0.05807622504537205,0.5169388989715669,0.08076225045372051,0.20508166969147004
12,E02000014,1,0.2540354591161683,0.017729558084149246,0.061391902619740674,0.14527652818205875,0.47843344800211696,0.6110082032283672,0.09738025932786451,0.356972744112199,0.07965070124371527,0.029637470230219634,0.05530563641174914,0.521566551997883,0.09102937284996031,0.2005821645938079
13,E02000015,1,0.27228581338883107,0.019424210891432536,0.05757891085674644,0.13007284079084286,0.47936177592785295,0.63579604578564,0.09503988900450919,0.36351023239680885,0.07561567811307665,0.02428026361429067,0.05723204994797086,0.5206382240721471,0.08185917447103712,0.18730489073881373
14,E02000016,1,0.22444581280788178,0.022783251231527094,0.04125615763546798,0.11422413793103449,0.4027093596059113,0.6126847290640394,0.09082512315270935,0.38823891625615764,0.06804187192118226,0.046182266009852216,0.09482758620689655,0.5972906403940886,0.0874384236453202,0.20905172413793102
15,E02000017,1,0.20645505468124833,0.025606828487596694,0.047746065617498,0.10882902107228594,0.38863696985862894,0.5852227260602827,0.09335822886102961,0.3787676713790344,0.06775140037343291,0.053881034942651375,0.11096292344625233,0.611363030141371,0.10162710056014937,0.21979194451853828
16,E02000018,1,0.25292397660818716,0.017251461988304094,0.05935672514619883,0.1412280701754386,0.47076023391812866,0.6333333333333333,0.0871345029239766,0.3804093567251462,0.06988304093567252,0.022514619883040935,0.056432748538011696,0.5292397660818714,0.08187134502923976,0.1976608187134503
17,E02000019,1,0.2489807804309843,0.01892836342457775,0.06173558532323821,0.13832265579499126,0.4679673849737915,0.6260920209668026,0.08677926616191031,0.3771112405358183,0.06785090273733256,0.025917297612114153,0.061153174140943505,0.5320326150262085,0.08765288293535235,0.19947582993593477
18,E02000020,1,0.23901098901098902,0.01868131868131868,0.060164835164835166,0.12472527472527473,0.44258241758241756,0.6,0.09587912087912089,0.360989010989011,0.0771978021978022,0.03818681318681319,0.08104395604395605,0.5574175824175824,0.09835164835164835,0.20576923076923076
19,E02000021,1,0.26334841628959277,0.015082956259426848,0.05520361990950226,0.14479638009049775,0.47843137254901963,0.6256410256410256,0.09411764705882353,0.36229260935143287,0.07903469079939668,0.02473604826546003,0.055505279034690796,0.5215686274509804,0.07993966817496229,0.20030165912518855
20,E02000022,1,0.23394342762063228,0.016638935108153077,0.05424292845257903,0.13610648918469218,0.44093178036605657,0.5790349417637272,0.08785357737104825,0.34509151414309486,0.07121464226289517,0.04126455906821963,0.10149750415973377,0.5590682196339434,0.09550748752079867,0.23760399334442595
21,E02000023,1,0.23690773067331672,0.015793848711554447,0.05943474646716542,0.13092269326683292,0.44305901911886947,0.6039068994181214,0.0914380714879468,0.36699916874480465,0.07564422277639235,0.03906899418121363,0.07522859517871987,0.5569409808811305,0.09850374064837905,0.20615128844555278
22,E02000024,1,0.2294639413806402,0.045892788276128034,0.07134593135364442,0.12919398380254532,0.47589664481295796,0.5403008098727343,0.17817200154261473,0.3108368684920941,0.1322792132664867,0.03258773621288083,0.04839953721558041,0.524103355187042,0.10393366756652526,0.17759352101812573
23,E02000025,1,0.2640671273445212,0.04343534057255676,0.06934846989141165,0.11895360315893386,0.4958045409674235,0.5866238894373149,0.15276406712734453,0.32255676209279366,0.10932872655478776,0.027640671273445213,0.044669299111549855,0.5041954590325765,0.09698914116485687,0.1636229022704837
24,E02000026,1,0.23743386243386244,0.036375661375661374,0.07506613756613757,0.1302910052910053,0.4791666666666667,0.5588624338624338,0.15674603174603174,0.32142857142857145,0.12037037037037036,0.028108465608465607,0.05092592592592592,0.5208333333333334,0.10317460317460317,0.18121693121693122
25,E02000027,1,0.24904030710172745,0.032869481765834936,0.07557581573896353,0.1401151631477927,0.4976007677543186,0.5628598848368522,0.11948176583493282,0.31381957773512476,0.08661228406909789,0.0345489443378119,0.06741842610364683,0.5023992322456814,0.11012476007677544,0.20753358925143953
26,E02000028,1,0.2485911083281152,0.03757044458359424,0.06293049467752035,0.12304320601127114,0.47213525360050096,0.5701314965560426,0.15842204132748905,0.32154038822792735,0.1208515967438948,0.036318096430807766,0.04915466499686913,0.5278647463994991,0.09924859110832812,0.17219787100814027
27,E02000029,1,0.26078665077473184,0.03289630512514899,0.0629320619785459,0.12562574493444578,0.4822407628128725,0.5949940405244338,0.133015494636472,0.33420738974970204,0.10011918951132301,0.029082240762812874,0.05435041716328963,0.5177592371871276,0.09201430274135876,0.1799761620977354
28,E02000030,1,0.2071703561116458,0.042107795957651586,0.09456207892204042,0.1268046198267565,0.4706448508180943,0.503609239653513,0.19201154956689123,0.2964388835418672,0.14990375360923966,0.03248315688161694,0.05052935514918191,0.5293551491819056,0.12704523580365737,0.1773339749759384
29,E02000031,1,0.21691911974849956,0.04772792226350386,0.07402114889968563,0.11831951986281795,0.456987710774507,0.5372963703915404,0.1834809945698771,0.32037725064304085,0.13575307230637326,0.03515290082880823,0.05172906544727065,0.543012289225493,0.10917404972849386,0.1700485853100886
30,E02000032,1,0.22943495400788436,0.037844940867279894,0.06885676741130092,0.14060446780551905,0.4767411300919842,0.5624178712220762,0.14349540078843626,0.3329829172141919,0.10565045992115638,0.031274638633377136,0.05335085413929041,0.5232588699080157,0.10013140604467806,0.19395532194480947
31,E02000033,1,0.250122970978849,0.030496802754549926,0.0676340383669454,0.13280865715691098,0.48106246925725527,0.58780127889818,0.12395474667978357,0.337678307919331,0.09345794392523364,0.033202164289227745,0.05459911460895229,0.5189375307427447,0.10083620265617314,0.18740777176586326
32,E02000034,1,0.2492816091954023,0.0435823754789272,0.06058429118773946,0.14152298850574713,0.4949712643678161,0.5502873563218391,0.1539750957854406,0.3010057471264368,0.11039272030651341,0.033524904214559385,0.06010536398467433,0.5050287356321839,0.09410919540229885,0.20162835249042146
33,E02000035,1,0.24644904061799153,0.04585098430102168,0.061549962621480186,0.11587341141290805,0.4697233989534014,0.5614253675554448,0.16870171941191128,0.31497632693745325,0.1228507351108896,0.03339147769748318,0.05905806130077249,0.5302766010465986,0.09494144031896337,0.17493147271368054
34,E02000036,1,0.24913845530103385,0.03142104196229475,0.06345023312385972,0.13460368943847556,0.4786134198256639,0.5767281573079263,0.1317656598418812,0.32758970200689236,0.10034461787958646,0.03506993715791608,0.05838232312994121,0.5213865801743361,0.0985201702817758,0.1929860125684168
35,E02000037,1,0.21867153617895457,0.028304040173476375,0.0842273453549418,0.1412919424788861,0.47249486418625886,0.5229399680438256,0.15498744578863274,0.304268431864871,0.12668340561515637,0.03355398310887925,0.06299931522483451,0.5275051358137411,0.11778132846382104,0.2042912577037206
36,E02000038,1,0.23435444465326066,0.04190941552339786,0.06070287539936102,0.11952640481112572,0.4564931403871453,0.5741401992106747,0.15354256718661904,0.339785754557414,0.1116331516632212,0.03194888178913738,0.06013907160308213,0.5435068596128547,0.0926517571884984,0.17966547641420785
37,E02000039,1,0.21871239470517448,0.04512635379061372,0.0842358604091456,0.11883273164861613,0.46690734055354993,0.5174488567990373,0.19193742478941034,0.29873646209386284,0.14681107099879662,0.027677496991576414,0.0598676293622142,0.53309265944645,0.11191335740072202,0.17870036101083034
