,GEOGRAPHY_CODE,Africa,All usual residents,Antarctica and Oceania,British Overseas Territories,Central America,Middle East and Asia,No passport,North America and the Caribbean,Other Europe: EU countries,Other Europe: Non EU countries,Republic of Ireland,South America,United Kingdom
0,E02000001,0.011932203389830509,7375.0,0.03728813559322034,0.00013559322033898305,0.0008135593220338983,0.04935593220338983,0.03213559322033898,0.04352542372881356,0.11430508474576272,0.015864406779661017,0.02345762711864407,0.00935593220338983,0.7250169491525423
1,E02000002,0.04029520295202952,6775.0,0.0016236162361623616,0.0,0.00014760147601476016,0.023173431734317344,0.18435424354243543,0.006051660516605166,0.05018450184501845,0.004280442804428044,0.01107011070110701,0.0014760147601476014,0.6890036900369003
2,E02000003,0.04021901443504231,10045.0,0.002190144350423096,9.955201592832254e-05,0.0004977600796416127,0.044001991040318565,0.1174713787954206,0.006968641114982578,0.05774016923842708,0.0036834245893479344,0.012344449975111997,0.000895968143354903,0.7297162767546043
3,E02000004,0.02879327078615335,6182.0,0.00048527984471044967,0.0,0.0,0.014720155289550308,0.14364283403429312,0.0046910384988676805,0.032837269492073766,0.0027499191200258816,0.009220317049498545,0.0006470397929472663,0.7720802329343255
4,E02000005,0.04917075449661294,8562.0,0.000467180565288484,0.0,0.0,0.030833917309039945,0.16433076384022424,0.005606166783461808,0.0644709180098108,0.003620649380985751,0.010044382153702406,0.001518336837187573,0.6840691427236627
5,E02000007,0.07302923444431805,8791.0,0.0011375270162666364,0.0,0.0,0.014446593106586282,0.2164713911955409,0.007735183710613127,0.05642134000682516,0.003981344556933227,0.008417699920373108,0.0018200432260266181,0.636105107496303
6,E02000008,0.05480162503241421,11569.0,0.0003457515774915723,0.0,8.643789437289307e-05,0.02221453885383352,0.20252398651568848,0.005704901028610943,0.07139770075200969,0.003716829458034402,0.0058777768173567295,0.0015558820987120754,0.648284207796698
7,E02000009,0.05955926146515783,8395.0,0.001072066706372841,0.0,0.00011911852293031566,0.04752829064919595,0.1679571173317451,0.006194163192376414,0.08314472900536034,0.004288266825491364,0.007504466944609886,0.0015485407980941036,0.647170935080405
8,E02000010,0.06778874056877539,8615.0,0.00011607661056297156,0.0,0.0,0.024260011607661055,0.19315147997678467,0.0035983749274521182,0.0751015670342426,0.004062681369704005,0.007893209518282067,0.0011607661056297156,0.6430644225188624
9,E02000011,0.059317924680782286,6187.0,0.0008081461128171974,0.0,0.0,0.02472927105220624,0.14966866009374494,0.0032325844512687894,0.07160174559560369,0.0037174721189591076,0.00921286568611605,0.0017779214481978341,0.6967835784709876
10,E02000012,0.02578883495145631,9888.0,0.0006067961165048543,0.0001011326860841424,0.0002022653721682848,0.059870550161812294,0.07938915857605178,0.003236245954692557,0.06573624595469256,0.0016181229773462784,0.007281553398058253,0.001516990291262136,0.7671925566343042
11,E02000013,0.05939062128064747,8402.0,0.0014282313734825041,0.0,0.00035705784337062603,0.019876219947631515,0.1966198524160914,0.004879790526065223,0.0937871935253511,0.004522732682694597,0.005593906212806475,0.0013092120923589622,0.6327064984527494
12,E02000014,0.0658370559455435,9402.0,0.00042544139544777704,0.0,0.0,0.025526483726866625,0.20431823016379494,0.004998936396511381,0.08966177409061901,0.0029780897681344395,0.006913422676026377,0.00042544139544777704,0.614550095724314
13,E02000015,0.0852836176120587,7563.0,0.0006611133148221605,0.0,0.0,0.01930450879280709,0.2013751156948301,0.0031733439111463705,0.07470580457490414,0.002644453259288642,0.007404469126008198,0.001057781303715457,0.6258098638106572
14,E02000016,0.08572173006774361,7676.0,0.001563314226159458,0.00013027618551328816,0.00013027618551328816,0.18903074517978113,0.08689421573736321,0.010031266284523188,0.1275403856175091,0.00924960917144346,0.005862428348097967,0.0036477331943720686,0.5002605523710266
15,E02000017,0.038008943280771944,8498.0,0.0032948929159802307,0.0,0.0,0.16074370440103553,0.06754530477759473,0.005295363614968228,0.10602494704636385,0.004824664626971052,0.006001412096963992,0.0015297717109908214,0.6316780418922099
16,E02000018,0.05916760404949381,8890.0,0.0003374578177727784,0.0,0.0,0.03340832395950506,0.19077615298087738,0.005399325084364455,0.09662542182227221,0.003374578177727784,0.004724409448818898,0.0022497187851518562,0.618785151856018
17,E02000019,0.06561140647655872,8276.0,0.0010874818753020784,0.0,0.0001208313194780087,0.02597873368777187,0.17266795553407444,0.005799903334944417,0.08736104398260029,0.005195746737554374,0.006887385210246496,0.0009666505558240696,0.6481391976800387
18,E02000020,0.057783527382492456,9276.0,0.0014014661492022424,0.0,0.0,0.06845623113410954,0.13109098749460973,0.0048512289780077615,0.10478654592496765,0.005498059508408797,0.00603708495040966,0.0029107373868046574,0.6359422164726175
19,E02000021,0.09501518218623482,7904.0,0.0013917004048582995,0.0,0.00012651821862348178,0.016067813765182185,0.1716852226720648,0.006452429149797571,0.09615384615384616,0.0026568825910931173,0.01568825910931174,0.0013917004048582995,0.6115890688259109
20,E02000022,0.09559074854733964,8777.0,0.000911473168508602,0.0,0.0002278682921271505,0.06471459496411075,0.12190953628802552,0.006152443887433063,0.11666856556910106,0.009912270707531047,0.0037598268200979834,0.001367209752762903,0.6002050814629144
21,E02000023,0.10305461277383524,6482.0,0.000617093489663684,0.0,0.0,0.02452946621413144,0.16291268127121258,0.004165381055229868,0.08716445541499537,0.005091021289725393,0.005553841406973156,0.0015427337241592102,0.6261956186362234
22,E02000024,0.009649468294604176,10156.0,0.005710909807010634,0.0,0.00019692792437967703,0.029243796770382042,0.06124458448207956,0.008960220559275305,0.05799527372981489,0.007877116975187082,0.023532886963371406,0.0015754233950374162,0.8215833005120126
23,E02000025,0.014203117144293615,7956.0,0.006158873805932629,0.0,0.00025138260432378077,0.033559577677224735,0.07692307692307693,0.00904977375565611,0.06083459024635495,0.00930115635997989,0.021618903971845148,0.0028908999497234793,0.7939919557566616
24,E02000026,0.010771424045620148,6313.0,0.004752098843655948,0.0,0.0001584032947885316,0.022493267859971487,0.05955963884048788,0.006494535086329796,0.05940123554569935,0.008236971329003643,0.01758276572152701,0.0041184856645018215,0.8376366228417551
25,E02000027,0.026880600125026046,9598.0,0.0019795790789747863,0.0,0.000312565117732861,0.03302771410710565,0.09720775161491978,0.005834548864346739,0.054803083975828296,0.006772244217545322,0.023234007084809334,0.0032298395499062303,0.7748489268597625
26,E02000028,0.017515407071034706,6166.0,0.006162828413882582,0.0,0.0003243593902043464,0.03519299383717159,0.057898151151475834,0.009568602011028219,0.0660071359065845,0.005676289328576062,0.02513785274083685,0.0012974375608173856,0.8050600064871878
27,E02000029,0.01655512504402959,8517.0,0.003639779264999413,0.00011741223435481978,0.00023482446870963955,0.02618292826112481,0.08007514382998708,0.005635787249031349,0.05541857461547493,0.006692497358224727,0.022660561230480217,0.0017611835153222965,0.8041563930961606
28,E02000030,0.011610076670317633,9130.0,0.004928806133625411,0.0,0.0002190580503833516,0.03964950711938664,0.055312157721796276,0.008543263964950712,0.04085432639649507,0.008214676889375685,0.015553121577217962,0.0016429353778751369,0.8460021905805039
29,E02000031,0.020290649849191118,7294.0,0.006580751302440362,0.0,0.0,0.06375102824239101,0.04784754592816013,0.011790512750205649,0.07677543186180422,0.005758157389635317,0.02783109404990403,0.005072662462297779,0.7752947628187551
30,E02000032,0.011327478681430572,7857.0,0.0035637011582028764,0.0,0.0005091001654575538,0.02621865852106402,0.03767341224385898,0.006872852233676976,0.0683466972126766,0.011582028764159348,0.01960035637011582,0.0019091256204658267,0.8487972508591065
31,E02000033,0.019913318495958766,8537.0,0.0032798406934520324,0.0,0.0,0.03373550427550662,0.07449923860841044,0.004451212369684901,0.07332786693217758,0.011245168091835539,0.02506735387138339,0.002694154855335598,0.7803678107063371
32,E02000034,0.01763046544428773,8508.0,0.004936530324400564,0.0,0.0,0.04231311706629055,0.05853314527503526,0.00763986835919135,0.09614480488951575,0.007522331922896097,0.032910202162670425,0.0030559473436765397,0.7598730606488011
33,E02000035,0.02310106716886378,7965.0,0.004394224733207784,0.00012554927809165097,0.0003766478342749529,0.10144381669805398,0.051349654739485245,0.014940364092906467,0.08826114249843063,0.014563716258631513,0.02435655994978029,0.005273069679849341,0.7128688010043942
34,E02000036,0.03574420552918179,10743.0,0.0031648515312296377,0.0,0.0,0.048496695522665924,0.06553104347016663,0.008749883645164293,0.08405473331471656,0.005864283719631388,0.014707251233361258,0.004002606348319836,0.7742716187284744
35,E02000037,0.03285083666974643,9741.0,0.0013345652397084489,0.0,0.0001026588645929576,0.04568319474386613,0.05143209116107176,0.011189816240632379,0.06036341238065907,0.00554357868801971,0.008418026896622523,0.004003695719125347,0.8265065188379016
36,E02000038,0.017215141715807496,10514.0,0.006372455773254708,0.0,0.00028533384059349436,0.03842495719992391,0.055640098915731406,0.011413353623739776,0.0985352862849534,0.010842685942552787,0.025014266692029673,0.004375118889100247,0.7668822522351151
37,E02000039,0.02936329588014981,6675.0,0.003146067415730337,0.0,0.000299625468164794,0.05543071161048689,0.03520599250936329,0.011235955056179775,0.07310861423220974,0.009737827715355805,0.020374531835205992,0.002097378277153558,0.8083895131086142
38,E02000040,0.02653883562595526,7197.0,0.004446297068222871,0.0,0.00027789356676392944,0.059052382937335,0.0685007642073086,0.0059747116854244825,0.07419758232596915,0.013199944421286648,0.018063081839655413,0.0047241906349868,0.7687925524524107
39,E02000041,0.03359437067302236,8811.0,0.003745318352059925,0.0,0.00011349449551696743,0.07717625695153785,0.057541709227102486,0.00930654863239133,0.11610486891385768,0.00397230734309386,0.020655998184088073,0.004426285325161729,0.7151288162524118
40,E02000042,0.02274649873108375,10639.0,0.008365447880439891,0.0,0.00028198138922831093,0.08797819343923301,0.053294482564150765,0.011843218347589059,0.124541780242504,0.010433311401447504,0.024156405677225302,0.007707491305573832,0.686812670363756
41,E02000043,0.013513513513513514,7696.0,0.007406444906444907,0.0,0.00038981288981288983,0.13253638253638253,0.028196465696465698,0.014423076923076924,0.08913721413721414,0.009225571725571726,0.02130977130977131,0.004417879417879418,0.7290800415800416
42,E02000044,0.03692231445917482,8071.0,0.003097509602279767,0.0,0.0,0.056746375913765336,0.09639449882294635,0.008425226118200966,0.10828893569570065,0.005947218436377153,0.02552347912278528,0.006318919588650725,0.6928509478379383
43,E02000045,0.025300380970987593,10237.0,0.006349516459900361,9.768486861385171e-05,0.0005861092116831103,0.03760867441633291,0.08078538634365537,0.006447201328514213,0.10979779232196933,0.010452280941682133,0.02578880531405685,0.007033310540197324,0.7245286705089382
44,E02000046,0.01854735947897494,7063.0,0.014441455472178961,0.0,0.00014158289678606824,0.10193968568596913,0.040492708480815515,0.016565198923969984,0.13705224408891406,0.011892963330029732,0.026334418802208694,0.006229647458587003,0.6774741611213365
45,E02000047,0.03965532401301328,11373.0,0.001670623406313198,0.0002637826431020839,0.0,0.09267563527653214,0.08986195375010991,0.005099797766640288,0.1394530906533017,0.00589114569594654,0.028400597907324365,0.00457223248043612,0.618482370526686
46,E02000048,0.027197718243862686,9817.0,0.00438015687073444,0.0,0.0005093205663644698,0.07466639502903127,0.03504125496587552,0.011714373026382806,0.09279820719160639,0.011205052460018336,0.01599266578384435,0.004787613323826016,0.7770194560456352
47,E02000049,0.06538868634599553,8503.0,0.0008232388568740445,0.00011760555098200635,0.0,0.048806303657532635,0.09643655180524521,0.006821121956956369,0.11925202869575444,0.006233094202046337,0.014112666117840763,0.005997883100082324,0.6732917793719864
48,E02000050,0.022456279809220984,10064.0,0.008247217806041336,9.936406995230525e-05,0.0002980922098569157,0.04431637519872814,0.062400635930047695,0.011228139904610492,0.10214626391096979,0.010930047694753578,0.026728934817170112,0.003676470588235294,0.7478139904610492
49,E02000051,0.03400023129409044,8647.0,0.007979646120041633,0.0,0.00034694113565398406,0.10327281137966925,0.02694576153579276,0.01919740950618712,0.09887822366138545,0.012258586793107436,0.012142939747889442,0.006360587486989707,0.739678501214294
50,E02000052,0.01866364198803877,9698.0,0.014848422355124768,0.0,0.00010311404413281089,0.04650443390389771,0.04722623221282739,0.020107238605898123,0.10332027222107651,0.00938337801608579,0.028356362136522994,0.010723860589812333,0.7513920395957929
51,E02000053,0.0525468552374382,8697.0,0.0029895366218236174,0.00034494653328734045,0.0,0.11038289065194895,0.04806255030470277,0.0075888237323214905,0.15902035184546395,0.010003449465332874,0.027595722662987238,0.004484304932735426,0.6105553639185927
52,E02000054,0.04621149042464613,7206.0,0.005967249514293644,0.0,0.00013877324451845685,0.12101026922009436,0.03510963086316958,0.01013044684984735,0.15445462114904246,0.010269220094365806,0.013044684984734944,0.005550929780738274,0.6514016097696365
53,E02000055,0.037825696316262356,11130.0,0.00646900269541779,0.0004492362982929021,8.984725965858041e-05,0.12318059299191375,0.04195867026055705,0.012398921832884097,0.1673854447439353,0.011680143755615454,0.0174303683737646,0.003234501347708895,0.6249775381850854
54,E02000056,0.02540165002171081,9212.0,0.013352149370386453,0.00010855405992184108,0.0006513243595310464,0.0790273556231003,0.02019105514546244,0.026595744680851064,0.07837603126356926,0.011615284411636995,0.011615284411636995,0.003799392097264438,0.8062310030395137
55,E02000057,0.023249599144842332,7484.0,0.0062800641368252275,0.0,0.0,0.09941207910208445,0.03834847675040085,0.029128808123997863,0.1551309460181721,0.010021378941742383,0.008685195082843399,0.006146445750935329,0.6863976483164084
56,E02000058,0.02818003913894325,10220.0,0.011056751467710372,9.784735812133073e-05,0.0004892367906066536,0.0812133072407045,0.027886497064579255,0.02710371819960861,0.12749510763209393,0.015851272015655577,0.011154598825831703,0.005675146771037182,0.7351272015655578
57,E02000059,0.0317429964623769,10459.0,0.0026771201835739554,0.0,9.561143512764126e-05,0.11138732192370207,0.05832297542786117,0.006214743283296682,0.15259585046371546,0.00831819485610479,0.028396596232909455,0.004398126015871498,0.6265417343914332
58,E02000060,0.0260989010989011,10920.0,0.009615384615384616,9.157509157509158e-05,0.0003663003663003663,0.08315018315018315,0.03406593406593406,0.02783882783882784,0.13727106227106228,0.016025641025641024,0.00805860805860806,0.005128205128205128,0.7122710622710623
59,E02000061,0.028952951453887432,8013.0,0.017970797454137027,0.0,0.0006239860227130913,0.12567078497441658,0.03194808436291027,0.04205665793086235,0.14875826781480095,0.016223636590540373,0.01135654561337826,0.010982153999750405,0.6476974915761887
60,E02000062,0.03596214511041009,6340.0,0.007728706624605678,0.0003154574132492114,0.0003154574132492114,0.07287066246056782,0.0750788643533123,0.010725552050473186,0.15788643533123028,0.01277602523659306,0.03028391167192429,0.007886435331230283,0.625236593059937
61,E02000063,0.03328073447138144,6971.0,0.0054511547841055805,0.0,0.00028690288337397793,0.07344713814373835,0.04949074738201119,0.01104576100989815,0.22005451154784106,0.011619566776646105,0.027112322478840913,0.007746377851097404,0.610672787261512
62,E02000064,0.03185019206145967,6248.0,0.011843790012804098,0.00016005121638924455,0.00048015364916773366,0.0793854033290653,0.06049935979513444,0.013924455825864277,0.14788732394366197,0.014564660691421255,0.02384763124199744,0.008802816901408451,0.6586107554417413
63,E02000065,0.17205843986433603,7666.0,0.0016957996347508478,0.0,0.00013044612575006522,0.018392903730759195,0.12483694234281242,0.008348552048004174,0.07878945995303939,0.004696060527002348,0.0074354291677537175,0.0026089225150013043,0.6261414036003131
64,E02000066,0.11865989005289908,9641.0,0.0005186184005808527,0.00010372368011617052,0.00010372368011617052,0.019085157141375375,0.1544445596929779,0.004356394564879162,0.0664868789544653,0.0022819209625557515,0.007675552328596618,0.0016595788818587283,0.6513847111295509
65,E02000067,0.06457142857142857,8750.0,0.002285714285714286,0.0,0.0,0.023542857142857143,0.15325714285714287,0.004228571428571429,0.05142857142857143,0.0048,0.008914285714285715,0.0013714285714285714,0.7035428571428571
