,GEOGRAPHY_CODE,All categories: Living arrangements,Living in a couple,Living in a couple: Cohabiting,Living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple,Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Not living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership),Not living in a couple: Single (never married or never registered a same-sex civil partnership),Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
0,E02000001,6595.0,0.4318423047763457,0.13555724033358604,0.29628506444275965,0.5681576952236543,0.06520090978013647,0.056254738438210765,0.02137983320697498,0.38468536770280515,0.04063684609552692
1,E02000002,4973.0,0.4725517796098934,0.10215161874120249,0.37040016086869093,0.5274482203901065,0.0864669213754273,0.019706414639050873,0.03136939473155037,0.30705811381459885,0.0828473758294792
2,E02000003,7786.0,0.5178525558695094,0.08605188800410994,0.43180066786539945,0.4821474441304906,0.06871307474955048,0.0279989725147701,0.02594400205497046,0.29437451836629847,0.0651168764449011
3,E02000004,4741.0,0.5551571398439148,0.09660409196372073,0.4585530478801941,0.4448428601560852,0.05969204809112002,0.016452225268930604,0.02109259649862898,0.27673486606201225,0.07087112423539338
4,E02000005,6362.0,0.5139893115372525,0.10657026092423766,0.40741905061301475,0.4860106884627476,0.066174159069475,0.022791574976422507,0.03190820496699151,0.30053442313737816,0.06460232631248035
5,E02000007,6284.0,0.45401018459579884,0.11441756842775302,0.3395926161680458,0.5459898154042011,0.07861234882240611,0.017504774029280714,0.03421387651177594,0.3392743475493316,0.07638446849140675
6,E02000008,8622.0,0.48538622129436326,0.10728369287868245,0.3781025284156808,0.5146137787056367,0.07852006495012757,0.020528879610299235,0.033170958014381816,0.30920900023196474,0.07318487589886337
7,E02000009,6314.0,0.4656319290465632,0.11086474501108648,0.35476718403547675,0.5343680709534369,0.07855559075071271,0.028191320874247704,0.035159961989230284,0.33813747228381374,0.05432372505543237
8,E02000010,6280.0,0.482484076433121,0.11273885350318472,0.3697452229299363,0.517515923566879,0.07961783439490445,0.02372611464968153,0.0339171974522293,0.3157643312101911,0.06449044585987261
9,E02000011,4699.0,0.5324537135560757,0.09917003617791019,0.4332836773781656,0.46754628644392426,0.06469461587571823,0.021706746116194935,0.02830389444562673,0.29772291977016385,0.05511811023622047
10,E02000012,7575.0,0.5378217821782179,0.060462046204620465,0.4773597359735974,0.4621782178217822,0.04303630363036304,0.029174917491749174,0.01966996699669967,0.3091749174917492,0.06112211221122112
11,E02000013,6047.0,0.49363320654870185,0.11394079708946585,0.379692409459236,0.5063667934512982,0.07144038366131966,0.024474946254340997,0.035058706796758723,0.30858276831486686,0.06680998842401191
12,E02000014,6867.0,0.5006553079947575,0.11358671909130624,0.3870685889034513,0.49934469200524245,0.07747196738022426,0.023445463812436288,0.03422163972622688,0.30333478957332166,0.060870831513033345
13,E02000015,5571.0,0.4340333871836295,0.10805959432776881,0.3259737928558607,0.5659666128163705,0.09405851732184527,0.02136061748339616,0.03877221324717286,0.3541554478549632,0.057619816908992996
14,E02000016,5615.0,0.4705253784505788,0.10133570792520036,0.36918967052537843,0.5294746215494212,0.053428317008014245,0.05574354407836153,0.0390026714158504,0.35814781834372217,0.02315227070347284
