,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_TTWDIST_11_NAME,OBS_VALUE
69,2021,E02005342,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3597
70,2021,E02005342,2021 super output areas - middle layer,152,Less than 2km,145
71,2021,E02005342,2021 super output areas - middle layer,152,2km to less than 5km,351
72,2021,E02005342,2021 super output areas - middle layer,152,5km to less than 10km,583
73,2021,E02005342,2021 super output areas - middle layer,152,10km to less than 20km,599
74,2021,E02005342,2021 super output areas - middle layer,152,20km to less than 30km,130
75,2021,E02005342,2021 super output areas - middle layer,152,30km to less than 40km,49
76,2021,E02005342,2021 super output areas - middle layer,152,40km to less than 60km,54
77,2021,E02005342,2021 super output areas - middle layer,152,60km and over,49
78,2021,E02005342,2021 super output areas - middle layer,152,Works mainly from home,1042
79,2021,E02005342,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",595
80,2021,E02005343,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3876
81,2021,E02005343,2021 super output areas - middle layer,152,Less than 2km,163
82,2021,E02005343,2021 super output areas - middle layer,152,2km to less than 5km,358
83,2021,E02005343,2021 super output areas - middle layer,152,5km to less than 10km,791
84,2021,E02005343,2021 super output areas - middle layer,152,10km to less than 20km,479
85,2021,E02005343,2021 super output areas - middle layer,152,20km to less than 30km,125
86,2021,E02005343,2021 super output areas - middle layer,152,30km to less than 40km,62
87,2021,E02005343,2021 super output areas - middle layer,152,40km to less than 60km,50
88,2021,E02005343,2021 super output areas - middle layer,152,60km and over,42
89,2021,E02005343,2021 super output areas - middle layer,152,Works mainly from home,1194
90,2021,E02005343,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",612
91,2021,E02005344,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4640
92,2021,E02005344,2021 super output areas - middle layer,152,Less than 2km,167
93,2021,E02005344,2021 super output areas - middle layer,152,2km to less than 5km,149
94,2021,E02005344,2021 super output areas - middle layer,152,5km to less than 10km,795
95,2021,E02005344,2021 super output areas - middle layer,152,10km to less than 20km,902
96,2021,E02005344,2021 super output areas - middle layer,152,20km to less than 30km,173
97,2021,E02005344,2021 super output areas - middle layer,152,30km to less than 40km,74
98,2021,E02005344,2021 super output areas - middle layer,152,40km to less than 60km,93
99,2021,E02005344,2021 super output areas - middle layer,152,60km and over,49
100,2021,E02005344,2021 super output areas - middle layer,152,Works mainly from home,1534
101,2021,E02005344,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",704
102,2021,E02006820,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,5124
