,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_CARS_5_NAME,OBS_VALUE
85,2021,E02000974,2021 super output areas - middle layer,152,Total: All households,3981
86,2021,E02000974,2021 super output areas - middle layer,152,No cars or vans in household,2709
87,2021,E02000974,2021 super output areas - middle layer,152,1 car or van in household,992
88,2021,E02000974,2021 super output areas - middle layer,152,2 cars or vans in household,200
89,2021,E02000974,2021 super output areas - middle layer,152,3 or more cars or vans in household,80
90,2021,E02000975,2021 super output areas - middle layer,152,Total: All households,3803
91,2021,E02000975,2021 super output areas - middle layer,152,No cars or vans in household,2751
92,2021,E02000975,2021 super output areas - middle layer,152,1 car or van in household,907
93,2021,E02000975,2021 super output areas - middle layer,152,2 cars or vans in household,124
94,2021,E02000975,2021 super output areas - middle layer,152,3 or more cars or vans in household,21
95,2021,E02000976,2021 super output areas - middle layer,152,Total: All households,4212
96,2021,E02000976,2021 super output areas - middle layer,152,No cars or vans in household,3073
97,2021,E02000976,2021 super output areas - middle layer,152,1 car or van in household,971
98,2021,E02000976,2021 super output areas - middle layer,152,2 cars or vans in household,135
99,2021,E02000976,2021 super output areas - middle layer,152,3 or more cars or vans in household,33
100,2021,E02000977,2021 super output areas - middle layer,152,Total: All households,3434
101,2021,E02000977,2021 super output areas - middle layer,152,No cars or vans in household,2607
102,2021,E02000977,2021 super output areas - middle layer,152,1 car or van in household,647
103,2021,E02000977,2021 super output areas - middle layer,152,2 cars or vans in household,133
104,2021,E02000977,2021 super output areas - middle layer,152,3 or more cars or vans in household,47
105,2021,E02000978,2021 super output areas - middle layer,152,Total: All households,2764
106,2021,E02000978,2021 super output areas - middle layer,152,No cars or vans in household,1285
107,2021,E02000978,2021 super output areas - middle layer,152,1 car or van in household,1063
108,2021,E02000978,2021 super output areas - middle layer,152,2 cars or vans in household,295
109,2021,E02000978,2021 super output areas - middle layer,152,3 or more cars or vans in household,121
110,2021,E02000979,2021 super output areas - middle layer,152,Total: All households,3927
111,2021,E02000979,2021 super output areas - middle layer,152,No cars or vans in household,2725
112,2021,E02000979,2021 super output areas - middle layer,152,1 car or van in household,980
113,2021,E02000979,2021 super output areas - middle layer,152,2 cars or vans in household,188
114,2021,E02000979,2021 super output areas - middle layer,152,3 or more cars or vans in household,34
115,2021,E02000980,2021 super output areas - middle layer,152,Total: All households,4324
116,2021,E02000980,2021 super output areas - middle layer,152,No cars or vans in household,3051
117,2021,E02000980,2021 super output areas - middle layer,152,1 car or van in household,1096
118,2021,E02000980,2021 super output areas - middle layer,152,2 cars or vans in household,159
119,2021,E02000980,2021 super output areas - middle layer,152,3 or more cars or vans in household,18
120,2021,E02000981,2021 super output areas - middle layer,152,Total: All households,4155
121,2021,E02000981,2021 super output areas - middle layer,152,No cars or vans in household,2720
122,2021,E02000981,2021 super output areas - middle layer,152,1 car or van in household,1188
123,2021,E02000981,2021 super output areas - middle layer,152,2 cars or vans in household,213
124,2021,E02000981,2021 super output areas - middle layer,152,3 or more cars or vans in household,34
125,2021,E02000982,2021 super output areas - middle layer,152,Total: All households,3847
126,2021,E02000982,2021 super output areas - middle layer,152,No cars or vans in household,2667
127,2021,E02000982,2021 super output areas - middle layer,152,1 car or van in household,961
128,2021,E02000982,2021 super output areas - middle layer,152,2 cars or vans in household,183
129,2021,E02000982,2021 super output areas - middle layer,152,3 or more cars or vans in household,36
130,2021,E02000983,2021 super output areas - middle layer,152,Total: All households,3757
131,2021,E02000983,2021 super output areas - middle layer,152,No cars or vans in household,2547
132,2021,E02000983,2021 super output areas - middle layer,152,1 car or van in household,1066
133,2021,E02000983,2021 super output areas - middle layer,152,2 cars or vans in household,120
134,2021,E02000983,2021 super output areas - middle layer,152,3 or more cars or vans in household,24
135,2021,E02003314,2021 super output areas - middle layer,152,Total: All households,2862
136,2021,E02003314,2021 super output areas - middle layer,152,No cars or vans in household,353
137,2021,E02003314,2021 super output areas - middle layer,152,1 car or van in household,1135
138,2021,E02003314,2021 super output areas - middle layer,152,2 cars or vans in household,917
139,2021,E02003314,2021 super output areas - middle layer,152,3 or more cars or vans in household,457
140,2021,E02003315,2021 super output areas - middle layer,152,Total: All households,2227
141,2021,E02003315,2021 super output areas - middle layer,152,No cars or vans in household,135
142,2021,E02003315,2021 super output areas - middle layer,152,1 car or van in household,713
143,2021,E02003315,2021 super output areas - middle layer,152,2 cars or vans in household,896
144,2021,E02003315,2021 super output areas - middle layer,152,3 or more cars or vans in household,483
145,2021,E02003316,2021 super output areas - middle layer,152,Total: All households,4664
146,2021,E02003316,2021 super output areas - middle layer,152,No cars or vans in household,451
147,2021,E02003316,2021 super output areas - middle layer,152,1 car or van in household,1646
148,2021,E02003316,2021 super output areas - middle layer,152,2 cars or vans in household,1802
149,2021,E02003316,2021 super output areas - middle layer,152,3 or more cars or vans in household,765
150,2021,E02003317,2021 super output areas - middle layer,152,Total: All households,2757
151,2021,E02003317,2021 super output areas - middle layer,152,No cars or vans in household,359
152,2021,E02003317,2021 super output areas - middle layer,152,1 car or van in household,1016
153,2021,E02003317,2021 super output areas - middle layer,152,2 cars or vans in household,1025
154,2021,E02003317,2021 super output areas - middle layer,152,3 or more cars or vans in household,357
155,2021,E02003318,2021 super output areas - middle layer,152,Total: All households,2282
156,2021,E02003318,2021 super output areas - middle layer,152,No cars or vans in household,225
157,2021,E02003318,2021 super output areas - middle layer,152,1 car or van in household,825
158,2021,E02003318,2021 super output areas - middle layer,152,2 cars or vans in household,812
159,2021,E02003318,2021 super output areas - middle layer,152,3 or more cars or vans in household,420
160,2021,E02003319,2021 super output areas - middle layer,152,Total: All households,3299
161,2021,E02003319,2021 super output areas - middle layer,152,No cars or vans in household,809
162,2021,E02003319,2021 super output areas - middle layer,152,1 car or van in household,1450
163,2021,E02003319,2021 super output areas - middle layer,152,2 cars or vans in household,778
164,2021,E02003319,2021 super output areas - middle layer,152,3 or more cars or vans in household,262
165,2021,E02003320,2021 super output areas - middle layer,152,Total: All households,3791
166,2021,E02003320,2021 super output areas - middle layer,152,No cars or vans in household,817
167,2021,E02003320,2021 super output areas - middle layer,152,1 car or van in household,1782
168,2021,E02003320,2021 super output areas - middle layer,152,2 cars or vans in household,922
169,2021,E02003320,2021 super output areas - middle layer,152,3 or more cars or vans in household,270
170,2021,E02003321,2021 super output areas - middle layer,152,Total: All households,2495
171,2021,E02003321,2021 super output areas - middle layer,152,No cars or vans in household,588
172,2021,E02003321,2021 super output areas - middle layer,152,1 car or van in household,990
173,2021,E02003321,2021 super output areas - middle layer,152,2 cars or vans in household,673
174,2021,E02003321,2021 super output areas - middle layer,152,3 or more cars or vans in household,244
175,2021,E02003322,2021 super output areas - middle layer,152,Total: All households,3136
176,2021,E02003322,2021 super output areas - middle layer,152,No cars or vans in household,967
177,2021,E02003322,2021 super output areas - middle layer,152,1 car or van in household,1470
178,2021,E02003322,2021 super output areas - middle layer,152,2 cars or vans in household,566
179,2021,E02003322,2021 super output areas - middle layer,152,3 or more cars or vans in household,133
180,2021,E02003323,2021 super output areas - middle layer,152,Total: All households,2821
181,2021,E02003323,2021 super output areas - middle layer,152,No cars or vans in household,603
182,2021,E02003323,2021 super output areas - middle layer,152,1 car or van in household,1240
183,2021,E02003323,2021 super output areas - middle layer,152,2 cars or vans in household,733
184,2021,E02003323,2021 super output areas - middle layer,152,3 or more cars or vans in household,245
185,2021,E02003324,2021 super output areas - middle layer,152,Total: All households,3859
186,2021,E02003324,2021 super output areas - middle layer,152,No cars or vans in household,595
187,2021,E02003324,2021 super output areas - middle layer,152,1 car or van in household,1637
188,2021,E02003324,2021 super output areas - middle layer,152,2 cars or vans in household,1213
189,2021,E02003324,2021 super output areas - middle layer,152,3 or more cars or vans in household,414
190,2021,E02003325,2021 super output areas - middle layer,152,Total: All households,3008
191,2021,E02003325,2021 super output areas - middle layer,152,No cars or vans in household,1166
192,2021,E02003325,2021 super output areas - middle layer,152,1 car or van in household,1325
193,2021,E02003325,2021 super output areas - middle layer,152,2 cars or vans in household,419
194,2021,E02003325,2021 super output areas - middle layer,152,3 or more cars or vans in household,98
195,2021,E02003326,2021 super output areas - middle layer,152,Total: All households,2962
196,2021,E02003326,2021 super output areas - middle layer,152,No cars or vans in household,738
197,2021,E02003326,2021 super output areas - middle layer,152,1 car or van in household,1291
198,2021,E02003326,2021 super output areas - middle layer,152,2 cars or vans in household,703
199,2021,E02003326,2021 super output areas - middle layer,152,3 or more cars or vans in household,230
200,2021,E02003327,2021 super output areas - middle layer,152,Total: All households,3660
201,2021,E02003327,2021 super output areas - middle layer,152,No cars or vans in household,991
202,2021,E02003327,2021 super output areas - middle layer,152,1 car or van in household,1802
203,2021,E02003327,2021 super output areas - middle layer,152,2 cars or vans in household,672
204,2021,E02003327,2021 super output areas - middle layer,152,3 or more cars or vans in household,195
205,2021,E02003328,2021 super output areas - middle layer,152,Total: All households,4331
206,2021,E02003328,2021 super output areas - middle layer,152,No cars or vans in household,1719
207,2021,E02003328,2021 super output areas - middle layer,152,1 car or van in household,1862
208,2021,E02003328,2021 super output areas - middle layer,152,2 cars or vans in household,608
209,2021,E02003328,2021 super output areas - middle layer,152,3 or more cars or vans in household,142
210,2021,E02003329,2021 super output areas - middle layer,152,Total: All households,2641
211,2021,E02003329,2021 super output areas - middle layer,152,No cars or vans in household,733
212,2021,E02003329,2021 super output areas - middle layer,152,1 car or van in household,1223
213,2021,E02003329,2021 super output areas - middle layer,152,2 cars or vans in household,533
214,2021,E02003329,2021 super output areas - middle layer,152,3 or more cars or vans in household,152
215,2021,E02003330,2021 super output areas - middle layer,152,Total: All households,2731
216,2021,E02003330,2021 super output areas - middle layer,152,No cars or vans in household,569
217,2021,E02003330,2021 super output areas - middle layer,152,1 car or van in household,1264
218,2021,E02003330,2021 super output areas - middle layer,152,2 cars or vans in household,703
219,2021,E02003330,2021 super output areas - middle layer,152,3 or more cars or vans in household,195
220,2021,E02003331,2021 super output areas - middle layer,152,Total: All households,3668
221,2021,E02003331,2021 super output areas - middle layer,152,No cars or vans in household,811
222,2021,E02003331,2021 super output areas - middle layer,152,1 car or van in household,1492
223,2021,E02003331,2021 super output areas - middle layer,152,2 cars or vans in household,996
224,2021,E02003331,2021 super output areas - middle layer,152,3 or more cars or vans in household,369
225,2021,E02003332,2021 super output areas - middle layer,152,Total: All households,2313
226,2021,E02003332,2021 super output areas - middle layer,152,No cars or vans in household,407
227,2021,E02003332,2021 super output areas - middle layer,152,1 car or van in household,889
228,2021,E02003332,2021 super output areas - middle layer,152,2 cars or vans in household,715
229,2021,E02003332,2021 super output areas - middle layer,152,3 or more cars or vans in household,302
230,2021,E02003333,2021 super output areas - middle layer,152,Total: All households,2787
231,2021,E02003333,2021 super output areas - middle layer,152,No cars or vans in household,928
232,2021,E02003333,2021 super output areas - middle layer,152,1 car or van in household,1236
233,2021,E02003333,2021 super output areas - middle layer,152,2 cars or vans in household,483
234,2021,E02003333,2021 super output areas - middle layer,152,3 or more cars or vans in household,140
235,2021,E02003334,2021 super output areas - middle layer,152,Total: All households,2313
236,2021,E02003334,2021 super output areas - middle layer,152,No cars or vans in household,533
237,2021,E02003334,2021 super output areas - middle layer,152,1 car or van in household,1097
238,2021,E02003334,2021 super output areas - middle layer,152,2 cars or vans in household,501
239,2021,E02003334,2021 super output areas - middle layer,152,3 or more cars or vans in household,182
240,2021,E02003335,2021 super output areas - middle layer,152,Total: All households,2700
241,2021,E02003335,2021 super output areas - middle layer,152,No cars or vans in household,839
242,2021,E02003335,2021 super output areas - middle layer,152,1 car or van in household,1173
243,2021,E02003335,2021 super output areas - middle layer,152,2 cars or vans in household,542
244,2021,E02003335,2021 super output areas - middle layer,152,3 or more cars or vans in household,146
245,2021,E02003336,2021 super output areas - middle layer,152,Total: All households,2634
246,2021,E02003336,2021 super output areas - middle layer,152,No cars or vans in household,348
247,2021,E02003336,2021 super output areas - middle layer,152,1 car or van in household,1099
248,2021,E02003336,2021 super output areas - middle layer,152,2 cars or vans in household,838
249,2021,E02003336,2021 super output areas - middle layer,152,3 or more cars or vans in household,349
250,2021,E02003337,2021 super output areas - middle layer,152,Total: All households,2677
251,2021,E02003337,2021 super output areas - middle layer,152,No cars or vans in household,438
252,2021,E02003337,2021 super output areas - middle layer,152,1 car or van in household,1066
