,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGR_3_NAME,OBS_VALUE
68,2021,W02000023,2021 super output areas - middle layer,152,Can read Welsh,3313
69,2021,W02000024,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5557
70,2021,W02000024,2021 super output areas - middle layer,152,Cannot read Welsh,2001
71,2021,W02000024,2021 super output areas - middle layer,152,Can read Welsh,3556
72,2021,W02000025,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5996
73,2021,W02000025,2021 super output areas - middle layer,152,Cannot read Welsh,3007
74,2021,W02000025,2021 super output areas - middle layer,152,Can read Welsh,2989
75,2021,W02000026,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6853
76,2021,W02000026,2021 super output areas - middle layer,152,Cannot read Welsh,4374
77,2021,W02000026,2021 super output areas - middle layer,152,Can read Welsh,2479
78,2021,W02000027,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8264
79,2021,W02000027,2021 super output areas - middle layer,152,Cannot read Welsh,6932
80,2021,W02000027,2021 super output areas - middle layer,152,Can read Welsh,1332
81,2021,W02000028,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6543
82,2021,W02000028,2021 super output areas - middle layer,152,Cannot read Welsh,5332
83,2021,W02000028,2021 super output areas - middle layer,152,Can read Welsh,1211
84,2021,W02000029,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5853
85,2021,W02000029,2021 super output areas - middle layer,152,Cannot read Welsh,4694
86,2021,W02000029,2021 super output areas - middle layer,152,Can read Welsh,1159
87,2021,W02000030,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5759
88,2021,W02000030,2021 super output areas - middle layer,152,Cannot read Welsh,4829
89,2021,W02000030,2021 super output areas - middle layer,152,Can read Welsh,930
90,2021,W02000031,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7987
91,2021,W02000031,2021 super output areas - middle layer,152,Cannot read Welsh,7125
92,2021,W02000031,2021 super output areas - middle layer,152,Can read Welsh,862
93,2021,W02000032,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8181
94,2021,W02000032,2021 super output areas - middle layer,152,Cannot read Welsh,6302
95,2021,W02000032,2021 super output areas - middle layer,152,Can read Welsh,1879
96,2021,W02000033,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6729
97,2021,W02000033,2021 super output areas - middle layer,152,Cannot read Welsh,5532
98,2021,W02000033,2021 super output areas - middle layer,152,Can read Welsh,1197
99,2021,W02000034,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7497
100,2021,W02000034,2021 super output areas - middle layer,152,Cannot read Welsh,5948
101,2021,W02000034,2021 super output areas - middle layer,152,Can read Welsh,1549
102,2021,W02000035,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8641
103,2021,W02000035,2021 super output areas - middle layer,152,Cannot read Welsh,7022
104,2021,W02000035,2021 super output areas - middle layer,152,Can read Welsh,1619
105,2021,W02000036,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,10982
106,2021,W02000036,2021 super output areas - middle layer,152,Cannot read Welsh,8918
107,2021,W02000036,2021 super output areas - middle layer,152,Can read Welsh,2064
108,2021,W02000037,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6945
109,2021,W02000037,2021 super output areas - middle layer,152,Cannot read Welsh,5184
110,2021,W02000037,2021 super output areas - middle layer,152,Can read Welsh,1761
111,2021,W02000038,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6070
112,2021,W02000038,2021 super output areas - middle layer,152,Cannot read Welsh,4364
113,2021,W02000038,2021 super output areas - middle layer,152,Can read Welsh,1706
114,2021,W02000039,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7618
115,2021,W02000039,2021 super output areas - middle layer,152,Cannot read Welsh,5076
116,2021,W02000039,2021 super output areas - middle layer,152,Can read Welsh,2542
117,2021,W02000040,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6435
118,2021,W02000040,2021 super output areas - middle layer,152,Cannot read Welsh,3041
119,2021,W02000040,2021 super output areas - middle layer,152,Can read Welsh,3394
120,2021,W02000041,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8302
121,2021,W02000041,2021 super output areas - middle layer,152,Cannot read Welsh,4153
122,2021,W02000041,2021 super output areas - middle layer,152,Can read Welsh,4149
123,2021,W02000042,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5705
124,2021,W02000042,2021 super output areas - middle layer,152,Cannot read Welsh,5023
125,2021,W02000042,2021 super output areas - middle layer,152,Can read Welsh,682
126,2021,W02000043,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5096
127,2021,W02000043,2021 super output areas - middle layer,152,Cannot read Welsh,4356
128,2021,W02000043,2021 super output areas - middle layer,152,Can read Welsh,740
129,2021,W02000044,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5186
130,2021,W02000044,2021 super output areas - middle layer,152,Cannot read Welsh,4380
131,2021,W02000044,2021 super output areas - middle layer,152,Can read Welsh,806
132,2021,W02000045,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9224
133,2021,W02000045,2021 super output areas - middle layer,152,Cannot read Welsh,8278
134,2021,W02000045,2021 super output areas - middle layer,152,Can read Welsh,946
135,2021,W02000047,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5339
136,2021,W02000047,2021 super output areas - middle layer,152,Cannot read Welsh,4705
137,2021,W02000047,2021 super output areas - middle layer,152,Can read Welsh,634
138,2021,W02000049,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6471
139,2021,W02000049,2021 super output areas - middle layer,152,Cannot read Welsh,5295
140,2021,W02000049,2021 super output areas - middle layer,152,Can read Welsh,1176
141,2021,W02000050,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6223
142,2021,W02000050,2021 super output areas - middle layer,152,Cannot read Welsh,5217
143,2021,W02000050,2021 super output areas - middle layer,152,Can read Welsh,1006
144,2021,W02000051,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5176
145,2021,W02000051,2021 super output areas - middle layer,152,Cannot read Welsh,4043
146,2021,W02000051,2021 super output areas - middle layer,152,Can read Welsh,1133
147,2021,W02000052,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,4834
148,2021,W02000052,2021 super output areas - middle layer,152,Cannot read Welsh,3575
149,2021,W02000052,2021 super output areas - middle layer,152,Can read Welsh,1259
150,2021,W02000053,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6179
151,2021,W02000053,2021 super output areas - middle layer,152,Cannot read Welsh,3764
152,2021,W02000053,2021 super output areas - middle layer,152,Can read Welsh,2415
153,2021,W02000054,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5983
154,2021,W02000054,2021 super output areas - middle layer,152,Cannot read Welsh,4322
155,2021,W02000054,2021 super output areas - middle layer,152,Can read Welsh,1661
156,2021,W02000055,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5523
157,2021,W02000055,2021 super output areas - middle layer,152,Cannot read Welsh,3560
158,2021,W02000055,2021 super output areas - middle layer,152,Can read Welsh,1963
159,2021,W02000056,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5060
160,2021,W02000056,2021 super output areas - middle layer,152,Cannot read Welsh,2978
161,2021,W02000056,2021 super output areas - middle layer,152,Can read Welsh,2082
162,2021,W02000057,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6083
163,2021,W02000057,2021 super output areas - middle layer,152,Cannot read Welsh,4360
164,2021,W02000057,2021 super output areas - middle layer,152,Can read Welsh,1723
165,2021,W02000419,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,10976
166,2021,W02000419,2021 super output areas - middle layer,152,Cannot read Welsh,9344
167,2021,W02000419,2021 super output areas - middle layer,152,Can read Welsh,1632
168,2021,W02000058,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,4984
169,2021,W02000058,2021 super output areas - middle layer,152,Cannot read Welsh,4204
170,2021,W02000058,2021 super output areas - middle layer,152,Can read Welsh,780
171,2021,W02000059,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6382
172,2021,W02000059,2021 super output areas - middle layer,152,Cannot read Welsh,5432
173,2021,W02000059,2021 super output areas - middle layer,152,Can read Welsh,950
174,2021,W02000060,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,10386
175,2021,W02000060,2021 super output areas - middle layer,152,Cannot read Welsh,9161
176,2021,W02000060,2021 super output areas - middle layer,152,Can read Welsh,1225
177,2021,W02000061,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7330
178,2021,W02000061,2021 super output areas - middle layer,152,Cannot read Welsh,6556
179,2021,W02000061,2021 super output areas - middle layer,152,Can read Welsh,774
180,2021,W02000062,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5946
181,2021,W02000062,2021 super output areas - middle layer,152,Cannot read Welsh,5239
182,2021,W02000062,2021 super output areas - middle layer,152,Can read Welsh,707
183,2021,W02000063,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7941
184,2021,W02000063,2021 super output areas - middle layer,152,Cannot read Welsh,6590
185,2021,W02000063,2021 super output areas - middle layer,152,Can read Welsh,1351
186,2021,W02000064,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5912
187,2021,W02000064,2021 super output areas - middle layer,152,Cannot read Welsh,5493
188,2021,W02000064,2021 super output areas - middle layer,152,Can read Welsh,419
189,2021,W02000065,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7037
190,2021,W02000065,2021 super output areas - middle layer,152,Cannot read Welsh,6439
191,2021,W02000065,2021 super output areas - middle layer,152,Can read Welsh,598
192,2021,W02000066,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9518
193,2021,W02000066,2021 super output areas - middle layer,152,Cannot read Welsh,8836
194,2021,W02000066,2021 super output areas - middle layer,152,Can read Welsh,682
195,2021,W02000067,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6637
196,2021,W02000067,2021 super output areas - middle layer,152,Cannot read Welsh,6017
197,2021,W02000067,2021 super output areas - middle layer,152,Can read Welsh,620
198,2021,W02000068,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5067
199,2021,W02000068,2021 super output areas - middle layer,152,Cannot read Welsh,4709
200,2021,W02000068,2021 super output areas - middle layer,152,Can read Welsh,358
201,2021,W02000069,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6117
202,2021,W02000069,2021 super output areas - middle layer,152,Cannot read Welsh,5332
203,2021,W02000069,2021 super output areas - middle layer,152,Can read Welsh,785
204,2021,W02000070,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,10398
205,2021,W02000070,2021 super output areas - middle layer,152,Cannot read Welsh,9348
206,2021,W02000070,2021 super output areas - middle layer,152,Can read Welsh,1050
207,2021,W02000071,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6883
208,2021,W02000071,2021 super output areas - middle layer,152,Cannot read Welsh,5989
209,2021,W02000071,2021 super output areas - middle layer,152,Can read Welsh,894
210,2021,W02000072,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,11310
211,2021,W02000072,2021 super output areas - middle layer,152,Cannot read Welsh,10602
212,2021,W02000072,2021 super output areas - middle layer,152,Can read Welsh,708
213,2021,W02000073,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9878
214,2021,W02000073,2021 super output areas - middle layer,152,Cannot read Welsh,8087
215,2021,W02000073,2021 super output areas - middle layer,152,Can read Welsh,1791
216,2021,W02000074,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9549
217,2021,W02000074,2021 super output areas - middle layer,152,Cannot read Welsh,8612
218,2021,W02000074,2021 super output areas - middle layer,152,Can read Welsh,937
219,2021,W02000075,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6218
220,2021,W02000075,2021 super output areas - middle layer,152,Cannot read Welsh,5520
221,2021,W02000075,2021 super output areas - middle layer,152,Can read Welsh,698
222,2021,W02000076,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7144
223,2021,W02000076,2021 super output areas - middle layer,152,Cannot read Welsh,6032
224,2021,W02000076,2021 super output areas - middle layer,152,Can read Welsh,1112
225,2021,W02000077,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5923
226,2021,W02000077,2021 super output areas - middle layer,152,Cannot read Welsh,5148
227,2021,W02000077,2021 super output areas - middle layer,152,Can read Welsh,775
228,2021,W02000080,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7630
229,2021,W02000080,2021 super output areas - middle layer,152,Cannot read Welsh,6735
230,2021,W02000080,2021 super output areas - middle layer,152,Can read Welsh,895
231,2021,W02000081,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5723
232,2021,W02000081,2021 super output areas - middle layer,152,Cannot read Welsh,4995
233,2021,W02000081,2021 super output areas - middle layer,152,Can read Welsh,728
234,2021,W02000082,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7415
235,2021,W02000082,2021 super output areas - middle layer,152,Cannot read Welsh,6573
236,2021,W02000082,2021 super output areas - middle layer,152,Can read Welsh,842
237,2021,W02000083,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8376
238,2021,W02000083,2021 super output areas - middle layer,152,Cannot read Welsh,7116
239,2021,W02000083,2021 super output areas - middle layer,152,Can read Welsh,1260
240,2021,W02000085,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8719
241,2021,W02000085,2021 super output areas - middle layer,152,Cannot read Welsh,7717
242,2021,W02000085,2021 super output areas - middle layer,152,Can read Welsh,1002
243,2021,W02000087,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6583
244,2021,W02000087,2021 super output areas - middle layer,152,Cannot read Welsh,6048
245,2021,W02000087,2021 super output areas - middle layer,152,Can read Welsh,535
246,2021,W02000088,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8414
247,2021,W02000088,2021 super output areas - middle layer,152,Cannot read Welsh,7346
248,2021,W02000088,2021 super output areas - middle layer,152,Can read Welsh,1068
249,2021,W02000089,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8263
250,2021,W02000089,2021 super output areas - middle layer,152,Cannot read Welsh,7317
251,2021,W02000089,2021 super output areas - middle layer,152,Can read Welsh,946
252,2021,W02000090,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5539
253,2021,W02000090,2021 super output areas - middle layer,152,Cannot read Welsh,4611
254,2021,W02000090,2021 super output areas - middle layer,152,Can read Welsh,928
255,2021,W02000091,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6003
256,2021,W02000091,2021 super output areas - middle layer,152,Cannot read Welsh,5151
257,2021,W02000091,2021 super output areas - middle layer,152,Can read Welsh,852
258,2021,W02000092,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6508
259,2021,W02000092,2021 super output areas - middle layer,152,Cannot read Welsh,5255
260,2021,W02000092,2021 super output areas - middle layer,152,Can read Welsh,1253
261,2021,W02000093,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6383
262,2021,W02000093,2021 super output areas - middle layer,152,Cannot read Welsh,5615
263,2021,W02000093,2021 super output areas - middle layer,152,Can read Welsh,768
264,2021,W02000094,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8590
265,2021,W02000094,2021 super output areas - middle layer,152,Cannot read Welsh,7591
266,2021,W02000094,2021 super output areas - middle layer,152,Can read Welsh,999
