,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_OCCRAT_ROOMS_6_NAME,OBS_VALUE
74,2021,E02000155,2021 super output areas - middle layer,152,Total: All households,3040
75,2021,E02000155,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1533
76,2021,E02000155,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,870
77,2021,E02000155,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,516
78,2021,E02000155,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,100
79,2021,E02000155,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,21
80,2021,E02000156,2021 super output areas - middle layer,152,Total: All households,4860
81,2021,E02000156,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,3086
82,2021,E02000156,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,974
83,2021,E02000156,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,619
84,2021,E02000156,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,158
85,2021,E02000156,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,23
86,2021,E02000157,2021 super output areas - middle layer,152,Total: All households,3279
87,2021,E02000157,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,2134
88,2021,E02000157,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,768
89,2021,E02000157,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,303
90,2021,E02000157,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,70
91,2021,E02000157,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,4
92,2021,E02000158,2021 super output areas - middle layer,152,Total: All households,3034
93,2021,E02000158,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1750
94,2021,E02000158,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,611
95,2021,E02000158,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,515
96,2021,E02000158,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,127
97,2021,E02000158,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,31
98,2021,E02000159,2021 super output areas - middle layer,152,Total: All households,2823
99,2021,E02000159,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1943
100,2021,E02000159,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,558
101,2021,E02000159,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,255
102,2021,E02000159,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,56
103,2021,E02000159,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,11
104,2021,E02000160,2021 super output areas - middle layer,152,Total: All households,3042
105,2021,E02000160,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1782
106,2021,E02000160,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,696
107,2021,E02000160,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,456
108,2021,E02000160,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,97
109,2021,E02000160,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,11
110,2021,E02000161,2021 super output areas - middle layer,152,Total: All households,3345
111,2021,E02000161,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,2101
112,2021,E02000161,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,798
113,2021,E02000161,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,374
114,2021,E02000161,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,61
115,2021,E02000161,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,11
116,2021,E02000162,2021 super output areas - middle layer,152,Total: All households,2967
117,2021,E02000162,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1517
118,2021,E02000162,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,754
119,2021,E02000162,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,570
120,2021,E02000162,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,117
121,2021,E02000162,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,9
122,2021,E02000163,2021 super output areas - middle layer,152,Total: All households,3068
123,2021,E02000163,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,2079
124,2021,E02000163,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,614
125,2021,E02000163,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,310
