,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGE_SEX_20_NAME,OBS_VALUE
63,2021,E02002485,2021 super output areas - middle layer,152,Resident: Female: Aged 65 to 74 years,6
64,2021,E02002485,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,10
65,2021,E02002485,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,13
66,2021,E02002485,2021 super output areas - middle layer,152,Staff or owner,0
67,2021,E02002485,2021 super output areas - middle layer,152,Family member or partner of staff or owner,0
68,2021,E02002485,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),0
69,2021,E02002489,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,194
70,2021,E02002489,2021 super output areas - middle layer,152,Resident,192
71,2021,E02002489,2021 super output areas - middle layer,152,Resident:Male,58
72,2021,E02002489,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,0
73,2021,E02002489,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,20
74,2021,E02002489,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,3
75,2021,E02002489,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,1
76,2021,E02002489,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,10
77,2021,E02002489,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,4
78,2021,E02002489,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,8
79,2021,E02002489,2021 super output areas - middle layer,152,Resident: Male: Aged 85 years and over,12
80,2021,E02002489,2021 super output areas - middle layer,152,Resident:Female,134
81,2021,E02002489,2021 super output areas - middle layer,152,Resident: Female: Aged 0 to 15 years,0
82,2021,E02002489,2021 super output areas - middle layer,152,Resident: Female: Aged 16 to 24 years,36
83,2021,E02002489,2021 super output areas - middle layer,152,Resident: Female: Aged 25 to 34 years,5
84,2021,E02002489,2021 super output areas - middle layer,152,Resident: Female: Aged 35 to 49 years,2
85,2021,E02002489,2021 super output areas - middle layer,152,Resident: Female: Aged 50 to 64 years,7
86,2021,E02002489,2021 super output areas - middle layer,152,Resident: Female: Aged 65 to 74 years,7
87,2021,E02002489,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,23
88,2021,E02002489,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,54
89,2021,E02002489,2021 super output areas - middle layer,152,Staff or owner,0
90,2021,E02002489,2021 super output areas - middle layer,152,Family member or partner of staff or owner,0
91,2021,E02002489,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),2
92,2021,E02002490,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,28
93,2021,E02002490,2021 super output areas - middle layer,152,Resident,28
94,2021,E02002490,2021 super output areas - middle layer,152,Resident:Male,14
95,2021,E02002490,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,2
96,2021,E02002490,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,3
97,2021,E02002490,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,0
98,2021,E02002490,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,0
99,2021,E02002490,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,3
100,2021,E02002490,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,5
101,2021,E02002490,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,1
102,2021,E02002490,2021 super output areas - middle layer,152,Resident: Male: Aged 85 years and over,0
103,2021,E02002490,2021 super output areas - middle layer,152,Resident:Female,14
104,2021,E02002490,2021 super output areas - middle layer,152,Resident: Female: Aged 0 to 15 years,2
105,2021,E02002490,2021 super output areas - middle layer,152,Resident: Female: Aged 16 to 24 years,0
106,2021,E02002490,2021 super output areas - middle layer,152,Resident: Female: Aged 25 to 34 years,0
107,2021,E02002490,2021 super output areas - middle layer,152,Resident: Female: Aged 35 to 49 years,0
108,2021,E02002490,2021 super output areas - middle layer,152,Resident: Female: Aged 50 to 64 years,8
109,2021,E02002490,2021 super output areas - middle layer,152,Resident: Female: Aged 65 to 74 years,4
110,2021,E02002490,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,0
111,2021,E02002490,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,0
112,2021,E02002490,2021 super output areas - middle layer,152,Staff or owner,0
113,2021,E02002490,2021 super output areas - middle layer,152,Family member or partner of staff or owner,0
114,2021,E02002490,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),0
115,2021,E02002491,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,49
116,2021,E02002491,2021 super output areas - middle layer,152,Resident,49
117,2021,E02002491,2021 super output areas - middle layer,152,Resident:Male,13
118,2021,E02002491,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,0
119,2021,E02002491,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,0
120,2021,E02002491,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,0
121,2021,E02002491,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,0
122,2021,E02002491,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,2
123,2021,E02002491,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,0
