,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_TTWDIST_11_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4931
1,2021,E02002483,2021 super output areas - middle layer,152,Less than 2km,357
2,2021,E02002483,2021 super output areas - middle layer,152,2km to less than 5km,945
3,2021,E02002483,2021 super output areas - middle layer,152,5km to less than 10km,515
4,2021,E02002483,2021 super output areas - middle layer,152,10km to less than 20km,909
5,2021,E02002483,2021 super output areas - middle layer,152,20km to less than 30km,344
6,2021,E02002483,2021 super output areas - middle layer,152,30km to less than 40km,79
7,2021,E02002483,2021 super output areas - middle layer,152,40km to less than 60km,50
8,2021,E02002483,2021 super output areas - middle layer,152,60km and over,125
9,2021,E02002483,2021 super output areas - middle layer,152,Works mainly from home,899
10,2021,E02002483,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",708
11,2021,E02002484,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3636
12,2021,E02002484,2021 super output areas - middle layer,152,Less than 2km,555
13,2021,E02002484,2021 super output areas - middle layer,152,2km to less than 5km,740
14,2021,E02002484,2021 super output areas - middle layer,152,5km to less than 10km,252
15,2021,E02002484,2021 super output areas - middle layer,152,10km to less than 20km,640
16,2021,E02002484,2021 super output areas - middle layer,152,20km to less than 30km,181
17,2021,E02002484,2021 super output areas - middle layer,152,30km to less than 40km,60
18,2021,E02002484,2021 super output areas - middle layer,152,40km to less than 60km,26
19,2021,E02002484,2021 super output areas - middle layer,152,60km and over,75
20,2021,E02002484,2021 super output areas - middle layer,152,Works mainly from home,501
21,2021,E02002484,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",606
22,2021,E02002485,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,2943
23,2021,E02002485,2021 super output areas - middle layer,152,Less than 2km,752
24,2021,E02002485,2021 super output areas - middle layer,152,2km to less than 5km,492
25,2021,E02002485,2021 super output areas - middle layer,152,5km to less than 10km,171
26,2021,E02002485,2021 super output areas - middle layer,152,10km to less than 20km,470
27,2021,E02002485,2021 super output areas - middle layer,152,20km to less than 30km,152
28,2021,E02002485,2021 super output areas - middle layer,152,30km to less than 40km,38
29,2021,E02002485,2021 super output areas - middle layer,152,40km to less than 60km,20
30,2021,E02002485,2021 super output areas - middle layer,152,60km and over,47
31,2021,E02002485,2021 super output areas - middle layer,152,Works mainly from home,388
32,2021,E02002485,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",413
33,2021,E02002489,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,2504
34,2021,E02002489,2021 super output areas - middle layer,152,Less than 2km,700
35,2021,E02002489,2021 super output areas - middle layer,152,2km to less than 5km,323
36,2021,E02002489,2021 super output areas - middle layer,152,5km to less than 10km,111
37,2021,E02002489,2021 super output areas - middle layer,152,10km to less than 20km,359
38,2021,E02002489,2021 super output areas - middle layer,152,20km to less than 30km,109
39,2021,E02002489,2021 super output areas - middle layer,152,30km to less than 40km,41
40,2021,E02002489,2021 super output areas - middle layer,152,40km to less than 60km,29
41,2021,E02002489,2021 super output areas - middle layer,152,60km and over,47
42,2021,E02002489,2021 super output areas - middle layer,152,Works mainly from home,399
43,2021,E02002489,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",386
44,2021,E02002490,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,2159
45,2021,E02002490,2021 super output areas - middle layer,152,Less than 2km,583
46,2021,E02002490,2021 super output areas - middle layer,152,2km to less than 5km,346
47,2021,E02002490,2021 super output areas - middle layer,152,5km to less than 10km,112
48,2021,E02002490,2021 super output areas - middle layer,152,10km to less than 20km,284
49,2021,E02002490,2021 super output areas - middle layer,152,20km to less than 30km,77
50,2021,E02002490,2021 super output areas - middle layer,152,30km to less than 40km,28
51,2021,E02002490,2021 super output areas - middle layer,152,40km to less than 60km,15
52,2021,E02002490,2021 super output areas - middle layer,152,60km and over,21
53,2021,E02002490,2021 super output areas - middle layer,152,Works mainly from home,304
54,2021,E02002490,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",389
55,2021,E02002491,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,2393
56,2021,E02002491,2021 super output areas - middle layer,152,Less than 2km,465
57,2021,E02002491,2021 super output areas - middle layer,152,2km to less than 5km,630
58,2021,E02002491,2021 super output areas - middle layer,152,5km to less than 10km,134
59,2021,E02002491,2021 super output areas - middle layer,152,10km to less than 20km,318
60,2021,E02002491,2021 super output areas - middle layer,152,20km to less than 30km,80
61,2021,E02002491,2021 super output areas - middle layer,152,30km to less than 40km,36
62,2021,E02002491,2021 super output areas - middle layer,152,40km to less than 60km,27
63,2021,E02002491,2021 super output areas - middle layer,152,60km and over,41
64,2021,E02002491,2021 super output areas - middle layer,152,Works mainly from home,293
65,2021,E02002491,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",369
66,2021,E02002492,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,2817
67,2021,E02002492,2021 super output areas - middle layer,152,Less than 2km,498
68,2021,E02002492,2021 super output areas - middle layer,152,2km to less than 5km,649
69,2021,E02002492,2021 super output areas - middle layer,152,5km to less than 10km,245
70,2021,E02002492,2021 super output areas - middle layer,152,10km to less than 20km,336
71,2021,E02002492,2021 super output areas - middle layer,152,20km to less than 30km,101
72,2021,E02002492,2021 super output areas - middle layer,152,30km to less than 40km,32
73,2021,E02002492,2021 super output areas - middle layer,152,40km to less than 60km,35
74,2021,E02002492,2021 super output areas - middle layer,152,60km and over,60
75,2021,E02002492,2021 super output areas - middle layer,152,Works mainly from home,403
76,2021,E02002492,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",458
77,2021,E02002493,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3097
78,2021,E02002493,2021 super output areas - middle layer,152,Less than 2km,257
79,2021,E02002493,2021 super output areas - middle layer,152,2km to less than 5km,681
80,2021,E02002493,2021 super output areas - middle layer,152,5km to less than 10km,363
81,2021,E02002493,2021 super output areas - middle layer,152,10km to less than 20km,440
82,2021,E02002493,2021 super output areas - middle layer,152,20km to less than 30km,125
83,2021,E02002493,2021 super output areas - middle layer,152,30km to less than 40km,50
84,2021,E02002493,2021 super output areas - middle layer,152,40km to less than 60km,41
85,2021,E02002493,2021 super output areas - middle layer,152,60km and over,52
86,2021,E02002493,2021 super output areas - middle layer,152,Works mainly from home,636
87,2021,E02002493,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",452
88,2021,E02002494,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,2690
89,2021,E02002494,2021 super output areas - middle layer,152,Less than 2km,277
90,2021,E02002494,2021 super output areas - middle layer,152,2km to less than 5km,837
91,2021,E02002494,2021 super output areas - middle layer,152,5km to less than 10km,324
92,2021,E02002494,2021 super output areas - middle layer,152,10km to less than 20km,286
93,2021,E02002494,2021 super output areas - middle layer,152,20km to less than 30km,88
94,2021,E02002494,2021 super output areas - middle layer,152,30km to less than 40km,32
95,2021,E02002494,2021 super output areas - middle layer,152,40km to less than 60km,19
96,2021,E02002494,2021 super output areas - middle layer,152,60km and over,39
97,2021,E02002494,2021 super output areas - middle layer,152,Works mainly from home,285
98,2021,E02002494,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",503
99,2021,E02006909,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,6003
100,2021,E02006909,2021 super output areas - middle layer,152,Less than 2km,352
101,2021,E02006909,2021 super output areas - middle layer,152,2km to less than 5km,1108
102,2021,E02006909,2021 super output areas - middle layer,152,5km to less than 10km,718
103,2021,E02006909,2021 super output areas - middle layer,152,10km to less than 20km,903
104,2021,E02006909,2021 super output areas - middle layer,152,20km to less than 30km,296
