,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ROOMS_10_NAME,OBS_VALUE
81,2021,E02000965,2021 super output areas - middle layer,152,1 room,182
82,2021,E02000965,2021 super output areas - middle layer,152,2 rooms,876
83,2021,E02000965,2021 super output areas - middle layer,152,3 rooms,1198
84,2021,E02000965,2021 super output areas - middle layer,152,4 rooms,889
85,2021,E02000965,2021 super output areas - middle layer,152,5 rooms,330
86,2021,E02000965,2021 super output areas - middle layer,152,6 rooms,87
87,2021,E02000965,2021 super output areas - middle layer,152,7 rooms,26
88,2021,E02000965,2021 super output areas - middle layer,152,8 rooms,10
89,2021,E02000965,2021 super output areas - middle layer,152,9 or more rooms,26
90,2021,E02000966,2021 super output areas - middle layer,152,Total: All households,4110
91,2021,E02000966,2021 super output areas - middle layer,152,1 room,260
92,2021,E02000966,2021 super output areas - middle layer,152,2 rooms,1051
93,2021,E02000966,2021 super output areas - middle layer,152,3 rooms,1170
94,2021,E02000966,2021 super output areas - middle layer,152,4 rooms,830
95,2021,E02000966,2021 super output areas - middle layer,152,5 rooms,348
96,2021,E02000966,2021 super output areas - middle layer,152,6 rooms,164
97,2021,E02000966,2021 super output areas - middle layer,152,7 rooms,110
98,2021,E02000966,2021 super output areas - middle layer,152,8 rooms,53
99,2021,E02000966,2021 super output areas - middle layer,152,9 or more rooms,124
100,2021,E02000967,2021 super output areas - middle layer,152,Total: All households,3014
101,2021,E02000967,2021 super output areas - middle layer,152,1 room,191
102,2021,E02000967,2021 super output areas - middle layer,152,2 rooms,696
103,2021,E02000967,2021 super output areas - middle layer,152,3 rooms,1018
104,2021,E02000967,2021 super output areas - middle layer,152,4 rooms,577
105,2021,E02000967,2021 super output areas - middle layer,152,5 rooms,252
106,2021,E02000967,2021 super output areas - middle layer,152,6 rooms,136
107,2021,E02000967,2021 super output areas - middle layer,152,7 rooms,45
108,2021,E02000967,2021 super output areas - middle layer,152,8 rooms,18
109,2021,E02000967,2021 super output areas - middle layer,152,9 or more rooms,81
110,2021,E02000968,2021 super output areas - middle layer,152,Total: All households,5619
111,2021,E02000968,2021 super output areas - middle layer,152,1 room,369
112,2021,E02000968,2021 super output areas - middle layer,152,2 rooms,1663
113,2021,E02000968,2021 super output areas - middle layer,152,3 rooms,1790
114,2021,E02000968,2021 super output areas - middle layer,152,4 rooms,1272
115,2021,E02000968,2021 super output areas - middle layer,152,5 rooms,427
