,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HEATING_13_NAME,OBS_VALUE
76,2021,E02002443,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),12
77,2021,E02002444,2021 super output areas - middle layer,152,Total: All households,3044
78,2021,E02002444,2021 super output areas - middle layer,152,No central heating,43
79,2021,E02002444,2021 super output areas - middle layer,152,Mains gas only,2491
80,2021,E02002444,2021 super output areas - middle layer,152,Tank or bottled gas only,6
81,2021,E02002444,2021 super output areas - middle layer,152,Electric only,160
82,2021,E02002444,2021 super output areas - middle layer,152,Oil only,5
83,2021,E02002444,2021 super output areas - middle layer,152,Wood only,4
84,2021,E02002444,2021 super output areas - middle layer,152,Solid fuel only,8
85,2021,E02002444,2021 super output areas - middle layer,152,Renewable energy only,3
86,2021,E02002444,2021 super output areas - middle layer,152,District or communal heat networks only,5
87,2021,E02002444,2021 super output areas - middle layer,152,Other central heating only,15
88,2021,E02002444,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),292
89,2021,E02002444,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),12
90,2021,E02002445,2021 super output areas - middle layer,152,Total: All households,3675
91,2021,E02002445,2021 super output areas - middle layer,152,No central heating,37
92,2021,E02002445,2021 super output areas - middle layer,152,Mains gas only,3148
93,2021,E02002445,2021 super output areas - middle layer,152,Tank or bottled gas only,3
94,2021,E02002445,2021 super output areas - middle layer,152,Electric only,105
95,2021,E02002445,2021 super output areas - middle layer,152,Oil only,1
96,2021,E02002445,2021 super output areas - middle layer,152,Wood only,1
97,2021,E02002445,2021 super output areas - middle layer,152,Solid fuel only,6
98,2021,E02002445,2021 super output areas - middle layer,152,Renewable energy only,4
99,2021,E02002445,2021 super output areas - middle layer,152,District or communal heat networks only,17
100,2021,E02002445,2021 super output areas - middle layer,152,Other central heating only,18
101,2021,E02002445,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),319
102,2021,E02002445,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),16
103,2021,E02002446,2021 super output areas - middle layer,152,Total: All households,2649
104,2021,E02002446,2021 super output areas - middle layer,152,No central heating,23
105,2021,E02002446,2021 super output areas - middle layer,152,Mains gas only,2311
106,2021,E02002446,2021 super output areas - middle layer,152,Tank or bottled gas only,9
107,2021,E02002446,2021 super output areas - middle layer,152,Electric only,63
108,2021,E02002446,2021 super output areas - middle layer,152,Oil only,4
109,2021,E02002446,2021 super output areas - middle layer,152,Wood only,0
110,2021,E02002446,2021 super output areas - middle layer,152,Solid fuel only,15
111,2021,E02002446,2021 super output areas - middle layer,152,Renewable energy only,4
112,2021,E02002446,2021 super output areas - middle layer,152,District or communal heat networks only,11
113,2021,E02002446,2021 super output areas - middle layer,152,Other central heating only,12
