,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_BEDROOMS_5_NAME,OBS_VALUE
77,2021,E02002500,2021 super output areas - middle layer,152,2 bedrooms,487
78,2021,E02002500,2021 super output areas - middle layer,152,3 bedrooms,1368
79,2021,E02002500,2021 super output areas - middle layer,152,4 or more bedrooms,331
80,2021,E02002501,2021 super output areas - middle layer,152,Total: All households,2608
81,2021,E02002501,2021 super output areas - middle layer,152,1 bedroom,243
82,2021,E02002501,2021 super output areas - middle layer,152,2 bedrooms,720
83,2021,E02002501,2021 super output areas - middle layer,152,3 bedrooms,1354
84,2021,E02002501,2021 super output areas - middle layer,152,4 or more bedrooms,291
85,2021,E02002502,2021 super output areas - middle layer,152,Total: All households,4353
86,2021,E02002502,2021 super output areas - middle layer,152,1 bedroom,641
87,2021,E02002502,2021 super output areas - middle layer,152,2 bedrooms,994
88,2021,E02002502,2021 super output areas - middle layer,152,3 bedrooms,2447
89,2021,E02002502,2021 super output areas - middle layer,152,4 or more bedrooms,271
90,2021,E02002503,2021 super output areas - middle layer,152,Total: All households,2740
91,2021,E02002503,2021 super output areas - middle layer,152,1 bedroom,81
92,2021,E02002503,2021 super output areas - middle layer,152,2 bedrooms,485
93,2021,E02002503,2021 super output areas - middle layer,152,3 bedrooms,1962
94,2021,E02002503,2021 super output areas - middle layer,152,4 or more bedrooms,212
95,2021,E02002504,2021 super output areas - middle layer,152,Total: All households,3776
96,2021,E02002504,2021 super output areas - middle layer,152,1 bedroom,185
97,2021,E02002504,2021 super output areas - middle layer,152,2 bedrooms,770
98,2021,E02002504,2021 super output areas - middle layer,152,3 bedrooms,2008
99,2021,E02002504,2021 super output areas - middle layer,152,4 or more bedrooms,813
100,2021,E02002505,2021 super output areas - middle layer,152,Total: All households,2645
101,2021,E02002505,2021 super output areas - middle layer,152,1 bedroom,110
102,2021,E02002505,2021 super output areas - middle layer,152,2 bedrooms,772
103,2021,E02002505,2021 super output areas - middle layer,152,3 bedrooms,1674
104,2021,E02002505,2021 super output areas - middle layer,152,4 or more bedrooms,89
105,2021,E02002506,2021 super output areas - middle layer,152,Total: All households,2331
106,2021,E02002506,2021 super output areas - middle layer,152,1 bedroom,324
107,2021,E02002506,2021 super output areas - middle layer,152,2 bedrooms,519
108,2021,E02002506,2021 super output areas - middle layer,152,3 bedrooms,1310
109,2021,E02002506,2021 super output areas - middle layer,152,4 or more bedrooms,178
110,2021,E02002507,2021 super output areas - middle layer,152,Total: All households,2557
111,2021,E02002507,2021 super output areas - middle layer,152,1 bedroom,103
112,2021,E02002507,2021 super output areas - middle layer,152,2 bedrooms,331
113,2021,E02002507,2021 super output areas - middle layer,152,3 bedrooms,1603
114,2021,E02002507,2021 super output areas - middle layer,152,4 or more bedrooms,520
115,2021,E02002508,2021 super output areas - middle layer,152,Total: All households,2276
116,2021,E02002508,2021 super output areas - middle layer,152,1 bedroom,46
117,2021,E02002508,2021 super output areas - middle layer,152,2 bedrooms,434
118,2021,E02002508,2021 super output areas - middle layer,152,3 bedrooms,1369
119,2021,E02002508,2021 super output areas - middle layer,152,4 or more bedrooms,427
120,2021,E02002509,2021 super output areas - middle layer,152,Total: All households,2253
121,2021,E02002509,2021 super output areas - middle layer,152,1 bedroom,101
122,2021,E02002509,2021 super output areas - middle layer,152,2 bedrooms,466
123,2021,E02002509,2021 super output areas - middle layer,152,3 bedrooms,1357
124,2021,E02002509,2021 super output areas - middle layer,152,4 or more bedrooms,329
125,2021,E02002510,2021 super output areas - middle layer,152,Total: All households,3116
126,2021,E02002510,2021 super output areas - middle layer,152,1 bedroom,67
127,2021,E02002510,2021 super output areas - middle layer,152,2 bedrooms,719
128,2021,E02002510,2021 super output areas - middle layer,152,3 bedrooms,1629
129,2021,E02002510,2021 super output areas - middle layer,152,4 or more bedrooms,701
130,2021,E02002512,2021 super output areas - middle layer,152,Total: All households,2306
131,2021,E02002512,2021 super output areas - middle layer,152,1 bedroom,60
132,2021,E02002512,2021 super output areas - middle layer,152,2 bedrooms,473
133,2021,E02002512,2021 super output areas - middle layer,152,3 bedrooms,930
134,2021,E02002512,2021 super output areas - middle layer,152,4 or more bedrooms,843
135,2021,E02002513,2021 super output areas - middle layer,152,Total: All households,4530
136,2021,E02002513,2021 super output areas - middle layer,152,1 bedroom,561
137,2021,E02002513,2021 super output areas - middle layer,152,2 bedrooms,882
138,2021,E02002513,2021 super output areas - middle layer,152,3 bedrooms,2216
139,2021,E02002513,2021 super output areas - middle layer,152,4 or more bedrooms,871
140,2021,E02002514,2021 super output areas - middle layer,152,Total: All households,3788
141,2021,E02002514,2021 super output areas - middle layer,152,1 bedroom,622
142,2021,E02002514,2021 super output areas - middle layer,152,2 bedrooms,863
143,2021,E02002514,2021 super output areas - middle layer,152,3 bedrooms,1333
144,2021,E02002514,2021 super output areas - middle layer,152,4 or more bedrooms,970
145,2021,E02006811,2021 super output areas - middle layer,152,Total: All households,4730
146,2021,E02006811,2021 super output areas - middle layer,152,1 bedroom,162
147,2021,E02006811,2021 super output areas - middle layer,152,2 bedrooms,771
148,2021,E02006811,2021 super output areas - middle layer,152,3 bedrooms,1965
149,2021,E02006811,2021 super output areas - middle layer,152,4 or more bedrooms,1832
150,2021,E02002515,2021 super output areas - middle layer,152,Total: All households,3134
151,2021,E02002515,2021 super output areas - middle layer,152,1 bedroom,532
152,2021,E02002515,2021 super output areas - middle layer,152,2 bedrooms,1053
153,2021,E02002515,2021 super output areas - middle layer,152,3 bedrooms,1166
154,2021,E02002515,2021 super output areas - middle layer,152,4 or more bedrooms,383
155,2021,E02002516,2021 super output areas - middle layer,152,Total: All households,2565
156,2021,E02002516,2021 super output areas - middle layer,152,1 bedroom,168
157,2021,E02002516,2021 super output areas - middle layer,152,2 bedrooms,431
158,2021,E02002516,2021 super output areas - middle layer,152,3 bedrooms,1751
159,2021,E02002516,2021 super output areas - middle layer,152,4 or more bedrooms,215
160,2021,E02002517,2021 super output areas - middle layer,152,Total: All households,2386
161,2021,E02002517,2021 super output areas - middle layer,152,1 bedroom,213
162,2021,E02002517,2021 super output areas - middle layer,152,2 bedrooms,602
163,2021,E02002517,2021 super output areas - middle layer,152,3 bedrooms,1417
164,2021,E02002517,2021 super output areas - middle layer,152,4 or more bedrooms,154
165,2021,E02002518,2021 super output areas - middle layer,152,Total: All households,4768
166,2021,E02002518,2021 super output areas - middle layer,152,1 bedroom,177
167,2021,E02002518,2021 super output areas - middle layer,152,2 bedrooms,1078
168,2021,E02002518,2021 super output areas - middle layer,152,3 bedrooms,2436
169,2021,E02002518,2021 super output areas - middle layer,152,4 or more bedrooms,1077
170,2021,E02002519,2021 super output areas - middle layer,152,Total: All households,3394
171,2021,E02002519,2021 super output areas - middle layer,152,1 bedroom,521
172,2021,E02002519,2021 super output areas - middle layer,152,2 bedrooms,957
173,2021,E02002519,2021 super output areas - middle layer,152,3 bedrooms,1460
174,2021,E02002519,2021 super output areas - middle layer,152,4 or more bedrooms,456
175,2021,E02002520,2021 super output areas - middle layer,152,Total: All households,5954
176,2021,E02002520,2021 super output areas - middle layer,152,1 bedroom,298
177,2021,E02002520,2021 super output areas - middle layer,152,2 bedrooms,1060
178,2021,E02002520,2021 super output areas - middle layer,152,3 bedrooms,3152
179,2021,E02002520,2021 super output areas - middle layer,152,4 or more bedrooms,1444
180,2021,E02002521,2021 super output areas - middle layer,152,Total: All households,2867
181,2021,E02002521,2021 super output areas - middle layer,152,1 bedroom,405
182,2021,E02002521,2021 super output areas - middle layer,152,2 bedrooms,811
183,2021,E02002521,2021 super output areas - middle layer,152,3 bedrooms,1037
184,2021,E02002521,2021 super output areas - middle layer,152,4 or more bedrooms,614
185,2021,E02002523,2021 super output areas - middle layer,152,Total: All households,2673
186,2021,E02002523,2021 super output areas - middle layer,152,1 bedroom,187
187,2021,E02002523,2021 super output areas - middle layer,152,2 bedrooms,832
188,2021,E02002523,2021 super output areas - middle layer,152,3 bedrooms,1538
189,2021,E02002523,2021 super output areas - middle layer,152,4 or more bedrooms,116
190,2021,E02002524,2021 super output areas - middle layer,152,Total: All households,2380
191,2021,E02002524,2021 super output areas - middle layer,152,1 bedroom,93
192,2021,E02002524,2021 super output areas - middle layer,152,2 bedrooms,701
193,2021,E02002524,2021 super output areas - middle layer,152,3 bedrooms,1228
194,2021,E02002524,2021 super output areas - middle layer,152,4 or more bedrooms,358
195,2021,E02002525,2021 super output areas - middle layer,152,Total: All households,3797
196,2021,E02002525,2021 super output areas - middle layer,152,1 bedroom,340
197,2021,E02002525,2021 super output areas - middle layer,152,2 bedrooms,1373
198,2021,E02002525,2021 super output areas - middle layer,152,3 bedrooms,1830
199,2021,E02002525,2021 super output areas - middle layer,152,4 or more bedrooms,254
200,2021,E02002526,2021 super output areas - middle layer,152,Total: All households,3385
201,2021,E02002526,2021 super output areas - middle layer,152,1 bedroom,122
