,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ETH_20_NAME,OBS_VALUE
58,2021,E02006424,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: African",71
59,2021,E02006424,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",16
60,2021,E02006424,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Other Black",11
61,2021,E02006424,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups,189
62,2021,E02006424,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Asian,81
63,2021,E02006424,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black African,14
64,2021,E02006424,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black Caribbean,25
65,2021,E02006424,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,69
66,2021,E02006424,2021 super output areas - middle layer,152,White,5313
67,2021,E02006424,2021 super output areas - middle layer,152,"White: English, Welsh, Scottish, Northern Irish or British",4913
68,2021,E02006424,2021 super output areas - middle layer,152,White: Irish,55
69,2021,E02006424,2021 super output areas - middle layer,152,White: Gypsy or Irish Traveller,3
70,2021,E02006424,2021 super output areas - middle layer,152,White: Roma,0
71,2021,E02006424,2021 super output areas - middle layer,152,White: Other White,342
72,2021,E02006424,2021 super output areas - middle layer,152,Other ethnic group,124
73,2021,E02006424,2021 super output areas - middle layer,152,Other ethnic group: Arab,31
74,2021,E02006424,2021 super output areas - middle layer,152,Other ethnic group: Any other ethnic group,93
75,2021,E02006425,2021 super output areas - middle layer,152,Total: All usual residents,6441
76,2021,E02006425,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh",1006
77,2021,E02006425,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Bangladeshi",79
78,2021,E02006425,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Chinese",64
79,2021,E02006425,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Indian",333
80,2021,E02006425,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Pakistani",57
81,2021,E02006425,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Other Asian",473
82,2021,E02006425,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African",112
83,2021,E02006425,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: African",82
84,2021,E02006425,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",20
85,2021,E02006425,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Other Black",10
86,2021,E02006425,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups,191
87,2021,E02006425,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Asian,67
88,2021,E02006425,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black African,22
89,2021,E02006425,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black Caribbean,44
90,2021,E02006425,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,58
91,2021,E02006425,2021 super output areas - middle layer,152,White,4967
92,2021,E02006425,2021 super output areas - middle layer,152,"White: English, Welsh, Scottish, Northern Irish or British",4498
93,2021,E02006425,2021 super output areas - middle layer,152,White: Irish,60
94,2021,E02006425,2021 super output areas - middle layer,152,White: Gypsy or Irish Traveller,10
95,2021,E02006425,2021 super output areas - middle layer,152,White: Roma,4
96,2021,E02006425,2021 super output areas - middle layer,152,White: Other White,395
97,2021,E02006425,2021 super output areas - middle layer,152,Other ethnic group,165
98,2021,E02006425,2021 super output areas - middle layer,152,Other ethnic group: Arab,48
99,2021,E02006425,2021 super output areas - middle layer,152,Other ethnic group: Any other ethnic group,117
100,2021,E02006426,2021 super output areas - middle layer,152,Total: All usual residents,5547
101,2021,E02006426,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh",253
102,2021,E02006426,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Bangladeshi",4
103,2021,E02006426,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Chinese",25
104,2021,E02006426,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Indian",120
105,2021,E02006426,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Pakistani",32
106,2021,E02006426,2021 super output areas - middle layer,152,"Asian, Asian British or Asian Welsh: Other Asian",72
107,2021,E02006426,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African",82
108,2021,E02006426,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: African",58
109,2021,E02006426,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",15
110,2021,E02006426,2021 super output areas - middle layer,152,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9
111,2021,E02006426,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups,135
112,2021,E02006426,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Asian,57
113,2021,E02006426,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black African,17
114,2021,E02006426,2021 super output areas - middle layer,152,Mixed or Multiple ethnic groups: White and Black Caribbean,31
