,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_TTWDIST_11_NAME,OBS_VALUE
70,2021,E02000519,2021 super output areas - middle layer,152,Works mainly from home,771
71,2021,E02000519,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",727
72,2021,E02000520,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,6142
73,2021,E02000520,2021 super output areas - middle layer,152,Less than 2km,610
74,2021,E02000520,2021 super output areas - middle layer,152,2km to less than 5km,847
75,2021,E02000520,2021 super output areas - middle layer,152,5km to less than 10km,1140
76,2021,E02000520,2021 super output areas - middle layer,152,10km to less than 20km,697
77,2021,E02000520,2021 super output areas - middle layer,152,20km to less than 30km,209
78,2021,E02000520,2021 super output areas - middle layer,152,30km to less than 40km,71
79,2021,E02000520,2021 super output areas - middle layer,152,40km to less than 60km,19
80,2021,E02000520,2021 super output areas - middle layer,152,60km and over,63
81,2021,E02000520,2021 super output areas - middle layer,152,Works mainly from home,1371
82,2021,E02000520,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1115
83,2021,E02000521,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,6106
84,2021,E02000521,2021 super output areas - middle layer,152,Less than 2km,477
85,2021,E02000521,2021 super output areas - middle layer,152,2km to less than 5km,1011
86,2021,E02000521,2021 super output areas - middle layer,152,5km to less than 10km,671
87,2021,E02000521,2021 super output areas - middle layer,152,10km to less than 20km,697
88,2021,E02000521,2021 super output areas - middle layer,152,20km to less than 30km,267
89,2021,E02000521,2021 super output areas - middle layer,152,30km to less than 40km,64
90,2021,E02000521,2021 super output areas - middle layer,152,40km to less than 60km,31
91,2021,E02000521,2021 super output areas - middle layer,152,60km and over,64
92,2021,E02000521,2021 super output areas - middle layer,152,Works mainly from home,1761
93,2021,E02000521,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1063
94,2021,E02000522,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4436
95,2021,E02000522,2021 super output areas - middle layer,152,Less than 2km,316
96,2021,E02000522,2021 super output areas - middle layer,152,2km to less than 5km,734
97,2021,E02000522,2021 super output areas - middle layer,152,5km to less than 10km,487
98,2021,E02000522,2021 super output areas - middle layer,152,10km to less than 20km,513
99,2021,E02000522,2021 super output areas - middle layer,152,20km to less than 30km,208
100,2021,E02000522,2021 super output areas - middle layer,152,30km to less than 40km,34
101,2021,E02000522,2021 super output areas - middle layer,152,40km to less than 60km,26
102,2021,E02000522,2021 super output areas - middle layer,152,60km and over,35
103,2021,E02000522,2021 super output areas - middle layer,152,Works mainly from home,1290
104,2021,E02000522,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",793
105,2021,E02000523,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,5396
106,2021,E02000523,2021 super output areas - middle layer,152,Less than 2km,483
107,2021,E02000523,2021 super output areas - middle layer,152,2km to less than 5km,954
108,2021,E02000523,2021 super output areas - middle layer,152,5km to less than 10km,827
109,2021,E02000523,2021 super output areas - middle layer,152,10km to less than 20km,586
110,2021,E02000523,2021 super output areas - middle layer,152,20km to less than 30km,173
111,2021,E02000523,2021 super output areas - middle layer,152,30km to less than 40km,47
112,2021,E02000523,2021 super output areas - middle layer,152,40km to less than 60km,22
113,2021,E02000523,2021 super output areas - middle layer,152,60km and over,44
114,2021,E02000523,2021 super output areas - middle layer,152,Works mainly from home,1340
115,2021,E02000523,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",920
116,2021,E02000524,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3769
117,2021,E02000524,2021 super output areas - middle layer,152,Less than 2km,398
118,2021,E02000524,2021 super output areas - middle layer,152,2km to less than 5km,731
119,2021,E02000524,2021 super output areas - middle layer,152,5km to less than 10km,483
120,2021,E02000524,2021 super output areas - middle layer,152,10km to less than 20km,446
121,2021,E02000524,2021 super output areas - middle layer,152,20km to less than 30km,148
122,2021,E02000524,2021 super output areas - middle layer,152,30km to less than 40km,35
123,2021,E02000524,2021 super output areas - middle layer,152,40km to less than 60km,31
124,2021,E02000524,2021 super output areas - middle layer,152,60km and over,44
125,2021,E02000524,2021 super output areas - middle layer,152,Works mainly from home,791
126,2021,E02000524,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",662
127,2021,E02000525,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4567
128,2021,E02000525,2021 super output areas - middle layer,152,Less than 2km,435
129,2021,E02000525,2021 super output areas - middle layer,152,2km to less than 5km,1022
130,2021,E02000525,2021 super output areas - middle layer,152,5km to less than 10km,719
131,2021,E02000525,2021 super output areas - middle layer,152,10km to less than 20km,520
132,2021,E02000525,2021 super output areas - middle layer,152,20km to less than 30km,159
133,2021,E02000525,2021 super output areas - middle layer,152,30km to less than 40km,57
134,2021,E02000525,2021 super output areas - middle layer,152,40km to less than 60km,14
135,2021,E02000525,2021 super output areas - middle layer,152,60km and over,43
136,2021,E02000525,2021 super output areas - middle layer,152,Works mainly from home,798
137,2021,E02000525,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",800
