,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RESUK_6_NAME,OBS_VALUE
72,2021,E02000154,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",241
73,2021,E02000154,2021 super output areas - middle layer,152,Less than 2 years,189
74,2021,E02000155,2021 super output areas - middle layer,152,Total: All usual residents,7158
75,2021,E02000155,2021 super output areas - middle layer,152,Born in the UK,5908
76,2021,E02000155,2021 super output areas - middle layer,152,10 years or more,925
77,2021,E02000155,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",169
78,2021,E02000155,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",92
79,2021,E02000155,2021 super output areas - middle layer,152,Less than 2 years,64
80,2021,E02000156,2021 super output areas - middle layer,152,Total: All usual residents,12293
81,2021,E02000156,2021 super output areas - middle layer,152,Born in the UK,10591
82,2021,E02000156,2021 super output areas - middle layer,152,10 years or more,1295
83,2021,E02000156,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",185
84,2021,E02000156,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",124
85,2021,E02000156,2021 super output areas - middle layer,152,Less than 2 years,98
86,2021,E02000157,2021 super output areas - middle layer,152,Total: All usual residents,8369
87,2021,E02000157,2021 super output areas - middle layer,152,Born in the UK,7021
88,2021,E02000157,2021 super output areas - middle layer,152,10 years or more,932
89,2021,E02000157,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",200
90,2021,E02000157,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",126
91,2021,E02000157,2021 super output areas - middle layer,152,Less than 2 years,90
92,2021,E02000158,2021 super output areas - middle layer,152,Total: All usual residents,7788
93,2021,E02000158,2021 super output areas - middle layer,152,Born in the UK,6258
94,2021,E02000158,2021 super output areas - middle layer,152,10 years or more,1152
95,2021,E02000158,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",190
96,2021,E02000158,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",115
97,2021,E02000158,2021 super output areas - middle layer,152,Less than 2 years,73
98,2021,E02000159,2021 super output areas - middle layer,152,Total: All usual residents,7117
99,2021,E02000159,2021 super output areas - middle layer,152,Born in the UK,6169
100,2021,E02000159,2021 super output areas - middle layer,152,10 years or more,697
101,2021,E02000159,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",85
102,2021,E02000159,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",79
103,2021,E02000159,2021 super output areas - middle layer,152,Less than 2 years,87
104,2021,E02000160,2021 super output areas - middle layer,152,Total: All usual residents,8111
105,2021,E02000160,2021 super output areas - middle layer,152,Born in the UK,7209
106,2021,E02000160,2021 super output areas - middle layer,152,10 years or more,677
107,2021,E02000160,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",130
108,2021,E02000160,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",62
109,2021,E02000160,2021 super output areas - middle layer,152,Less than 2 years,33
110,2021,E02000161,2021 super output areas - middle layer,152,Total: All usual residents,8703
111,2021,E02000161,2021 super output areas - middle layer,152,Born in the UK,6972
112,2021,E02000161,2021 super output areas - middle layer,152,10 years or more,1204
113,2021,E02000161,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",241
114,2021,E02000161,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",180
115,2021,E02000161,2021 super output areas - middle layer,152,Less than 2 years,106
