,GEOGRAPHY_CODE,All categories: Ethnic group,Asian/Asian British,Asian/Asian British: Bangladeshi,Asian/Asian British: Indian,Asian/Asian British: Other,Asian/Asian British: Pakistani,Black/Black British,Black/Black British: Black African,Black/Black British: Black Caribbean,Black/Black British: Other,Chinese/Other,Chinese/Other: Chinese,Chinese/Other: Other,Mixed,Mixed: Other,Mixed: White and Asian,Mixed: White and Black African,Mixed: White and Black Caribbean,White,White: British,White: Irish,White: Other
0,E02000001,1,0.06833681280445372,0.038413361169102295,0.022129436325678497,0.004592901878914405,0.0032011134307585246,0.025608907446068196,0.0162839248434238,0.007098121085594989,0.0022268615170494086,0.037856645789839945,0.02045929018789144,0.017397355601948505,0.02268615170494085,0.007933194154488519,0.007933194154488519,0.0022268615170494086,0.004592901878914405,0.8455114822546973,0.6832289491997217,0.03354210160055671,0.12874043145441894
1,E02000002,1,0.03751803751803752,0.003046336379669713,0.017957351290684626,0.005130671797338464,0.011383678050344717,0.05291005291005291,0.026936026936026935,0.020522687189353857,0.005451338784672118,0.009780343113676447,0.005291005291005291,0.004489337822671156,0.01827801827801828,0.004168670835337502,0.003367003367003367,0.00160333493666827,0.00913900913900914,0.8815135481802149,0.8454385121051787,0.017797017797017797,0.01827801827801828
2,E02000003,1,0.06561479869423287,0.003808487486398259,0.04417845484221981,0.00837867247007617,0.009249183895538629,0.06507072905331883,0.024809575625680088,0.03416757344940152,0.006093579978237214,0.0088139281828074,0.004134929270946681,0.004678998911860718,0.01708378672470076,0.003264417845484222,0.00500544069640914,0.002720348204570185,0.006093579978237214,0.8434167573449401,0.7929270946681175,0.024591947769314473,0.02589771490750816
3,E02000004,1,0.013709809041945487,0.0009792720744246776,0.00783417659539742,0.001958544148849355,0.002937816223274033,0.026277133997062184,0.016810837277623635,0.008487024645013873,0.0009792720744246776,0.009303084707034438,0.007018116533376856,0.002284968173657581,0.01109841684347968,0.0008160600620205648,0.004406724334911049,0.0021217561612534683,0.0037538762852945976,0.9396115554104782,0.9014199445079157,0.019259017463685326,0.018932593438877102
4,E02000005,1,0.021706016755521706,0.0031733942625031732,0.010408733181010408,0.002284843869002285,0.005839045443005839,0.05585173902005585,0.028433612592028434,0.023736989083523737,0.0036811373445036813,0.005077430820005078,0.0033003300330033004,0.001777100787001777,0.014216806296014217,0.003554201574003554,0.0026656511805026656,0.0011424219345011425,0.006854531607006854,0.9031480071084032,0.8663366336633663,0.017644072099517644,0.019167301345519167
5,E02000006,1,0.05247614720581554,0.006133575647432985,0.02680599727396638,0.0046569741026806,0.014879600181735574,0.05338482507950931,0.026351658337119492,0.021240345297592004,0.005792821444797819,0.005565651976374375,0.003634711494775102,0.001930940481599273,0.01874148114493412,0.0027260336210813267,0.004429804634257156,0.002839618355293049,0.00874602453430259,0.8698318945933666,0.828032712403453,0.017605633802816902,0.024193548387096774
6,E02000007,1,0.010835913312693499,0.001676986584107327,0.004901960784313725,0.001676986584107327,0.0025799793601651187,0.04863261093911249,0.03431372549019608,0.012899896800825593,0.0014189886480908153,0.003869969040247678,0.0015479876160990713,0.0023219814241486067,0.017027863777089782,0.0025799793601651187,0.0014189886480908153,0.003224974200206398,0.00980392156862745,0.9196336429308566,0.8864809081527347,0.015092879256965945,0.01805985552115583
7,E02000008,1,0.011458333333333333,0.000946969696969697,0.005018939393939394,0.0022727272727272726,0.0032196969696969696,0.035606060606060606,0.02149621212121212,0.010227272727272727,0.0038825757575757574,0.005113636363636364,0.0023674242424242425,0.002746212121212121,0.013446969696969697,0.0020833333333333333,0.0017992424242424243,0.002462121212121212,0.007102272727272727,0.934375,0.9042613636363637,0.01553030303030303,0.014583333333333334
8,E02000009,1,0.043825161887141535,0.005550416281221091,0.019195189639222943,0.006591119333950046,0.012488436632747455,0.0660268270120259,0.03896854764107308,0.022432932469935246,0.004625346901017576,0.020351526364477335,0.012950971322849213,0.0074005550416281225,0.020351526364477335,0.0030064754856614245,0.0030064754856614245,0.0030064754856614245,0.011332099907493062,0.849444958371878,0.7927844588344126,0.011216466234967623,0.04544403330249769
9,E02000010,1,0.007698229407236336,0.0016679497049012061,0.0033358994098024123,0.0,0.0026943802925327174,0.04400821144470105,0.03015139851167565,0.012317167051578136,0.001539645881447267,0.003464203233256351,0.0021811649987169618,0.0012830382345393892,0.013856812933025405,0.002052861175263023,0.0024377726456248396,0.001539645881447267,0.007826533230690274,0.9309725429817809,0.9026173979984603,0.015268154991018733,0.01308698999230177
