,GEOGRAPHY_CODE,All people,Divorced,Married (first marriage),Re-married,Separated (but still legally married),Single (never married),Widowed
0,E02000001,1,0.08795088257866462,0.2528012279355334,0.057099002302379125,0.032079815809669995,0.5200306983883346,0.050038372985418265
1,E02000002,1,0.09810850135107047,0.3666597381001871,0.06485138224901268,0.03097069216379131,0.31594263146954893,0.12346705466638952
2,E02000003,1,0.08456891817682592,0.4341021416803954,0.06356397583745195,0.022377814387699067,0.3075233388248215,0.08786381109280615
3,E02000004,1,0.06806930693069307,0.4636963696369637,0.057136963696369635,0.016295379537953795,0.30053630363036304,0.09426567656765676
4,E02000005,1,0.08384628181666944,0.43254034270504077,0.06504741307602728,0.029113292297454667,0.29678921976376643,0.09266345034104143
5,E02000006,1,0.08667273831208258,0.38752276867030966,0.06253794778384943,0.031876138433515486,0.3363691560412872,0.09502125075895568
6,E02000007,1,0.09557189263121901,0.3563002222602154,0.05864250299196444,0.03368097110617199,0.34809369122927,0.10771071978115918
7,E02000008,1,0.0932349323493235,0.38769987699877,0.06027060270602706,0.028290282902829027,0.31414514145141453,0.11635916359163592
8,E02000009,1,0.08575338300136841,0.3393644518777558,0.052607571841265015,0.02995286604835031,0.4187319446556181,0.07358978257564239
9,E02000010,1,0.08853728328564214,0.39404140717051,0.06362565224709645,0.03147618246086517,0.31880154856084836,0.10351792627503788
10,E02000011,1,0.06723796967699407,0.45001098659635247,0.06284333113601406,0.025049439683586024,0.3076246978686003,0.08723357503845308
11,E02000012,1,0.052194148936170214,0.49833776595744683,0.05103058510638298,0.014960106382978724,0.2917220744680851,0.09175531914893617
12,E02000013,1,0.08648555708390647,0.4140302613480055,0.06585281980742778,0.029573590096286108,0.3098349381017882,0.09422283356258597
13,E02000014,1,0.08751286953963819,0.39902926901014857,0.06545080158846889,0.025444918370348582,0.31916458302691575,0.10339755846448007
14,E02000015,1,0.10869565217391304,0.32141405932547745,0.053636733035351485,0.04388459975619667,0.3780983340105648,0.09427062169849655
15,E02000016,1,0.09175184216781554,0.33444259567387685,0.05110530068932731,0.052531495127169,0.4254813406227716,0.0446874257190397
16,E02000017,1,0.06696200374850912,0.4462429715454081,0.0439597887203953,0.02777304481172261,0.35099676265121826,0.06406542852274663
17,E02000018,1,0.08872362504323764,0.38913870632998965,0.05914908336215842,0.031822898650985816,0.3201314424074715,0.11103424420615704
18,E02000019,1,0.08379787807948211,0.42078762812443804,0.06959180003596475,0.029491098723251213,0.31846790145657256,0.07786369358029131
19,E02000020,1,0.08472839084386743,0.4067304407242911,0.05517594806969593,0.029381619405534676,0.3110693542876666,0.11291424666894431
20,E02000021,1,0.08576576576576576,0.430990990990991,0.05693693693693694,0.02846846846846847,0.32216216216216215,0.07567567567567568
21,E02000022,1,0.11501377410468319,0.29797979797979796,0.03627180899908173,0.0608356290174472,0.43067033976124885,0.05922865013774105
22,E02000023,1,0.09465791940018745,0.3247422680412371,0.04194001874414246,0.044283036551077785,0.4126054358013121,0.0817713214620431
23,E02000024,1,0.07226169727845556,0.4583724359833758,0.061000134066228714,0.01863520579166108,0.30620726638959644,0.0835232604906824
24,E02000025,1,0.08827809215844785,0.3936944219886823,0.05173807599029911,0.029426030719482618,0.3597413096200485,0.07712206952303961
25,E02000026,1,0.057482855990318674,0.5,0.057482855990318674,0.01734570391286809,0.2983057684550222,0.06938281565147236
26,E02000027,1,0.08771436603879675,0.4118639302783244,0.04947989879111611,0.029659825695811076,0.35113859994377283,0.0701433792521788
27,E02000028,1,0.0662557781201849,0.4699537750385208,0.054589478318291876,0.02157164869029276,0.3116883116883117,0.07594100814439797
28,E02000029,1,0.07827371184771907,0.4210699048244175,0.04824417459796521,0.02822448309812931,0.3628158844765343,0.061371841155234655
29,E02000030,1,0.060657118786857624,0.5226060095478798,0.061078348778433024,0.01965739960685201,0.2517551249648975,0.08424599831508003
30,E02000031,1,0.051401065841499054,0.5104005501117415,0.05483926422554582,0.01684717208182912,0.27454014096613377,0.09197180677325081
31,E02000032,1,0.04113377117179399,0.5651572761838921,0.039751123401313516,0.014172139647424819,0.27359142758382304,0.0661942620117525
32,E02000033,1,0.07994510207582775,0.44295762566477953,0.04391833933779379,0.028306742151312403,0.32681420483787954,0.07805798593240693
33,E02000034,1,0.06870834655664869,0.44271659790542683,0.04411298000634719,0.018724214535068232,0.34782608695652173,0.07791177403998731
34,E02000035,1,0.06666666666666667,0.4273462783171521,0.04061488673139159,0.016828478964401296,0.36666666666666664,0.08187702265372168
35,E02000036,1,0.06404736275565123,0.47591496232508074,0.052072120559741655,0.021932185145317546,0.30368675995694294,0.08234660925726588
36,E02000037,1,0.04577056778679027,0.543018539976825,0.04562572421784473,0.01738122827346466,0.27925840092699883,0.06894553881807648
37,E02000038,1,0.0655645839170636,0.425049033342673,0.04174838890445503,0.02297562342392827,0.37517511908097506,0.06948725133090501
38,E02000039,1,0.04981625153123724,0.5010208248264598,0.05451204573295223,0.017558187015108206,0.3170681910984075,0.06002449979583503
39,E02000040,1,0.0724363023794483,0.43314381975152666,0.049694672562644766,0.026531901452937462,0.34007159401979364,0.07812170983364919
40,E02000041,1,0.059183336088609685,0.4800793519590015,0.043312944288312116,0.019837989750371963,0.3088113737807902,0.08877500413291453
41,E02000042,1,0.06296441141963238,0.39212618954503975,0.036501108069352105,0.022031025941858948,0.4000782166601486,0.08629904836396819
42,E02000043,1,0.04621239579557811,0.5449438202247191,0.03715114171801377,0.015766582094961942,0.29594055817325116,0.059985501993475895
43,E02000044,1,0.08148539246744105,0.4083069341781063,0.04963041182682154,0.034494896163322776,0.36272439281942975,0.06335797254487856
44,E02000045,1,0.08323798627002288,0.35855263157894735,0.044479405034324945,0.030463386727688786,0.41762013729977115,0.06564645308924486
45,E02000046,1,0.05968977027292362,0.3783624582760652,0.032593756135872766,0.022383663852346358,0.43530335754957783,0.07166699391321421
46,E02000047,1,0.08236973590292648,0.38215560314061386,0.04354032833690221,0.03112062812276945,0.3764453961456103,0.08436830835117773
47,E02000048,1,0.0627601665065642,0.4819084213896894,0.05571565802113353,0.0196926032660903,0.3115593980147294,0.06836375280179315
48,E02000049,1,0.1002960769800148,0.3499259807549963,0.04145077720207254,0.052553663952627686,0.3982235381199112,0.0575499629903775
49,E02000050,1,0.06901468700983887,0.39754741194923715,0.03807215171823756,0.02794809639241409,0.3968344503065735,0.07058320262369884
50,E02000051,1,0.054805276381909546,0.4282349246231156,0.04271356783919598,0.016802763819095477,0.36840452261306533,0.08903894472361809
51,E02000052,1,0.07609583446773754,0.3268445412469371,0.031445684726381706,0.023550231418459026,0.4791723386877212,0.06289136945276341
52,E02000053,1,0.055069582504970176,0.3874751491053678,0.03618290258449304,0.029423459244532803,0.43339960238568587,0.0584493041749503
53,E02000054,1,0.0644833197721725,0.4208706265256306,0.03336045565500407,0.018510984540276647,0.40886899918633035,0.05390561432058584
54,E02000055,1,0.05936254980079681,0.3954847277556441,0.03413014608233732,0.020849933598937585,0.4059760956175299,0.08419654714475432
55,E02000056,1,0.04525211894842695,0.4914523775319638,0.04510846142795576,0.015658669731360438,0.3133170521476799,0.08921132021261313
56,E02000057,1,0.04932829554995802,0.4888748950461797,0.03757346767422334,0.017632241813602016,0.33690176322418136,0.06968933669185558
57,E02000058,1,0.0609353507565337,0.42861072902338376,0.04594222833562586,0.017881705639614855,0.3606602475928473,0.0859697386519945
58,E02000059,1,0.06916019760056458,0.42568807339449544,0.03415666901905434,0.028087508821453777,0.3760056457304164,0.06690190543401553
59,E02000060,1,0.036921244603245494,0.44811671877326187,0.02977519726068185,0.010421319041238648,0.3841000446627959,0.09066547565877624
60,E02000061,1,0.04782392851232831,0.4151911302333278,0.04021181532351481,0.014893264934635116,0.4113850736389211,0.07049478735727288
61,E02000062,1,0.07729692200879426,0.3464475815783383,0.03587132608192548,0.03841703309419116,0.4265216385096043,0.0754454987271465
62,E02000063,1,0.04862762048843743,0.4149556948346661,0.032850659174411066,0.023989626107629135,0.41365895828830773,0.06591744110654851
63,E02000064,1,0.08220357219711642,0.3135356143748655,0.03701312674843985,0.0342156229825694,0.45836023240800516,0.07467183128900366
64,E02000065,1,0.08836712913553896,0.4072572038420491,0.0631803628601921,0.03820704375667022,0.35240128068303095,0.050586979722518674
65,E02000066,1,0.11157202117007581,0.3520240308968674,0.06608496638535259,0.048490916893148335,0.3534544414246889,0.06837362322986697
66,E02000067,1,0.10706530816769667,0.37431100718222815,0.05879405378319693,0.03791548354768665,0.3460831802238183,0.0758309670953733
67,E02000068,1,0.09712918660287082,0.3617224880382775,0.061483253588516744,0.042105263157894736,0.36770334928229664,0.06985645933014355
68,E02000069,1,0.08199913457377758,0.41453916053656426,0.06490696668109043,0.029208135006490697,0.32020770229337947,0.08913890090869753
69,E02000070,1,0.06555227794165848,0.5129465748934775,0.06948541461815798,0.023762700753851198,0.24532940019665683,0.08292363159619796
70,E02000071,1,0.06995661605206074,0.4833694866232827,0.06670281995661605,0.026572668112798264,0.28669558929862615,0.06670281995661605
71,E02000072,1,0.10880020798128169,0.3548680618744313,0.06551410373066424,0.04315611594956454,0.36071753542181206,0.0669439750422462
72,E02000073,1,0.051982916412446616,0.5476510067114094,0.06345332519829164,0.01574130567419158,0.24295302013422818,0.07821842586943258
73,E02000074,1,0.1060151702240254,0.3831363556182748,0.06367966131592874,0.0317516316810725,0.3102840007055918,0.10513318045510672
74,E02000075,1,0.05697008274984087,0.5358052196053469,0.06572246976448122,0.016072565245066835,0.23551877784850414,0.08991088478676003
75,E02000076,1,0.06291861173127664,0.4672214329206414,0.05865638319464177,0.023746701846965697,0.2851633854272377,0.10229348487923685
76,E02000077,1,0.0647752520936592,0.5050418731840711,0.0647752520936592,0.017945650316185266,0.2669629123226799,0.08049905998974534
77,E02000078,1,0.058746307843780765,0.5300295372497539,0.05956678700361011,0.019363308171972432,0.266163439448638,0.06613062028224483
78,E02000079,1,0.06626603865518922,0.44161117427318497,0.06074386876725678,0.022251096313139516,0.297060256618483,0.11206756537274647
79,E02000080,1,0.05842120262182958,0.5104018238814477,0.048446850954687946,0.02080364776289541,0.26859504132231404,0.0933314334568253
80,E02000081,1,0.0772207267833109,0.46332436069986543,0.06813593539703904,0.022711978465679676,0.26749663526244954,0.10111036339165545
81,E02000082,1,0.05131540907776814,0.5355594102341718,0.06418039895923677,0.017490604220873084,0.25701069673315985,0.0744434807747904
82,E02000083,1,0.08817078520251499,0.4158502705073841,0.07135546132475508,0.031144904225764002,0.30165228834624946,0.09182629039333236
83,E02000084,1,0.0632295719844358,0.5175097276264592,0.06359435797665369,0.01872568093385214,0.2604571984435798,0.07648346303501946
84,E02000085,1,0.0648912860273049,0.5155907635260408,0.054441260744985676,0.020900050564638464,0.2708579133659194,0.07331872577111073
85,E02000086,1,0.05538085255066387,0.5384346610761706,0.06201956673654787,0.016596785464709992,0.2709643605870021,0.05660377358490566
86,E02000087,1,0.06456953642384106,0.518046357615894,0.06390728476821192,0.015728476821192054,0.24635761589403973,0.0913907284768212
