,GEOGRAPHY_CODE,All categories: Religion,Buddhist,Christian,Hindu,Jewish,Muslim,No religion,Other religion,Religion not stated,Sikh
0,E02000001,1,0.005845511482254697,0.5497564370215727,0.015170494084899096,0.031454418928322896,0.056089074460681974,0.24592901878914405,0.0072372999304105776,0.08587334725121781,0.0026443980514961724
1,E02000002,1,0.003367003367003367,0.7072310405643739,0.011383678050344717,0.005611672278338945,0.027737694404361073,0.15456148789482121,0.001443001443001443,0.08273208273208273,0.005932339265672599
2,E02000003,1,0.0018498367791077257,0.7183895538628945,0.0264417845484222,0.007181719260065288,0.030467899891186073,0.13307943416757345,0.002176278563656148,0.06158868335146899,0.01882480957562568
3,E02000004,1,0.00277460421086992,0.7695446384853926,0.005222784396931615,0.001958544148849355,0.008976660682226212,0.1490125673249551,0.0008160600620205648,0.05957238452750122,0.0021217561612534683
4,E02000005,1,0.0007616146230007616,0.7225184056867225,0.00456968773800457,0.0024117796395024117,0.02145214521452145,0.16907844630616908,0.0016501650165016502,0.07184564610307184,0.0057121096725057125
5,E02000006,1,0.0015901862789641072,0.6933212176283507,0.013630168105406633,0.005679236710586098,0.03589277601090413,0.1599273057701045,0.002498864152657883,0.07644252612448887,0.01101771921853703
6,E02000007,1,0.0020639834881320948,0.7042053663570691,0.0023219814241486067,0.0024509803921568627,0.02218782249742002,0.19169246646026833,0.0014189886480908153,0.07146542827657379,0.0021929824561403508
7,E02000008,1,0.0017992424242424243,0.7294507575757576,0.002840909090909091,0.002556818181818182,0.014015151515151515,0.15890151515151515,0.0016098484848484848,0.08683712121212121,0.0019886363636363634
8,E02000009,1,0.004740980573543016,0.6659343200740055,0.012141535615171138,0.004509713228492137,0.03919981498612396,0.16766882516188714,0.0018501387604070306,0.09736355226641998,0.006591119333950046
9,E02000010,1,0.00038476337052712584,0.7232268821341542,0.00243683468000513,0.0030781069642170067,0.014749262536873156,0.16621777606771834,0.0017955623957932538,0.08734128510965757,0.0007695267410542517
