,GEOGRAPHY_CODE,All communal establishments,Medical and care establishments - Housing association,Medical and care establishments - Local Authority - Children's home,Medical and care establishments - Local Authority - Other,Medical and care establishments - NHS - Other hospital home,Medical and care establishments - NHS - Psychiatric hospital / home,Medical and care establishments - Other,Medical and care establishments - Other - Children's home,Medical and care establishments - Other - Nursing home,Medical and care establishments - Other - Residential care home,Number of residents by communal establishment type,Other establishments,Residents in establishments with limiting long-term illness - medical and care establishments,Residents in establishments with limiting long-term illness - other establishments
3715,E02004144,1,0.0,0.0,2.5714285714285716,0.0,0.0,0.0,0.0,4.714285714285714,6.285714285714286,13.571428571428571,0.0,13.142857142857142,0.0
3716,E02004145,1,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,4.222222222222222,10.777777777777779,0.0,10.222222222222221,0.0
3717,E02004146,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25,12.25,0.0,11.5,0.0
3718,E02004147,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,14.5,4.25,9.625,2.25
3719,E02004148,1,0.0,0.0,1.0333333333333334,0.0,0.0,0.0,0.0,2.566666666666667,9.0,19.2,6.6,11.666666666666666,0.3
3720,E02004149,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,1.4642857142857142,88.89285714285714,86.5,2.357142857142857,3.642857142857143
3721,E02004150,1,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,4.25,6.0,0.0,4.25,0.0
3722,E02004151,1,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,7.4,9.6,0.6,8.2,0.0
3723,E02004152,1,0.0,0.0,0.2413793103448276,0.0,0.0,0.5517241379310345,0.0,3.1724137931034484,3.7586206896551726,27.344827586206897,19.620689655172413,7.379310344827586,3.2758620689655173
3724,E02004154,1,6.9,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.8,20.2,11.2,8.8,0.3
3725,E02004155,1,0.0,0.0,4.833333333333333,1.6666666666666667,0.0,0.0,0.0,0.0,1.1666666666666667,7.666666666666667,0.0,7.5,0.0
3726,E02004156,1,0.2564102564102564,0.0,0.0,0.41025641025641024,0.0,0.0,0.0,0.7435897435897436,0.38461538461538464,15.333333333333334,13.538461538461538,1.2820512820512822,2.282051282051282
3727,E02004157,1,0.625,0.0,0.0,0.1875,0.0,0.4375,0.0,3.875,7.5,26.5,13.875,12.1875,3.0
3728,E02004158,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.846153846153846,5.846153846153846,0.0,3.6923076923076925
