,GEOGRAPHY_CODE,2001 Density(number of people per hectare),All people,Area (hectares),Females,Males,People living in communal establishments,People living in households,Students away from home
0,E02000001,0.0034502435629784273,1,0.04036186499652053,0.4666666666666667,0.5333333333333333,0.04509394572025052,0.9549060542797495,0.009324982602644399
1,E02000002,0.004625621292287959,1,0.03463203463203463,0.5396825396825397,0.4603174603174603,0.00320666987333654,0.9967933301266635,0.002886002886002886
2,E02000003,0.004669205658324265,1,0.023286180631120784,0.5210010881392818,0.4789989118607182,0.0006528835690968443,0.9993471164309031,0.003917301414581066
3,E02000004,0.004011751264893096,1,0.04063979108862412,0.5263587400032642,0.4736412599967358,0.030194222294760896,0.9698057777052391,0.004243512322506937
4,E02000005,0.008417110941863417,1,0.015105356689515105,0.5215790809850216,0.4784209190149784,0.0,1.0,0.003808073115003808
5,E02000006,0.008606315311222171,1,0.013175829168559746,0.5269195820081781,0.4730804179918219,0.00045433893684688776,0.9995456610631531,0.001930940481599273
6,E02000007,0.005761093911248709,1,0.02244582043343653,0.5396026831785345,0.46039731682146545,0.011480908152734778,0.9885190918472653,0.0029669762641898866
7,E02000008,0.007042613636363637,1,0.013446969696969697,0.5319128787878787,0.4680871212121212,0.000946969696969697,0.9990530303030303,0.0019886363636363634
8,E02000009,0.01041049953746531,1,0.011100832562442183,0.5269426456984274,0.47305735430157264,0.047525439407955596,0.9524745605920444,0.0021970397779833488
9,E02000010,0.00891995895330939,1,0.014366341713699333,0.5288609543355567,0.4711390456644433,0.0,1.0,0.0014109799897383272
10,E02000011,0.006273075583420411,1,0.027690700104493208,0.5097526994078718,0.4902473005921282,0.00557297109021247,0.9944270289097875,0.0033089515848136537
11,E02000012,0.007691061301647313,1,0.017553335133675397,0.5184985147177964,0.4815014852822036,0.0,1.0,0.006346205779098029
12,E02000013,0.007664646996838777,1,0.017123287671232876,0.5316122233930453,0.4683877766069547,0.0,1.0,0.0017123287671232876
13,E02000014,0.008384032568132986,1,0.013456971615967431,0.518715368087753,0.48128463191224696,0.003844849033133552,0.9961551509668665,0.0013570055411059596
14,E02000015,0.007343261355174982,1,0.020253164556962026,0.5268801191362621,0.4731198808637379,0.0010424422933730455,0.998957557706627,0.002531645569620253
15,E02000016,0.011283263305322129,1,0.015581232492997199,0.5022759103641457,0.49772408963585435,0.0,1.0,0.0056022408963585435
16,E02000017,0.011409511228533686,1,0.011624834874504624,0.49682959048877146,0.5031704095112285,0.002642007926023778,0.9973579920739762,0.005812417437252312
17,E02000018,0.00736457204767064,1,0.018418201516793065,0.5349404117009751,0.46505958829902494,0.01042795232936078,0.9895720476706392,0.002979414951245937
18,E02000019,0.003291599353796446,1,0.04092622509423802,0.5131933225632741,0.4868066774367259,0.007404415724286483,0.9925955842757135,0.001884760366182014
19,E02000020,0.0029238227146814403,1,0.04736842105263158,0.5332409972299169,0.4667590027700831,0.006232686980609419,0.9937673130193906,0.003601108033240997
20,E02000021,0.003471997845988153,1,0.03877221324717286,0.5110393107162089,0.48896068928379105,0.010231556273559504,0.9897684437264405,0.004038772213247173
21,E02000022,0.013352675693101225,1,0.012088974854932301,0.5262733720180529,0.47372662798194715,0.01708575112830432,0.9829142488716957,0.004674403610573823
22,E02000023,0.005728801681850035,1,0.030658724597056763,0.5322354590049054,0.4677645409950946,0.008759635599159075,0.991240364400841,0.003854239663629993
23,E02000024,0.002664719246997728,1,0.04057124310288867,0.5281834902088066,0.47181650979119333,0.020664286487071297,0.9793357135129287,0.017851346965271016
24,E02000025,0.004163495604251411,1,0.031491930192888075,0.521453877443905,0.478546122556095,0.0034116257708962077,0.9965883742291038,0.011153391943314526
25,E02000026,0.0068212027881342195,1,0.02382882152698979,0.5130491165504945,0.4869508834495056,0.0072945372021397305,0.9927054627978603,0.011184957043280921
26,E02000027,0.005971896955503513,1,0.017777304662550564,0.5347030019161166,0.4652969980838833,0.01724505003193528,0.9827549499680647,0.009687034277198211
27,E02000028,0.009473307058402007,1,0.01898960945897528,0.508599068434253,0.49140093156574705,0.012540308133285561,0.9874596918667145,0.015944106055177355
28,E02000029,0.005936524453694069,1,0.021852237252861603,0.5097554630593132,0.49024453694068676,0.0,1.0,0.01040582726326743
29,E02000030,0.000686263675544259,1,0.16112277599734778,0.519394408221903,0.48060559177809703,0.01878660625483479,0.9812133937451653,0.021770361365896784
30,E02000031,0.005157093425605536,1,0.02685121107266436,0.5289965397923876,0.47100346020761247,0.022837370242214532,0.9771626297577855,0.019792387543252594
31,E02000032,0.007154661892301337,1,0.019281090758848644,0.5117752375705825,0.4882247624294174,0.0030298856906762154,0.9969701143093238,0.016113482991323508
