,GEOGRAPHY_CODE,All households,Average household size,Average number of rooms per household,Lowest floor level - Basement or semi-basement,Lowest floor level - Ground level (street level),Lowest floor level - fifth floor or higher,Lowest floor level - first to fourth floor,Occupancy rating of -1 or less,With central heating and sole use of bath/shower and toilet,With central heating; without sole use of bath/shower and toilet,Without central heating or sole use of bath/shower and toilet,Without central heating; with sole use of bath/shower and toilet
49,E02000050,3436.0,2.52,4.96,0.02211874272409779,0.7421420256111758,0.004656577415599534,0.23108265424912688,0.1559953434225844,0.9415017462165308,0.01338766006984866,0.0032013969732246797,0.04190919674039581
50,E02000051,3243.0,2.31,5.36,0.027135368485969782,0.6361393771199506,0.012642614862781376,0.3240826395312982,0.11840888066604996,0.9506629663891458,0.005242059821153253,0.003083564600678384,0.04101140918902251
51,E02000052,4097.0,2.13,4.65,0.024652184525262386,0.6311935562606785,0.011715889675372224,0.33243836953868683,0.12496948987063705,0.9289724188430559,0.0061020258725897,0.00244081034903588,0.062484744935318526
52,E02000053,2649.0,2.27,4.41,0.005285013212533031,0.7334843337108343,0.0026425066062665155,0.25858814647036615,0.2359380898452246,0.9199697999244998,0.013590033975084938,0.003775009437523594,0.06266515666289166
53,E02000054,2476.0,2.4,5.0,0.008077544426494346,0.7463651050080775,0.002827140549273021,0.24273021001615508,0.1631663974151858,0.9450726978998385,0.008077544426494346,0.0012116316639741518,0.046445880452342485
54,E02000055,3788.0,2.32,4.98,0.013727560718057022,0.6248680042238648,0.029303062302006334,0.3321013727560718,0.15047518479408659,0.9363780359028511,0.008447729672650475,0.0007919746568109821,0.05438225976768744
55,E02000056,3356.0,2.52,6.31,0.01698450536352801,0.7738379022646007,0.0023837902264600714,0.2067938021454112,0.0733015494636472,0.948450536352801,0.0023837902264600714,0.0166865315852205,0.03247914183551848
56,E02000057,2285.0,2.71,5.3,0.01225382932166302,0.7466083150984683,0.004814004376367615,0.2363238512035011,0.12516411378555797,0.9470459518599562,0.0056892778993435445,0.0,0.04726477024070022
57,E02000058,3836.0,2.35,5.47,0.010166840458811261,0.7789363920750783,0.0010427528675703858,0.20985401459854014,0.10870698644421273,0.9376955161626694,0.004953076120959333,0.010166840458811261,0.047184567257559956
58,E02000059,3649.0,2.4,4.3,0.007399287476020828,0.7106056453822965,0.019457385585091806,0.26253768155659085,0.25404220334338173,0.9158673609208002,0.016168813373526995,0.0038366675801589476,0.06412715812551384
59,E02000060,3044.0,2.93,5.64,0.017082785808147174,0.7726675427069645,0.005913272010512484,0.20433639947437582,0.1360052562417871,0.971419185282523,0.00788436268068331,0.0,0.020039421813403416
60,E02000061,2931.0,2.41,5.54,0.032753326509723645,0.6414193108154214,0.0017059024223814397,0.32412146025247357,0.1702490617536677,0.9157284203343569,0.03445922893210508,0.007505970658478335,0.042306380075059706
61,E02000062,2238.0,2.44,4.44,0.01161751563896336,0.7390527256478999,0.025915996425379804,0.22341376228775692,0.2068811438784629,0.9182305630026809,0.01161751563896336,0.004468275245755138,0.06568364611260054
62,E02000063,2105.0,2.68,5.15,0.003800475059382423,0.8755344418052257,0.0,0.12066508313539193,0.15676959619952494,0.9444180522565321,0.010451306413301662,0.005700712589073635,0.039429928741092635
63,E02000064,2367.0,2.26,4.72,0.021546261089987327,0.5610477397549641,0.045627376425855515,0.3717786227291931,0.1930713983945923,0.9315589353612167,0.009294465568229826,0.0016899028305872412,0.0574566962399662
64,E02000065,2504.0,2.48,4.5,0.003993610223642172,0.7679712460063898,0.03194888178913738,0.19608626198083068,0.1361821086261981,0.950479233226837,0.001597444089456869,0.0,0.04792332268370607
65,E02000066,3824.0,2.45,4.41,0.007845188284518828,0.5706066945606695,0.08812761506276151,0.3334205020920502,0.1532426778242678,0.9411610878661087,0.0015690376569037657,0.0,0.05700836820083682
66,E02000067,3378.0,2.31,4.66,0.037892243931320305,0.7190645352279456,0.0008880994671403197,0.24215512137359385,0.09591474245115453,0.9002368265245707,0.0026642984014209592,0.0008880994671403197,0.09680284191829484
67,E02000068,2394.0,2.3,4.54,0.015455304928989139,0.7309941520467836,0.02422723475355054,0.22932330827067668,0.11194653299916457,0.9152046783625731,0.003341687552213868,0.0,0.08145363408521303
68,E02000069,2435.0,2.36,5.02,0.020944558521560575,0.7893223819301848,0.0,0.188911704312115,0.07227926078028747,0.9166324435318275,0.0,0.0,0.08295687885010267
69,E02000070,3108.0,2.45,5.23,0.008043758043758044,0.9037966537966537,0.0,0.08815958815958816,0.04504504504504504,0.9314671814671814,0.0009652509652509653,0.0,0.06756756756756757
70,E02000071,2746.0,2.64,5.25,0.0032774945375091042,0.9089584850691915,0.013474144209759651,0.07428987618353969,0.055353241077931534,0.9206117989803351,0.0025491624180626364,0.0010924981791697013,0.07611070648215586
71,E02000072,4530.0,2.32,4.45,0.003973509933774834,0.7359823399558499,0.08167770419426049,0.17836644591611478,0.123841059602649,0.9178807947019868,0.0017660044150110375,0.0,0.08035320088300221
72,E02000073,3955.0,2.61,5.63,0.00202275600505689,0.9676359039190897,0.0,0.03008849557522124,0.02604298356510746,0.9378002528445006,0.0015170670037926676,0.0,0.0606826801517067
73,E02000074,3151.0,2.33,4.65,0.001904157410345922,0.8159314503332276,0.016185337987940335,0.1659790542684862,0.08854331958108537,0.8857505553792446,0.006347191367819739,0.0,0.10790225325293558
74,E02000075,3168.0,2.47,5.46,0.0015782828282828283,0.9375,0.0,0.06092171717171717,0.03630050505050505,0.9438131313131313,0.0012626262626262627,0.0,0.054924242424242424
75,E02000076,2560.0,2.37,5.15,0.00390625,0.877734375,0.00234375,0.116015625,0.041015625,0.912890625,0.0,0.0,0.086328125
76,E02000077,2868.0,2.61,5.37,0.0024407252440725243,0.9400278940027894,0.0,0.05718270571827057,0.04741980474198047,0.9027196652719666,0.001394700139470014,0.0010460251046025104,0.09483960948396095
77,E02000078,2966.0,2.55,5.4,0.0023600809170600135,0.933243425488874,0.0,0.06405933917734322,0.03236682400539447,0.916385704652731,0.0010114632501685772,0.0010114632501685772,0.08260283209710047
78,E02000079,3174.0,2.3,5.32,0.013862633900441084,0.8440453686200378,0.000945179584120983,0.14177693761814744,0.04410838059231254,0.923755513547574,0.001890359168241966,0.000945179584120983,0.07340894770006301
79,E02000080,3508.0,2.53,5.36,0.0019954389965792475,0.8956670467502851,0.0,0.10233751425313568,0.052451539338654506,0.9267388825541619,0.0014253135689851768,0.0008551881413911061,0.0709806157354618
80,E02000081,3084.0,2.37,5.25,0.00616083009079118,0.882295719844358,0.0009727626459143969,0.11121919584954604,0.05188067444876784,0.9332036316472114,0.0,0.0,0.06647211413748379
81,E02000082,3343.0,2.64,5.49,0.0008973975471133712,0.9617110379898295,0.0,0.037391564463057136,0.03320370924319473,0.9323960514507927,0.003290457672749028,0.0,0.06431349087645827
82,E02000083,3703.0,2.38,4.99,0.01647312989467999,0.8595733189305969,0.0,0.12368349986497434,0.06346205779098028,0.8898190656224683,0.0013502565487442614,0.001890359168241966,0.1069403186605455
83,E02000084,4074.0,2.51,5.64,0.005154639175257732,0.9285714285714286,0.0007363770250368188,0.06578301423662249,0.03313696612665685,0.9484536082474226,0.0022091310751104565,0.0,0.049091801669121256
84,E02000085,3006.0,2.53,5.21,0.000998003992015968,0.9271457085828343,0.0,0.0718562874251497,0.04291417165668663,0.927478376580173,0.0,0.0,0.07252162341982701
85,E02000086,2742.0,2.66,5.56,0.0010940919037199124,0.9518599562363238,0.0,0.04741064916119621,0.036105032822757115,0.9463894967177243,0.0010940919037199124,0.0,0.0525164113785558
86,E02000087,3052.0,2.35,5.88,0.02948885976408912,0.8636959370904325,0.000982961992136304,0.1064875491480996,0.03014416775884666,0.968872870249017,0.000982961992136304,0.0,0.030471821756225426
87,E02000088,2905.0,2.54,5.59,0.0010327022375215145,0.9686746987951808,0.0,0.0306368330464716,0.030292598967297763,0.9487091222030981,0.0,0.0,0.05129087779690189
88,E02000089,2844.0,2.59,5.73,0.0,0.9676511954992968,0.0,0.03164556962025317,0.025668073136427567,0.94901547116737,0.0010548523206751054,0.0,0.05063291139240506
89,E02000090,3782.0,2.05,4.98,0.007932310946589107,0.7210470650449498,0.0007932310946589106,0.2702273929138022,0.060814383923849816,0.9212057112638815,0.0021152829190904283,0.0,0.07641459545214173
90,E02000091,4157.0,2.16,5.11,0.005292278085157566,0.7548713014192927,0.003367813326918451,0.23646860716863122,0.08660091412076017,0.9384171277363483,0.012990137118114024,0.0014433485686793362,0.04714938657685831
91,E02000092,2490.0,2.28,4.91,0.0036144578313253013,0.7995983935742972,0.0,0.19678714859437751,0.0714859437751004,0.8799196787148594,0.0036144578313253013,0.0,0.11646586345381527
92,E02000093,3166.0,3.03,5.12,0.00505369551484523,0.8885028427037271,0.0012634238787113076,0.10518003790271636,0.18414403032217308,0.9469361970941251,0.003790271636133923,0.0009475679090334807,0.04864181933038535
93,E02000094,2643.0,2.84,4.91,0.006053726825576996,0.8146046159667045,0.0018917896329928112,0.1774498675747257,0.18047673098751418,0.9353007945516458,0.00340522133938706,0.0011350737797956867,0.060158910329171394
94,E02000095,3162.0,2.87,4.99,0.003478810879190386,0.808032890575585,0.0031625553447185324,0.18532574320050602,0.19133459835547123,0.9408602150537635,0.004743833017077799,0.0,0.054079696394686905
95,E02000096,2647.0,2.87,5.8,0.0018889308651303363,0.8734416320362675,0.0,0.12466943709860219,0.10578012844729882,0.9709104646769928,0.001511144692104269,0.0,0.027578390630902908
96,E02000097,2861.0,2.68,4.92,0.0031457532331352674,0.8511010136315973,0.0,0.14505417686123734,0.1705697308633345,0.9503670045438658,0.004194337644180357,0.0010485844110450892,0.044390073400908774
97,E02000098,2682.0,2.64,5.15,0.0044742729306487695,0.8366890380313199,0.0,0.1580909768829232,0.156972408650261,0.9604772557792692,0.011185682326621925,0.0011185682326621924,0.027591349739000747
98,E02000099,2604.0,2.69,4.87,0.005376344086021506,0.7953149001536098,0.002304147465437788,0.19700460829493088,0.18202764976958524,0.9358678955453149,0.0069124423963133645,0.0,0.057219662058371736
99,E02000100,2436.0,3.03,5.79,0.006568144499178982,0.9006568144499179,0.0012315270935960591,0.09195402298850575,0.12848932676518884,0.9704433497536946,0.0049261083743842365,0.0,0.024220032840722498
100,E02000101,2857.0,2.55,4.63,0.008750437521876094,0.6583829191459573,0.002450122506125306,0.3304165208260413,0.23101155057752887,0.9334966748337417,0.007350367518375919,0.006650332516625832,0.052502625131256565
101,E02000102,2727.0,2.81,4.46,0.0088008800880088,0.7920792079207921,0.0033003300330033004,0.19581958195819582,0.27832783278327833,0.9262926292629263,0.008434176751008434,0.0018335166850018336,0.06343967730106344
102,E02000103,2839.0,2.64,4.65,0.007749207467418105,0.7516731243395561,0.0024656569214512153,0.2381120112715745,0.21169425854174004,0.960901725959845,0.004931313842902431,0.0,0.03346248679112364
103,E02000104,2158.0,2.67,5.27,0.004633920296570899,0.8169601482854495,0.0013901760889712697,0.17747914735866543,0.15894346617238184,0.9578313253012049,0.005097312326227989,0.0013901760889712697,0.03568118628359592
