,GEOGRAPHY_CODE,All people,Elsewhere,England,Northern Ireland,Other EU countries,Republic of Ireland,Scotland,Wales
0,E02000001,1,0.19596381350034794,0.6545581071677105,0.010716771050800279,0.055254001391788446,0.02268615170494085,0.03994432846207376,0.020876826722338204
1,E02000002,1,0.07279140612473946,0.8866442199775533,0.003046336379669713,0.005772005772005772,0.015873015873015872,0.011063011063011063,0.00481000481000481
2,E02000003,1,0.09347116430903156,0.862132752992383,0.003808487486398259,0.0056583242655059846,0.018933623503808488,0.009249183895538629,0.006746463547334059
3,E02000004,1,0.04080300310102824,0.9218214460584299,0.002448180186061694,0.006038844458952179,0.017137261302431858,0.00718132854578097,0.004569936347315162
4,E02000005,1,0.057755775577557754,0.9096217314039097,0.0029195227215029194,0.005077430820005078,0.01408987052551409,0.0063467885250063465,0.004188880426504189
5,E02000006,1,0.07519309404815992,0.8910722398909586,0.0027260336210813267,0.007837346660608814,0.01340299863698319,0.006133575647432985,0.003634711494775102
6,E02000007,1,0.052889576883384935,0.9158926728586171,0.001805985552115583,0.0045149638802889575,0.011480908152734778,0.007223942208462332,0.006191950464396285
7,E02000008,1,0.04384469696969697,0.9232007575757576,0.0017992424242424243,0.004734848484848485,0.013636363636363636,0.007102272727272727,0.005681818181818182
8,E02000009,1,0.09597594819611471,0.8580018501387604,0.002543940795559667,0.025092506938020353,0.008903792784458834,0.0049722479185938945,0.004509713228492137
9,E02000010,1,0.04066187788609543,0.9315033350436122,0.002052334530528476,0.0035915854284248334,0.011800923550538737,0.0061570035915854285,0.004232939969214982
10,E02000011,1,0.061825148032044586,0.9038662486938349,0.0012190874259839777,0.006095437129919889,0.014280738418669453,0.007662835249042145,0.005050505050505051
11,E02000012,1,0.0758844180394275,0.8875236294896031,0.003105590062111801,0.008101539292465569,0.012152308938698352,0.008506616257088847,0.004725897920604915
12,E02000013,1,0.04056902002107481,0.9270284510010537,0.0013171759747102212,0.0069810326659641726,0.012249736564805058,0.006322444678609062,0.0055321390937829295
13,E02000014,1,0.04003166346262581,0.9254777790342644,0.0023747596969354292,0.006445776320253308,0.0123261336650458,0.007237362885898451,0.006106524934976818
14,E02000015,1,0.06418466120625466,0.9049888309754281,0.0016381236038719286,0.006701414743112435,0.011169024571854059,0.007594936708860759,0.0037230081906180195
15,E02000016,1,0.3018207282913165,0.6446078431372549,0.0028011204481792717,0.01750700280112045,0.01523109243697479,0.010329131652661064,0.007703081232492998
16,E02000017,1,0.24715984147952444,0.7088507265521796,0.002509907529722589,0.012285336856010569,0.013606340819022457,0.006869220607661823,0.008718626155878468
17,E02000018,1,0.0628385698808234,0.9023564463705309,0.0021668472372697724,0.006635969664138678,0.009886240520043338,0.010698808234019502,0.005417118093174431
18,E02000019,1,0.06112008616047388,0.9096661281637048,0.002154011847065159,0.0045772751750134625,0.009827679052234787,0.006058158319870759,0.006596661281637049
19,E02000020,1,0.13878116343490304,0.8209141274238227,0.003601108033240997,0.009695290858725761,0.013850415512465374,0.007894736842105263,0.005263157894736842
20,E02000021,1,0.09410339256865913,0.8532579429186861,0.0022886375875067312,0.006596661281637049,0.030694668820678513,0.008212170166935918,0.004846526655896607
21,E02000022,1,0.24935525467440361,0.7143778207607995,0.0009671179883945841,0.014345583494519665,0.008704061895551257,0.008381689232753063,0.0038684719535783366
22,E02000023,1,0.13945339873861248,0.8288367203924317,0.00350385423966363,0.01051156271899089,0.005255781359495445,0.007883672039243167,0.004555010511562719
23,E02000024,1,0.10635075192037217,0.8145623715243968,0.00551768906199286,0.02390998593530239,0.019582386670994267,0.01622849724115547,0.013848317645786
24,E02000025,1,0.12203122949744129,0.8092113895814198,0.006167169662773914,0.018370292612518043,0.01771421073349954,0.014565017714210734,0.011940690198136728
25,E02000026,1,0.15205057545793482,0.782622791376236,0.0037283190144269734,0.022207813259847626,0.016210082671421624,0.013940671097422596,0.009239747122710326
26,E02000027,1,0.14796678731104962,0.7814562486693635,0.005216095380029807,0.018522461145411964,0.025974025974025976,0.012454758356397701,0.008409623163721524
27,E02000028,1,0.15388749552131853,0.7620924399856682,0.003403797921891795,0.032067359369401645,0.023468290935148694,0.0146900752418488,0.010390541024722321
28,E02000029,1,0.12578043704474506,0.8076222684703434,0.005202913631633715,0.021592091571279916,0.020031217481789803,0.01131633714880333,0.008454734651404786
29,E02000030,1,0.15614985081224445,0.7750027627362139,0.004751906287987623,0.027185324345231517,0.017349983423582717,0.01105094485578517,0.00850922753895458
30,E02000031,1,0.17217993079584776,0.7237370242214533,0.009688581314878892,0.03058823529411765,0.0243598615916955,0.02629757785467128,0.01314878892733564
31,E02000032,1,0.23729513841068722,0.6938438231648534,0.003305329844374053,0.030987467291006748,0.01721525960611486,0.00867649084148189,0.00867649084148189
32,E02000033,1,0.1745646010530579,0.7546915080329418,0.005265289590927501,0.022816254894019172,0.023086269744835967,0.012150668286755772,0.007425408397461861
33,E02000034,1,0.1799227799227799,0.7302445302445303,0.006177606177606178,0.028185328185328186,0.028056628056628057,0.015701415701415703,0.011711711711711712
34,E02000035,1,0.2749293500201857,0.631678105234827,0.003902570313551339,0.03902570313551339,0.024222850222042795,0.015475709864082896,0.010765711209796797
35,E02000036,1,0.23018308815747698,0.709598899354429,0.0040215895861995974,0.020107947930997988,0.01809715313789819,0.010583130489998942,0.007408191342999259
36,E02000037,1,0.2142459654980523,0.7332220367278798,0.001669449081803005,0.022259321090706732,0.013912075681691708,0.01001669449081803,0.004674457429048414
37,E02000038,1,0.22261045987376016,0.6868800721370604,0.006086564472497746,0.03133453561767358,0.02851668169522092,0.014540126239855726,0.01003155996393147
38,E02000039,1,0.1956769055745165,0.7254997562164798,0.0029254022428083864,0.03136681293677881,0.01901511457825451,0.01722736876320494,0.008288639687957094
39,E02000040,1,0.1899723262249715,0.7016115904281296,0.007325411036952629,0.037766563568289106,0.02783656194041999,0.022627380758587008,0.01286016604265017
40,E02000041,1,0.26574700676730867,0.6591618948464342,0.002732951587714732,0.026288391462779802,0.026288391462779802,0.010931806350858927,0.008849557522123894
41,E02000042,1,0.30061619718309857,0.5957306338028169,0.005941901408450704,0.04148327464788732,0.02827904929577465,0.01639524647887324,0.011553697183098592
42,E02000043,1,0.312832303491881,0.6059778703836758,0.0025865785313981893,0.04296594338266992,0.01480097715188964,0.01235809742779135,0.008478229630694065
43,E02000044,1,0.21669980119284293,0.703247183565275,0.0035785288270377734,0.02292909211398277,0.031941683233929756,0.015109343936381709,0.0064943671305500335
44,E02000045,1,0.22955264347040216,0.6856077722548577,0.006100316312697696,0.024401265250790782,0.029710799819249886,0.016606416629010395,0.008020786262991414
45,E02000046,1,0.30637296115688584,0.5789473684210527,0.005717168320161426,0.046914410627207,0.029762905666722718,0.017151504960484277,0.015133680847486128
46,E02000047,1,0.2644293834717971,0.6489943156974202,0.006340183646698732,0.020004372540446,0.04142982072584171,0.01060341058154788,0.00819851333624836
47,E02000048,1,0.27070680966533145,0.6451737950639618,0.0028427445406383253,0.036826463367360125,0.018219408192272902,0.015247447990696472,0.010983331179738985
48,E02000049,1,0.3255457679050172,0.6014298480786416,0.0031916251755393847,0.03153325673432912,0.02132005617260309,0.010851525596833908,0.006127920337035618
49,E02000050,1,0.2675173749572747,0.6407656374615472,0.004671299988606586,0.029850746268656716,0.034977782841517605,0.01298849265124758,0.009228665831149596
50,E02000051,1,0.2945645055664702,0.6140144073346431,0.004715127701375246,0.04309102815979044,0.01584806810740013,0.01741977734119188,0.010347085789129011
51,E02000052,1,0.22753258632517723,0.6636176537845873,0.006174251086210839,0.0415046878573062,0.02824148182026069,0.020923850903270067,0.012005488223187743
52,E02000053,1,0.3793216990451103,0.5190977938755351,0.006091537701679289,0.040171221600263415,0.038030951596970695,0.011195258478761936,0.006091537701679289
53,E02000054,1,0.3166470687048547,0.6032252645724845,0.003191668066521082,0.04384344028221065,0.01612632286242231,0.011086846967915337,0.005879388543591466
54,E02000055,1,0.3109614747764654,0.5874820620377526,0.0037531736394745556,0.05508334253228833,0.02163594215697097,0.011590683298377305,0.009493321558670935
55,E02000056,1,0.25700615174299385,0.6480975165185692,0.00455684666210982,0.05160628844839371,0.012759170653907496,0.014126224652540442,0.011847801321485532
56,E02000057,1,0.32062169524114725,0.6019868610799551,0.0025636917160711424,0.04374298990546387,0.011857074186829034,0.012658227848101266,0.006569460022432303
57,E02000058,1,0.26583397811429205,0.6294904388194982,0.003758151873549243,0.06399911572897093,0.012821929921520946,0.013816734829225158,0.010279650712943518
58,E02000059,1,0.3516220830961867,0.5543540125213432,0.004553215708594195,0.03016505406943654,0.04029595902105862,0.011269208878770632,0.007740466704610131
59,E02000060,1,0.3173941653871463,0.5848870366308401,0.0019741171309497698,0.07051985084448344,0.008664180741390656,0.008335161219565694,0.00822548804562404
