,GEOGRAPHY_CODE,All categories: Tenure,Other,Owned outright,Owned with a mortgage or loan,Rented from a housing association/registered social landlord,Rented from a private landlord or letting agency,Rented from council(local authority),Shared ownership
0,E02000001,1,0.07952973720608575,0.25149838635315813,0.239741816505302,0.0735361917934532,0.2090825265099124,0.14269248501613646,0.003918856615952052
1,E02000002,1,0.0274323335771763,0.23299195318215069,0.27359180687637163,0.0570592538405267,0.03401609363569861,0.3701536210680322,0.004754937820043892
2,E02000003,1,0.013477801268498943,0.3031183932346723,0.4540169133192389,0.0153276955602537,0.08985200845665962,0.1202431289640592,0.003964059196617336
3,E02000004,1,0.017083333333333332,0.28625,0.4766666666666667,0.044583333333333336,0.03208333333333333,0.13375,0.009583333333333333
4,E02000005,1,0.015032884434700909,0.23488881929220168,0.4246789852803007,0.014719699342311305,0.03789539617914187,0.2649545881616035,0.007829627309740057
5,E02000006,1,0.025859619210002842,0.15828360329639102,0.39471440750213127,0.0392156862745098,0.049730036942313156,0.32395566922421143,0.008240977550440466
6,E02000007,1,0.018390111546578235,0.1724449804039795,0.27042508290624057,0.006933976484775399,0.02562556526982213,0.5034669882423877,0.0027132951462164605
7,E02000008,1,0.01818181818181818,0.1729490022172949,0.3549889135254989,0.013303769401330377,0.036585365853658534,0.4008869179600887,0.0031042128603104213
8,E02000009,1,0.02457757296466974,0.15360983102918588,0.3824884792626728,0.041167434715821814,0.07035330261136713,0.3062980030721966,0.021505376344086023
9,E02000010,1,0.014845230574857865,0.17277321541377133,0.3673404927353127,0.02337334175615919,0.030322173089071383,0.38692356285533797,0.004421983575489577
10,E02000011,1,0.014366565084893338,0.31780583369612536,0.4675663909447105,0.01697866782760122,0.06878537222464083,0.11188506747932085,0.00261210274270788
11,E02000012,1,0.01742043551088777,0.35678391959798994,0.4355108877721943,0.010050251256281407,0.03785594639865997,0.14003350083752095,0.0023450586264656616
12,E02000013,1,0.011912427559562138,0.16613007083065034,0.3538312942691565,0.017385705086928525,0.03316162266580811,0.41468126207340633,0.0028976175144880875
13,E02000014,1,0.011232799775344004,0.15388935692221287,0.36955911260881774,0.02780117944397641,0.03201347935973041,0.4026958719460826,0.002808199943836001
14,E02000015,1,0.016503873358033008,0.13843044796227685,0.27046143482654095,0.06702593465813406,0.0549006399461098,0.4469518356348939,0.0057258336140114515
15,E02000016,1,0.03334722801167153,0.09045435598165902,0.23634847853272198,0.02209253855773239,0.14005835764902042,0.4743643184660275,0.003334722801167153
16,E02000017,1,0.021708185053380784,0.26334519572953735,0.4494661921708185,0.02704626334519573,0.11387900355871886,0.11850533807829182,0.006049822064056939
17,E02000018,1,0.014340344168260038,0.14467813894200127,0.3489483747609943,0.017845761631612493,0.032823454429572976,0.4305289993626514,0.010834926704907584
18,E02000019,1,0.015796703296703296,0.13873626373626374,0.4065934065934066,0.04361263736263736,0.02918956043956044,0.35748626373626374,0.008585164835164836
19,E02000020,1,0.016708701134930642,0.18221941992433796,0.3426860025220681,0.026796973518284993,0.05327868852459016,0.36885245901639346,0.009457755359394703
20,E02000021,1,0.01569584931984653,0.24380885943494943,0.4785490059295431,0.029298918730380187,0.08615277293337983,0.13324032089291943,0.013254272758981514
21,E02000022,1,0.022615906520919715,0.056162834526950624,0.09084055785902752,0.0041462495288352805,0.04146249528835281,0.7794949114210328,0.005277044854881266
22,E02000023,1,0.01623119556611243,0.08867775138558986,0.2403008709422011,0.022565320665083134,0.03642121931908155,0.5878859857482185,0.00791765637371338
23,E02000024,1,0.03128286014721346,0.37828601472134593,0.43480546792849634,0.02365930599369085,0.09437434279705573,0.03207150368033649,0.005520504731861199
24,E02000025,1,0.02226662860405367,0.29003711104767343,0.40508135883528407,0.05338281473023123,0.13217242363688267,0.0879246360262632,0.009135027119611762
25,E02000026,1,0.03481012658227848,0.37104430379746833,0.44185126582278483,0.014636075949367089,0.08702531645569621,0.0379746835443038,0.012658227848101266
26,E02000027,1,0.02396983571236197,0.2103420414758955,0.3592782116886615,0.06867761917586857,0.05952060328575276,0.25855103689738757,0.01966065176407218
27,E02000028,1,0.022127659574468085,0.3621276595744681,0.43872340425531914,0.029787234042553193,0.1097872340425532,0.02595744680851064,0.01148936170212766
28,E02000029,1,0.024132730015082957,0.2642533936651584,0.4515837104072398,0.022926093514328807,0.1541478129713424,0.07360482654600302,0.009351432880844645
29,E02000030,1,0.02523003858711784,0.42000593647966755,0.3748886910062333,0.013950727218759276,0.04155535767289997,0.11962006530127635,0.004749183734045711
30,E02000031,1,0.08298319327731092,0.39880952380952384,0.32492997198879553,0.03571428571428571,0.12149859943977591,0.032913165266106444,0.0031512605042016808
31,E02000032,1,0.02246763137852247,0.39223153084539225,0.48095963442498096,0.01485148514851485,0.06321401370906321,0.021706016755521706,0.00456968773800457
32,E02000033,1,0.023809523809523808,0.31712962962962965,0.4113756613756614,0.05720899470899471,0.07771164021164022,0.09060846560846561,0.022156084656084655
33,E02000034,1,0.020048602673147023,0.3101458080194411,0.41737545565006073,0.028250303766707167,0.15279465370595383,0.06348724179829891,0.007897934386391251
34,E02000035,1,0.03177004538577912,0.2901664145234493,0.31981845688350985,0.06989409984871407,0.21936459909228442,0.06232980332829047,0.0066565809379727685
35,E02000036,1,0.023944040893193436,0.2908259348937315,0.452515469464622,0.041969330104923326,0.08797417271993543,0.09227871939736347,0.010492332526230832
36,E02000037,1,0.019218846869187848,0.3406695598264104,0.38127712337259767,0.04184748915065096,0.06354618722876627,0.1500309981401116,0.0034097954122752636
37,E02000038,1,0.0287950796757059,0.29354207436399216,0.4333240145373218,0.04081632653061224,0.1260833100363433,0.07072966172770478,0.006709533128319821
38,E02000039,1,0.019433882551753275,0.38867765103506546,0.4233206590621039,0.010984368398817067,0.1144909167722856,0.03929024081115336,0.0038022813688212928
39,E02000040,1,0.07004405286343612,0.2779735682819383,0.3295154185022026,0.1105726872246696,0.08986784140969163,0.113215859030837,0.00881057268722467
40,E02000041,1,0.03163265306122449,0.3231292517006803,0.37857142857142856,0.023809523809523808,0.14591836734693878,0.09183673469387756,0.00510204081632653
41,E02000042,1,0.03220897793558204,0.2931777834136444,0.32919097134161807,0.02916560994166878,0.25133147349733703,0.05782399188435201,0.007101191985797616
42,E02000043,1,0.024777390631049168,0.3716608594657375,0.38559814169570267,0.01548586914440573,0.1753774680603949,0.024777390631049168,0.0023228803716608595
43,E02000044,1,0.02207428170988087,0.18815697266993692,0.3608969866853539,0.04835318850735809,0.08479327259985985,0.26278906797477225,0.032936229852838124
44,E02000045,1,0.03246421267893661,0.20040899795501022,0.38880368098159507,0.06109406952965235,0.12576687116564417,0.174079754601227,0.017382413087934562
45,E02000046,1,0.030466640956421133,0.28345545699961433,0.32009255688391824,0.03200925568839182,0.30736598534516,0.022753567296567682,0.0038565368299267257
46,E02000047,1,0.02464121310587598,0.15380449499052262,0.3436230706742486,0.039805036555645816,0.11183319794205253,0.3165448145139453,0.00974817221770918
47,E02000048,1,0.032063492063492065,0.3673015873015873,0.4123809523809524,0.01873015873015873,0.14222222222222222,0.022222222222222223,0.005079365079365079
48,E02000049,1,0.02692569870483981,0.08759372869802318,0.17893660531697342,0.18779822767552828,0.0678254942058623,0.4379686434901159,0.012951601908657124
49,E02000050,1,0.02532013969732247,0.24272409778812573,0.32945285215366704,0.1580325960419092,0.1379511059371362,0.09313154831199069,0.01338766006984866
50,E02000051,1,0.05272895467160037,0.37280296022201664,0.2892383595436324,0.014184397163120567,0.21245760098674069,0.0545790934320074,0.004008633980881899
51,E02000052,1,0.03026604832804491,0.23456187454234806,0.3512326092262631,0.03758847937515255,0.21357090554063948,0.12863070539419086,0.004149377593360996
52,E02000053,1,0.039637599093997736,0.2650056625141563,0.32955832389580975,0.06983767459418648,0.17893544733861835,0.10456776141940355,0.01245753114382786
53,E02000054,1,0.025848142164781908,0.3069466882067851,0.38368336025848143,0.034329563812600966,0.19951534733441034,0.04483037156704362,0.004846526655896607
54,E02000055,1,0.03907074973600845,0.31388595564941923,0.2779831045406547,0.039334741288278775,0.21832101372756071,0.10770855332629356,0.003695881731784583
55,E02000056,1,0.043802145411203815,0.4269964243146603,0.3137663885578069,0.04499404052443385,0.14928486293206197,0.01966626936829559,0.0014898688915375446
56,E02000057,1,0.038074398249452954,0.3312910284463895,0.3238512035010941,0.013566739606126914,0.23326039387308534,0.05776805251641138,0.002188183807439825
57,E02000058,1,0.027111574556830033,0.3813868613138686,0.3013555787278415,0.03884254431699687,0.22393117831074036,0.024504692387904068,0.002867570385818561
58,E02000059,1,0.03453000822143053,0.2460948204987668,0.3181693614688956,0.020827624006577145,0.16251027678816113,0.20800219238147438,0.009865716634694436
59,E02000060,1,0.03777923784494087,0.34526938239159,0.28055190538764785,0.0588042049934297,0.25459921156373194,0.017739816031537452,0.005256241787122208
60,E02000061,1,0.03923575571477311,0.35858068918457864,0.22517911975435004,0.01501194131695667,0.32821562606618904,0.02968270214943705,0.0040941658137154556
61,E02000062,1,0.028596961572832886,0.16085790884718498,0.2868632707774799,0.10053619302949061,0.18096514745308312,0.22207327971403037,0.020107238605898123
62,E02000063,1,0.031353919239904986,0.3197149643705463,0.35581947743467934,0.021852731591448932,0.20617577197149645,0.05843230403800475,0.00665083135391924
