,GEOGRAPHY_CODE,All females aged 16-74 in employment,All males aged 16-74 in employment,Female - Mean hours worked,Females - Full-time - 31 to 37 hours,Females - Full-time - 38 to 48 hours,Females - Full-time - 49 or more hours,Females - Part-time - 1 to 5 hours,Females - Part-time - 16 to 30 hours,Females - Part-time - 6 to 15 hours,Male - Mean hours worked,Males - Full-time - 31 to 37 hours,Males - Full-time - 38 to 48 hours,Males - Full-time - 49 or more hours,Males - Part-time - 1 to 5 hours,Males - Part-time - 16 to 30 hours,Males - Part-time - 6 to 15 hours
0,E02000001,1801.0,1.3820099944475293,0.022615213770127707,0.1676846196557468,0.42420877290394227,0.2537479178234314,0.007773459189339256,0.0982787340366463,0.04830649639089395,0.025374791782343146,0.11826762909494726,0.5596890616324264,0.572459744586341,0.01110494169905608,0.07995558023320377,0.04053303720155469
1,E02000002,991.0,1.187689202825429,0.031402623612512615,0.272452068617558,0.2875882946518668,0.04238143289606458,0.015136226034308779,0.2613521695257316,0.12108980827447023,0.041957618567103935,0.20080726538849647,0.6185671039354188,0.2532795156407669,0.010090817356205853,0.07669021190716448,0.028254288597376387
2,E02000003,1980.0,1.1585858585858586,0.01603030303030303,0.29444444444444445,0.2914141414141414,0.050505050505050504,0.014646464646464647,0.2313131313131313,0.11767676767676767,0.02129292929292929,0.19797979797979798,0.6196969696969697,0.25,0.004545454545454545,0.06111111111111111,0.025252525252525252
3,E02000004,1297.0,1.1673091750192752,0.024363916730917503,0.2991518889745567,0.29067077872012337,0.04240555127216654,0.01079414032382421,0.24903623747108714,0.1079414032382421,0.03272937548188127,0.21202775636083268,0.5967617579028527,0.27756360832690824,0.0,0.052428681572860444,0.028527370855821126
4,E02000005,1505.0,1.198671096345515,0.020624584717607974,0.2691029900332226,0.2664451827242525,0.04784053156146179,0.011960132890365448,0.2877076411960133,0.11694352159468438,0.028073089700996676,0.19335548172757475,0.6471760797342193,0.2744186046511628,0.0053156146179402,0.0504983388704319,0.027906976744186046
5,E02000006,1530.0,1.2143790849673202,0.02015032679738562,0.28954248366013075,0.2633986928104575,0.040522875816993466,0.013071895424836602,0.2679738562091503,0.12549019607843137,0.027385620915032678,0.19869281045751633,0.6477124183006536,0.26666666666666666,0.0,0.0738562091503268,0.027450980392156862
6,E02000007,1248.0,1.1690705128205128,0.02548878205128205,0.2948717948717949,0.30528846153846156,0.038461538461538464,0.014423076923076924,0.23237179487179488,0.11458333333333333,0.03362980769230769,0.20432692307692307,0.6049679487179487,0.2564102564102564,0.004807692307692308,0.07772435897435898,0.020833333333333332
7,E02000008,1808.0,1.2400442477876106,0.017228982300884956,0.27488938053097345,0.273783185840708,0.042588495575221236,0.019358407079646017,0.2881637168141593,0.10121681415929204,0.023141592920353983,0.2245575221238938,0.6847345132743363,0.24557522123893805,0.0027654867256637168,0.06415929203539823,0.01825221238938053
8,E02000009,1569.0,1.105799872530274,0.019929891650732952,0.2855321861057999,0.2836201402166985,0.04079031230082855,0.011472275334608031,0.2555768005098789,0.12300828553218611,0.027023581899298914,0.15423836838750796,0.6035691523263225,0.25430210325047803,0.0031867431485022306,0.0579987253027406,0.032504780114722756
9,E02000010,1395.0,1.1483870967741936,0.021799283154121864,0.30752688172043013,0.25161290322580643,0.02724014336917563,0.017921146953405017,0.2752688172043011,0.12043010752688173,0.030000000000000002,0.1913978494623656,0.621505376344086,0.24946236559139784,0.0064516129032258064,0.05089605734767025,0.02867383512544803
10,E02000011,1216.0,1.2401315789473684,0.025904605263157895,0.3067434210526316,0.2631578947368421,0.05098684210526316,0.009868421052631578,0.24753289473684212,0.12171052631578948,0.03484375,0.22532894736842105,0.6644736842105263,0.27631578947368424,0.005756578947368421,0.04523026315789474,0.023026315789473683
11,E02000012,1603.0,1.182158452900811,0.019320024953212726,0.29507174048658763,0.2657517155333749,0.046163443543356206,0.019962570180910792,0.24578914535246413,0.1272613849033063,0.026213349968808485,0.2214597629444791,0.6126013724267,0.25701809107922646,0.0037429819089207735,0.058640049906425455,0.028696194635059263
12,E02000013,1382.0,1.1794500723589,0.022257597684515195,0.29739507959479017,0.2633863965267728,0.03256150506512301,0.016642547033285094,0.2901591895803184,0.09985528219971057,0.03057163531114327,0.18451519536903038,0.6548480463096961,0.2575976845151954,0.0,0.05861070911722142,0.023878437047756874
13,E02000014,1567.0,1.2501595405232928,0.019355456285896615,0.2673899170389279,0.2610082961072112,0.042118698149329926,0.014677728142948309,0.2795149968091895,0.13529036375239312,0.027198468410976385,0.204211869814933,0.6726228462029356,0.28844926611359284,0.0019144862795149968,0.05998723675813657,0.02297383535417996
14,E02000015,1126.0,1.1820603907637655,0.028481349911190054,0.3037300177619893,0.2895204262877442,0.052397868561278864,0.011545293072824156,0.238898756660746,0.10390763765541741,0.037655417406749554,0.19005328596802842,0.633214920071048,0.27886323268206037,0.003552397868561279,0.04706927175843695,0.02930728241563055
15,E02000016,969.0,1.2982456140350878,0.03437564499484004,0.30340557275541796,0.32301341589267285,0.06191950464396285,0.010319917440660475,0.19607843137254902,0.10526315789473684,0.04232198142414861,0.23116615067079463,0.6264189886480909,0.2631578947368421,0.005159958720330237,0.13312693498452013,0.0392156862745098
16,E02000017,1417.0,1.3182780522230064,0.023154551870148202,0.3013408609738885,0.3013408609738885,0.06633733239237827,0.013408609738884969,0.2180663373323924,0.0995059985885674,0.02874382498235709,0.23712067748764998,0.6866619618913197,0.2427664079040226,0.006351446718419196,0.11362032462949895,0.03175723359209598
