,GEOGRAPHY_CODE,1 car or van in household,2 cars or vans in household,3 cars or vans in household,4 or more cars or vans in household,All categories: Car or van availability,No cars or vans in household,sum of all cars or vans in the area
0,E02000001,0.32664822498847396,0.04241585984324574,0.006685108344859382,0.003918856615952052,1,0.6203319502074689,0.44744121715076074
1,E02000002,0.43489392831016827,0.13752743233357717,0.02377468910021946,0.0073152889539136795,1,0.39648866130212146,0.8116313094367228
2,E02000003,0.48652219873150104,0.18921775898520085,0.0306553911205074,0.00872093023255814,1,0.28488372093023256,0.9936575052854123
3,E02000004,0.4708333333333333,0.22875,0.041666666666666664,0.009166666666666667,1,0.24958333333333332,1.0916666666666666
4,E02000005,0.4550579392420921,0.19041653617287818,0.02474162229877858,0.007203257124960852,1,0.3225806451612903,0.9404948324459755
5,E02000006,0.44870701903949983,0.15373685706166523,0.02159704461494743,0.00625177607274794,1,0.36970730321113954,0.8479681727763569
6,E02000007,0.4060898402170636,0.11667169128730781,0.021103406692794695,0.004220681338558939,1,0.45191438046427496,0.7217365088935785
7,E02000008,0.45033259423503325,0.1286031042128603,0.017516629711751663,0.004434589800443459,1,0.3991130820399113,0.7789356984478936
8,E02000009,0.46912442396313364,0.13947772657450078,0.021505376344086023,0.0039938556067588326,1,0.36589861751152075,0.8291858678955453
9,E02000010,0.47694251421351863,0.13108022741629816,0.01926721415034744,0.002842703727100442,1,0.3698673404927353,0.808275426405559
10,E02000011,0.477579451458424,0.19808445798868088,0.031780583369612536,0.0108837614279495,1,0.28167174575533305,1.017849368741837
11,E02000012,0.4710217755443886,0.21273031825795644,0.04254606365159129,0.009715242881072027,1,0.2639865996649916,1.0656616415410385
12,E02000013,0.45460399227301995,0.14745653573728268,0.019639407598197038,0.0070830650354153256,1,0.371216999356085,0.8399871216999356
13,E02000014,0.440325751193485,0.14658803706823925,0.016006739679865205,0.005897219882055603,1,0.39118225217635494,0.8073574838528503
14,E02000015,0.4085550690468171,0.10845402492421691,0.01583024587403166,0.002694509936005389,1,0.46446615021892895,0.6854159649713708
15,E02000016,0.3914130887869946,0.07878282617757398,0.006669445602334306,0.0020842017507294707,1,0.5210504376823677,0.5810754481033764
16,E02000017,0.48505338078291815,0.14661921708185052,0.02491103202846975,0.004626334519572953,1,0.3387900355871886,0.8729537366548042
17,E02000018,0.44773741236456344,0.12619502868068833,0.02198852772466539,0.0041427660930529,1,0.39993626513702996,0.7829827915869981
18,E02000019,0.4996565934065934,0.14869505494505494,0.023351648351648352,0.003434065934065934,1,0.3248626373626374,0.8811813186813187
19,E02000020,0.4300126103404792,0.11443883984867591,0.009457755359394703,0.0028373266078184113,1,0.4432534678436318,0.6992433795712484
20,E02000021,0.5141262643878619,0.17649110568538542,0.02267178235088943,0.004185559818625741,1,0.2825252877572375,0.9536100453435647
21,E02000022,0.34489257444402566,0.05201658499811534,0.005653976630229929,0.0018846588767433095,1,0.5955522050508858,0.4779494911421033
22,E02000023,0.42003167062549485,0.09224069675376088,0.010688836104513063,0.0023752969121140144,1,0.4746634996041172,0.6480601741884402
23,E02000024,0.4687171398527865,0.2618296529968454,0.054153522607781286,0.015509989484752892,1,0.19978969505783387,1.2268664563617244
24,E02000025,0.4764487582072509,0.22323722523551243,0.03825292606337425,0.0105623751070511,1,0.2514987153868113,1.0850699400513846
25,E02000026,0.4825949367088608,0.28401898734177217,0.06131329113924051,0.013844936708860759,1,0.15822784810126583,1.295490506329114
26,E02000027,0.4516563425801239,0.20764880150821438,0.03824400754107191,0.006733099919202801,1,0.29571774845138704,1.0102343118771882
27,E02000028,0.48340425531914893,0.274468085106383,0.05319148936170213,0.01446808510638298,1,0.17446808510638298,1.2548936170212766
28,E02000029,0.4763197586726998,0.22473604826546004,0.04132730015082956,0.016591251885369532,1,0.24102564102564103,1.1239819004524887
29,E02000030,0.38230929059067975,0.3351142772336005,0.10893440189967349,0.03829029385574354,1,0.13535173642030277,1.5523894330661918
30,E02000031,0.45973389355742295,0.26820728291316526,0.06197478991596639,0.018907563025210083,1,0.19117647058823528,1.2678571428571428
31,E02000032,0.4181264280274181,0.32977913175932977,0.0715917745620716,0.018659558263518658,1,0.16184310738766183,1.3735719725818736
32,E02000033,0.46064814814814814,0.23875661375661375,0.03802910052910053,0.011574074074074073,1,0.2509920634920635,1.1025132275132274
33,E02000034,0.44775212636695016,0.24027946537059539,0.04465370595382746,0.01974483596597813,1,0.24756986634264885,1.1473268529769138
34,E02000035,0.4750378214826021,0.19606656580937973,0.03146747352496218,0.010287443267776097,1,0.28714069591527985,1.0066565809379728
