,GEOGRAPHY_CODE,All usual residents aged 16 to 74,Economically Inactive,Economically active,Economically active: Employee: Full-time,Economically active: Employee: Part-time,Economically active: Full-time student,Economically active: In employment,Economically active: Self-employed,Economically active: Unemployed,Economically inactive: Long-term sick or disabled,Economically inactive: Looking after home or family,Economically inactive: Other,Economically inactive: Retired,Economically inactive: Student (including full-time students),Long-term unemployed,Unemployed: Age 16 to 24,Unemployed: Age 50 to 74,Unemployed: Never worked
0,E02000001,4044.6666666666665,0.2525135981539476,0.7474864018460525,0.5009065435965057,0.04549200593373991,0.019284654689302787,0.6925993077303445,0.14620075820009892,0.03560243942640515,0.029668699522004287,0.03823965716169441,0.03461348277567167,0.08999505521674633,0.05999670347783089,0.008241305422778969,0.006922696555134333,0.00774682709741223,0.004697544090984012
1,E02000002,2748.0,0.4189713731198447,0.5810286268801553,0.34788937409024745,0.10116448326055313,0.018922852983988356,0.5111596312469675,0.06210577389616691,0.050946142649199416,0.07544881125667152,0.10286268801552645,0.042212518195050945,0.16472586123241145,0.03372149442018438,0.018437651625424552,0.014070839398350314,0.00727802037845706,0.005579815623483746
2,E02000003,4395.333333333333,0.31897467010465647,0.6810253298953436,0.442135598361899,0.10541483391475807,0.025329895343546186,0.6264219626876991,0.07887153041104203,0.029273471864098285,0.043227665706051875,0.07765812225087214,0.0345821325648415,0.12710450477779464,0.036402244805096316,0.008342181101167906,0.010465645381465192,0.003488548460488397,0.002123464280297285
3,E02000004,2873.3333333333335,0.317169373549884,0.6828306264501159,0.45522041763341065,0.11206496519721577,0.018561484918793503,0.6359628770301623,0.06867749419953596,0.02830626450116009,0.05568445475638051,0.06751740139211136,0.027610208816705333,0.13689095127610207,0.029466357308584688,0.008120649651972157,0.00951276102088167,0.003016241299303944,0.00197215777262181
4,E02000005,3657.3333333333335,0.3607364199781261,0.6392635800218739,0.4053955523149836,0.11283266496536638,0.02059788552679548,0.5858549033904483,0.06762668611009844,0.03281079110462996,0.06872037914691943,0.08986511119212541,0.03408676631425447,0.13251913962814438,0.035545023696682464,0.00966095515858549,0.010390083849799489,0.004557054320087495,0.003827925628873496
5,E02000006,3960.6666666666665,0.3825955226392863,0.6174044773607138,0.3898333613869719,0.10755765022723447,0.020535263423666048,0.5544521124389834,0.05706110082477697,0.042417101498064304,0.07978454805588285,0.09796330584076755,0.04477360713684565,0.11664702911967682,0.04342703248611345,0.01380239017000505,0.014307355664029625,0.005554620434270325,0.006901195085002525
6,E02000007,3434.6666666666665,0.4173136645962733,0.5826863354037267,0.3682065217391305,0.09297360248447205,0.018245341614906832,0.5104813664596274,0.04930124223602485,0.05395962732919255,0.07958074534161491,0.12441770186335403,0.047166149068322984,0.1282996894409938,0.037849378881987576,0.018051242236024844,0.013392857142857144,0.007763975155279504,0.003881987577639752
7,E02000008,4774.0,0.388353581901969,0.611646418098031,0.3931015221337802,0.10696830051668761,0.01508169250104734,0.5531350370060047,0.05306521435553694,0.04342968859097891,0.07708420611646419,0.09789135595587208,0.036726714146068984,0.14215891635246472,0.03449238933109901,0.013685239491691103,0.012009495880463622,0.006563329143974305,0.004887585532746823
8,E02000009,4031.3333333333335,0.3975525053745659,0.602447494625434,0.37258144534479903,0.0940962460724326,0.04216967091119563,0.5166198114767653,0.049942120059533655,0.04365801223747313,0.07011741359351745,0.09475773110633372,0.041342814618819244,0.09062344964445179,0.10071109641144368,0.015544898296676036,0.013064329419546881,0.005622622788159418,0.004795766495783033
9,E02000010,3557.3333333333335,0.3884932533733133,0.6115067466266867,0.3841829085457271,0.11038230884557722,0.01967766116941529,0.545727136431784,0.05116191904047976,0.046101949025487254,0.08395802098950525,0.09707646176911543,0.039167916041979015,0.13062218890554722,0.037668665667166416,0.016679160419790104,0.014430284857571215,0.0074962518740629685,0.004497751124437781
10,E02000011,2780.0,0.3100719424460432,0.6899280575539568,0.4553956834532374,0.10479616306954435,0.02326139088729017,0.6333333333333334,0.07314148681055156,0.03333333333333333,0.04772182254196642,0.07002398081534772,0.03093525179856115,0.12350119904076738,0.03788968824940048,0.00935251798561151,0.00935251798561151,0.007434052757793765,0.0028776978417266188
11,E02000012,3568.0,0.31689088191330345,0.6831091180866966,0.43927503736920775,0.11696562032884902,0.02279521674140508,0.6341554559043348,0.07791479820627803,0.026158445440956652,0.04017189835575486,0.06520926756352766,0.02485052316890882,0.14181614349775784,0.04484304932735426,0.0063527653213751875,0.007847533632286996,0.003923766816143498,0.0016816143497757848
12,E02000013,3472.0,0.3738479262672811,0.6261520737327189,0.39996159754224275,0.10887096774193548,0.02208141321044547,0.5612519201228879,0.05241935483870968,0.04281874039938556,0.08448540706605222,0.0944700460829493,0.03398617511520737,0.12692012288786483,0.03398617511520737,0.011328725038402458,0.0130568356374808,0.006720430107526881,0.004416282642089094
13,E02000014,4074.6666666666665,0.3697643979057592,0.6302356020942409,0.3956151832460733,0.11518324607329843,0.017833769633507857,0.5621727748691099,0.05137434554973822,0.050229057591623036,0.07607984293193717,0.09342277486910995,0.04253926701570681,0.11927356020942409,0.03844895287958115,0.018160994764397906,0.01325261780104712,0.00818062827225131,0.0058900523560209425
14,E02000015,2970.6666666666665,0.38577199281867147,0.6142280071813286,0.39228007181328545,0.09245960502692999,0.019748653500897665,0.5370287253141831,0.05228904847396769,0.05745062836624776,0.08213644524236985,0.11377917414721724,0.04308797127468582,0.11265709156193897,0.03411131059245961,0.01929982046678636,0.01817773788150808,0.007630161579892281,0.00718132854578097
15,E02000016,2686.6666666666665,0.36823821339950374,0.6317617866004963,0.38759305210918116,0.08188585607940448,0.04367245657568238,0.5191066997518611,0.04962779156327544,0.06898263027295286,0.06253101736972705,0.10818858560794047,0.07518610421836229,0.051116625310173705,0.07121588089330026,0.0228287841191067,0.015632754342431762,0.008436724565756825,0.01240694789081886
16,E02000017,3664.6666666666665,0.34909950882299434,0.6509004911770057,0.41731853738402763,0.09168637438602875,0.034018555575768605,0.5719483354557031,0.06294342368564672,0.04493360014553393,0.05566672730580317,0.09023103511006005,0.04875386574495179,0.09095870474804439,0.06348917591413498,0.01200654902674186,0.013825723121702747,0.006549026741859196,0.00891395306530835
