,GEOGRAPHY_CODE,All people aged 16 to 74 in employment,Average distance (km) travelled to fixed place of work,Bicycle,"Bus, minibus or coach",Driving a car or van,"Motorcycle, scooter or moped",On foot,Other,Passenger in a car or van,Public transport users in households - with a car or van,Public transport users in households - without a car or van,Taxi or minicab,Train,"Underground, metro, light rail, tram",Work mainly at or from home
0,E02000001,4290.0,6.43,0.01724941724941725,0.049883449883449886,0.06130536130536131,0.006993006993006993,0.47762237762237764,0.011888111888111888,0.0032634032634032634,0.11445221445221446,0.17156177156177158,0.017948717948717947,0.034731934731934734,0.21841491841491842,0.1006993006993007
1,E02000002,2168.0,12.91,0.00922509225092251,0.11808118081180811,0.4534132841328413,0.018911439114391145,0.05996309963099631,0.0013837638376383763,0.048892988929889296,0.24031365313653136,0.09132841328413284,0.007841328413284132,0.10654981549815498,0.1070110701107011,0.06872693726937269
2,E02000003,4274.0,13.12,0.008656995788488536,0.08306036499766027,0.4227889564810482,0.01754796443612541,0.07159569489939167,0.0021057557323350493,0.03837154890032756,0.2847449695835283,0.07019185774450164,0.010762751520823585,0.19934487599438466,0.07253158633598503,0.07323350491343004
3,E02000004,2813.0,12.66,0.010309278350515464,0.10131532172058301,0.46533949520085316,0.015286171347316033,0.05830074653394952,0.004265908282971916,0.03981514397440455,0.2726626377532883,0.05723426946320654,0.008176324209029506,0.14397440455030217,0.08887308922858159,0.06434411660149307
4,E02000005,3309.0,11.19,0.01390148080991236,0.11665155636143851,0.47204593532789363,0.012994862496222424,0.058325778180719254,0.0012088244182532487,0.046539740102750075,0.24962224236929587,0.07343608340888486,0.008763977032336053,0.11604714415231188,0.09035962526443034,0.06316107585373225
5,E02000006,3389.0,11.26,0.01770433756270286,0.11006196518146946,0.43405134257893185,0.02095013278253172,0.07081735025081144,0.0020655060489820007,0.04839185600472116,0.25553260548834467,0.08763647093537917,0.008262024195928003,0.15432280908822663,0.07878430215402774,0.05458837415166716
6,E02000007,2707.0,10.52,0.02031769486516439,0.1407462135205024,0.4233468784632434,0.01588474325821943,0.0749907646841522,0.0025858884373845584,0.04950129294421869,0.2356852604359069,0.11377909124492058,0.0066494274104174364,0.078684891023273,0.1355744366457333,0.05171776874769117
7,E02000008,4050.0,10.6,0.018765432098765432,0.13530864197530865,0.4498765432098765,0.013827160493827161,0.060987654320987655,0.0019753086419753087,0.04469135802469136,0.26395061728395064,0.08765432098765433,0.005925925925925926,0.09703703703703703,0.11925925925925926,0.05234567901234568
8,E02000009,3304.0,11.86,0.015435835351089588,0.13286924939467312,0.40102905569007263,0.02209443099273608,0.04933414043583535,0.002421307506053269,0.04963680387409201,0.28026634382566584,0.10653753026634383,0.007869249394673124,0.11259079903147699,0.15223970944309928,0.05447941888619855
9,E02000010,2997.0,11.07,0.016349683016349682,0.10944277610944278,0.4144144144144144,0.020687354020687353,0.07874541207874541,0.001334668001334668,0.04604604604604605,0.26559893226559894,0.08775442108775443,0.008341675008341674,0.08675342008675342,0.15715715715715717,0.06072739406072739
10,E02000011,2724.0,12.48,0.01762114537444934,0.07011747430249633,0.3957415565345081,0.014684287812041116,0.06901615271659324,0.002936857562408223,0.04405286343612335,0.3010279001468429,0.08149779735682819,0.005139500734214391,0.08700440528634361,0.22540381791483113,0.06828193832599119
11,E02000012,3498.0,11.19,0.009148084619782733,0.0660377358490566,0.39994282447112633,0.012292738707833047,0.05174385363064608,0.0017152658662092624,0.036020583190394515,0.34162378502001145,0.06403659233847914,0.015437392795883362,0.11520869068038879,0.22441395082904517,0.06803887935963408
12,E02000013,3012.0,10.53,0.018260292164674636,0.09893758300132802,0.42397078353253653,0.01759628154050465,0.054780876494023904,0.0016600265604249668,0.05312084993359894,0.2649402390438247,0.09594953519256308,0.006640106241699867,0.08831341301460824,0.17363877822045154,0.06308100929614874
13,E02000014,3525.0,10.47,0.016170212765957447,0.09191489361702128,0.4218439716312057,0.01957446808510638,0.0902127659574468,0.000851063829787234,0.04822695035460993,0.2326241134751773,0.09900709219858156,0.009645390070921986,0.07205673758865248,0.1676595744680851,0.061843971631205676
14,E02000015,2457.0,12.18,0.018722018722018723,0.10582010582010581,0.39763939763939765,0.012617012617012617,0.07651607651607652,0.004477004477004477,0.04110704110704111,0.24623524623524623,0.14000814000814002,0.006512006512006512,0.07814407814407814,0.2022792022792023,0.05616605616605617
15,E02000016,2227.0,11.39,0.013920071845532105,0.1383026493039964,0.2810956443646161,0.007633587786259542,0.08082622361921868,0.00449034575662326,0.025594970812752582,0.2608890884598114,0.25325550067355185,0.00224517287831163,0.15087561742254155,0.22496632240682532,0.07004939380332285
16,E02000017,3285.0,10.99,0.011872146118721462,0.09467275494672756,0.3385083713850837,0.009436834094368341,0.0882800608828006,0.00213089802130898,0.028310502283105023,0.323896499238965,0.13424657534246576,0.00852359208523592,0.12511415525114156,0.23835616438356164,0.0547945205479452
17,E02000018,2986.0,11.5,0.02042866711319491,0.10046885465505694,0.4159410582719357,0.016075016744809108,0.056932350971198926,0.003014065639651708,0.04956463496316142,0.275284661754856,0.10683188211654387,0.010381781647689216,0.09778968519758875,0.18452779638312122,0.044876088412592094
18,E02000019,3049.0,11.76,0.022630370613315843,0.07609052148245327,0.4286651361102001,0.0232863233847163,0.06920301738274844,0.0013119055428009183,0.051492292554936044,0.25910134470318136,0.08133814365365694,0.0055755985569039025,0.08560183666775992,0.17907510659232534,0.05706789111183995
19,E02000020,2940.0,10.89,0.011564625850340135,0.10136054421768707,0.35578231292517004,0.009863945578231292,0.09931972789115646,0.005442176870748299,0.04047619047619048,0.2608843537414966,0.1469387755102041,0.004761904761904762,0.1,0.20680272108843537,0.06462585034013606
20,E02000021,3197.0,12.09,0.01595245542696278,0.08945886768845793,0.44854551141695337,0.019080387863622147,0.07788551767281826,0.003753518923991242,0.04441664060056303,0.25461370034407255,0.06975289333750391,0.007507037847982484,0.07288082577416327,0.1623396934626212,0.05817954332186425
21,E02000022,1903.0,10.81,0.01839201261166579,0.14923804519180242,0.29584866001050975,0.0036784025223331584,0.1045717288491855,0.004729374671571204,0.040987913820283765,0.20546505517603783,0.26169206516027327,0.0021019442984760903,0.10772464529689964,0.21229637414608513,0.0604308985811876
22,E02000023,2050.0,10.92,0.01951219512195122,0.12634146341463415,0.3858536585365854,0.012195121951219513,0.07414634146341463,0.0014634146341463415,0.037073170731707315,0.2248780487804878,0.1648780487804878,0.004878048780487805,0.08536585365853659,0.17804878048780487,0.07512195121951219
23,E02000024,4551.0,12.76,0.008569545154911009,0.05866842452208306,0.46451329378158646,0.015161502966381015,0.08327840035157108,0.002197319270490002,0.02043506921555702,0.24500109865963524,0.04636343660733905,0.005273566249176005,0.03867281916062404,0.1964403427818062,0.10678971654581411
24,E02000025,3838.0,12.46,0.011985409067222511,0.07008858780614903,0.469254820218864,0.015112037519541427,0.06383533090151121,0.0013027618551328818,0.026836894215737362,0.25377800937988537,0.06539864512767066,0.006253256904637832,0.11646690984887963,0.13262115685252734,0.08624283480979678
25,E02000026,2926.0,11.71,0.008544087491455913,0.05297334244702666,0.49487354750512647,0.011961722488038277,0.05263157894736842,0.004101161995898838,0.026999316473000683,0.24777853725222146,0.0355434039644566,0.00888585099111415,0.07313738892686261,0.15755297334244703,0.10833902939166097
26,E02000027,4068.0,10.37,0.009095378564405112,0.11307767944936087,0.4638643067846608,0.014503441494591937,0.08505408062930186,0.0031956735496558504,0.03638151425762045,0.22000983284169126,0.07251720747295969,0.008603736479842675,0.03933136676499508,0.1428220255653884,0.084070796460177
27,E02000028,2782.0,11.67,0.004313443565780014,0.06290438533429188,0.5003594536304816,0.014018691588785047,0.038820992092020126,0.002156721782890007,0.026240115025161753,0.2537742631200575,0.053199137311286844,0.008986340762041696,0.1175413371675054,0.12652767792954708,0.09813084112149532
28,E02000029,3994.0,11.62,0.008262393590385579,0.08362543815723586,0.4656985478217326,0.012018027040560842,0.07085628442663996,0.0025037556334501754,0.03380070105157736,0.24236354531797696,0.07185778668002003,0.004256384576865298,0.13169754631947922,0.09889834752128192,0.08838257386079118
29,E02000030,3962.0,12.42,0.005047955577990914,0.06007067137809187,0.5401312468450278,0.010853104492680465,0.043160020191822315,0.003281171125694094,0.031297324583543666,0.20242301867743565,0.025996971226653204,0.004543160020191822,0.04795557799091368,0.1203937405350833,0.1332660272589601
30,E02000031,3368.0,11.68,0.008907363420427554,0.05522565320665083,0.4260688836104513,0.015736342042755345,0.05344418052256532,0.005047505938242281,0.02820665083135392,0.3001781472684085,0.05492874109263658,0.0029691211401425177,0.05671021377672209,0.24317102137767221,0.10451306413301663
31,E02000032,3499.0,11.91,0.008859674192626465,0.05744498428122321,0.4795655901686196,0.006573306659045442,0.03972563589597028,0.002857959416976279,0.03229494141183195,0.28751071734781364,0.03915404401257502,0.010860245784509859,0.036010288653901115,0.23320948842526437,0.09259788511003143
32,E02000033,3398.0,10.22,0.005002942907592701,0.0824014125956445,0.47704532077692763,0.012948793407886992,0.050029429075927015,0.004120070629782225,0.031489111241907,0.2551500882872278,0.06621542083578576,0.009417304296645085,0.05208946439081813,0.18687463213655092,0.08858151854031783
33,E02000034,3732.0,10.82,0.00964630225080386,0.07609860664523044,0.460075026795284,0.012057877813504822,0.04930332261521972,0.0026795284030010718,0.028135048231511254,0.25884244372990356,0.07529474812433012,0.005627009646302251,0.03644158628081458,0.22186495176848875,0.09807073954983923
34,E02000035,3635.0,11.27,0.009078404401650619,0.06657496561210453,0.36891334250343877,0.011279229711141679,0.05529573590096286,0.005777166437414031,0.02420907840440165,0.30206327372764785,0.10729023383768914,0.002200825309491059,0.028060522696011003,0.3155433287482806,0.11306740027510316
35,E02000036,4386.0,12.69,0.005699954400364797,0.08549931600547196,0.49840401276789786,0.007979936160510716,0.040583675330597355,0.0029639762881896944,0.030551755585955312,0.24829001367989056,0.04445964432284542,0.01208390332877337,0.0756953944368445,0.1322389420884633,0.10829913360693115
36,E02000037,3946.0,12.22,0.003294475418144957,0.06512924480486569,0.5101368474404461,0.0063355296502787635,0.03852002027369488,0.002534211860111505,0.03370501773948302,0.2212366953877344,0.03775975671566143,0.015965534718702483,0.04130765331981753,0.15255955397871263,0.13051191079574254
37,E02000038,4311.0,10.43,0.00951055439573185,0.12224541869635816,0.4298306657388077,0.014845743446996056,0.04546508930642542,0.003247506379030387,0.032011134307585246,0.2980746926467177,0.061238691718858734,0.005799118533982834,0.06634191602876363,0.17072604964045465,0.09997680352586406
38,E02000039,3062.0,12.15,0.0032658393207054214,0.05911169170476813,0.4839973873285434,0.007184846505551927,0.04539516655780536,0.001959503592423253,0.03167864141084259,0.25440888308295234,0.03494448073154801,0.005878510777269758,0.12704114957544088,0.10320052253429131,0.13128674069235793
39,E02000040,2710.0,9.75,0.006642066420664207,0.07306273062730627,0.39520295202952027,0.010701107011070111,0.18007380073800738,0.0036900369003690036,0.027675276752767528,0.2059040590405904,0.04870848708487085,0.004059040590405904,0.04797047970479705,0.13616236162361622,0.11476014760147601
40,E02000041,3398.0,11.36,0.006474396703943496,0.09005297233666863,0.44084755738669806,0.009417304296645085,0.07151265450264861,0.00264861683343143,0.023248969982342556,0.26809888169511475,0.06327251324308417,0.010005885815185403,0.04414361389052384,0.19717480871100648,0.10447321954090641
41,E02000042,4627.0,10.98,0.012318997190404149,0.10244218716230818,0.33650313377998703,0.011886751674951372,0.07737194726604711,0.002161227577263886,0.020963907499459693,0.30257186081694404,0.13313161875945537,0.0045385779122541605,0.025718608169440244,0.30905554354873566,0.09703911821914847
42,E02000043,3258.0,11.24,0.006752608962553714,0.04358502148557397,0.39993861264579494,0.010128913443830571,0.036525475751995086,0.004297114794352364,0.022713321055862493,0.3207489257213014,0.0669122160834868,0.004297114794352364,0.02332719459791283,0.3207489257213014,0.12768569674647023
43,E02000044,3257.0,9.88,0.009517961314092724,0.1225053730426773,0.4172551427694197,0.011360147374884864,0.06079214000614062,0.0052195271722443965,0.040221062327295054,0.27417869204789685,0.09364445809026711,0.005833589192508443,0.0985569542523795,0.14676082284310715,0.08197727970525023
44,E02000045,4204.0,10.07,0.012369172216936251,0.16008563273073265,0.3908182683158896,0.013320647002854425,0.05708848715509039,0.0035680304471931495,0.02664129400570885,0.29757373929590863,0.11941008563273073,0.006898192197906755,0.04804947668886775,0.20884871550903902,0.07231208372978117
45,E02000046,3263.0,10.9,0.010419859025436715,0.06527735212994178,0.2889978547349065,0.01195219123505976,0.06313208703646951,0.0030646644192460926,0.018081520073551946,0.34600061293288387,0.16058841556849526,0.0015323322096230463,0.026356114005516396,0.4149555623659209,0.09623046276432731
46,E02000047,3807.0,10.43,0.009718938796952981,0.13370107696348832,0.37063304439190964,0.010769634883110061,0.07276070396637772,0.0042027843446283165,0.03441029682164434,0.2624113475177305,0.13921723141581296,0.0076175466246388235,0.03835040714473339,0.22957709482532176,0.08825847123719464
47,E02000048,3692.0,10.72,0.008396533044420368,0.06933911159263272,0.4661430119176598,0.011646803900325027,0.04739978331527627,0.0032502708559046588,0.024918743228602384,0.2778981581798483,0.04929577464788732,0.005417118093174431,0.041170097508125676,0.21668472372697725,0.1056338028169014
48,E02000049,2627.0,10.67,0.010277883517320136,0.15416825275980206,0.36924248191853826,0.011800532927293491,0.07422915873620099,0.0030452988199467074,0.030833650551960412,0.2447658926532166,0.15492957746478872,0.022459078797106968,0.05405405405405406,0.1914731633041492,0.0784164446136277
49,E02000050,4142.0,9.88,0.013278609367455336,0.09367455335586673,0.36479961371318204,0.014244326412361178,0.07411878319652342,0.002655721873491067,0.027522935779816515,0.29647513278609366,0.10816030902945437,0.004828585224529213,0.02245292129406084,0.28971511347175277,0.09270883631096088
50,E02000051,3610.0,10.94,0.009972299168975069,0.07867036011080332,0.37894736842105264,0.0110803324099723,0.049307479224376734,0.004986149584487534,0.026869806094182824,0.27174515235457064,0.10969529085872576,0.003878116343490305,0.029085872576177285,0.2753462603878116,0.13185595567867037
51,E02000052,4738.0,10.44,0.01794005909666526,0.06563951034191642,0.27986492190797807,0.014140987758547911,0.04938792739552554,0.002743773744195863,0.019839594765723934,0.3640776699029126,0.15998311523849726,0.0014774166314900801,0.02553820177289996,0.4328830730265935,0.09054453355846348
52,E02000053,2851.0,10.27,0.004559803577692038,0.09645738337425465,0.34408979305506837,0.01052262364082778,0.0824272185198176,0.003156787092248334,0.02911259207295686,0.2900736583654858,0.13188354963170817,0.011224131883549631,0.04384426517011575,0.2830585759382673,0.09154682567520168
53,E02000054,2925.0,11.28,0.006837606837606838,0.08,0.4177777777777778,0.009914529914529915,0.0505982905982906,0.0020512820512820513,0.021538461538461538,0.28854700854700854,0.08034188034188035,0.0041025641025641026,0.048205128205128206,0.24068376068376068,0.11829059829059829
54,E02000055,3995.0,10.71,0.006257822277847309,0.08485607008760951,0.35168961201501875,0.007008760951188986,0.07484355444305382,0.004005006257822278,0.03053817271589487,0.27934918648310386,0.1249061326658323,0.004505632040050063,0.04555694618272841,0.27709637046307883,0.11364205256570713
55,E02000056,3991.0,10.6,0.00952142320220496,0.044099223252317715,0.4031571034828364,0.011525933350037584,0.029566524680531194,0.005512402906539714,0.032072162365321975,0.27637183663242293,0.06639939864695565,0.005011275369581559,0.016537208719619143,0.28213480330744173,0.16086193936356802
56,E02000057,2603.0,9.45,0.010756819054936612,0.07837111025739531,0.38301959277756437,0.008451786400307337,0.0749135612754514,0.002305032654629274,0.03419131771033423,0.2773722627737226,0.08912792931233192,0.004994237418363427,0.03611217825585863,0.2520169035728006,0.11486746062235882
57,E02000058,4241.0,10.95,0.013676019806649375,0.07521810893657156,0.34425842961565667,0.012968639471822684,0.04173543975477482,0.004480075453902382,0.02287196415939637,0.29379863239801934,0.12874322093845791,0.00377269511907569,0.024758311718934212,0.3225654326809715,0.13369488328224474
58,E02000059,3994.0,9.75,0.009263895843765649,0.128442663995994,0.3745618427641462,0.010015022533800702,0.08512769153730596,0.005007511266900351,0.03755633450175263,0.2671507260891337,0.1271907861792689,0.002253380070105158,0.08813219829744617,0.17901852779168753,0.08062093139709564
59,E02000060,3578.0,8.99,0.009782001117942985,0.08440469536053662,0.3194522079373952,0.0072666294019005035,0.05869200670765791,0.003353828954723309,0.030463946338736725,0.2859139183901621,0.14812744550027948,0.002515371716042482,0.030463946338736725,0.3219675796534377,0.13163778647288987
60,E02000061,3562.0,9.76,0.012633352049410443,0.10078607523862998,0.27007299270072993,0.008141493542953397,0.03481190342504211,0.005895564289724873,0.01656372824256036,0.31527231892195395,0.17349803481190343,0.004491858506457047,0.03172375070185289,0.35682201010668163,0.15805727119595733
61,E02000062,2357.0,9.95,0.015273652948663556,0.16291896478574458,0.309291472210437,0.01612218922358931,0.09376325837929571,0.003818413237165889,0.024183283835383963,0.2571064913025032,0.1934662706830717,0.004242681374628765,0.07127704709376326,0.21637675010606702,0.08273228680526093
62,E02000063,2551.0,9.37,0.012152097216777734,0.15013720109760878,0.35123480987847905,0.010584084672677381,0.04116032928263426,0.002352018816150529,0.025872206977655823,0.31752254018032144,0.1364170913367307,0.005488043904351235,0.08663269306154449,0.21716973735789885,0.09721677773422187
63,E02000064,2481.0,9.48,0.012091898428053204,0.17291414752116083,0.2720677146311971,0.010479645304312777,0.06328093510681176,0.005239822652156389,0.01894397420395002,0.2740830310358726,0.22611850060459493,0.004030632809351068,0.06852075775896815,0.26964933494558646,0.10278113663845223
64,E02000065,3150.0,14.03,0.006031746031746032,0.13142857142857142,0.42634920634920637,0.015238095238095238,0.03015873015873016,0.0038095238095238095,0.03936507936507937,0.3,0.10952380952380952,0.006984126984126984,0.2438095238095238,0.03428571428571429,0.06253968253968253
65,E02000066,3822.0,13.31,0.008634222919937205,0.14730507587650446,0.38226059654631084,0.01543694400837258,0.049188906331763475,0.0018315018315018315,0.042647828362114074,0.27472527472527475,0.1509680795395081,0.004447933019361591,0.25745682888540034,0.020931449502878074,0.06985871271585557
66,E02000067,3655.0,13.11,0.008755129958960328,0.09357045143638851,0.45909712722298224,0.019151846785225718,0.06155950752393981,0.0035567715458276333,0.04487004103967168,0.2577291381668947,0.08125854993160055,0.006292749658002736,0.23529411764705882,0.01012311901504788,0.057729138166894664
67,E02000068,2626.0,12.74,0.012947448591012947,0.10472201066260473,0.4413556740289414,0.018659558263518658,0.054455445544554455,0.0030464584920030465,0.049885757806549885,0.25095201827875097,0.09748667174409749,0.006854531607006854,0.23533891850723535,0.008377760853008377,0.06435643564356436
68,E02000069,2703.0,13.0,0.004439511653718091,0.08139104698483167,0.5001849796522383,0.015168331483536811,0.06104328523862375,0.002589715131335553,0.049204587495375506,0.2438031816500185,0.049574546799852015,0.007399186089530152,0.20273769885312615,0.00924898261191269,0.06659267480577137
69,E02000070,3670.0,11.86,0.009536784741144414,0.07411444141689373,0.5267029972752043,0.025068119891008173,0.036239782016348775,0.0019073569482288828,0.04223433242506812,0.24059945504087193,0.03487738419618529,0.008991825613079018,0.19373297002724796,0.007629427792915531,0.07384196185286103
70,E02000071,3500.0,13.26,0.011142857142857144,0.08028571428571428,0.4897142857142857,0.02142857142857143,0.06657142857142857,0.0014285714285714286,0.048857142857142856,0.23942857142857144,0.041428571428571426,0.008571428571428572,0.19314285714285714,0.0074285714285714285,0.07142857142857142
71,E02000072,4348.0,13.14,0.010809567617295308,0.10648574057037719,0.45239190432382703,0.018859245630174794,0.08141674333026679,0.0034498620055197792,0.05450781968721251,0.21757129714811407,0.09659613615455381,0.006669733210671573,0.20193192272309107,0.005749770009199632,0.057727690892364306
72,E02000073,4929.0,12.97,0.010752688172043012,0.06045851085412863,0.4830594441063096,0.026374518157841347,0.041996348143639686,0.0022316899979711907,0.0426049908703591,0.2860620815581254,0.026171637248934874,0.009129640900791236,0.24447149523229864,0.007303712720632989,0.07161696084398458
73,E02000074,3145.0,12.41,0.015580286168521463,0.09666136724960255,0.5100158982511924,0.017170111287758347,0.057233704292527825,0.0012718600953895071,0.05500794912559619,0.21176470588235294,0.057869634340222575,0.00985691573926868,0.16756756756756758,0.005405405405405406,0.06422893481717011
74,E02000075,3720.0,12.03,0.01129032258064516,0.05806451612903226,0.4817204301075269,0.01827956989247312,0.06290322580645161,0.0024193548387096775,0.03655913978494624,0.27580645161290324,0.025806451612903226,0.009408602150537635,0.23790322580645162,0.00564516129032258,0.07580645161290323
