,GEOGRAPHY_CODE,All people,All people who provide unpaid care,People of working age with limiting long-term illness,People who provide unpaid care 1 to 19 hours a week,People who provide unpaid care 20 to 49 hours a week,People who provide unpaid care 50 or more hours a week,People whose health was fairly good,People whose health was good,People whose health was not good,People with limiting long-term illness
0,E02000001,7185.0,0.08322894919972164,0.07251217814892136,0.06569241475295755,0.006123869171885873,0.011412665274878218,0.18886569241475296,0.737508698677801,0.07362560890744607,0.13305497564370217
1,E02000002,6237.0,0.09828443161776496,0.0920314253647587,0.05483405483405483,0.013949013949013949,0.02950136283469617,0.26406926406926406,0.6139169472502806,0.12201378868045534,0.23120089786756454
2,E02000003,9190.0,0.09880304678998912,0.0749727965179543,0.0660500544069641,0.01044613710554951,0.022306855277475515,0.2233949945593036,0.6898803046789989,0.0867247007616975,0.1689880304678999
3,E02000004,6127.0,0.09694793536804308,0.07883140199118654,0.06528480496164518,0.00995593275665089,0.02170719764974702,0.23371960176268974,0.6678635547576302,0.0984168434796801,0.19356944671127796
4,E02000005,7878.0,0.10116780908860117,0.09761360751459762,0.05686722518405687,0.013201320132013201,0.0310992637725311,0.2376237623762376,0.6581619700431581,0.10421426758060422,0.20081238893120082
5,E02000006,8804.0,0.09484325306678783,0.10177192185370286,0.052135393003180375,0.015561108587005906,0.027146751476601543,0.23830077237619263,0.6501590186278964,0.11154020899591095,0.20456610631531122
6,E02000007,7752.0,0.09920020639834881,0.09481424148606811,0.059081527347781215,0.013673890608875128,0.026444788441692468,0.2514189886480908,0.6261609907120743,0.12242002063983488,0.2140092879256966
7,E02000008,10560.0,0.10359848484848484,0.1009469696969697,0.05606060606060606,0.013920454545454545,0.03361742424242424,0.2545454545454545,0.6233901515151515,0.12206439393939394,0.22793560606060606
8,E02000009,8648.0,0.09146623496762257,0.10187326549491212,0.051572617946345975,0.013066604995374653,0.02682701202590194,0.23346438482886217,0.6614246068455134,0.10511100832562442,0.19368640148011101
9,E02000010,7796.0,0.10582349923037455,0.10659312467932273,0.057465366854797334,0.0155207798871216,0.032837352488455616,0.24114930733709594,0.6396870189840944,0.11916367367880965,0.22062596203181117
10,E02000011,5742.0,0.10170672239637757,0.08133054684778823,0.06635318704284221,0.01062347614071752,0.024730059212817835,0.22413793103448276,0.6846046673632881,0.09125740160222919,0.17102055033089517
11,E02000012,7406.0,0.1131514987847691,0.0671077504725898,0.07736970024304618,0.01431271941668917,0.021469079125033756,0.22198217661355657,0.6916014042668107,0.08641641911963273,0.16594652984066974
12,E02000013,7592.0,0.10682297154899895,0.10353003161222339,0.059536354056902004,0.014357218124341412,0.03292939936775553,0.2625131717597471,0.6197312961011591,0.11775553213909379,0.21825605900948367
13,E02000014,8843.0,0.10686418636209431,0.10290625353386859,0.05982132760375438,0.014474725771796901,0.03256813298654303,0.25070677371932604,0.6382449395001696,0.11104828678050435,0.21372837272418863
14,E02000015,6715.0,0.08637379002233805,0.10662695457930008,0.049143708116157855,0.01131794489947878,0.025912137006701415,0.23827252419955325,0.6467609828741623,0.11496649292628444,0.20282948622486968
15,E02000016,5712.0,0.06932773109243698,0.10469187675070028,0.043242296918767506,0.009978991596638655,0.01610644257703081,0.21446078431372548,0.6890756302521008,0.09646358543417367,0.15126050420168066
16,E02000017,7570.0,0.09339498018494055,0.08758256274768825,0.058784676354029064,0.012285336856010569,0.022324966974900926,0.21149273447820344,0.7013210039630119,0.08718626155878467,0.15812417437252313
17,E02000018,7384.0,0.10549837486457204,0.09520585048754063,0.06229685807150596,0.015980498374864573,0.027221018418201518,0.2441765980498375,0.6365113759479957,0.11931202600216685,0.22142470205850487
18,E02000019,7428.0,0.09464189553042542,0.09787291330102316,0.05425417339795369,0.012654819601507808,0.02773290253096392,0.23519116855142702,0.6572428648357566,0.10756596661281637,0.1972267097469036
19,E02000020,7220.0,0.09653739612188365,0.0997229916897507,0.055817174515235456,0.010941828254847645,0.029778393351800554,0.26357340720221606,0.6185595567867036,0.11786703601108033,0.22285318559556785
20,E02000021,7428.0,0.0971997845988153,0.09343026386645127,0.05923532579429187,0.01386645126548196,0.024098007539041465,0.211900915455035,0.6965535810446958,0.09154550350026926,0.17757135164243404
21,E02000022,6204.0,0.07237266279819471,0.11154094132817537,0.038845905867182465,0.01096067053513862,0.02256608639587363,0.23581560283687944,0.6563507414571245,0.10783365570599614,0.19148936170212766
22,E02000023,5708.0,0.08461807988787666,0.10476524176594254,0.04852838121934128,0.01278906797477225,0.02330063069376314,0.23002803083391732,0.6610021023125437,0.10896986685353889,0.1979677645409951
23,E02000024,9243.0,0.09098777453207833,0.05679974034404414,0.07432651736449204,0.006815968841285297,0.009845288326300985,0.19917775613978145,0.7433733636265282,0.05744888023369036,0.14497457535432218
24,E02000025,7621.0,0.10038052748983073,0.07085684293399816,0.07544941608712767,0.010759742815903424,0.014171368586799633,0.2130953943052093,0.7104054586012334,0.07649914709355728,0.15352315969032934
25,E02000026,6169.0,0.10812125141838223,0.05900470092397471,0.08429242989139245,0.009401847949424542,0.014426973577565245,0.20230183173934188,0.7343167450153996,0.06338142324525856,0.1345436861727995
26,E02000027,9394.0,0.08856717053438365,0.07589951032573983,0.058228656589312325,0.0117096018735363,0.018628912071535022,0.22163082818820523,0.6998083883329785,0.07856078347881626,0.1531828826910794
27,E02000028,5582.0,0.10068075958437836,0.058402006449301325,0.07918308849874597,0.008061626657112147,0.013436044428520243,0.19670369043353636,0.7359369401648155,0.06735936940164816,0.1415263346470799
28,E02000029,7688.0,0.09170135275754422,0.06191467221644121,0.0712799167533819,0.00858480749219563,0.011836628511966702,0.19302809573361082,0.7451873048907388,0.06178459937565037,0.12291883454734652
29,E02000030,9049.0,0.10211073046745497,0.057464913250082884,0.07724610454193834,0.008951265333185987,0.015913360592330644,0.19350204442479832,0.7394187203005858,0.06707923527461598,0.14708807603050061
30,E02000031,7225.0,0.08692041522491349,0.046782006920415224,0.06228373702422145,0.008996539792387544,0.0156401384083045,0.20221453287197233,0.7288581314878892,0.0689273356401384,0.1534948096885813
31,E02000032,7261.0,0.09654317587109214,0.058118716430243765,0.0699628150392508,0.010329155763668916,0.016251205068172427,0.202038286737364,0.7376394436028095,0.06032226965982647,0.13152458339071754
