,GEOGRAPHY_CODE,All categories: NS-SeC,Full-time students,Higher professional occupations,Intermediate occupations,Large employers and higher managerial and administrative occupations,Long-term unemployed,"Lower managerial, administrative and professional occupations",Lower supervisory and technical occupations,Never worked,Not classifiable for other reasons,Routine occupations,Semi-routine occupations,Small employers and own account workers
0,E02000001,4044.6666666666665,0.07614966210647767,0.2309213779462667,0.06642492170759849,0.083072358661612,0.008241305422778969,0.27163342673479485,0.02357013350914785,0.024559090159881326,0.10581836162848196,0.022581176858414372,0.0423603098730839,0.044667875391462004
1,E02000002,2748.0,0.05118874332848131,0.020621057738961668,0.0980106744298884,0.01722464822901504,0.018437651625424552,0.13779718583212033,0.07180980106744299,0.044638524987869965,0.25351770984958755,0.09509946627850557,0.13051916545366327,0.0611353711790393
2,E02000003,4395.333333333333,0.059153647808281515,0.03276202032458669,0.13999696647959958,0.024874867283482482,0.008342181101167906,0.1965721219475201,0.07674806613074472,0.024874867283482482,0.17275898680418628,0.07113605338995906,0.1155771272561808,0.07720309419080844
3,E02000004,2873.3333333333335,0.04686774941995359,0.033642691415313224,0.13805104408352667,0.022273781902552203,0.008120649651972157,0.19582366589327144,0.07726218097447796,0.019721577726218097,0.1916473317865429,0.0839907192575406,0.11832946635730858,0.0642691415313225
4,E02000005,3657.3333333333335,0.05486693401385344,0.024425811155668973,0.11447320452059788,0.01859278162595698,0.00966095515858549,0.14637258476121034,0.08658403208166242,0.02861830113014947,0.2109004739336493,0.11265038279256288,0.12832664965366386,0.06452788917243893
5,E02000006,3960.6666666666665,0.06177411210233967,0.018347079616226225,0.11765696010772597,0.020198619760983,0.01380239017000505,0.13819222353139204,0.08180441003198115,0.0464568254502609,0.1979464736576334,0.10553778825113617,0.1393704763507827,0.058912640969533754
6,E02000007,3434.6666666666665,0.053571428571428575,0.01902173913043478,0.10927795031055901,0.01785714285714286,0.018051242236024844,0.12577639751552797,0.07958074534161491,0.048524844720496896,0.21486801242236025,0.10869565217391304,0.14790372670807453,0.05687111801242237
7,E02000008,4774.0,0.04747940231811199,0.01787459851975981,0.10668900991481636,0.015221337801982964,0.013685239491691103,0.12805474095796676,0.08225108225108226,0.03826281245636084,0.22636503281664574,0.12903225806451613,0.13908671973188103,0.055997765675185024
8,E02000009,4031.3333333333335,0.13742351579295517,0.023317347445014056,0.10732594675045477,0.01587564081362659,0.015544898296676036,0.13858111460228212,0.06862907226723995,0.03886224574169009,0.1772779890854969,0.09558458739871009,0.13047792293699353,0.05109971886886059
9,E02000010,3557.3333333333335,0.0537856071964018,0.014805097451274361,0.1220014992503748,0.014992503748125937,0.016679160419790104,0.1199400299850075,0.08377061469265366,0.03710644677661169,0.22395052473763116,0.10663418290854572,0.15123688155922038,0.055097451274362816
10,E02000011,2780.0,0.058992805755395686,0.025899280575539568,0.1460431654676259,0.0211031175059952,0.00935251798561151,0.15923261390887292,0.09136690647482014,0.025899280575539568,0.165947242206235,0.09592326139088729,0.12829736211031176,0.07194244604316546
11,E02000012,3568.0,0.06576980568011957,0.04652466367713005,0.1539611360239163,0.026905829596412557,0.0063527653213751875,0.203288490284006,0.06651718983557549,0.018124065769805683,0.17769058295964127,0.060164424514200295,0.09884155455904335,0.0758594917787743
12,E02000013,3472.0,0.05395545314900154,0.014976958525345621,0.11981566820276497,0.012672811059907835,0.011328725038402458,0.12442396313364056,0.08410138248847926,0.03571428571428571,0.2139016897081413,0.12672811059907835,0.14861751152073732,0.05376344086021505
13,E02000014,4074.6666666666665,0.05350130890052356,0.017015706806282723,0.10716623036649216,0.015215968586387435,0.018160994764397906,0.12647251308900526,0.09309554973821989,0.03730366492146597,0.2054973821989529,0.125,0.14774214659685864,0.05382853403141362
14,E02000015,2970.6666666666665,0.050942549371633755,0.01929982046678636,0.1160233393177738,0.01481149012567325,0.01929982046678636,0.14519748653500897,0.08280969479353681,0.04353680430879713,0.1947935368043088,0.1160233393177738,0.1460951526032316,0.05116696588868941
15,E02000016,2686.6666666666665,0.10918114143920596,0.03746898263027296,0.10173697270471464,0.01761786600496278,0.0228287841191067,0.15260545905707196,0.07940446650124071,0.10223325062034741,0.11339950372208438,0.09429280397022334,0.12133995037220845,0.047890818858560794
16,E02000017,3664.6666666666665,0.09368746589048572,0.045479352374022196,0.10623976714571584,0.0211024195015463,0.01200654902674186,0.19738038930325635,0.062215754047662365,0.07404038566490813,0.1424413316354375,0.07404038566490813,0.11424413316354376,0.05712206658177188
17,E02000018,3411.3333333333335,0.05511041625952706,0.0160250146570256,0.1229235880398671,0.015829587649013092,0.012116474496775454,0.1307406683603674,0.08794215360562829,0.033027164354113736,0.20871604455735782,0.1145202266953293,0.14578854797733046,0.05726011334766465
18,E02000019,3402.6666666666665,0.04898119122257053,0.021355799373040756,0.1130485893416928,0.01665360501567398,0.014302507836990596,0.13949843260188088,0.09130094043887148,0.03467868338557994,0.1994514106583072,0.12108150470219436,0.1447884012539185,0.054858934169279
19,E02000020,3466.6666666666665,0.0625,0.02730769230769231,0.115,0.01903846153846154,0.015000000000000001,0.14923076923076925,0.07557692307692308,0.04903846153846154,0.21211538461538462,0.09711538461538463,0.12826923076923077,0.04980769230769231
20,E02000021,3446.0,0.062487908686399696,0.023021861094989358,0.1276842716192687,0.01934610176049526,0.011027278003482298,0.1485780615206036,0.09073321725672277,0.03811182046817566,0.17043915650996325,0.1118204681756626,0.14296769201006,0.053782162894176824
21,E02000022,2732.6666666666665,0.08929007074896317,0.023908270309831666,0.09416930958770432,0.014149792632349353,0.025859965845328133,0.113930226884606,0.06464991461332033,0.12466455232983656,0.14418150768480117,0.11905342766528422,0.1429616979751159,0.043181263722859235
22,E02000023,2611.3333333333335,0.06586673474597907,0.02552974214960429,0.1113096757722747,0.017104927240234873,0.01940260403369926,0.1386264998723513,0.08067398519274954,0.06918560122542762,0.1751340311462854,0.11590502935920348,0.1393923921368394,0.04186877712535103
23,E02000024,4406.0,0.07247692540475109,0.09577848388561053,0.10213345438039037,0.05431986684823725,0.00741413224390982,0.2889998486911787,0.03222877893781208,0.019821455590860945,0.14616432137993646,0.03192616129520351,0.0564381903464972,0.09229838099561205
24,E02000025,3735.3333333333335,0.06871318936284133,0.08870248081384971,0.117794038907728,0.04729609137961806,0.007674460110655006,0.26289487774406567,0.04372657504908085,0.023023380331965018,0.14117437087274676,0.04319114759950027,0.072996608959486,0.08281277886846332
25,E02000026,2992.6666666666665,0.09267097349075518,0.08064156827801293,0.125417687680998,0.0427712185341947,0.011138338159946538,0.24170193807083987,0.03452884829583426,0.02049454221430163,0.14524392960570284,0.03497438182223213,0.07239919803965249,0.09801737580752952
26,E02000027,4397.333333333333,0.08277744087325653,0.05078835657974531,0.10582171012734991,0.02971497877501516,0.011522134627046696,0.20436628259551243,0.055942995755003035,0.04108550636749545,0.17298362644026682,0.06412977562158885,0.10794420861127957,0.07292298362644027
27,E02000028,2748.0,0.07544881125667152,0.09388646288209607,0.11402231926249393,0.05021834061135371,0.006307617661329451,0.2615235322658903,0.03517709849587579,0.026200873362445413,0.1489568170790878,0.03323629306162057,0.06622998544395925,0.08879184861717612
28,E02000029,3807.3333333333335,0.07091577657152863,0.07021537383995796,0.11539135002626509,0.041498861845561195,0.009805638241989144,0.2551216949746104,0.05007879530730169,0.019085974435300298,0.1225704780248643,0.04920329189283838,0.09560497285939415,0.10050779198038873
