,GEOGRAPHY_CODE,All people aged 16-74,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,No qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 to 74
0,E02000001,1,0.013845393110268667,0.0034613482775671667,0.04812922366902917,0.05917257293555299,0.10449975276083731,0.10960936212296028,0.6011208175374979,0.025548046810614802,0.10004944783253668,0.010713697049612659,0.06543596505686501
1,E02000002,1,0.009461426491994178,0.0019408054342552159,0.013343037360504609,0.2083939835031538,0.1698204754973314,0.04512372634643377,0.09000485201358564,0.07205240174672489,0.4146045608927705,0.026443474041727318,0.024745269286754003
2,E02000003,1,0.015015925982102229,0.002578492340360989,0.015167602002123465,0.20946458364932505,0.21446989231002578,0.06764750492947065,0.1304413772182618,0.07523130593053239,0.30274533596238434,0.026391627483694828,0.03276202032458668
3,E02000004,1,0.009280742459396751,0.0009280742459396752,0.010440835266821345,0.19466357308584686,0.20649651972157773,0.06241299303944316,0.10278422273781902,0.07935034802784223,0.354292343387471,0.026218097447795824,0.020649651972157772
4,E02000005,1,0.00929639081297849,0.001093693036820999,0.014582573824279986,0.1966824644549763,0.18246445497630331,0.047940211447320455,0.07418884433102442,0.07400656215822092,0.4247174626321546,0.02989427633977397,0.024972657674079475
5,E02000006,1,0.010267631711833024,0.0020198619760983,0.018010435953543173,0.19188688772933848,0.17943107221006566,0.053526342366604945,0.0888739269483252,0.06699208887392695,0.41928968187173876,0.03147618246086517,0.0302979296414745
6,E02000007,1,0.010675465838509316,0.001358695652173913,0.015722049689440992,0.19138198757763975,0.17138975155279504,0.04891304347826087,0.07434006211180125,0.06851708074534162,0.4454580745341615,0.025815217391304348,0.027756211180124224
7,E02000008,1,0.008518363357073035,0.0011171624074849881,0.013266303588884235,0.187683284457478,0.17357910906298002,0.0492947912302751,0.06214215891635246,0.07038123167155426,0.45691942466136015,0.02457757296466974,0.022901829353442257
8,E02000009,1,0.02249049115263767,0.010583760542417728,0.07077889862741855,0.19348437241607408,0.17363982139904086,0.08384322804696544,0.11906730610219944,0.0646601620638333,0.36530510997188687,0.03357036547048123,0.10385315032247396
9,E02000010,1,0.007683658170914542,0.0014992503748125937,0.01293103448275862,0.20389805097451275,0.17316341829085458,0.04516491754122939,0.0595952023988006,0.0777736131934033,0.4404047976011994,0.031671664167916044,0.022113943028485756
10,E02000011,1,0.012709832134292566,0.0016786570743405275,0.01486810551558753,0.19016786570743405,0.20239808153477218,0.05731414868105516,0.08609112709832134,0.09376498800959232,0.37026378896882495,0.02973621103117506,0.029256594724220625
11,E02000012,1,0.01289237668161435,0.002242152466367713,0.018871449925261585,0.18236173393124067,0.20048579970104632,0.08109118086696562,0.1399476831091181,0.08632286995515695,0.30979073243647237,0.03176382660687593,0.034005979073243646
12,E02000013,1,0.009984639016897081,0.002880184331797235,0.011136712749615975,0.19086021505376344,0.168394777265745,0.04934715821812596,0.05664362519201229,0.07373271889400922,0.46102150537634407,0.029953917050691243,0.02400153609831029
13,E02000014,1,0.008671465968586388,0.0013089005235602095,0.012270942408376964,0.19273560209424084,0.17359293193717276,0.04204842931937173,0.05710078534031414,0.0786976439790576,0.4558246073298429,0.03125,0.02225130890052356
14,E02000015,1,0.009649910233393177,0.003590664272890485,0.015035906642728905,0.2048922800718133,0.17504488330341114,0.050942549371633755,0.09043985637342908,0.0697935368043088,0.40888689407540396,0.022666068222621186,0.02827648114901257
15,E02000016,1,0.027791563275434243,0.00794044665012407,0.043424317617866005,0.17196029776674937,0.1794044665012407,0.084863523573201,0.19106699751861042,0.0598014888337469,0.31290322580645163,0.030024813895781637,0.07915632754342432
16,E02000017,1,0.020738584682554122,0.006003274513370929,0.03438239039476078,0.17282153902128433,0.17846097871566308,0.0793159905402947,0.21648171730034566,0.06403492814262325,0.288884846279789,0.03256321629979989,0.061124249590685825
17,E02000018,1,0.01172562048075044,0.0017588430721125659,0.015829587649013092,0.17627516122728162,0.17588430721125659,0.05511041625952707,0.07602110611686536,0.0717217119405902,0.44498729724447916,0.02579636505765097,0.0293140512018761
18,E02000019,1,0.01018808777429467,0.001371473354231975,0.01469435736677116,0.18828369905956113,0.16712382445141066,0.04780564263322884,0.0865987460815047,0.07210031347962383,0.43808777429467083,0.022727272727272728,0.026253918495297807
19,E02000020,1,0.014038461538461538,0.0028846153846153848,0.022884615384615385,0.16076923076923078,0.1723076923076923,0.058076923076923075,0.1280769230769231,0.07230769230769231,0.4084615384615385,0.022692307692307692,0.03980769230769231
20,E02000021,1,0.013348810214741729,0.0025149932288643837,0.02011994583091507,0.21783710582317664,0.1942348616753724,0.054556006964596636,0.09363513252079705,0.07196749854904237,0.3677693944670149,0.026504159411878506,0.035983749274521186
21,E02000022,1,0.02317638448402049,0.009026591851671139,0.031715052451817514,0.16906562576238107,0.17223713100756283,0.060014637716516224,0.1388143449621859,0.07050500121980971,0.38936325933154425,0.02537204196145401,0.06391802878750914
22,E02000023,1,0.015317845289762573,0.004340056165432729,0.024763849885116162,0.1922389583865203,0.1774317079397498,0.062037273423538424,0.12126627521062038,0.06407965279550676,0.3829461322440643,0.021444983405667604,0.04442175134031146
23,E02000024,1,0.014525646845211076,0.0016643970343471024,0.024965955515206535,0.11620517476168861,0.2038129822968679,0.10546224844908458,0.3638977152367983,0.05250416099258587,0.15811771826297474,0.031320926009986386,0.04115599939476471
24,E02000025,1,0.015527396037836873,0.0012493307156880244,0.021595573799750134,0.14260217740496162,0.20221310012493307,0.0951276102088167,0.31233267892200606,0.05336426914153132,0.1943601641977512,0.030340888809566303,0.03837230055327503
25,E02000026,1,0.017153040766317667,0.0022276676319893073,0.04633548674537759,0.14034306081532635,0.2080641568278013,0.1022499443083092,0.29850746268656714,0.05881042548451771,0.19202494987747828,0.026954778347070617,0.06571619514368456
26,E02000027,1,0.01607034566403881,0.0027289266221952697,0.02926015767131595,0.15797453001819284,0.1872346876895088,0.07489387507580351,0.21998180715585203,0.06564584596725288,0.29426925409338994,0.03471801091570649,0.04805942995755003
27,E02000028,1,0.011644832605531296,0.001455604075691412,0.03299369238233867,0.13027656477438138,0.19602134885977682,0.10819990295972828,0.326783114992722,0.05798156234837457,0.18073750606501698,0.02935468219311014,0.046094129063561376
28,E02000029,1,0.016284363509017685,0.0014008054631413063,0.02714060584836281,0.15864121870075293,0.2036420942041674,0.09455436876203817,0.2726317632638767,0.057433023988793554,0.21309753108037122,0.026090001751006828,0.0448257748205218
29,E02000030,1,0.009594212016357346,0.0020446681346335325,0.031770997168921046,0.12582573136206354,0.204938659955961,0.10003145643284052,0.29647687952186225,0.051588549858446055,0.2211387228688267,0.03570305127398553,0.04340987731991192
30,E02000031,1,0.01219032638615808,0.0013763271726307512,0.030279197797876523,0.13153755406999607,0.21234762092017304,0.11069602831301613,0.33602044828942196,0.04640188753440818,0.16299646087298467,0.03204876130554463,0.043845851356665355
31,E02000032,1,0.022372626433540137,0.0048881368678322995,0.040233126527542774,0.126715548035345,0.20191765369430345,0.10979507426207934,0.3021244594848656,0.05771761609325061,0.20172964843015603,0.029892836999435984,0.06749388982891522
32,E02000033,1,0.015251365091319902,0.0013180192054227076,0.029749576350969687,0.16399924684616832,0.19826774618715873,0.09019017134249671,0.2366785916023348,0.06966672942948597,0.2411975145923555,0.029749576350969687,0.04631896064771229
33,E02000034,1,0.013761467889908258,0.002117148906139732,0.03299223712067749,0.12332392378263939,0.19530698659139026,0.10656316160903317,0.3237473535638673,0.055575158786167964,0.19548341566690192,0.02805222300635145,0.04887085391672548
34,E02000035,1,0.013523260007212405,0.0032455824017309774,0.04760187522538767,0.08312297151099891,0.1716552470248828,0.10421925712225028,0.4253516047601875,0.04615939415795168,0.1694915254237288,0.023620627479264335,0.06437071763433105
35,E02000036,1,0.01789411416740609,0.0023661638568470865,0.029281277728482696,0.1388642413487134,0.19801833776989056,0.10307601301390121,0.2673765158237208,0.05989352262644188,0.23277136941733215,0.03164744158532978,0.049541555752735875
36,E02000037,1,0.014174231565535914,0.0019111323459149545,0.042363433667781496,0.12772734511864947,0.22678770504857462,0.11817168338907469,0.26692148431278867,0.04188565058130275,0.21850613154960982,0.04602643733078516,0.05844879757923236
37,E02000038,1,0.014669926650366748,0.003056234718826406,0.03514669926650367,0.12301344743276284,0.1875,0.10039731051344743,0.335880195599022,0.05180317848410758,0.20140586797066015,0.0316320293398533,0.05287286063569682
38,E02000039,1,0.015151515151515152,0.0024509803921568627,0.04344919786096257,0.09937611408199644,0.2127896613190731,0.11140819964349376,0.3805704099821747,0.04590017825311943,0.1499554367201426,0.033199643493761144,0.06105169340463458
39,E02000040,1,0.01335559265442404,0.0023849272597185785,0.03553541616980682,0.12997853565466252,0.21035058430717862,0.10064393036012402,0.29406153112330075,0.055330312425471026,0.20963510612926306,0.03863582160744097,0.05127593608394944
40,E02000041,1,0.022668632510136382,0.003685956505713233,0.0427570954662735,0.1234795429413933,0.19812016218208625,0.12329524511610764,0.28271286398820494,0.04865462587541467,0.22373755989679323,0.034832288978990045,0.06911168448212311
41,E02000042,1,0.019004787465544754,0.003481793123458581,0.03481793123458581,0.09632960974902074,0.15958218482518496,0.10445379370375743,0.4156390541128681,0.04410271289714203,0.1798926447120267,0.022051356448571015,0.05730451182358915
42,E02000043,1,0.010208087946603848,0.0019630938358853552,0.04240282685512368,0.07695327836670593,0.16980761680408324,0.10384766391833529,0.45445622300745975,0.03769140164899882,0.15724381625441697,0.03180212014134275,0.05457400863761288
43,E02000044,1,0.01748777735990974,0.00376081233546446,0.03497555471981948,0.14836404663407296,0.19575028206092515,0.08706280556600225,0.23542685220007523,0.05660022564874013,0.2767957878901843,0.0359157578036856,0.05622414441519368
44,E02000045,1,0.0164183642444512,0.0031924597141988445,0.03466099118273031,0.13438735177865613,0.16251140164183642,0.09486166007905138,0.33140772271207053,0.046822742474916385,0.23000912131346915,0.025235633931286104,0.05427181514138036
45,E02000046,1,0.018077413866439813,0.0029774564015312634,0.040408336877924285,0.07294768183751595,0.14355593364525734,0.12037430880476394,0.49191833262441514,0.0327520204168439,0.13845172267120373,0.01658868566567418,0.061463207145895364
