,GEOGRAPHY_CODE,All households,One family and no others,One family and no others - All pensioners,One family and no others - Lone parent households - all children non-dependent,One family and no others - Lone parent households - with dependent children,One family and no others - cohabiting couple households - all children non-dependent,One family and no others - cohabiting couple households - no children,One family and no others - cohabiting couple households - with dependent children,One family and no others - married couple households - all children non-dependent,One family and no others - married couple households - no children,One family and no others - married couple households - with dependent children,One person household,One person household - Other,One person household - Pensioner,Other households,Other households - All pensioner,Other households - All students,Other households - Other,Other households - With dependent children
0,E02000001,4338.0,0.31673582295988933,0.03227293683725219,0.015675426463808206,0.03573075149838635,0.001152604887044721,0.07307514983863532,0.0099124020285846,0.0119870908252651,0.08944213923467036,0.047487321346242506,0.6046565237436606,0.46035039188566157,0.14430613185799906,0.07860765329644998,0.0018441678192715537,0.003918856615952052,0.061088059013370215,0.011756569847856155
1,E02000002,2733.0,0.6180021953896817,0.10684229784120014,0.05415294548115624,0.13574826198316867,0.00402488108305891,0.026344676180021953,0.04061470911086718,0.052689352360043906,0.07171606293450421,0.12586900841566045,0.3296743505305525,0.12330772045371387,0.20636663007683864,0.052323454079765824,0.0021953896816684962,0.0,0.029637760702524697,0.020490303695572632
2,E02000003,3784.0,0.6424418604651163,0.0779598308668076,0.04704016913319239,0.06950317124735729,0.0036997885835095136,0.04201902748414376,0.03699788583509514,0.07346723044397463,0.09830866807610994,0.193446088794926,0.29466173361522197,0.14112050739957716,0.1535412262156448,0.06289640591966174,0.005285412262156448,0.001321353065539112,0.033298097251585626,0.02299154334038055
3,E02000004,2400.0,0.67875,0.09875,0.03666666666666667,0.05291666666666667,0.0020833333333333333,0.06,0.03333333333333333,0.075,0.12208333333333334,0.19791666666666666,0.2654166666666667,0.115,0.15041666666666667,0.05583333333333333,0.0020833333333333333,0.0,0.028333333333333332,0.025416666666666667
4,E02000005,3193.0,0.659880989664892,0.07547760726589414,0.04227998747259631,0.09082367679298466,0.005637331663012841,0.03351080488568744,0.045098653304102725,0.0685875352333229,0.10867522705919198,0.18979016598809897,0.28562480425931724,0.12308174130911369,0.16254306295020357,0.054494206075790794,0.003758221108675227,0.001252740369558409,0.025681177575947386,0.023802067021609773
5,E02000006,3517.0,0.6286607904464032,0.06596531134489622,0.04975831674722775,0.10577196474267841,0.004833665055444982,0.03298265567244811,0.049189650270116576,0.05885698038100654,0.0796133067955644,0.1816889394370202,0.30196189934603357,0.13363662212112595,0.1683252772249076,0.06937731020756327,0.004549331816889394,0.0,0.03241398919533694,0.03241398919533694
6,E02000007,3316.0,0.5904704463208685,0.0793124246079614,0.04010856453558504,0.13178528347406515,0.0048250904704463205,0.02744270205066345,0.046441495778045835,0.05247285886610374,0.07418576598311219,0.1338962605548854,0.34378769601930037,0.1655609167671894,0.17822677925211097,0.06574185765983112,0.004523522316043426,0.0,0.02985524728588661,0.031363088057901084
7,E02000008,4509.0,0.6163229097360834,0.08028387669106232,0.05123087159015303,0.10201818585052118,0.004435573297848747,0.036371701042359726,0.041694388999778224,0.059880239520958084,0.08582834331337326,0.15457972943002884,0.3284542027056997,0.12685739631847417,0.20159680638722555,0.0552228875582169,0.005766245287203371,0.0,0.026169882457307607,0.023286759813705923
8,E02000009,3255.0,0.632258064516129,0.059907834101382486,0.06205837173579109,0.11920122887864823,0.003379416282642089,0.047004608294930875,0.03932411674347158,0.060829493087557605,0.07096774193548387,0.1695852534562212,0.2814132104454685,0.15176651305683564,0.12964669738863288,0.08632872503840246,0.0027649769585253456,0.005529953917050691,0.043010752688172046,0.035023041474654376
9,E02000010,3167.0,0.6463530154720556,0.07483422797600253,0.06251973476476161,0.09883170192611304,0.004420587306599305,0.03631196716135144,0.0473634354278497,0.06283549100094726,0.08967477107672876,0.16956109883170192,0.2895484685822545,0.11840858856962425,0.17113988001263025,0.06409851594568992,0.0053678560151563,0.000947268708556994,0.02368171771392485,0.03410167350805179
10,E02000011,2298.0,0.6714534377719756,0.07571801566579635,0.04960835509138381,0.06353350739773717,0.002175805047867711,0.03742384682332463,0.03698868581375109,0.09704090513489991,0.11836379460400348,0.1906005221932115,0.27371627502175805,0.1422976501305483,0.13141862489120976,0.05483028720626632,0.0026109660574412533,0.0013054830287206266,0.03220191470844212,0.018711923411662314
11,E02000012,2985.0,0.6613065326633166,0.09916247906197655,0.03919597989949749,0.044221105527638194,0.0036850921273031824,0.032160804020100506,0.02512562814070352,0.10217755443886097,0.11557788944723618,0.2,0.2790619765494137,0.10452261306532663,0.1745393634840871,0.05963149078726968,0.006700167504187605,0.0010050251256281408,0.033165829145728645,0.018760469011725293
12,E02000013,3105.0,0.6537842190016103,0.08502415458937199,0.04766505636070854,0.10112721417069243,0.0051529790660225444,0.034782608695652174,0.04251207729468599,0.0821256038647343,0.08985507246376812,0.16553945249597424,0.2956521739130435,0.13172302737520128,0.16392914653784219,0.05056360708534621,0.004186795491143317,0.0,0.022222222222222223,0.024154589371980676
13,E02000014,3563.0,0.6556272803817008,0.06932360370474319,0.05332584900364861,0.10637103564412012,0.004209935447656469,0.034521470670783046,0.041818692113387596,0.07072691552062868,0.09935447656469268,0.17597530171204043,0.28038170081392083,0.11928150435026663,0.16110019646365423,0.06399101880437834,0.0047712601740106655,0.0008419870895312938,0.03255683412854336,0.02582093741229301
14,E02000015,2969.0,0.5628157628831256,0.05826877736611654,0.04142809026608286,0.14718760525429436,0.00370495116200741,0.042438531492084874,0.04109127652408218,0.04109127652408218,0.0676995621421354,0.11990569215223981,0.3731896261367464,0.21926574604243854,0.15392388009430785,0.06399461098012799,0.002694509936005389,0.0013472549680026945,0.029302795554058604,0.0306500505220613
15,E02000016,2399.0,0.5072947061275531,0.02209253855773239,0.035431429762401004,0.12255106294289288,0.003334722801167153,0.04460191746561067,0.025844101709045435,0.023759899958315966,0.06669445602334306,0.1629845769070446,0.3830762817840767,0.3138807836598583,0.06919549812421842,0.10962901208837016,0.0020842017507294707,0.006252605252188412,0.0566902876198416,0.04460191746561067
16,E02000017,2810.0,0.5918149466192171,0.057295373665480424,0.04697508896797153,0.06263345195729537,0.0028469750889679717,0.033807829181494664,0.02882562277580071,0.06548042704626335,0.07864768683274022,0.21530249110320285,0.28505338078291814,0.18718861209964413,0.09786476868327403,0.12313167259786477,0.005338078291814947,0.003202846975088968,0.05871886120996441,0.055871886120996445
17,E02000018,3138.0,0.6182281708094327,0.07233906947100063,0.0579987253027406,0.09560229445506692,0.004780114722753346,0.032823454429572976,0.04174633524537922,0.06469088591459528,0.09432759719566602,0.15391969407265774,0.32664117272147863,0.14435946462715105,0.1822817080943276,0.055130656469088594,0.0015933715742511153,0.0019120458891013384,0.030592734225621414,0.021032504780114723
18,E02000019,2910.0,0.6920962199312715,0.0711340206185567,0.04604810996563574,0.10790378006872853,0.007216494845360825,0.04398625429553265,0.048109965635738834,0.06804123711340206,0.1161512027491409,0.18350515463917524,0.25257731958762886,0.12371134020618557,0.12886597938144329,0.055326460481099654,0.003092783505154639,0.0,0.027147766323024056,0.025085910652920963
19,E02000020,3172.0,0.5892181588902901,0.08228247162673392,0.0617906683480454,0.09047919293820933,0.004098360655737705,0.029634300126103404,0.026796973518284993,0.06147540983606557,0.10655737704918032,0.12610340479192939,0.32944514501891553,0.1532156368221942,0.1762295081967213,0.08133669609079446,0.005674653215636823,0.0018915510718789407,0.044136191677175286,0.029634300126103404
20,E02000021,2867.0,0.6648064178583886,0.05266829438437391,0.04359958144401814,0.10184862225322637,0.003487966515521451,0.048133937914196026,0.0387164283222881,0.06766655040111615,0.10080223229856994,0.20788280432507847,0.26578304848273454,0.16044645971398674,0.10533658876874782,0.06941053365887688,0.0038367631670735963,0.0010463899546564353,0.03627485176142309,0.02825252877572375
21,E02000022,2653.0,0.5133810780248775,0.03015454202789295,0.02789295137580098,0.18469656992084432,0.0041462495288352805,0.04070863173765549,0.036939313984168866,0.01960045231813042,0.04673954014323407,0.12250282698831512,0.37353938937052394,0.27252167357708257,0.10101771579344139,0.11307953260459856,0.0011307953260459858,0.003392385978137957,0.04937806257067471,0.05917828872973992
22,E02000023,2526.0,0.5760095011876485,0.06096595407759303,0.04671417260490895,0.1583531274742676,0.003167062549485352,0.0510688836104513,0.04671417260490895,0.028503562945368172,0.0728424386381631,0.10768012668250197,0.34323040380047504,0.23832145684877276,0.10490894695170229,0.08076009501187649,0.001583531274742676,0.001979414093428345,0.0395882818685669,0.03760886777513856
23,E02000024,3805.0,0.6247043363994744,0.08620236530880421,0.02890932982917214,0.04336399474375821,0.0031537450722733244,0.04756898817345598,0.022601839684625494,0.0657030223390276,0.10775295663600526,0.21944809461235218,0.31721419185282523,0.1566360052562418,0.16057818659658343,0.0580814717477004,0.004204993429697766,0.0007884362680683311,0.03679369250985545,0.016294349540078842
24,E02000025,3504.0,0.548230593607306,0.0642123287671233,0.033105022831050226,0.0533675799086758,0.004280821917808219,0.06192922374429224,0.023401826484018264,0.04452054794520548,0.09417808219178082,0.1692351598173516,0.39412100456621,0.23687214611872145,0.1572488584474886,0.057648401826484015,0.0037100456621004564,0.0008561643835616438,0.034531963470319636,0.018550228310502282
