,GEOGRAPHY_CODE,1. Managers and senior officials,2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,6. Personal service occupations,7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations,All categories: Occupation
0,E02000001,0.23752913752913754,0.3132867132867133,0.2230769230769231,0.10675990675990675,0.015384615384615385,0.029137529137529136,0.022144522144522144,0.011655011655011656,0.041025641025641026,2860.0
1,E02000002,0.11116236162361623,0.05581180811808119,0.10931734317343174,0.17158671586715868,0.14206642066420666,0.0705719557195572,0.0940959409594096,0.0940959409594096,0.15129151291512916,1445.3333333333333
2,E02000003,0.13359850257370146,0.07791296209639681,0.12821712681328964,0.21034160037435656,0.12821712681328964,0.05989705194197473,0.08235844642021525,0.08212447356106692,0.09733270940570893,2849.3333333333335
3,E02000004,0.10700319943121223,0.06789904017063633,0.153572698186989,0.20405261286882334,0.13153217205830076,0.06434411660149307,0.06967650195520796,0.08496267330252401,0.11695698542481338,1875.3333333333333
4,E02000005,0.10758537322453914,0.05318827440314294,0.08854638863705047,0.1813236627379873,0.1489876095497129,0.07585373224539137,0.08854638863705047,0.11695376246600181,0.13901480809912362,2206.0
5,E02000006,0.0967837120094423,0.05045736205370315,0.09943936264384773,0.18471525523753318,0.13189731484213632,0.06727648273827087,0.09088226615520803,0.10652109766892888,0.17202714665092947,2259.3333333333335
6,E02000007,0.09826376062061323,0.05984484669375693,0.08311784263021794,0.19061691909863315,0.14037680088659032,0.07757665312153675,0.08902844477281122,0.10897672700406352,0.15219800517177687,1804.6666666666667
7,E02000008,0.09185185185185185,0.041728395061728395,0.08765432098765431,0.17382716049382715,0.14148148148148149,0.07432098765432098,0.08962962962962963,0.13234567901234567,0.1671604938271605,2700.0
8,E02000009,0.10502421307506055,0.0526634382566586,0.11077481840193705,0.18462469733656175,0.13075060532687652,0.06900726392251816,0.08656174334140436,0.09866828087167072,0.16192493946731237,2202.6666666666665
9,E02000010,0.09042375709042376,0.03670337003670337,0.09342676009342675,0.1978645311978645,0.14647981314647981,0.06873540206873541,0.09476142809476143,0.10844177510844177,0.16316316316316315,1998.0
10,E02000011,0.11013215859030837,0.05616740088105727,0.10609397944199705,0.21549192364170336,0.1406020558002937,0.06607929515418502,0.07085168869309838,0.09618208516886931,0.1383994126284875,1816.0
11,E02000012,0.14922813036020582,0.08890794739851345,0.13493424814179533,0.22755860491709548,0.11034877072612921,0.060891938250428816,0.06146369353916524,0.07432818753573471,0.09233847913093196,2332.0
12,E02000013,0.09694555112881806,0.031208499335989376,0.08598937583001327,0.18227091633466136,0.15670650730411687,0.08266932270916334,0.08964143426294821,0.12383798140770252,0.150730411686587,2008.0
13,E02000014,0.09418439716312058,0.03659574468085106,0.08680851063829788,0.1651063829787234,0.14042553191489363,0.07716312056737588,0.08936170212765958,0.12936170212765957,0.18099290780141844,2350.0
14,E02000015,0.10582010582010583,0.052096052096052094,0.10256410256410256,0.18030118030118028,0.14245014245014245,0.07366707366707367,0.08750508750508751,0.10378510378510379,0.15181115181115182,1638.0
15,E02000016,0.11270767849124383,0.08396946564885496,0.11944319712617872,0.1643466546924113,0.09250112258643915,0.0588235294117647,0.09250112258643915,0.09250112258643915,0.183206106870229,1484.6666666666667
16,E02000017,0.13272450532724506,0.1132420091324201,0.14429223744292238,0.1872146118721461,0.09558599695585997,0.04809741248097412,0.08645357686453577,0.07914764079147642,0.1132420091324201,2190.0
17,E02000018,0.09276624246483589,0.04253181513730744,0.09243134628265237,0.19524447421299398,0.13864701942397856,0.08004018754186203,0.08037508372404555,0.11319490957803081,0.16476892163429335,1990.6666666666667
18,E02000019,0.10396851426697278,0.042308953755329615,0.09511315185306658,0.1794030829780256,0.14562151525090192,0.07969826172515579,0.07313873401115119,0.11610364053788126,0.16464414562151525,2032.6666666666667
19,E02000020,0.10544217687074829,0.061224489795918366,0.11836734693877551,0.18333333333333332,0.10816326530612246,0.07108843537414966,0.09421768707482993,0.09183673469387756,0.1663265306122449,1960.0
20,E02000021,0.09821707851110416,0.04191429465123553,0.11229277447607132,0.18705035971223022,0.13731623396934625,0.07100406631216766,0.08914607444479199,0.11948701908038785,0.14357209884266497,2131.3333333333335
21,E02000022,0.0909090909090909,0.06253284287966368,0.09196006305832895,0.1613242249080399,0.09248554913294797,0.08145034156594849,0.10982658959537572,0.09984235417761429,0.20966894377299,1268.6666666666667
22,E02000023,0.08536585365853658,0.05512195121951219,0.1146341463414634,0.17414634146341462,0.11658536585365854,0.07268292682926829,0.08926829268292683,0.11219512195121951,0.18,1366.6666666666667
23,E02000024,0.2072072072072072,0.2072072072072072,0.2050098879367172,0.13865084596791916,0.06416172269830805,0.05603164139749506,0.047901560096682054,0.025928367391782028,0.047901560096682054,3034.0
24,E02000025,0.18134445023449713,0.1797811360083377,0.18655549765502866,0.15398645127670663,0.06930693069306931,0.05680041688379365,0.05445544554455446,0.04924439812402293,0.06852527357998958,2558.6666666666665
25,E02000026,0.1910457963089542,0.15413533834586465,0.17361585782638414,0.1845522898154477,0.08202323991797676,0.05878332194121668,0.06185919343814081,0.03964456596035543,0.0543403964456596,1950.6666666666667
26,E02000027,0.15240904621435594,0.11332350049164208,0.1583087512291052,0.1597836774827925,0.09193706981317601,0.0803834808259587,0.08308751229105212,0.058505408062930184,0.10226155358898721,2712.0
27,E02000028,0.20992092020129402,0.18404025880661393,0.17038102084831055,0.16211358734723222,0.07260963335729691,0.04493170381020848,0.0682961897915169,0.037742631200575125,0.04996405463695183,1854.6666666666667
28,E02000029,0.18327491236855284,0.14872308462694042,0.1624937406109164,0.1624937406109164,0.10090135202804208,0.06735102653980972,0.06034051076614922,0.04206309464196294,0.07235853780671006,2662.6666666666665
29,E02000030,0.2640080767289248,0.1673397274103988,0.15598182735991922,0.13679959616355375,0.07243816254416961,0.05906108026249369,0.05300353356890459,0.03659767794043412,0.05477031802120141,2641.3333333333335
