,GEOGRAPHY_CODE,All females aged 16-74 in employment,All males aged 16-74 in employment,Female - Mean hours worked,Females - Full-time - 31 to 37 hours,Females - Full-time - 38 to 48 hours,Females - Full-time - 49 or more hours,Females - Part-time - 1 to 5 hours,Females - Part-time - 16 to 30 hours,Females - Part-time - 6 to 15 hours,Male - Mean hours worked,Males - Full-time - 31 to 37 hours,Males - Full-time - 38 to 48 hours,Males - Full-time - 49 or more hours,Males - Part-time - 1 to 5 hours,Males - Part-time - 16 to 30 hours,Males - Part-time - 6 to 15 hours
0,E02000001,0.7235837685817598,2489.0,40.73,0.1213338690237043,0.30695058256327845,0.18360787464845318,0.00562474889513861,0.071112896745681,0.03495379670550422,45.7,0.08557653676175171,0.40498192044997994,0.4142225793491362,0.008035355564483728,0.05785456006428284,0.02932904781036561
1,E02000002,0.8419711129991504,1177.0,31.12,0.22939677145284623,0.2421410365335599,0.0356839422259983,0.012744265080713678,0.22005097706032287,0.10195412064570943,41.58,0.16907391673746813,0.5208156329651656,0.21325403568394222,0.008496176720475786,0.06457094307561598,0.0237892948173322
2,E02000003,0.8631211857018308,2294.0,31.74,0.25414123801220573,0.25152571926765477,0.043591979075850044,0.012641673931996512,0.1996512641673932,0.1015693112467306,42.16,0.17088055797733218,0.53487358326068,0.2157802964254577,0.003923278116826504,0.05274629468177855,0.021795989537925022
3,E02000004,0.8566710700132101,1514.0,31.6,0.2562747688243065,0.24900924702774108,0.03632760898282695,0.009247027741083224,0.21334214002642007,0.09247027741083223,42.45,0.18163804491413474,0.5112285336856011,0.23778071334214002,0.0,0.04491413474240423,0.02443857331571995
4,E02000005,0.8342572062084257,1804.0,31.04,0.2245011086474501,0.2222838137472284,0.03991130820399113,0.009977827050997782,0.24002217294900222,0.0975609756097561,42.25,0.16130820399113083,0.5399113082039911,0.22893569844789358,0.004434589800443459,0.04212860310421286,0.02328159645232816
5,E02000006,0.8234660925726588,1858.0,30.83,0.23842841765339073,0.21689989235737353,0.03336921420882669,0.010764262648008612,0.22066738428417654,0.10333692142088267,41.9,0.16361679224973089,0.5333692142088267,0.21959095801937567,0.0,0.06081808396124865,0.022604951560818085
6,E02000007,0.8553803975325566,1459.0,31.81,0.25222755311857437,0.26113776559287183,0.03289924605894448,0.01233721727210418,0.1987662782727896,0.09801233721727211,41.97,0.17477724468814257,0.5174777244688142,0.21932830705962988,0.00411240575736806,0.06648389307745031,0.01782042494859493
7,E02000008,0.8064228367528992,2242.0,31.15,0.2216770740410348,0.2207850133809099,0.034344335414808205,0.015611061552185548,0.23238180196253344,0.0816235504014273,41.84,0.18108831400535236,0.552185548617306,0.19803746654772525,0.0022301516503122213,0.05173951828724353,0.014719000892060661
8,E02000009,0.9043227665706052,1735.0,31.27,0.25821325648414983,0.2564841498559078,0.03688760806916427,0.01037463976945245,0.23112391930835735,0.11123919308357348,42.4,0.13948126801152738,0.545821325648415,0.22997118155619597,0.002881844380403458,0.05244956772334294,0.029394812680115272
9,E02000010,0.8707865168539326,1602.0,30.41,0.26779026217228463,0.21910112359550563,0.02372034956304619,0.015605493133583021,0.2397003745318352,0.10486891385767791,41.85,0.16666666666666666,0.5411985018726592,0.21722846441947566,0.0056179775280898875,0.04431960049937578,0.024968789013732832
