,GEOGRAPHY_CODE,Age 0 to 4,Age 10 to 14,Age 15,Age 16 to 17,Age 18 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 44,Age 45 to 59,Age 5 to 7,Age 60 to 64,Age 65 to 74,Age 75 to 84,Age 8 to 9,Age 85 to 89,Age 90 and over,All usual residents,Mean Age,Median Age
0,E02000001,0.03479471120389701,0.025887265135699375,0.0037578288100208767,0.010855949895615866,0.014057063326374391,0.07362560890744607,0.13082811412665274,0.27515657620041756,0.22574808629088378,0.015588030619345859,0.04258872651356994,0.07153792623521225,0.044815588030619344,0.013221990257480862,0.013917884481558803,0.0036186499652052888,7185.0,40.6,38.0
1,E02000002,0.0784030784030784,0.06782106782106782,0.013468013468013467,0.025974025974025976,0.021805355138688472,0.0582010582010582,0.06557639890973224,0.20474587141253808,0.14333814333814335,0.04184704184704185,0.03463203463203463,0.10662177328843996,0.08465608465608465,0.027096360429693763,0.016674683341350006,0.00913900913900914,6237.0,38.96,36.0
2,E02000003,0.06681175190424374,0.06365614798694233,0.01338411316648531,0.026550598476605007,0.023286180631120784,0.062023939064200215,0.07138193688792166,0.24232861806311207,0.17138193688792167,0.035908596300326445,0.04102285092491839,0.0794341675734494,0.057562568008705114,0.02763873775843308,0.010228509249183896,0.007399347116430903,9190.0,37.65,36.0
3,E02000004,0.06267341276317936,0.0643055328872205,0.013220173004733148,0.02382895381100049,0.02333931777378815,0.06593765301126163,0.07328219356944671,0.21903052064631956,0.1666394646645993,0.0416190631630488,0.049616451770850334,0.08176921821446058,0.06838583319732332,0.026929982046678635,0.012567324955116697,0.0068549045209727434,6127.0,38.48,37.0
4,E02000005,0.06892612338156892,0.07336887534907337,0.01485148514851485,0.027545062198527544,0.023483117542523482,0.04887027164254887,0.061817720233561815,0.246001523229246,0.16412795125666413,0.04722010662604722,0.0429042904290429,0.08161970043158162,0.051535922823051535,0.03262249301853262,0.01078954049251079,0.004315816197004316,7878.0,36.64,35.0
5,E02000006,0.07950931394820536,0.07326215356656066,0.01510676965015902,0.029077691958200817,0.022149023171285778,0.056905951840072695,0.07326215356656066,0.2375056792367106,0.14731940027260337,0.04781917310313494,0.0362335302135393,0.07235347569286688,0.055315765561108586,0.03600636074511586,0.012153566560654248,0.006019990913221263,8804.0,35.52,33.0
6,E02000007,0.09287925696594428,0.0661764705882353,0.011867905056759546,0.024638802889576882,0.026573787409700723,0.07430340557275542,0.06695046439628483,0.20820433436532507,0.14305985552115583,0.045278637770897835,0.039473684210526314,0.0813983488132095,0.0696594427244582,0.029282765737874097,0.010577915376676987,0.009674922600619196,7752.0,36.38,34.0
7,E02000008,0.07234848484848484,0.0668560606060606,0.013825757575757576,0.023200757575757576,0.023674242424242424,0.05142045454545455,0.06164772727272727,0.23664772727272726,0.15018939393939393,0.04621212121212121,0.04412878787878788,0.0872159090909091,0.07121212121212121,0.030871212121212122,0.01619318181818182,0.004356060606060606,10560.0,37.95,36.0
8,E02000009,0.0681082331174838,0.06972710453283996,0.014107308048103609,0.03341813135985199,0.03688714153561517,0.09065679925994449,0.07666512488436633,0.24560592044403332,0.1288159111933395,0.05434782608695652,0.030642923219241443,0.05654486586493987,0.04555966697502312,0.03318686401480111,0.011447733580018502,0.004278445883441258,8648.0,33.5,31.0
9,E02000010,0.07324268855823499,0.07362750128270908,0.013211903540277065,0.0310415597742432,0.023088763468445357,0.051308363263211906,0.061826577732170346,0.24769112365315546,0.1517444843509492,0.04669061056952283,0.03553104155977424,0.08222165212929708,0.05682401231400718,0.031169830682401232,0.014238070805541304,0.006541816316059518,7796.0,36.69,35.0
10,E02000011,0.06252176941832115,0.061476837338906305,0.01114594218042494,0.028909787530477186,0.022988505747126436,0.06565656565656566,0.05990943921978405,0.23545802856147685,0.1917450365726228,0.03970741901776385,0.046673632880529434,0.07488679902473006,0.054336468129571575,0.032567049808429116,0.008359456635318705,0.0036572622779519333,5742.0,37.57,37.0
11,E02000012,0.0537402106400216,0.06143667296786389,0.011477180664326223,0.028085336213880638,0.023764515257899,0.06373210910072914,0.05468539022414259,0.21658115041857953,0.19916284093977857,0.03578179854172293,0.048069133135295705,0.08857682959762354,0.06589251957871996,0.02524979746151769,0.018768566027545234,0.004995949230353767,7406.0,39.99,40.0
12,E02000013,0.06757112750263435,0.07073234984193888,0.01554267650158061,0.029373024236037933,0.02423603793466807,0.05518967334035827,0.0630927291886196,0.22128556375131717,0.1684668071654373,0.045574288724973655,0.04333508956796628,0.0810063224446786,0.06217070600632244,0.0345100105374078,0.010405690200210748,0.007507903055848262,7592.0,37.23,35.0
13,E02000014,0.06920728259640394,0.0680764446454823,0.01583173131290286,0.03166346262580572,0.023521429379169966,0.05710731652154246,0.06310075766142711,0.23080402578310527,0.1743752120321158,0.04625127219269479,0.038109238946059026,0.07248671265407668,0.05778581929209544,0.03177654642089789,0.012778468845414451,0.007124279090806288,8843.0,36.9,35.0
14,E02000015,0.09769173492181683,0.06954579300074461,0.014743112434847357,0.022189128816083394,0.027252419955323903,0.07222635889798958,0.07833209233060313,0.23067758749069248,0.1332836932241251,0.05301563663440059,0.03469843633655994,0.06492926284437826,0.05465376023827252,0.03201787043931496,0.010275502606105734,0.004467609828741623,6715.0,33.94,32.0
15,E02000016,0.09803921568627451,0.07265406162464987,0.01488095238095238,0.029411764705882353,0.03483893557422969,0.08473389355742297,0.10329131652661064,0.2760854341736695,0.12710084033613445,0.049544817927170866,0.019257703081232494,0.03081232492997199,0.022058823529411766,0.028361344537815126,0.004901960784313725,0.004026610644257703,5712.0,29.96,29.0
16,E02000017,0.07516512549537649,0.06816380449141347,0.014927344782034346,0.031836195508586525,0.029326287978863937,0.07490092470277411,0.08520475561426684,0.24610303830911492,0.1667107001321004,0.03645970937912814,0.03408190224570674,0.05799207397622193,0.03553500660501981,0.02998678996036988,0.0083223249669749,0.005284015852047556,7570.0,34.42,32.0
17,E02000018,0.06812026002166847,0.06446370530877574,0.012594799566630552,0.02640845070422535,0.024106175514626217,0.061619718309859156,0.07204767063921994,0.22156013001083424,0.1684723726977248,0.04563921993499458,0.039138678223185265,0.07963163596966413,0.06649512459371615,0.026137594799566632,0.01557421451787649,0.007990249187432286,7384.0,37.83,35.0
18,E02000019,0.08050619278406031,0.07215939687668282,0.013731825525040387,0.023963381798599893,0.020866989768443728,0.05586968228325256,0.07996768982229402,0.2377490576198169,0.1674744211093161,0.0537156704361874,0.03365643511039311,0.06758212170166936,0.0459073774905762,0.031233171782444804,0.010635433494884222,0.00498115239633818,7428.0,35.07,33.0
19,E02000020,0.05789473684210526,0.05678670360110803,0.012603878116343491,0.023407202216066483,0.024515235457063713,0.055817174515235456,0.07506925207756232,0.22077562326869807,0.17894736842105263,0.03573407202216067,0.04487534626038781,0.09681440443213296,0.07548476454293629,0.026177285318559555,0.011911357340720222,0.003185595567867036,7220.0,39.8,38.0
20,E02000021,0.07767905223478729,0.07673667205169628,0.013597199784598816,0.025309639203015617,0.024636510500807753,0.0561389337641357,0.07027463651050081,0.2730210016155089,0.1509154550350027,0.05102315562735595,0.03325255788906839,0.06233171782444803,0.03594507269789984,0.03379106085083468,0.011173936456650511,0.004173397953688745,7428.0,34.24,33.0
21,E02000022,0.12911025145067698,0.0668923275306254,0.012411347517730497,0.025789813023855575,0.027724049000644745,0.08720180528691167,0.10638297872340426,0.24500322372662797,0.10799484203739523,0.058027079303675046,0.02014829142488717,0.040457769181173435,0.030786589297227596,0.031431334622823985,0.007575757575757576,0.0030625402965828497,6204.0,29.23,27.0
22,E02000023,0.10581639803784162,0.05851436580238262,0.01278906797477225,0.021723896285914507,0.03135949544498949,0.08882270497547302,0.10529081990189208,0.23160476524176593,0.11685353889278206,0.047477224947442186,0.02908199018920813,0.061492641906096705,0.04852838121934128,0.027680448493342676,0.007708479327259986,0.005255781359495445,5708.0,32.8,30.0
23,E02000024,0.0589635399761982,0.06047819971870605,0.012874607811316672,0.025532835659417937,0.019906956615817376,0.05041653142918966,0.05084929135562047,0.24018175916910095,0.20891485448447475,0.03743373363626528,0.040679433084496376,0.07854592664719247,0.06404846911176025,0.02326084604565617,0.017526777020447908,0.0103862382343395,9243.0,39.97,40.0
24,E02000025,0.05589817609237633,0.06114683112452434,0.010497310064296024,0.02558719328172156,0.01758299435769584,0.049468573677995016,0.0833223986353497,0.2624327516074006,0.18396535887678783,0.033985041333158376,0.03687180160083978,0.07597428159034247,0.05799763810523553,0.026899357039758563,0.01259677207715523,0.005773520535362813,7621.0,38.42,37.0
25,E02000026,0.06532663316582915,0.05932890257740314,0.011509158696709354,0.02253201491327606,0.02123520829956233,0.05414167612254823,0.06921705300697034,0.2423407359377533,0.19516939536391636,0.03436537526341384,0.04522613065326633,0.0778083968228238,0.059166801750688926,0.025774031447560384,0.012805965310423084,0.004052520667855406,6169.0,38.62,38.0
26,E02000027,0.07004470938897168,0.07632531403023206,0.013093463913136044,0.030551415797317436,0.024909516712795402,0.05407707047051309,0.06759633808814136,0.2399403874813711,0.1711730892058761,0.04896742601660634,0.04311262507983819,0.07078986587183309,0.04268682137534596,0.03427719821162444,0.009048328720459868,0.0034064296359378327,9394.0,35.5,34.0
27,E02000028,0.05643138659978502,0.06341812970261555,0.010390541024722321,0.024005732712289504,0.01683984235041204,0.05374417771408097,0.0680759584378359,0.23916159082766034,0.2036904335363669,0.03242565388749552,0.04819061268362594,0.084736653529201,0.051236116087423865,0.023468290935148694,0.016660695091365103,0.007524184879971337,5582.0,39.7,39.0
28,E02000029,0.06503642039542143,0.06074401664932362,0.011576482830385015,0.022112382934443287,0.021071800208116546,0.0573621227887617,0.09079084287200832,0.26703954214360043,0.18496357960457857,0.042013527575442244,0.03707075962539022,0.062434963579604576,0.03798126951092612,0.02796566077003122,0.007804370447450572,0.004032258064516129,7688.0,35.85,35.0
29,E02000030,0.06022764946402918,0.07282572659962427,0.013703171621173611,0.02795889048513648,0.02077577632887612,0.04486683611448779,0.04674549673997127,0.2084208199801083,0.2069841971488562,0.03989391092938446,0.05381810144767377,0.09304895568571113,0.0615537628467234,0.026301248756768703,0.015471322798099237,0.007404133053376063,9049.0,39.92,41.0
30,E02000031,0.056885813148788926,0.06089965397923876,0.011903114186851211,0.024083044982698962,0.018131487889273358,0.0542560553633218,0.07031141868512111,0.22782006920415224,0.17619377162629757,0.04027681660899654,0.041799307958477507,0.09134948096885813,0.06546712802768166,0.02491349480968858,0.021730103806228373,0.01397923875432526,7225.0,40.14,38.0
31,E02000032,0.05660377358490566,0.06596887481063214,0.01363448560804297,0.023825919294862965,0.023825919294862965,0.06252582288940917,0.05481338658586971,0.23178625533673047,0.20740944773447184,0.04172978928522242,0.0517835008951935,0.0765734747279989,0.045172841206445394,0.025203140063352156,0.012257264839553781,0.006886103842445944,7261.0,38.36,38.0
32,E02000033,0.06534359389766436,0.061968408262454436,0.01120561630889699,0.02551640340218712,0.021601188065343595,0.05197785878223302,0.06480356419603078,0.25718914540299714,0.1756446604563251,0.04374240583232078,0.04320237613068719,0.07708923990819495,0.05130282165519104,0.03078169299311462,0.012555690562980963,0.006075334143377886,7407.0,37.52,36.0
33,E02000034,0.059073359073359075,0.05791505791505792,0.010810810810810811,0.02277992277992278,0.020463320463320462,0.05855855855855856,0.07915057915057915,0.23397683397683397,0.1940797940797941,0.036036036036036036,0.044272844272844274,0.0761904761904762,0.05752895752895753,0.025096525096525095,0.01595881595881596,0.008108108108108109,7770.0,38.98,37.0
34,E02000035,0.058403983313147625,0.04709998654286099,0.008612568967837438,0.019378280177634235,0.015610281254205357,0.062306553626698964,0.10254339927331449,0.2645673529807563,0.16323509621854393,0.03552684699232943,0.03848741757502355,0.08020454851298614,0.056519983851433184,0.018705423227021935,0.018570851836899476,0.010227425649306957,7431.0,39.0,36.0
35,E02000036,0.06984866123399301,0.06540374642819347,0.012805587892898719,0.026669488834797334,0.020848767065297914,0.0559847602920944,0.07175362472219282,0.23737961689067627,0.1849931209651815,0.04106254630119589,0.03958090803259604,0.07842099693089216,0.05090485765689491,0.024341200126997566,0.013758069636998623,0.006244046989099376,9449.0,37.58,36.0
36,E02000037,0.06700055648302727,0.08213689482470785,0.015136338341680579,0.03494713411240957,0.02615470228158041,0.05976627712854758,0.05431274346132443,0.19432387312186977,0.21068447412353924,0.03917640511964385,0.047523650528658874,0.07111853088480802,0.051419031719532556,0.028158041179744017,0.012799109627156371,0.005342237061769616,8985.0,37.31,37.0
37,E02000038,0.05827321911632101,0.0616546438232642,0.013074842200180343,0.024909828674481514,0.023219116321009918,0.06954463480613166,0.08036519386834987,0.2573264201983769,0.18304779080252478,0.03809738503155996,0.03606853020739405,0.06311992786293959,0.0422678088367899,0.024346257889990983,0.015892696122633002,0.0087917042380523,8872.0,37.03,35.0
38,E02000039,0.06468389403542987,0.06208353648626686,0.010888997237120104,0.026328620185275476,0.025841053144807412,0.05915813424345848,0.07378514545750041,0.2311067771818625,0.19616447261498457,0.0396554526247359,0.047944092312693,0.06907199739964245,0.04956931578091987,0.026653664878920853,0.012514220705346985,0.004550625711035267,6153.0,37.62,37.0
39,E02000040,0.07081230669054209,0.07357968419339085,0.013999674426176136,0.029138857235878234,0.02246459384665473,0.05144066417060068,0.06951001139508384,0.23034348038417712,0.16897281458570731,0.04281295783818981,0.03646426827283086,0.07423083184111998,0.0613706657984698,0.02572033208530034,0.01806934722448315,0.011069510011395084,6143.0,37.72,36.0
40,E02000041,0.061946902654867256,0.07431025507548152,0.012753774076002082,0.027850078084331077,0.025117126496616345,0.060515356585111924,0.0650702758979698,0.22293076522644456,0.17764185320145756,0.03695991671004685,0.04489849036959917,0.08211868818323789,0.05270692347735555,0.02680895366996356,0.01704841228526809,0.011322228006246746,7684.0,38.2,37.0
41,E02000042,0.05193661971830986,0.04478433098591549,0.010673415492957746,0.019036091549295774,0.016505281690140844,0.07680457746478873,0.11168573943661972,0.26452464788732394,0.15470950704225353,0.029159330985915492,0.039942781690140844,0.07526408450704225,0.0566681338028169,0.01936619718309859,0.01936619718309859,0.00957306338028169,9088.0,38.84,36.0
42,E02000043,0.0724241988791493,0.05776692053455956,0.010490012932892657,0.0244287972409829,0.018824543756286824,0.05374335393016238,0.07069981319155051,0.2586578531398189,0.18335967811467166,0.040810461273171436,0.03908607558557264,0.08320160942664176,0.042247449346170425,0.025578387699382095,0.01221439862049145,0.006466446328495474,6959.0,37.55,37.0
43,E02000044,0.07130550033134526,0.0781974817760106,0.01709741550695825,0.03260437375745527,0.025579854208084823,0.06905235255135851,0.073558648111332,0.25275016567263087,0.16037110669317428,0.047846255798542084,0.03273691186216037,0.05818422796554009,0.036978131212723656,0.032471835652750164,0.007952286282306162,0.0033134526176275677,7545.0,33.85,32.0
44,E02000045,0.07004066877541798,0.06077722548576593,0.012200632625395391,0.02236782647989155,0.019656574785359242,0.05998644374152734,0.10404428377767735,0.2911206507004067,0.1552191595119747,0.040555806597379125,0.03321283325802079,0.05750112968820605,0.03648892905558066,0.026547672842295526,0.007907817442385901,0.0023723452327157704,8852.0,34.77,33.0
