,GEOGRAPHY_CODE,Can write Welsh,Cannot write Welsh,Total: All usual residents aged 3 years and over
0,W02000001,0.49229828850855745,0.5077017114914425,1
1,W02000002,0.46172363986519016,0.5382763601348098,1
2,W02000003,0.30408958130477115,0.6959104186952288,1
3,W02000004,0.4040557318250793,0.5959442681749206,1
4,W02000005,0.3934098851722416,0.6065901148277584,1
5,W02000006,0.6597620096959013,0.34023799030409874,1
6,W02000007,0.4898997456232231,0.5101002543767769,1
7,W02000008,0.5260720411663808,0.4739279588336192,1
8,W02000009,0.5800638977635783,0.41993610223642175,1
9,W02000010,0.239900779588944,0.760099220411056,1
10,W02000011,0.422991347342398,0.5770086526576019,1
11,W02000012,0.6224092450697148,0.37759075493028516,1
12,W02000013,0.6934294871794872,0.30657051282051284,1
13,W02000014,0.6063100137174211,0.3936899862825789,1
14,W02000015,0.7375886524822695,0.2624113475177305,1
15,W02000016,0.7057110499919107,0.2942889500080893,1
16,W02000017,0.6855200543847723,0.31447994561522774,1
17,W02000018,0.6808293677770224,0.3191706322229776,1
18,W02000019,0.6000614817091915,0.3999385182908085,1
19,W02000020,0.6440785307156428,0.3559214692843572,1
20,W02000021,0.683026855404154,0.316973144595846,1
21,W02000022,0.49678131322420455,0.5032186867757955,1
22,W02000023,0.6245885769603098,0.3754114230396902,1
23,W02000024,0.6129206406334353,0.3870793593665647,1
24,W02000025,0.45830553702468313,0.5416944629753169,1
25,W02000026,0.33094994892747703,0.669050051072523,1
26,W02000027,0.13431752178121975,0.8656824782187803,1
27,W02000028,0.152987926027816,0.847012073972184,1
28,W02000029,0.1657269776183154,0.8342730223816847,1
29,W02000030,0.1314464316721653,0.8685535683278347,1
30,W02000031,0.09240015024414674,0.9075998497558533,1
31,W02000032,0.1927637208165261,0.8072362791834738,1
32,W02000033,0.1550007430524595,0.8449992569475405,1
33,W02000034,0.17433640122715752,0.8256635987728425,1
34,W02000035,0.15511054520199097,0.844889454798009,1
35,W02000036,0.16581679111272993,0.83418320888727,1
36,W02000037,0.2175665946724262,0.7824334053275738,1
37,W02000038,0.24757041673529898,0.752429583264701,1
38,W02000039,0.2924268276676729,0.7075731723323271,1
39,W02000040,0.5050505050505051,0.494949494949495,1
40,W02000041,0.4643459407371718,0.5356540592628283,1
41,W02000042,0.09956178790534619,0.9004382120946538,1
42,W02000043,0.11950549450549451,0.8804945054945055,1
43,W02000044,0.13806401851137678,0.8619359814886233,1
44,W02000045,0.08833730760893128,0.9116626923910687,1
45,W02000047,0.1050561797752809,0.8949438202247191,1
46,W02000049,0.15221758615360842,0.8477824138463916,1
47,W02000050,0.1372328458942632,0.8627671541057368,1
48,W02000051,0.19435857805255022,0.8056414219474498,1
49,W02000052,0.23221670802315963,0.7677832919768404,1
50,W02000053,0.3540453074433657,0.6459546925566343,1
51,W02000054,0.24377194449088782,0.7562280555091122,1
52,W02000055,0.31993481803367735,0.6800651819663226,1
53,W02000056,0.37917407626951194,0.6208259237304881,1
54,W02000057,0.24675324675324675,0.7532467532467533,1
55,W02000058,0.13878860810268753,0.8612113918973124,1
56,W02000059,0.12644938890629898,0.873550611093701,1
57,W02000060,0.097631426920855,0.902368573079145,1
58,W02000061,0.0878581173260573,0.9121418826739427,1
59,W02000062,0.09434914228052473,0.9056508577194753,1
60,W02000063,0.1438106031985896,0.8561893968014104,1
61,W02000064,0.06173883626522327,0.9382611637347767,1
62,W02000065,0.07034247548671309,0.9296575245132869,1
63,W02000066,0.06167262029838201,0.938327379701618,1
64,W02000067,0.07638993521169203,0.923610064788308,1
65,W02000068,0.05466745608841524,0.9453325439115847,1
66,W02000069,0.10153695225637671,0.8984630477436233,1
67,W02000070,0.08193883439122908,0.9180611656087709,1
68,W02000071,0.10315269504576492,0.896847304954235,1
69,W02000072,0.04996020868334954,0.9500397913166505,1
70,W02000073,0.15904029155699534,0.8409597084430046,1
71,W02000074,0.08010471204188482,0.9198952879581151,1
72,W02000075,0.0919909938887102,0.9080090061112898,1
73,W02000076,0.13002099370188944,0.8699790062981105,1
74,W02000077,0.10754685125780854,0.8924531487421915,1
75,W02000080,0.10288335517693316,0.8971166448230669,1
76,W02000081,0.1100821247597414,0.8899178752402586,1
77,W02000082,0.09777478084962914,0.9022252191503709,1
78,W02000083,0.12392550143266476,0.8760744985673352,1
79,W02000085,0.0911801812134419,0.908819818786558,1
80,W02000087,0.07095107869948344,0.9290489213005165,1
81,W02000088,0.10779652959353458,0.8922034704064654,1
82,W02000089,0.09739866908650938,0.9026013309134906,1
83,W02000090,0.14334717458024915,0.8566528254197509,1
84,W02000091,0.12177244710977844,0.8782275528902216,1
85,W02000092,0.16856177012907192,0.8314382298709281,1
86,W02000093,0.09916966943443521,0.9008303305655648,1
87,W02000094,0.09452852153667055,0.9054714784633294,1
88,W02000095,0.06119188368749001,0.9388081163125099,1
89,W02000096,0.1270823417420276,0.8729176582579724,1
90,W02000097,0.24002637652489284,0.7599736234751071,1
91,W02000098,0.09883816069383079,0.9011618393061692,1
92,W02000099,0.09305210918114144,0.9069478908188585,1
93,W02000100,0.4199834847233691,0.5800165152766309,1
94,W02000101,0.08234200743494424,0.9176579925650558,1
95,W02000102,0.21493927799035104,0.7850607220096489,1
96,W02000103,0.0739099610067352,0.9260900389932648,1
97,W02000104,0.10617120106171202,0.893828798938288,1
98,W02000105,0.09820889514992956,0.9017911048500704,1
99,W02000106,0.1371744277821626,0.8628255722178374,1
100,W02000107,0.05988274706867672,0.9401172529313233,1
101,W02000108,0.08481318369086518,0.9151868163091348,1
102,W02000109,0.08567262121764492,0.914327378782355,1
103,W02000110,0.1149063670411985,0.8850936329588015,1
104,W02000111,0.06769639193918185,0.9323036080608181,1
105,W02000113,0.09235550031075201,0.907644499689248,1
106,W02000114,0.0867009551800147,0.9132990448199853,1
107,W02000116,0.42209867963863795,0.5779013203613621,1
108,W02000117,0.22368569177079817,0.7763143082292019,1
109,W02000118,0.2741011772192173,0.7258988227807827,1
110,W02000120,0.4524913093858633,0.5475086906141368,1
111,W02000122,0.39264896373056996,0.6073510362694301,1
112,W02000123,0.422553985603839,0.5774460143961611,1
113,W02000124,0.398510462229578,0.601489537770422,1
114,W02000125,0.435886875343218,0.564113124656782,1
