,GEOGRAPHY_CODE,Buddhist,Christian,Hindu,Jewish,Muslim,No religion,Not answered,Other religion,Sikh,Total: All usual residents
1608,E02001680,0.0014363230130864987,0.3925949569103096,0.0012767315671879987,0.0003191828917969997,0.05825087775295244,0.47989147781678904,0.05761251196935844,0.007500797957229493,0.0011171401212894988,6266.0
1609,E02001681,0.0022303857255313564,0.4597218577801102,0.008659144581474678,0.0018367882445552348,0.026502230385725533,0.43545001311991605,0.059695617948045135,0.0035423773287850957,0.0023615848858567303,7622.0
1610,E02001682,0.0021099519399835893,0.5313562302192005,0.00035165865666393154,0.0007033173133278631,0.004219903879967179,0.41777048411675066,0.03973742820302426,0.002696049701090142,0.0010549759699917947,8531.0
1611,E02001683,0.0035301668806161745,0.5331621737270005,0.0004278990158322636,0.001069747539580659,0.003316217372700043,0.40671801454856654,0.047389816003423194,0.0036371416345742404,0.0007488232777064613,9348.0
1612,E02001684,0.0025498725063746812,0.48042597870106496,0.0010499475026248687,0.00014999250037498125,0.040347982600869955,0.42462876856157195,0.043647817609119545,0.005549722513874306,0.0016499175041247937,6667.0
1613,E02001685,0.0016177202588352414,0.5159283225485316,0.0008710801393728223,0.0017421602787456446,0.005724240915878547,0.4294425087108014,0.04006968641114982,0.003359880537580886,0.0012444001991040318,8036.0
1614,E02001686,0.0007450454477723141,0.5903740128147817,0.00029801817910892565,0.0005960363582178513,0.006407390850841901,0.3527045149754135,0.04216957234391298,0.0047682908657428105,0.0019371181642080166,6711.0
1615,E02001688,0.005785667324128862,0.41946088099934253,0.00973044049967127,0.0007889546351084812,0.042735042735042736,0.47337278106508873,0.03944773175542406,0.005128205128205128,0.0035502958579881655,7605.0
1616,E02001689,0.004528502930207778,0.36707511987213637,0.007059136920618008,0.17567927543953116,0.04794885455514118,0.32605221097496007,0.06326584976025573,0.0035961640916355887,0.004794885455514118,7508.0
1617,E02001690,0.0021361435488464827,0.5477072059242382,0.000854457419538593,0.0002848191398461977,0.010680717744232413,0.38635716320136715,0.04329250925662204,0.005696382796923953,0.0029906009683850756,7022.0
1618,E02001691,0.006358926048045219,0.3928403203014602,0.006005652378709373,0.07913330193122939,0.04875176636834668,0.40485162505887895,0.0535798398492699,0.005770136599152143,0.0027084314649081487,8492.0
1619,E02001692,0.0014256296530967844,0.41628385870426104,0.0022176461270394425,0.0001584032947885316,0.0632029146206241,0.4707745921115159,0.03975922699192143,0.005702518612387138,0.0004752098843655948,6313.0
1620,E02001693,0.0005732849226065354,0.5146187655264667,0.0026753296388304986,0.00019109497420217848,0.028090961207720238,0.410089814637875,0.0382189948404357,0.0034397095356392127,0.0021020447162239633,5233.0
