,GEOGRAPHY_CODE,Lives rent free,Owned,Owned: Owns outright,Owned: Owns with a mortgage or loan,Owns with a mortgage or loan or shared ownership,Private rented,Private rented or lives rent free,Private rented: Other private rented,Private rented: Private landlord or letting agency,Shared ownership,Shared ownership: Shared ownership,Social rented,Social rented: Other social rented,Social rented: Rents from council or Local Authority,Total: All households
0,E02000001,0.0010175010175010174,0.36507936507936506,0.2266992266992267,0.13838013838013838,0.1408221408221408,0.4829059829059829,0.48392348392348394,0.06288156288156288,0.42002442002442003,0.002442002442002442,0.002442002442002442,0.14855514855514856,0.057183557183557186,0.09137159137159137,4914.0
1,E02000002,0.0027874564459930314,0.43066202090592337,0.17665505226480835,0.254006968641115,0.25749128919860625,0.14529616724738675,0.1480836236933798,0.01289198606271777,0.13240418118466898,0.003484320557491289,0.003484320557491289,0.4177700348432056,0.09686411149825784,0.3209059233449477,2870.0
2,E02000003,0.0002544529262086514,0.556234096692112,0.23969465648854962,0.31653944020356234,0.32264631043256997,0.3045801526717557,0.3048346055979644,0.022137404580152672,0.2824427480916031,0.0061068702290076335,0.0061068702290076335,0.13282442748091602,0.02875318066157761,0.10407124681933842,3930.0
3,E02000004,0.00043308791684711995,0.6682546556951061,0.2810740580337809,0.38718059766132523,0.39411000433087917,0.1628410567345171,0.16327414465136422,0.016890428757037678,0.14595062797747943,0.006929406669553919,0.006929406669553919,0.16154179298397575,0.048505846686877435,0.11303594629709832,2309.0
4,E02000005,0.002205071664829107,0.5187431091510474,0.16041896361631752,0.35832414553472985,0.3712789415656009,0.2147188533627343,0.21692392502756339,0.017089305402425578,0.1976295479603087,0.012954796030871003,0.012954796030871003,0.2513781697905182,0.0603638368246968,0.19101433296582138,3628.0
5,E02000007,0.0024483133841131663,0.39526659412404785,0.12894450489662676,0.2663220892274211,0.28264417845484224,0.16376496191512513,0.1662132752992383,0.012785636561479869,0.15097932535364528,0.01632208922742111,0.01632208922742111,0.42219804134929273,0.035636561479869426,0.3865614798694233,3676.0
6,E02000008,0.0023783783783783785,0.4376216216216216,0.1476756756756757,0.28994594594594597,0.29967567567567566,0.19524324324324324,0.1976216216216216,0.014054054054054054,0.1811891891891892,0.00972972972972973,0.00972972972972973,0.35502702702702704,0.04302702702702703,0.312,4625.0
7,E02000009,0.0011753643629525152,0.3634226610249177,0.11095439586271744,0.2524682651622003,0.27103902209685005,0.27127409496944055,0.27244945933239306,0.025152797367183826,0.2461212976022567,0.01857075693464974,0.01857075693464974,0.3455571227080395,0.12599905970850964,0.21955806299952985,4254.0
8,E02000010,0.0012015620306398318,0.43406428356863924,0.14538900570741964,0.2886752778612196,0.30339441273655754,0.21387804145389006,0.2150796034845299,0.019825773505557226,0.19405226794833283,0.01471913487533794,0.01471913487533794,0.33613697807149295,0.06458395914689095,0.271553018924602,3329.0
9,E02000011,0.0,0.5563110922226945,0.24819379515512113,0.3081172970675733,0.31406714832129196,0.28856778580535486,0.28856778580535486,0.03059923501912452,0.2579685507862303,0.005949851253718657,0.005949851253718657,0.14917127071823205,0.04759881002974926,0.10157246068848279,2353.0
10,E02000012,0.0,0.6739659367396593,0.26186131386861317,0.4121046228710462,0.41514598540145986,0.20072992700729927,0.20072992700729927,0.020072992700729927,0.18065693430656934,0.0030413625304136255,0.0030413625304136255,0.12226277372262774,0.023722627737226276,0.09854014598540146,3288.0
11,E02000013,0.003379416282642089,0.4079877112135177,0.14531490015360984,0.2626728110599078,0.26912442396313363,0.21167434715821812,0.21505376344086022,0.020276497695852536,0.1913978494623656,0.0064516129032258064,0.0064516129032258064,0.3705069124423963,0.03932411674347158,0.3311827956989247,3255.0
12,E02000014,0.0014757969303423849,0.4152892561983471,0.14817001180637543,0.26711924439197166,0.27243211334120426,0.2216646989374262,0.2231404958677686,0.02036599763872491,0.2012987012987013,0.005312868949232586,0.005312868949232586,0.3562573789846517,0.05755608028335301,0.2987012987012987,3388.0
13,E02000015,0.0013192612137203166,0.3087071240105541,0.12368073878627968,0.18502638522427442,0.20712401055408972,0.19558047493403694,0.19689973614775724,0.018469656992084433,0.17711081794195252,0.022097625329815303,0.022097625329815303,0.47229551451187335,0.12071240105540897,0.35158311345646437,3032.0
14,E02000016,0.0028871391076115485,0.19055118110236222,0.05669291338582677,0.13385826771653545,0.1805774278215223,0.4152230971128609,0.41811023622047244,0.02152230971128609,0.3937007874015748,0.046719160104986876,0.046719160104986876,0.3446194225721785,0.12467191601049869,0.2199475065616798,3810.0
15,E02000017,0.0007228044813877846,0.4647632815323455,0.20925189736176364,0.25551138417058183,0.25984821105890854,0.4232020238525479,0.4239248283339357,0.028189374774123598,0.39501264907842426,0.0043368268883267076,0.0043368268883267076,0.10697506324539212,0.04300686664257319,0.06396819660281894,2767.0
16,E02000018,0.002165841584158416,0.39573019801980197,0.12995049504950495,0.265779702970297,0.2716584158415842,0.21844059405940594,0.22060643564356436,0.019492574257425743,0.1989480198019802,0.005878712871287129,0.005878712871287129,0.3777846534653465,0.07363861386138613,0.3041460396039604,3232.0
17,E02000019,0.0009351620947630922,0.4164588528678304,0.12624688279301746,0.290211970074813,0.31359102244389025,0.20324189526184538,0.2041770573566085,0.016209476309226933,0.18703241895261846,0.023379052369077308,0.023379052369077308,0.3559850374064838,0.06826683291770573,0.28771820448877805,3208.0
18,E02000020,0.005774165953806672,0.40119760479041916,0.11334473909324208,0.28785286569717705,0.32591958939264326,0.24272882805816937,0.24850299401197604,0.019888793840889648,0.22284003421727971,0.03806672369546621,0.03806672369546621,0.31223267750213857,0.11441402908468777,0.1978186484174508,4676.0
