,GEOGRAPHY_CODE,Can read Welsh,Cannot read Welsh,Total: All usual residents aged 3 years and over
0,W02000001,0.5232273838630807,0.4767726161369193,1
1,W02000002,0.49109292248435243,0.5089070775156476,1
2,W02000003,0.359396299902629,0.640603700097371,1
3,W02000004,0.4451648503241826,0.5548351496758174,1
4,W02000005,0.4359710434348477,0.5640289565651523,1
5,W02000006,0.6885558983399441,0.3114441016600558,1
6,W02000007,0.5193775250635942,0.4806224749364058,1
7,W02000008,0.5661348430262481,0.43386515697375194,1
8,W02000009,0.6080511182108627,0.3919488817891374,1
9,W02000010,0.2713205764233404,0.7286794235766596,1
10,W02000011,0.4714462299134734,0.5285537700865266,1
11,W02000012,0.6572038688606959,0.3427961311393041,1
12,W02000013,0.7168964411670408,0.2831035588329593,1
13,W02000014,0.6340088374219107,0.3659911625780893,1
14,W02000015,0.75177304964539,0.24822695035460993,1
15,W02000016,0.7304643261608154,0.2695356738391846,1
16,W02000017,0.7075458871515976,0.29245411284840245,1
17,W02000018,0.7015635622025833,0.29843643779741674,1
18,W02000019,0.6217337841992008,0.3782662158007993,1
19,W02000020,0.6608613046231793,0.3391386953768208,1
20,W02000021,0.7002248974732107,0.29977510252678924,1
21,W02000022,0.5192201581754644,0.4807798418245356,1
22,W02000023,0.641432720232333,0.358567279767667,1
23,W02000024,0.6399136224581609,0.36008637754183914,1
24,W02000025,0.4984989993328886,0.5015010006671115,1
25,W02000026,0.3617393842112943,0.6382606157887056,1
26,W02000027,0.16118102613746368,0.8388189738625363,1
27,W02000028,0.1850832951245606,0.8149167048754394,1
28,W02000029,0.19801811037075004,0.80198188962925,1
29,W02000030,0.16148636916131273,0.8385136308386872,1
30,W02000031,0.10792537874045324,0.8920746212595467,1
31,W02000032,0.22967852340789635,0.7703214765921037,1
32,W02000033,0.17788675880517166,0.8221132411948283,1
33,W02000034,0.20661597972522341,0.7933840202747766,1
34,W02000035,0.18736257377618332,0.8126374262238167,1
35,W02000036,0.18794390821344018,0.8120560917865598,1
36,W02000037,0.25356371490280777,0.7464362850971922,1
37,W02000038,0.28105436573311365,0.7189456342668863,1
38,W02000039,0.3336833814649514,0.6663166185350485,1
39,W02000040,0.5274281274281274,0.47257187257187255,1
40,W02000041,0.4997590941941701,0.5002409058058299,1
41,W02000042,0.11954425942156004,0.88045574057844,1
42,W02000043,0.14521193092621665,0.8547880690737834,1
43,W02000044,0.15541843424604704,0.8445815657539529,1
44,W02000045,0.10255854293148309,0.897441457068517,1
45,W02000047,0.11874882936879566,0.8812511706312044,1
46,W02000049,0.18173388966156698,0.818266110338433,1
47,W02000050,0.1616583641330548,0.8383416358669452,1
48,W02000051,0.2188948995363215,0.7811051004636785,1
49,W02000052,0.26044683491932147,0.7395531650806785,1
50,W02000053,0.39083994173814535,0.6091600582618547,1
51,W02000054,0.2776199231154939,0.7223800768845061,1
52,W02000055,0.3554227774760094,0.6445772225239906,1
53,W02000056,0.4114624505928854,0.5885375494071147,1
54,W02000057,0.2832483971724478,0.7167516028275522,1
55,W02000058,0.1565008025682183,0.8434991974317817,1
56,W02000059,0.1488561579442181,0.8511438420557819,1
57,W02000060,0.117947236664741,0.882052763335259,1
58,W02000061,0.10559345156889495,0.894406548431105,1
59,W02000062,0.11890346451395896,0.881096535486041,1
60,W02000063,0.1701297065860723,0.8298702934139277,1
61,W02000064,0.07087280108254398,0.929127198917456,1
62,W02000065,0.08497939462839278,0.9150206053716072,1
63,W02000066,0.07165370876234503,0.928346291237655,1
64,W02000067,0.09341569986439656,0.9065843001356034,1
65,W02000068,0.07065324649694099,0.9293467535030591,1
66,W02000069,0.12833088115089095,0.871669118849109,1
67,W02000070,0.10098095787651472,0.8990190421234853,1
68,W02000071,0.12988522446607584,0.8701147755339241,1
69,W02000072,0.06259946949602122,0.9374005305039788,1
70,W02000073,0.18131200647904433,0.8186879935209557,1
71,W02000074,0.09812545816315844,0.9018745418368416,1
72,W02000075,0.11225474429076873,0.8877452557092312,1
73,W02000076,0.15565509518477044,0.8443449048152296,1
74,W02000077,0.13084585514097585,0.8691541448590241,1
75,W02000080,0.11730013106159895,0.882699868938401,1
76,W02000081,0.12720601083347893,0.8727939891665211,1
77,W02000082,0.11355360755225893,0.886446392447741,1
78,W02000083,0.1504297994269341,0.8495702005730659,1
79,W02000085,0.11492143594448904,0.885078564055511,1
80,W02000087,0.08126993771836549,0.9187300622816346,1
81,W02000088,0.12693130496791064,0.8730686950320894,1
82,W02000089,0.11448626406874017,0.8855137359312598,1
83,W02000090,0.16753926701570682,0.8324607329842932,1
84,W02000091,0.14192903548225888,0.8580709645177411,1
85,W02000092,0.1925322679778734,0.8074677320221266,1
86,W02000093,0.12031959893467022,0.8796804010653297,1
87,W02000094,0.11629802095459837,0.8837019790454016,1
88,W02000095,0.07750079897730905,0.922499201022691,1
89,W02000096,0.15088053307948596,0.849119466920514,1
90,W02000097,0.26728211891416637,0.7327178810858336,1
91,W02000098,0.11890742558063461,0.8810925744193654,1
92,W02000099,0.11088709677419355,0.8891129032258065,1
93,W02000100,0.4541701073492981,0.5458298926507019,1
94,W02000101,0.10111524163568773,0.8988847583643123,1
95,W02000102,0.24521710197970387,0.7547828980202961,1
96,W02000103,0.08775039886544939,0.9122496011345506,1
97,W02000104,0.1259124087591241,0.8740875912408759,1
98,W02000105,0.11810865191146881,0.8818913480885312,1
99,W02000106,0.1708241237764446,0.8291758762235554,1
100,W02000107,0.07108458961474037,0.9289154103852596,1
101,W02000108,0.10782781645120046,0.8921721835487996,1
102,W02000109,0.1028071454611739,0.8971928545388261,1
103,W02000110,0.13767790262172286,0.8623220973782771,1
104,W02000111,0.0832629419572825,0.9167370580427175,1
105,W02000113,0.11836379460400348,0.8816362053959965,1
106,W02000114,0.10536370315944159,0.8946362968405585,1
107,W02000116,0.4632383599722029,0.536761640027797,1
108,W02000117,0.25430597771023306,0.745694022289767,1
109,W02000118,0.31116767419662744,0.6888323258033726,1
110,W02000120,0.48754345307068364,0.5124565469293163,1
111,W02000122,0.4255181347150259,0.5744818652849741,1
112,W02000123,0.45881098373766993,0.5411890162623301,1
113,W02000124,0.43480316822319426,0.5651968317768058,1
114,W02000125,0.47006316945893983,0.5299368305410601,1
115,W02000126,0.4592712349210297,0.5407287650789703,1
116,W02000127,0.3049298767530812,0.6950701232469189,1
117,W02000128,0.2569698676429175,0.7430301323570825,1
118,W02000129,0.2724039829302987,0.7275960170697012,1
119,W02000130,0.11308787128712872,0.8869121287128713,1
120,W02000131,0.1175629290617849,0.8824370709382151,1
121,W02000132,0.17806413823400205,0.821935861765998,1
122,W02000133,0.11514253980007405,0.884857460199926,1
123,W02000134,0.08926595352268536,0.9107340464773146,1
124,W02000135,0.07883642495784149,0.9211635750421585,1
125,W02000136,0.1035499324407321,0.8964500675592679,1
126,W02000137,0.06666666666666667,0.9333333333333333,1
127,W02000138,0.07428388200085506,0.9257161179991449,1
128,W02000139,0.10010579211848718,0.8998942078815129,1
129,W02000140,0.08108874397504962,0.9189112560249504,1
130,W02000141,0.11767810026385224,0.8823218997361477,1
131,W02000142,0.4793556748750231,0.5206443251249768,1
132,W02000143,0.37145471180237877,0.6285452881976212,1
133,W02000144,0.4307568438003221,0.5692431561996779,1
134,W02000145,0.418705035971223,0.581294964028777,1
135,W02000146,0.47078125,0.52921875,1
