,GEOGRAPHY_CODE,"Asian, Asian British or Asian Welsh","Asian, Asian British or Asian Welsh: Bangladeshi","Asian, Asian British or Asian Welsh: Chinese","Asian, Asian British or Asian Welsh: Indian","Asian, Asian British or Asian Welsh: Other Asian","Asian, Asian British or Asian Welsh: Pakistani","Black, Black British, Black Welsh, Caribbean or African","Black, Black British, Black Welsh, Caribbean or African: African","Black, Black British, Black Welsh, Caribbean or African: Caribbean","Black, Black British, Black Welsh, Caribbean or African: Other Black",Mixed or Multiple ethnic groups,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Mixed or Multiple ethnic groups: White and Asian,Mixed or Multiple ethnic groups: White and Black African,Mixed or Multiple ethnic groups: White and Black Caribbean,Other ethnic group,Other ethnic group: Any other ethnic group,Other ethnic group: Arab,Total: All usual residents,White,"White: English, Welsh, Scottish, Northern Irish or British",White: Gypsy or Irish Traveller,White: Irish,White: Other White,White: Roma
0,E02000001,0.16833643988816402,0.03343429636533085,0.06349021435228332,0.03739515377446412,0.03017241379310345,0.0038443616029822927,0.02702702702702703,0.01782385834109972,0.006290773532152842,0.002912395153774464,0.054753028890959926,0.022017707362534947,0.020852749301025163,0.005708294501397949,0.006174277726001864,0.05615097856477167,0.04287045666356011,0.013280521901211557,8584.0,0.6937325256290774,0.4250931966449208,0.0,0.021551724137931036,0.2402143522833178,0.006873252562907735
1,E02000002,0.2225307896643323,0.0752233759961362,0.0035015696691620382,0.05385172663607824,0.02463173146582951,0.0653223858971263,0.20973194880463655,0.14440956290751025,0.03887949770586815,0.02644288819125815,0.04926346293165902,0.012678097078000484,0.005554213957981164,0.013644047331562425,0.01738710456411495,0.030306689205505916,0.023907268775658054,0.0063994204298478624,8282.0,0.4881671093938662,0.3639217580294615,0.0006037189084762135,0.010021733880705144,0.10927312243419464,0.004346776141028737
2,E02000003,0.3494539781591264,0.10339746923210262,0.0042468365401282715,0.09941064309239037,0.02920783498006587,0.11319119431443925,0.15600624024961,0.09490379615184608,0.039521580863234526,0.02158086323452938,0.04194834460045069,0.012393829086496793,0.0078003120124804995,0.009447044548448604,0.012307158953024788,0.04593517074016294,0.042468365401282716,0.003466805338880222,11538.0,0.40665626625065004,0.2561969145432484,0.0006066909343040389,0.009620384815392615,0.13442537701508062,0.005806898942624371
3,E02000004,0.15853658536585366,0.04697380307136405,0.004366154772658838,0.03342366757000903,0.0335742246311352,0.04019873532068654,0.14242697982535382,0.08943089430894309,0.0331225534477567,0.01987353206865402,0.037037037037037035,0.007828967178560674,0.00707618187292984,0.0076784101174345075,0.014453477868112014,0.03342366757000903,0.028756398675097862,0.004667268894911172,6642.0,0.6285757302017465,0.5115928937067148,0.0036133694670280035,0.00993676603432701,0.10132490213791027,0.0021077988557663355
4,E02000005,0.3007851276960563,0.07878350329392654,0.006136630268026352,0.10522516018409891,0.02174893962638751,0.088890894323617,0.1766086093312878,0.12968143669343923,0.026622146015702553,0.020305026622146016,0.04304665643894955,0.00848298889991878,0.0070390758956772855,0.008122010648858407,0.019402580994495083,0.03582709141774208,0.03104412959119213,0.0047829618265499505,11081.0,0.4437325151159643,0.3232560238245646,0.0006317119393556538,0.006226874830791445,0.11045934482447432,0.003158559696778269
5,E02000007,0.14669421487603307,0.0559818968909878,0.006198347107438017,0.024596615505706416,0.021940181031090123,0.0379771743408107,0.2611176702085793,0.2039551357733176,0.02744982290436836,0.02971271153089335,0.04191263282172373,0.009838646202282565,0.00747737111373475,0.011511216056670602,0.013085399449035813,0.0402400629673357,0.03089334907516726,0.009346713892168438,10164.0,0.5100354191263282,0.39935064935064934,0.00029515938606847696,0.0048209366391184574,0.10182998819362456,0.003738685556867375
6,E02000008,0.18749056888486496,0.07220461747397013,0.003923343896182285,0.03161309793269956,0.016900558322015997,0.06284895125999698,0.19314923796589709,0.1416176248679644,0.027237060510034706,0.024294552587897995,0.04104421306775313,0.009959257582616569,0.004300588501584427,0.010562848951259998,0.01622151803229214,0.03214124038026256,0.028444243247321564,0.003696997132940999,13254.0,0.5461747397012223,0.4057642975705447,0.00037724460540214275,0.0037724460540214276,0.13286555002263467,0.0033952014486192846
7,E02000009,0.24137126865671643,0.07726990049751244,0.005830223880597015,0.051305970149253734,0.030083955223880597,0.07688121890547264,0.22862251243781095,0.17552860696517414,0.025652985074626867,0.027440920398009952,0.0480410447761194,0.014692164179104478,0.00754042288557214,0.01181592039800995,0.013992537313432836,0.041355721393034825,0.03560323383084577,0.0057524875621890546,12864.0,0.4406094527363184,0.28031716417910446,0.0005441542288557214,0.00388681592039801,0.15306281094527363,0.002798507462686567
8,E02000010,0.15717900063251106,0.06704617330803289,0.002213788741302973,0.02530044275774826,0.030255112797807297,0.03236348302761965,0.1988193126713051,0.1567573265865486,0.017710309930423784,0.024351676154332702,0.03995361585494413,0.0112797807294961,0.006535947712418301,0.008117225384777566,0.01402066202825216,0.03141471642420409,0.02530044275774826,0.00611427366645583,9486.0,0.5726333544170357,0.41366223908918404,0.0014758591608686486,0.006008855154965212,0.1490617752477335,0.002424625764284208
9,E02000011,0.2176696542893726,0.11537914354815763,0.009389671361502348,0.03172570778204581,0.030587565798833403,0.030587565798833403,0.1994593825579741,0.15023474178403756,0.021482429933134158,0.02774221084080239,0.03329065300896287,0.008678332621994593,0.007255655142979087,0.006971119647175985,0.010385545596813203,0.03314838526106132,0.026604068857589983,0.006544316403471333,7029.0,0.5164319248826291,0.36335182814056055,0.0011381419832124057,0.0076824583866837385,0.13615023474178403,0.00810926163038839
