,GEOGRAPHY_CODE,Arrived 1951 to 1960,Arrived 1961 to 1970,Arrived 1971 to 1980,Arrived 1981 to 1990,Arrived 1991 to 2000,Arrived 2001 to 2010,Arrived 2011 to 2013,Arrived 2014 to 2016,Arrived 2017 to 2019,Arrived 2020 to 2021,Arrived before 1951,Born in the UK,Total: All usual residents
0,E02000001,0.00419336051252184,0.011298776936517181,0.0168899242865463,0.022597553873034363,0.05253348864298195,0.08573092603377985,0.04309842748980781,0.0716365754222481,0.10436808386721025,0.08177052999417589,0.0018637157833430401,0.5040186371578335,8585.0
1,E02000002,0.0067649190625755015,0.011717806233389708,0.012321816863976806,0.02174438270113554,0.05726020777965692,0.12937907707175647,0.030562937907707175,0.03853587823145688,0.03201256342111621,0.010992993476685189,0.001087219135056777,0.6476201981154869,8278.0
2,E02000003,0.007799636016985874,0.01733252448219083,0.02045237888898518,0.027818701793916285,0.040818095155559404,0.12028771990640437,0.039344830574573185,0.06543027992027038,0.051130947222462954,0.027645376549094377,0.0019932403154519457,0.5799462691741052,11539.0
3,E02000004,0.004819277108433735,0.01039156626506024,0.009939759036144578,0.01566265060240964,0.037048192771084336,0.09879518072289156,0.030873493975903613,0.03629518072289157,0.028765060240963855,0.010090361445783132,0.0016566265060240963,0.7156626506024096,6640.0
4,E02000005,0.0029772645254420786,0.008480692890653193,0.00694695055936485,0.01957776975821003,0.04926019487549621,0.15238181162035366,0.045019848430169616,0.053139660772284374,0.044929628293035005,0.015156983038614218,0.000811981234211476,0.6013172140021653,11084.0
5,E02000007,0.002164928163747294,0.004133044676244833,0.005313914583743358,0.020173194253099783,0.061602046841173,0.1308797480810864,0.03542609722495572,0.03768943121432789,0.03867348947057666,0.012989568982483763,0.000295217476874631,0.6506593190316867,10162.0
6,E02000008,0.0019622641509433963,0.004981132075471698,0.007471698113207547,0.018566037735849056,0.056377358490566035,0.13781132075471697,0.03879245283018868,0.048528301886792455,0.041584905660377355,0.012754716981132076,0.000679245283018868,0.6304905660377359,13250.0
7,E02000009,0.0017883523831739368,0.007075655081253402,0.008941761915869683,0.019205349506259232,0.060415208770702125,0.1537205505015162,0.0527952725293523,0.0584713474846435,0.05186221911204417,0.02083819298654848,0.00038877225721172535,0.5644973174714253,12861.0
8,E02000010,0.002002529510961214,0.00505902192242833,0.005691399662731872,0.017284991568296795,0.05354131534569983,0.1488195615514334,0.034675379426644184,0.051960370994940976,0.04753372681281619,0.01380691399662732,0.00021079258010118043,0.6194139966273187,9488.0
9,E02000011,0.00384232247047104,0.007542336701295005,0.010103885014942365,0.027750106731179735,0.05037711683506475,0.13063896399601538,0.040273231820122386,0.04824249324035862,0.05350789810730041,0.021773160666002562,0.0008538494378824534,0.6050946349793653,7027.0
10,E02000012,0.004344048653344918,0.01850564726324935,0.03970460469157255,0.058731537793223286,0.06099044309296264,0.08184187662901825,0.02571676802780191,0.039617723718505644,0.03483927019982624,0.021807124239791486,0.0006081668114682884,0.6132927888792354,11510.0
11,E02000013,0.0013831258644536654,0.003617406107032663,0.008298755186721992,0.019363762102351315,0.05340993722736461,0.1470369188211512,0.0381955527183743,0.05511224598361528,0.04511118204064262,0.01393765294180232,0.0003191828917969997,0.6142142781146931,9399.0
12,E02000014,0.002431364603383649,0.004457501772870023,0.005065342923715936,0.01712085908215986,0.04933644007699321,0.13737210009117617,0.03606524161685746,0.055516158443926655,0.04801945091682707,0.018133927666903048,0.0008104548677945497,0.6256711579373924,9871.0
13,E02000015,0.0025519504192489974,0.004860857941426662,0.003767164904605663,0.020537124802527645,0.0617328958561186,0.14801312431644184,0.03912990642848463,0.04338315712723296,0.03949447077409163,0.015919309758172316,0.0003645643456069996,0.6202454733260421,8229.0
14,E02000016,0.0010410751466969526,0.00596252129471891,0.008612530759038424,0.018076850274465265,0.07486276736702631,0.15975771342040507,0.05754306265379519,0.08896460344501231,0.1249290176036343,0.04296801060003786,0.00028392958546280523,0.4169979178497066,10566.0
15,E02000017,0.003175298368553597,0.024088470382130734,0.030658053213620935,0.03503777510128107,0.054965509690134674,0.13500492718712362,0.05606044016204971,0.08266725062958502,0.09022227088579875,0.03186247673272747,0.00021898609438300668,0.4560385415526114,9133.0
16,E02000018,0.0015701873756934993,0.004082487176803098,0.0063854286611535645,0.01894692766670156,0.056317387208206844,0.14068878886213754,0.044593321469695385,0.05066471265571025,0.04658222547890715,0.017690777766146762,0.0004187166335182665,0.6120590390453261,9553.0
17,E02000019,0.002380952380952381,0.0042443064182194614,0.006418219461697723,0.018633540372670808,0.05579710144927536,0.14047619047619048,0.04368530020703934,0.05082815734989648,0.03975155279503106,0.012318840579710146,0.00041407867494824016,0.6250517598343686,9660.0
18,E02000020,0.0023477518497438815,0.007256687535571998,0.011454183266932271,0.028101878201479795,0.07420318725099602,0.16384462151394422,0.047097324985771204,0.06082811610700057,0.05776892430278884,0.025611838360842343,0.0002845759817871372,0.5212009106431417,14056.0
19,E02000021,0.0053677478300593875,0.009593421653723162,0.010050251256281407,0.023526724531749657,0.06121516674280494,0.15623572407492006,0.043627227044312475,0.05322064869803563,0.04945180447693011,0.019186843307446324,0.0007994518044769301,0.5677249885792599,8756.0
20,E02000022,0.000516729104766826,0.002842010076217543,0.005942384704818499,0.020023252809714506,0.09998708177238083,0.1829221030874564,0.04392197390518021,0.060715669810102055,0.056323472419584034,0.02066916419067304,0.0,0.5061361581191061,7741.0
