,GEOGRAPHY_CODE,Bicycle,"Bus, minibus or coach",Driving a car or van,"Motorcycle, scooter or moped",On foot,Other method of travel to work,Passenger in a car or van,Taxi,Total: All usual residents aged 16 years and over in employment the week before the census,Train,"Underground, metro, light rail, tram",Work mainly at or from home
0,E02000001,0.03568759342301943,0.02466367713004484,0.023168908819133034,0.002428998505231689,0.14162929745889388,0.010089686098654708,0.002428998505231689,0.003923766816143498,1,0.01775037369207773,0.06520926756352766,0.6730194319880418
1,E02000002,0.01019147621988882,0.11704756022235949,0.39036442248301423,0.004632489190858555,0.03922174181593576,0.013588634959851761,0.033662754786905495,0.005558987029030266,1,0.06145768993205682,0.11488573193329216,0.20938851142680667
2,E02000003,0.006491027109583811,0.09736540664375716,0.3203512791141657,0.0036273386788850705,0.04486445208094693,0.015463917525773196,0.023482245131729668,0.005918289423444063,1,0.10557464681176021,0.12180221458571974,0.25505918289423446
3,E02000004,0.012845215157353885,0.0844572896596018,0.3917790622992935,0.010597302504816955,0.04656390494540784,0.009312780989081566,0.02922286448298009,0.007707129094412331,1,0.06583172768143866,0.09087989723827875,0.2508028259473346
4,E02000005,0.009461127108185932,0.1246400658165364,0.355820649938297,0.007404360345536816,0.047922665569724396,0.01809954751131222,0.026120937885643767,0.0053475935828877,1,0.0748663101604278,0.10983134512546278,0.22048539695598518
5,E02000007,0.014279026217228465,0.13342696629213482,0.34480337078651685,0.007022471910112359,0.05407303370786517,0.018258426966292134,0.025046816479400748,0.008192883895131085,1,0.07162921348314606,0.1364700374531835,0.18679775280898878
6,E02000008,0.014208033678302052,0.11611997895106121,0.36449745658656374,0.008419575513067884,0.04911419049289598,0.014734257147868794,0.028416067356604104,0.008068759866690055,1,0.08033678302052272,0.14032625855113137,0.17575863883529205
7,E02000009,0.01160434702523485,0.13022656106096886,0.33357892797937005,0.007552035365629029,0.030944925400626266,0.013998894824092835,0.022840302081414625,0.00478909559771597,1,0.08067784122306133,0.16282925032234297,0.2009578191195432
8,E02000010,0.01181753722524226,0.09784920822500591,0.34034507208697706,0.00590876861262113,0.05506972346962893,0.014181044670290712,0.02765303710706689,0.004254313401087214,1,0.08319546206570551,0.17655400614511935,0.18317182699125503
9,E02000011,0.00967741935483871,0.07290322580645162,0.327741935483871,0.005161290322580645,0.036774193548387096,0.012580645161290323,0.025483870967741934,0.008064516129032258,1,0.09225806451612903,0.20870967741935484,0.2006451612903226
10,E02000012,0.011343283582089553,0.06467661691542288,0.3164179104477612,0.0029850746268656717,0.045572139303482584,0.013532338308457712,0.022487562189054726,0.00855721393034826,1,0.09253731343283582,0.14606965174129352,0.27582089552238803
11,E02000013,0.016978776529338328,0.08214731585518102,0.3438202247191011,0.006491885143570537,0.04469413233458177,0.018476903870162296,0.03046192259675406,0.006491885143570537,1,0.09288389513108614,0.18277153558052434,0.17478152309612985
12,E02000014,0.015307288096870002,0.10646561571852867,0.34247201279415124,0.008681745487777016,0.05757368060315284,0.01028101439342015,0.03221384509938314,0.0038839387708476127,1,0.08727438885081105,0.18414439113548092,0.15170207904957733
13,E02000015,0.012532042153232698,0.10623753916263173,0.3406436912560524,0.009399031614924523,0.04671033893477642,0.015095414411848477,0.02563372258615779,0.006266021076616349,1,0.08886357163201367,0.16120763315294787,0.18741099401879807
14,E02000016,0.012747252747252748,0.10725274725274725,0.17450549450549452,0.002857142857142857,0.05054945054945055,0.013626373626373627,0.013846153846153847,0.005494505494505495,1,0.11802197802197802,0.24527472527472527,0.2558241758241758
15,E02000017,0.010835540573079701,0.08740669395617626,0.24512400674211413,0.004334216229231881,0.058993498675656154,0.021189501565133637,0.02239345051769805,0.0033710570671803513,1,0.11293041175054178,0.2277871418251866,0.20563448109800145
16,E02000018,0.020316027088036117,0.09606220215701028,0.33007273639327817,0.007524454477050414,0.04163531477301229,0.014798093804865815,0.02834211186355656,0.005016302984700276,1,0.09405568096313018,0.18760973162779032,0.1745673438675696
17,E02000019,0.013008913514815708,0.0763671404480848,0.3611178029390508,0.00987713803902674,0.0457721031076849,0.014695254155625151,0.026258732835461335,0.0055408335340881715,1,0.09298964105034932,0.17224765116839316,0.1821247892074199
18,E02000020,0.015182995045548986,0.09109797027329392,0.2777688988333067,0.006233019018699057,0.04219274412657823,0.015182995045548986,0.02237494006712482,0.004474988013424964,1,0.09876937829630814,0.18842895956528688,0.23829311171487932
19,E02000021,0.012422360248447204,0.11207129354577369,0.3610586011342155,0.00594112881447475,0.052660005401026194,0.016203078584931137,0.029975695382122605,0.005130974885228194,1,0.08722657304887929,0.1431271941668917,0.17418309478800972
20,E02000022,0.014008941877794338,0.1007451564828614,0.23487332339791356,0.004769001490312966,0.059910581222056634,0.01669150521609538,0.015201192250372579,0.0035767511177347243,1,0.1287630402384501,0.19076005961251863,0.2307004470938897
21,E02000023,0.013031337263419174,0.14117282035370773,0.32578343158547934,0.004964318957493019,0.03661185231151101,0.013341607198262488,0.01520322680732237,0.003723239218119764,1,0.08997828110456096,0.17033819422897922,0.1858516909711449
22,E02000024,0.00864336715520481,0.043592634347989476,0.22754603532506576,0.0033821871476888386,0.06989853438556934,0.010146561443066516,0.01033446072904923,0.003757985719654265,1,0.014280345734686208,0.09582863585118377,0.5125892521608418
23,E02000025,0.006436233611442193,0.059117997616209776,0.28843861740166865,0.0059594755661501785,0.035518474374255066,0.010965435041716329,0.02097735399284863,0.002622169249106079,1,0.034088200238379024,0.0800953516090584,0.45578069129916565
24,E02000026,0.007058823529411765,0.03260504201680672,0.3388235294117647,0.0020168067226890756,0.03529411764705882,0.013781512605042017,0.016134453781512605,0.005378151260504202,1,0.027899159663865546,0.06991596638655462,0.4510924369747899
25,E02000027,0.0076836158192090396,0.07367231638418079,0.3270056497175141,0.00519774011299435,0.056045197740113,0.01288135593220339,0.022824858757062146,0.005649717514124294,1,0.018757062146892656,0.08610169491525424,0.384180790960452
26,E02000028,0.008876645240281604,0.06366697275788184,0.27976737067646157,0.003979185797367615,0.044689317416590144,0.011631466176920723,0.01652892561983471,0.005203550658096113,1,0.03458830731558004,0.08111417202326293,0.44995408631772266
27,E02000029,0.009299307958477509,0.07071799307958478,0.3142301038062284,0.007569204152249135,0.05060553633217993,0.015354671280276816,0.016868512110726645,0.004325259515570935,1,0.04974048442906574,0.06833910034602077,0.3929498269896194
28,E02000030,0.006404391582799634,0.03796889295516926,0.3190759377859103,0.0052607502287282705,0.03705397987191217,0.007319304666056725,0.01715462031107045,0.0027447392497712718,1,0.016239707227813358,0.05901189387008234,0.4917657822506862
29,E02000031,0.006839276990718124,0.04201270151441133,0.2391304347826087,0.0036638983878847092,0.03248656570591109,0.008549096238397655,0.012945774303859306,0.0031753786028334147,1,0.019052271617000488,0.08915486077186126,0.5429897410845139
30,E02000032,0.007641633728590251,0.03636363636363636,0.322266139657444,0.005006587615283268,0.04084321475625823,0.01396574440052701,0.022134387351778657,0.0034255599472990776,1,0.01818181818181818,0.08880105401844532,0.4413702239789196
31,E02000033,0.012590347400326416,0.07087899277220798,0.3156913033341105,0.005362555374213103,0.03963627885287946,0.01305665656330147,0.023082303567265098,0.0037304733038004195,1,0.017719748193051995,0.10538587083236185,0.3928654698064817
32,E02000034,0.014642937598558234,0.08042351881054291,0.26965532777652623,0.005857175039423294,0.05001126379815274,0.013741833746339265,0.017346249155215137,0.005631899076368551,1,0.01779680108132462,0.10092363144852444,0.42396936246902456
33,E02000035,0.007640657559620283,0.06459828664042602,0.2257467006251447,0.003936096318592266,0.038203287798101414,0.00949293818013429,0.01713359573975457,0.0027784209307710117,1,0.017365130817318823,0.1289650382032878,0.4841398471868488
34,E02000036,0.008184240578606776,0.08146174343357442,0.3319375713741911,0.004567948229920061,0.038827559954320516,0.011039208222306814,0.02835934526075371,0.004187285877426722,1,0.032165968785687095,0.08317472401979444,0.37609440426341834
35,E02000037,0.005622489959839358,0.04939759036144578,0.3146586345381526,0.0018072289156626507,0.03654618473895582,0.011646586345381526,0.013654618473895583,0.00642570281124498,1,0.01606425702811245,0.0893574297188755,0.45481927710843373
36,E02000038,0.015087853323147441,0.08384262796027502,0.2580213903743315,0.009167303284950344,0.044690603514132926,0.016615737203972497,0.013750954927425516,0.004965622612681436,1,0.026928953399541634,0.09415584415584416,0.4327731092436975
37,E02000039,0.0050991501416430595,0.06288951841359773,0.26373937677053827,0.0073654390934844195,0.04050991501416431,0.013314447592067988,0.013597733711048159,0.0036827195467422098,1,0.04702549575070822,0.058356940509915016,0.48441926345609065
