,GEOGRAPHY_CODE,All household members have the same ethnic group,Any other combination of multiple ethnic identities,Ethnic groups differ between generations but not within partnerships,Ethnic groups differ within partnerships,One-person household,Total: All households
0,E02000001,0.29772079772079774,0.04477004477004477,0.015262515262515262,0.13227513227513227,0.50997150997151,4914.0
1,E02000002,0.572822299651568,0.05505226480836237,0.059233449477351915,0.060278745644599306,0.25261324041811845,2870.0
2,E02000003,0.5666666666666667,0.06641221374045801,0.049872773536895676,0.06921119592875317,0.24783715012722646,3930.0
3,E02000004,0.6121212121212121,0.049783549783549784,0.0367965367965368,0.06796536796536796,0.23333333333333334,2310.0
4,E02000005,0.6353362734288864,0.05622932745314223,0.0438257993384785,0.07001102535832414,0.19459757442116868,3628.0
5,E02000007,0.5622107269262183,0.04791723386877212,0.04873400490062619,0.04955077593248026,0.2915872583719031,3673.0
6,E02000008,0.6067027027027027,0.05340540540540541,0.05772972972972973,0.04908108108108108,0.23308108108108108,4625.0
7,E02000009,0.5674659144334744,0.0615890926187118,0.05853314527503526,0.07475317348377997,0.23765867418899858,4254.0
8,E02000010,0.5990381725278028,0.05350165314096784,0.05590622182146077,0.05620679290652239,0.23534715960324618,3327.0
9,E02000011,0.6050170068027211,0.05994897959183673,0.04889455782312925,0.060799319727891155,0.22534013605442177,2352.0
10,E02000012,0.6279635258358662,0.07598784194528875,0.027051671732522795,0.05805471124620061,0.2109422492401216,3290.0
11,E02000013,0.582360172095882,0.053165334972341736,0.05654578979717271,0.06515058389674247,0.2427781192378611,3254.0
12,E02000014,0.6201298701298701,0.05873671782762692,0.047225501770956316,0.050177095631641085,0.22373081463990555,3388.0
13,E02000015,0.5242334322453017,0.054071876030333005,0.06330365974282888,0.0491262776129245,0.30926475436861195,3033.0
14,E02000016,0.5368476265407816,0.06346708628376606,0.05927091528979806,0.06766325727773406,0.2727511146079203,3813.0
15,E02000017,0.5764365739067582,0.09071196241416697,0.0422840621611854,0.0657752078062884,0.224792193711601,2767.0
