,GEOGRAPHY_CODE,Occupancy rating of rooms: +1,Occupancy rating of rooms: +2 or more,Occupancy rating of rooms: -1,Occupancy rating of rooms: -2 or less,Occupancy rating of rooms: 0,Total: All households
0,E02000001,0.2505087505087505,0.1267806267806268,0.15873015873015872,0.010378510378510378,0.4536019536019536,4914.0
1,E02000002,0.24285714285714285,0.1902439024390244,0.16933797909407666,0.04390243902439024,0.35365853658536583,2870.0
2,E02000003,0.24173027989821882,0.33969465648854963,0.10865139949109415,0.043256997455470736,0.26666666666666666,3930.0
3,E02000004,0.26981377219575575,0.42399307059333047,0.0779558250324816,0.019055868341273277,0.20918146383715894,2309.0
4,E02000005,0.28335170893054024,0.2593715545755237,0.11934950385887541,0.042723263506063945,0.2952039691289967,3628.0
5,E02000007,0.23482993197278912,0.20489795918367346,0.14258503401360545,0.04653061224489796,0.371156462585034,3675.0
6,E02000008,0.2707027027027027,0.1827027027027027,0.13924324324324325,0.04972972972972973,0.35762162162162164,4625.0
7,E02000009,0.24988246356370475,0.153267512929008,0.14997649271274094,0.0691114245416079,0.37776210625293843,4254.0
8,E02000010,0.2798316801923655,0.1827472197174632,0.1653140967838894,0.045987376014427414,0.3261196272918545,3327.0
9,E02000011,0.24851316907391674,0.33984706881903143,0.13423959218351741,0.044604927782497875,0.23279524214103653,2354.0
10,E02000012,0.20431742170872605,0.3511705685618729,0.11888111888111888,0.06628154454241411,0.25934934630586803,3289.0
11,E02000013,0.27390101444820164,0.18198585920688595,0.14724869351367967,0.05010759299108515,0.34675683984014755,3253.0
12,E02000014,0.2842384887839433,0.20926800472255017,0.13547815820543094,0.050177095631641085,0.32083825265643445,3388.0
13,E02000015,0.1892515661061655,0.17705242334322452,0.1651829871414441,0.054731289152654135,0.4137817342565117,3033.0
14,E02000016,0.18420362109682498,0.06769876672789295,0.22854893728680137,0.06717397008659144,0.4523747048018893,3811.0
15,E02000017,0.20397830018083182,0.30777576853526223,0.15732368896925858,0.07088607594936709,0.26003616636528026,2765.0
16,E02000018,0.26236093943139677,0.14802224969097652,0.157601977750309,0.054388133498145856,0.37762669962917184,3236.0
17,E02000019,0.29101684341859013,0.169369931378665,0.15564566437928884,0.041796631316281974,0.34217092950717404,3206.0
18,E02000020,0.24951851059276695,0.187245880590627,0.15257864326984807,0.052000855981168416,0.3586561095655896,4673.0
19,E02000021,0.23856655290102388,0.2600682593856655,0.14709897610921502,0.03720136518771331,0.3170648464163823,2930.0
20,E02000022,0.18604651162790697,0.04579606440071556,0.22039355992844364,0.08264758497316636,0.46511627906976744,2795.0
21,E02000023,0.19684447783621337,0.13598797896318557,0.20172802404207363,0.05709992486851991,0.4083395942900075,2662.0
22,E02000024,0.22492740674558856,0.4793388429752066,0.06321197230288139,0.011838284565557293,0.22068349341076615,4477.0
23,E02000025,0.27301841473178545,0.3247931678676274,0.09554310114758474,0.021350413664264746,0.28529490258873763,3747.0
24,E02000026,0.24363057324840764,0.5115445859872612,0.06050955414012739,0.012738853503184714,0.1715764331210191,2512.0
