,GEOGRAPHY_CODE,Africa,Antarctica and Oceania (including Australasia) and Other,British Overseas,Europe,Europe: EU countries,Europe: EU countries: All other EU countries,Europe: EU countries: European Union EU14,Europe: EU countries: European Union EU2,Europe: EU countries: European Union EU8,Europe: Non-EU countries - All other non-EU countries,Europe: United Kingdom,Middle East and Asia,The Americas and the Caribbean,Total: All usual residents
0,E02000001,0.03635516196690748,0.02377068282451643,0.0005826147751106968,0.7286180377534375,0.18375670006991376,0.005826147751106968,0.13842927056630155,0.009205313446749009,0.030295968305756232,0.04066651130272664,0.504194826380797,0.13598228851083663,0.07469121416919133,8582.0
1,E02000002,0.09106280193236715,0.0013285024154589373,0.0008454106280193237,0.7806763285024154,0.092512077294686,0.002294685990338164,0.024516908212560386,0.03756038647342995,0.028140096618357487,0.04070048309178744,0.6474637681159421,0.10567632850241546,0.02041062801932367,8280.0
2,E02000003,0.07182464044359729,0.00025992029111072604,0.00017328019407381737,0.7471841968463004,0.13853751516201698,0.0035522439785132557,0.03274995667995148,0.0698319182117484,0.032403396291803846,0.02885115231329059,0.5797955293709929,0.1618437012649454,0.018714260959972275,11542.0
3,E02000004,0.0630929076946243,0.0003011594639361542,0.0003011594639361542,0.8373738894744768,0.09351001355217588,0.00466797169101039,0.02273753952717964,0.03674145460021081,0.029363047733775034,0.028308989609998496,0.7155548863123024,0.08372233097425087,0.015208552928775787,6641.0
4,E02000005,0.08671719906154124,0.000992600613607652,0.00018047283883775492,0.7404800577513084,0.11333694279011008,0.0020754376466341814,0.028965890633459664,0.04719364735607291,0.03510196715394333,0.025717379534380077,0.6014257354268182,0.1585453889189677,0.013084280815737231,11082.0
5,E02000007,0.12241684707734699,9.8405825624877e-05,0.00098405825624877,0.7852784884865184,0.10470379846486912,0.0022633339893721707,0.028340877779964573,0.039755953552450304,0.03434363314308207,0.029915370989962605,0.6506593190316867,0.07892147215115135,0.012300728203109623,10162.0
6,E02000008,0.09480676328502416,0.00037741545893719806,0.0006038647342995169,0.7910628019323671,0.1292270531400966,0.0020380434782608695,0.028381642512077296,0.05374396135265701,0.04506340579710145,0.03125,0.6305857487922706,0.09714673913043478,0.0160024154589372,13248.0
7,E02000009,0.10404354587869362,0.0009331259720062209,0.00038880248833592535,0.7536547433903577,0.1536547433903577,0.0009331259720062209,0.0432348367029549,0.06275272161741835,0.046734059097978224,0.03545878693623639,0.5645412130637636,0.12247278382581649,0.018506998444790045,12860.0
8,E02000010,0.10277221460946559,0.0005270369979972594,0.00031622219879835566,0.7987772741646464,0.1438811004532518,0.0010540739959945188,0.025613998102666808,0.06134710656688099,0.055865921787709494,0.03541688626541583,0.6194792874459787,0.08527458627595658,0.012332665753135871,9487.0
9,E02000011,0.09405236198064883,0.0002845759817871372,0.00042686397268070576,0.7851451337507115,0.14698349459305635,0.00398406374501992,0.026750142287990893,0.07598178713716562,0.04026750142287991,0.03315310187820148,0.6050085372794536,0.10771200910643142,0.012379055207740467,7028.0
10,E02000012,0.04621264767199444,0.00017373175816539263,0.00034746351633078526,0.7111709520500348,0.07991660875608061,0.002171646977067408,0.0212821403752606,0.035528144544822796,0.020934676858929812,0.018068102849200834,0.6131862404447533,0.22715427380125086,0.014940931202223767,11512.0
11,E02000013,0.10341525694222789,0.0003191828917969997,0.0003191828917969997,0.7939142461964038,0.14384508990318118,0.001915097350781998,0.02681136291094797,0.06415576125119693,0.05096286839025428,0.03585487817852963,0.6142142781146931,0.0912863070539419,0.010745824023832323,9399.0
12,E02000014,0.09589457678661936,0.0005068423720223011,0.0005068423720223011,0.8084135833755702,0.15306639635073493,0.0026355803345159655,0.0287886467308667,0.07318803852002027,0.04845413076533198,0.029295489102889,0.6260516979219463,0.0858590978205778,0.008819057273188038,9865.0
13,E02000015,0.1515372463239762,0.00048608579414266616,0.0007291286912139992,0.7590229675537732,0.11787580507959655,0.0008506501397496658,0.02892210475148864,0.04933770810548062,0.03876534208287763,0.020901689148134645,0.6202454733260421,0.0755863409891846,0.01263823064770932,8229.0
14,E02000016,0.13720666161998485,0.00018925056775170325,0.000757002271006813,0.6082513247539743,0.15291445874337622,0.002554882664647994,0.05762679788039364,0.05280090840272521,0.039931869795609386,0.03841786525359576,0.4169190007570023,0.2375094625283876,0.016086298258894776,10568.0
15,E02000017,0.061206613380050366,0.0007664513303405234,0.00021898609438300668,0.6738202124165116,0.17814518778057592,0.0021898609438300667,0.037008649950728126,0.09920070075550202,0.03974597613051571,0.03963648308332421,0.4560385415526114,0.2490966823606701,0.014891054418044454,9133.0
16,E02000018,0.09997906197654942,0.0008375209380234506,0.0010469011725293131,0.7883165829145728,0.14489112227805695,0.0027219430485762143,0.026486599664991624,0.0692001675041876,0.04648241206030151,0.03130234505862647,0.6121231155778895,0.09757118927973199,0.012248743718592964,9552.0
17,E02000019,0.103498240529911,0.0005174912026495549,0.0013454771268888428,0.789484578762161,0.13775615814531153,0.0023804595321879527,0.037362864831297866,0.04936866073276754,0.048644173049058166,0.026806044297246947,0.6249223763196026,0.09066445870420203,0.014489753674187538,9662.0
18,E02000020,0.11988616150836001,0.0009960868018498755,0.0006403415154749199,0.7005336179295625,0.14606901458555674,0.0018498754891497688,0.03664176449662042,0.06282461757381715,0.044752757025969404,0.033226609747420845,0.5212379935965848,0.16051227321237993,0.017431519032372823,14055.0
