,GEOGRAPHY_CODE,Can understand spoken Welsh,Cannot understand spoken Welsh,Total: All usual residents aged 3 years and over
0,W02000001,0.6309290953545232,0.36907090464547676,1
1,W02000002,0.5894719948643877,0.4105280051356123,1
2,W02000003,0.5857838364167478,0.4142161635832522,1
3,W02000004,0.5971858187336184,0.4028141812663816,1
4,W02000005,0.5604093859211183,0.43959061407888167,1
5,W02000006,0.7695019832525342,0.23049801674746584,1
6,W02000007,0.61559180008978,0.38440819991021996,1
7,W02000008,0.6917138445702522,0.3082861554297478,1
8,W02000009,0.694185303514377,0.305814696485623,1
9,W02000010,0.35211433971178835,0.6478856602882117,1
10,W02000011,0.6398022249690977,0.36019777503090233,1
11,W02000012,0.7319432232131642,0.2680567767868358,1
12,W02000013,0.7719551282051282,0.2280448717948718,1
13,W02000014,0.7158311747676368,0.28416882523236325,1
14,W02000015,0.8177815824874648,0.18221841751253515,1
15,W02000016,0.7794855201423718,0.2205144798576282,1
16,W02000017,0.75581237253569,0.24418762746431,1
17,W02000018,0.7460910944935418,0.25390890550645817,1
18,W02000019,0.6852136489394405,0.31478635106055947,1
19,W02000020,0.7169094363521216,0.2830905636478784,1
20,W02000021,0.7526127794681836,0.2473872205318164,1
21,W02000022,0.5931579915394519,0.4068420084605481,1
22,W02000023,0.6906098741529526,0.30939012584704745,1
23,W02000024,0.6859816447723592,0.3140183552276408,1
24,W02000025,0.6029019346230821,0.39709806537691794,1
25,W02000026,0.4625711367284401,0.5374288632715599,1
26,W02000027,0.2493949661181026,0.7506050338818974,1
27,W02000028,0.28045239186917315,0.7195476081308269,1
28,W02000029,0.3037758414488297,0.6962241585511704,1
29,W02000030,0.255079006772009,0.744920993227991,1
30,W02000031,0.1566295229748341,0.8433704770251659,1
31,W02000032,0.3537032510388658,0.6462967489611342,1
32,W02000033,0.2628919601723882,0.7371080398276119,1
33,W02000034,0.29998666133119917,0.7000133386688009,1
34,W02000035,0.2864914920708415,0.7135085079291584,1
35,W02000036,0.2531415042797305,0.7468584957202695,1
36,W02000037,0.38430525557955364,0.6156947444204464,1
37,W02000038,0.42224052718286653,0.5777594728171335,1
38,W02000039,0.49061556634728964,0.5093844336527104,1
39,W02000040,0.5872201492537313,0.41277985074626866,1
40,W02000041,0.6125030113225729,0.3874969886774271,1
41,W02000042,0.1740578439964943,0.8259421560035057,1
42,W02000043,0.2066326530612245,0.7933673469387755,1
43,W02000044,0.21384496721943694,0.7861550327805631,1
44,W02000045,0.1504443962714069,0.8495556037285931,1
45,W02000047,0.15823970037453183,0.8417602996254682,1
46,W02000049,0.258383557409983,0.741616442590017,1
47,W02000050,0.2434517113932187,0.7565482886067812,1
48,W02000051,0.311171240819482,0.688828759180518,1
49,W02000052,0.39015308233347124,0.6098469176665288,1
50,W02000053,0.5076051779935276,0.4923948220064725,1
51,W02000054,0.37305699481865284,0.6269430051813472,1
52,W02000055,0.4666908037653874,0.5333091962346126,1
53,W02000056,0.5065217391304347,0.4934782608695652,1
54,W02000057,0.37267795495643596,0.627322045043564,1
55,W02000058,0.22451845906902088,0.7754815409309791,1
56,W02000059,0.21654653713569413,0.7834534628643058,1
57,W02000060,0.1615636433660697,0.8384363566339302,1
58,W02000061,0.14065484311050477,0.8593451568894952,1
59,W02000062,0.1574167507568113,0.8425832492431887,1
60,W02000063,0.24392393905049742,0.7560760609495025,1
61,W02000064,0.1016576454668471,0.8983423545331529,1
62,W02000065,0.10899531050163422,0.8910046894983658,1
63,W02000066,0.09960075646144148,0.9003992435385585,1
64,W02000067,0.12249510320928131,0.8775048967907187,1
65,W02000068,0.09571738701401224,0.9042826129859878,1
66,W02000069,0.17639365702141574,0.8236063429785843,1
67,W02000070,0.13423076923076924,0.8657692307692307,1
68,W02000071,0.1759407235217202,0.8240592764782798,1
69,W02000072,0.08859416445623342,0.9114058355437665,1
70,W02000073,0.23456165215630695,0.765438347843693,1
71,W02000074,0.14230366492146596,0.857696335078534,1
72,W02000075,0.15648118366034094,0.8435188163396591,1
73,W02000076,0.22477256822953115,0.7752274317704688,1
74,W02000077,0.18031403005233834,0.8196859699476616,1
75,W02000080,0.16631716906946264,0.8336828309305373,1
76,W02000081,0.16861785776690547,0.8313821422330945,1
77,W02000082,0.15536075522589346,0.8446392447741066,1
78,W02000083,0.20618433619866286,0.7938156638013372,1
79,W02000085,0.15861910769583668,0.8413808923041634,1
80,W02000087,0.11484125778520432,0.8851587422147957,1
81,W02000088,0.16282386498692655,0.8371761350130734,1
82,W02000089,0.14316834079632096,0.8568316592036791,1
83,W02000090,0.24336522838057412,0.7566347716194259,1
84,W02000091,0.20872896884890887,0.7912710311510911,1
85,W02000092,0.27796558082360173,0.7220344191763983,1
86,W02000093,0.1690427698574338,0.8309572301425662,1
87,W02000094,0.17077997671711292,0.8292200232828871,1
88,W02000095,0.1092826330084678,0.8907173669915321,1
89,W02000096,0.22179914326511185,0.7782008567348881,1
90,W02000097,0.3535553357511814,0.6464446642488185,1
91,W02000098,0.16920307641957127,0.8307969235804288,1
92,W02000099,0.163151364764268,0.836848635235732,1
93,W02000100,0.5365813377374071,0.4634186622625929,1
94,W02000101,0.1496282527881041,0.8503717472118959,1
95,W02000102,0.33006155381800034,0.6699384461819997,1
96,W02000103,0.141084721729883,0.8589152782701169,1
97,W02000104,0.1736894492368945,0.8263105507631056,1
98,W02000105,0.15683511173746728,0.8431648882625327,1
99,W02000106,0.2511444356748224,0.7488555643251776,1
100,W02000107,0.09013819095477386,0.9098618090452262,1
101,W02000108,0.15144196618837902,0.848558033811621,1
102,W02000109,0.14290922347794385,0.8570907765220561,1
103,W02000110,0.1953558052434457,0.8046441947565544,1
104,W02000111,0.12187763967660191,0.8781223603233981,1
105,W02000113,0.15427647936350075,0.8457235206364992,1
106,W02000114,0.14459955914768552,0.8554004408523145,1
107,W02000116,0.5741487143849896,0.4258512856150104,1
