,GEOGRAPHY_CODE,All other gender identities,Gender identity different from sex registered at birth but no specific identity given,Gender identity the same as sex registered at birth,Not answered,Total,Trans man,Trans woman
0,E02000001,0.0016241879060469764,0.0011244377811094452,0.920664667666167,0.07446276861569215,1,0.0006246876561719141,0.0014992503748125937
1,E02000002,0.00016714023065351831,0.0051813471502590676,0.9157613237506268,0.07454454287146917,1,0.0020056827678422194,0.002339963229149256
2,E02000003,0.00045213066576240535,0.006555894653554877,0.9027919068610829,0.08658302249350062,1,0.00169548999660902,0.0019215553294902226
3,E02000004,0.0001880759826970096,0.003573443671243182,0.9247696069211961,0.06808350573631747,1,0.001880759826970096,0.0015046078615760768
4,E02000005,0.0002505323813102844,0.004760115244895403,0.9010397093824377,0.08668420393335839,1,0.003507453338343981,0.003757985719654265
5,E02000007,0.0006696129637069774,0.007231820008035355,0.9124146243471274,0.07539841971340565,1,0.0018749162983795367,0.0024106066693451184
6,E02000008,0.00020314880650076182,0.006805485017775521,0.904520060944642,0.08329101066531235,1,0.002133062468257999,0.0030472320975114273
7,E02000009,0.000748182984181274,0.003954681487815305,0.9116075245831552,0.07909362975630611,1,0.0022445489525438223,0.00235143223599829
8,E02000010,0.00014132278123233464,0.00819672131147541,0.9041831543244772,0.08394573205200678,1,0.0018371961560203504,0.0016958733747880158
9,E02000011,0.0005538120731031936,0.0075687649990769795,0.9051135314749862,0.08288720694111132,1,0.0022152482924127745,0.001661436219309581
10,E02000012,0.00011305822498586772,0.005539853024307519,0.9106840022611645,0.079479932165065,1,0.0021481062747314866,0.002035048049745619
11,E02000013,0.0005742176284811944,0.0070341659488946315,0.9121447028423773,0.07507895492391617,1,0.0030146425495262705,0.002153316106804479
12,E02000014,0.0008073196986006459,0.004171151776103337,0.905005382131324,0.08328848223896664,1,0.0032292787944025836,0.0034983853606027986
13,E02000015,0.00033178500331785003,0.006635700066357001,0.9074319840743198,0.08244857332448573,1,0.0009953550099535502,0.0021566025215660253
14,E02000016,0.0006595435958316845,0.010420788814140615,0.8720485424086533,0.10486743173723784,1,0.007123070834982192,0.004880622609154465
15,E02000017,0.0002800336040324839,0.008260991318958275,0.887146457574909,0.09955194623354803,1,0.002800336040324839,0.0019602352282273874
16,E02000018,0.00042857142857142855,0.0054285714285714284,0.9022857142857142,0.08671428571428572,1,0.0025714285714285713,0.0025714285714285713
