,GEOGRAPHY_CODE,Number of households
231,E02000243,3128.0
232,E02000244,2937.0
233,E02000245,3354.0
234,E02000246,3072.0
235,E02000247,3892.0
236,E02000248,2989.0
237,E02000249,2913.0
238,E02000250,2544.0
239,E02000251,2542.0
240,E02000252,4410.0
241,E02000253,3839.0
242,E02000254,2610.0
243,E02000255,3791.0
244,E02000256,4026.0
245,E02000258,2604.0
246,E02000259,2395.0
247,E02000260,2754.0
248,E02000261,4977.0
249,E02000262,3946.0
250,E02000263,3646.0
251,E02000264,3543.0
252,E02000265,4733.0
253,E02000266,4296.0
254,E02000267,3219.0
255,E02000268,3863.0
256,E02000269,3303.0
257,E02000270,4116.0
258,E02000271,2978.0
259,E02000272,2540.0
260,E02000275,2348.0
261,E02000276,2724.0
262,E02000277,2627.0
263,E02000278,3339.0
264,E02000279,4415.0
265,E02000280,3413.0
266,E02000281,3549.0
267,E02000282,3467.0
268,E02000283,2800.0
269,E02000284,3619.0
270,E02000285,2460.0
271,E02000286,3998.0
272,E02000287,2873.0
273,E02000288,4053.0
274,E02000289,2424.0
275,E02000290,2519.0
276,E02000291,4330.0
277,E02000292,3569.0
278,E02000293,2491.0
279,E02000294,3086.0
280,E02000295,3350.0
281,E02000296,4039.0
282,E02000297,3475.0
283,E02000298,3056.0
284,E02000299,3314.0
285,E02000300,2999.0
286,E02000301,3725.0
287,E02000302,3114.0
288,E02000303,2976.0
289,E02000304,2907.0
290,E02000305,3453.0
291,E02000306,3399.0
292,E02000307,3343.0
293,E02000308,3226.0
294,E02000309,3988.0
295,E02000311,3635.0
296,E02000312,4495.0
297,E02000313,2596.0
298,E02000314,4536.0
299,E02000315,3490.0
300,E02000317,2822.0
301,E02000318,3581.0
302,E02000319,3919.0
303,E02000320,2556.0
304,E02000321,2957.0
305,E02000323,4817.0
306,E02000324,2854.0
307,E02000326,3049.0
308,E02000327,2635.0
309,E02000328,2946.0
310,E02000329,2462.0
311,E02000331,3191.0
312,E02000332,2999.0
313,E02000333,2883.0
314,E02000334,2543.0
315,E02000335,2592.0
316,E02000337,3084.0
317,E02000339,2591.0
318,E02000340,3020.0
319,E02000341,2941.0
320,E02000342,2342.0
321,E02000343,2695.0
322,E02000344,2448.0
323,E02000345,2589.0
324,E02000346,3972.0
325,E02000347,2582.0
326,E02000348,2723.0
327,E02000350,3693.0
328,E02000351,4231.0
329,E02000352,2685.0
330,E02000353,3156.0
331,E02000354,3989.0
332,E02000355,3114.0
333,E02000356,3061.0
334,E02000357,2720.0
335,E02000358,4816.0
336,E02000359,2437.0
337,E02000360,4851.0
338,E02000361,3679.0
339,E02000362,2805.0
340,E02000363,4441.0
341,E02000364,4099.0
342,E02000366,3539.0
343,E02000367,4594.0
344,E02000368,4152.0
345,E02000369,5929.0
346,E02000370,3991.0
347,E02000372,3876.0
348,E02000373,2537.0
349,E02000374,2616.0
350,E02000375,3498.0
351,E02000376,3183.0
352,E02000377,3446.0
353,E02000378,3251.0
354,E02000379,3104.0
355,E02000380,2498.0
356,E02000381,3547.0
357,E02000382,2772.0
358,E02000383,4111.0
