,GEOGRAPHY_CODE,1 room,2 rooms,3 rooms,4 rooms,5 rooms,6 rooms,7 rooms,8 rooms,9 or more rooms,Total: All households
2696,E02002818,0.011359724612736662,0.09294320137693632,0.11669535283993115,0.4688468158347676,0.2705679862306368,0.020309810671256454,0.010327022375215147,0.007917383820998278,0.0010327022375215145,1
2697,E02002819,0.002822466836014677,0.10640699971775332,0.31752751905165116,0.30962461191081003,0.2080158058142817,0.0366920688681908,0.013830087496471917,0.003386960203217612,0.001693480101608806,1
2698,E02002820,0.0026582890285161915,0.07999033349444176,0.15176413726437893,0.34944417593040117,0.375302078298695,0.029482841952634124,0.006766553890768487,0.0026582890285161915,0.0019333011116481392,1
2699,E02002821,0.0013221683561040105,0.09277214631996475,0.15425297487880124,0.5312913177611283,0.19722344645218157,0.015425297487880123,0.00374614367562803,0.002644336712208021,0.0013221683561040105,1
2700,E02002822,0.0,0.06788990825688074,0.20807339449541284,0.3856880733944954,0.2612844036697248,0.04954128440366973,0.01651376146788991,0.008440366972477064,0.002568807339449541,1
2701,E02002823,0.0015262515262515263,0.07814407814407814,0.21642246642246643,0.3333333333333333,0.3305860805860806,0.027472527472527472,0.010073260073260074,0.002136752136752137,0.00030525030525030525,1
2702,E02002824,0.007282772476142642,0.10271220492214968,0.20140632847815168,0.3960321446509292,0.2300351582119538,0.052235057759919636,0.007282772476142642,0.0027624309392265192,0.00025113008538422905,1
2703,E02002825,0.001368738023542294,0.10292909937038051,0.2044894607172187,0.2033944702983849,0.3049548316452231,0.10867779906925815,0.04681084040514646,0.019436079934300576,0.007938680536545305,1
2704,E02002826,0.008250257820556892,0.058783086971467856,0.18494327947748368,0.21863183224475766,0.3121347542110691,0.16500515641113786,0.03265727053970437,0.014094190443451358,0.005500171880371262,1
2705,E02002827,0.012485811577752554,0.12599318955732122,0.29284903518728717,0.22777147181233448,0.20658342792281498,0.10442678774120318,0.024593265228906546,0.004161937192584185,0.0011350737797956867,1
2706,E02002828,0.003614853762734144,0.06013802168912258,0.26355570161025305,0.3716726914229379,0.2375944791324351,0.0437068682221492,0.013473545842918173,0.003614853762734144,0.0026289845547157412,1
2707,E02002829,0.004138882501724534,0.14555070131064612,0.2347666130144861,0.2538514601057714,0.3324902276385376,0.02161416417567257,0.005288572085536905,0.0013796275005748448,0.0009197516670498966,1
2708,E02002830,0.009908536585365854,0.13490853658536586,0.23094512195121952,0.27947154471544716,0.2149390243902439,0.06021341463414634,0.043191056910569105,0.018800813008130083,0.007621951219512195,1
2709,E02002831,0.02595228128924236,0.057346169945583926,0.1398074508162411,0.385935537881959,0.3336123901213897,0.032231059020510676,0.021347844286312263,0.0016743407283382169,0.002092925910422771,1
2710,E02002832,0.018417874396135264,0.14492753623188406,0.13526570048309178,0.2792874396135266,0.3771135265700483,0.026570048309178744,0.014190821256038648,0.0015096618357487923,0.002717391304347826,1
2711,E02002833,0.005235602094240838,0.0549738219895288,0.06357516828721017,0.37322363500373973,0.47569184741959614,0.016454749439042633,0.006357516828721017,0.002617801047120419,0.0018698578908002991,1
2712,E02002834,0.014677728142948309,0.10827483514145926,0.2446288023824718,0.25143586470963625,0.3275898744947883,0.03935332907891938,0.008508827908955541,0.0038289725590299937,0.0017017655817911082,1
2713,E02002836,0.009741248097412482,0.11963470319634703,0.09923896499238966,0.35190258751902587,0.3866057838660578,0.019178082191780823,0.008828006088280061,0.0024353120243531205,0.0024353120243531205,1
2714,E02002837,0.0062176165803108805,0.12504317789291883,0.11433506044905009,0.5316062176165803,0.1768566493955095,0.027979274611398965,0.008981001727115717,0.0024179620034542313,0.0065630397236614854,1
2715,E02002838,0.018446601941747572,0.1488673139158576,0.17249190938511327,0.1378640776699029,0.47572815533980584,0.04271844660194175,0.001941747572815534,0.0006472491909385113,0.0012944983818770227,1
2716,E02002839,0.006258234519104084,0.1189064558629776,0.11166007905138339,0.2028985507246377,0.4881422924901186,0.04907773386034255,0.016469038208168644,0.003952569169960474,0.002635046113306983,1
2717,E02002842,0.02555268446741315,0.11426930806775767,0.10967556703990812,0.48262991673844385,0.23916164226241746,0.019810508182601206,0.00516795865633075,0.0017226528854435831,0.0020097616996841805,1
2718,E02002843,0.0191114420451725,0.13899230578307273,0.08339538346984364,0.3648548026805659,0.3454951600893522,0.030280466617026557,0.011665425663936461,0.003971208736659221,0.0022338049143708115,1
2719,E02002844,0.013022998060404543,0.18398448323635355,0.33555001385425326,0.24965364366860626,0.1778886118038238,0.025491825990579108,0.009697977279024661,0.0038791909116098642,0.0008312551953449709,1
2720,E02002845,0.0129366106080207,0.19327296248382925,0.18033635187580854,0.27192755498059507,0.3058214747736093,0.02069857697283312,0.010090556274256144,0.0038809831824062097,0.001034928848641656,1
2721,E02002846,0.0036101083032490976,0.07417131604857237,0.0981293075155891,0.22382671480144403,0.461437479488021,0.08893994092550049,0.033475549721037084,0.010830324909747292,0.005579258286839514,1
2722,E02002847,0.0021149101163200562,0.03313359182234755,0.040535777229467745,0.2516743038420867,0.611561508635883,0.03947832217130772,0.013041945717307015,0.005287275290800141,0.003172365174480085,1
2723,E02002848,0.04910033546813053,0.1253430924062214,0.05215004574565416,0.3461421164989326,0.32723391277828606,0.04971027752363526,0.025617566331198535,0.015248551387618176,0.009454101860323269,1
2724,E02002849,0.05114842694460529,0.21733256128160586,0.15769156533487744,0.22505307855626328,0.2559351476548929,0.046902142443543716,0.029144952711831693,0.009071607797722448,0.007720517274657402,1
2725,E02002851,0.0,0.04396371249127704,0.10886252616887648,0.159804605722261,0.5090718771807397,0.09734822051639916,0.04570830425680391,0.021632937892533146,0.01360781577110956,1
2726,E02002852,0.004222648752399232,0.1523992322456814,0.09404990403071017,0.5370441458733205,0.18963531669865644,0.015355086372360844,0.003838771593090211,0.003071017274472169,0.00038387715930902113,1
2727,E02002853,0.04075080266732527,0.10496418868856508,0.07458631760928625,0.15880464312175846,0.44331933810817487,0.106446036058286,0.041244751790565574,0.018770066683131637,0.01111385527290689,1
2728,E02002854,0.006043256997455471,0.15426208651399492,0.08269720101781171,0.3062977099236641,0.41825699745547074,0.022582697201017812,0.006043256997455471,0.0028625954198473282,0.0009541984732824427,1
2729,E02002855,0.016898608349900597,0.08913187541418158,0.12226640159045726,0.30251822398939693,0.40656063618290256,0.04108681245858184,0.013916500994035786,0.005301524188204109,0.0023194168323392977,1
