,GEOGRAPHY_CODE,All persons,Female,Male
0,E02000001,1,0.50920245398773,0.49079754601226994
1,E02000002,1,0.45454545454545453,0.5454545454545454
2,E02000003,1,0.5238095238095238,0.47619047619047616
3,E02000004,1,0.5833333333333334,0.4166666666666667
4,E02000005,1,0.5909090909090909,0.4090909090909091
5,E02000007,1,0.5555555555555556,0.4444444444444444
6,E02000008,1,0.38636363636363635,0.6136363636363636
7,E02000009,1,0.4444444444444444,0.5555555555555556
8,E02000010,1,0.55,0.45
9,E02000011,1,0.6190476190476191,0.38095238095238093
10,E02000012,1,0.631578947368421,0.3684210526315789
11,E02000013,1,0.6428571428571429,0.35714285714285715
12,E02000014,1,0.6785714285714286,0.32142857142857145
13,E02000015,1,0.625,0.375
14,E02000016,1,0.6266666666666667,0.37333333333333335
15,E02000017,1,0.475,0.525
16,E02000018,1,0.5882352941176471,0.4117647058823529
17,E02000019,1,0.391304347826087,0.6086956521739131
18,E02000020,1,0.5111111111111111,0.4888888888888889
19,E02000021,1,0.45714285714285713,0.5428571428571428
20,E02000022,1,0.5238095238095238,0.47619047619047616
21,E02000023,1,0.56,0.44
22,E02000024,1,0.4782608695652174,0.5217391304347826
23,E02000025,1,0.65,0.35
24,E02000026,1,0.6666666666666666,0.3333333333333333
25,E02000027,1,0.6,0.4
26,E02000028,1,0.6363636363636364,0.36363636363636365
27,E02000029,1,0.5714285714285714,0.42857142857142855
28,E02000030,1,0.6818181818181818,0.3181818181818182
29,E02000031,1,0.5714285714285714,0.42857142857142855
30,E02000032,1,0.35714285714285715,0.6428571428571429
31,E02000033,1,0.6521739130434783,0.34782608695652173
32,E02000034,1,0.7142857142857143,0.2857142857142857
33,E02000035,1,0.4883720930232558,0.5116279069767442
34,E02000036,1,0.7083333333333334,0.2916666666666667
35,E02000037,1,0.6129032258064516,0.3870967741935484
36,E02000038,1,0.6923076923076923,0.3076923076923077
37,E02000039,1,0.5652173913043478,0.43478260869565216
38,E02000040,1,0.47368421052631576,0.5263157894736842
39,E02000041,1,0.45454545454545453,0.5454545454545454
40,E02000042,1,0.5217391304347826,0.4782608695652174
41,E02000043,1,0.7391304347826086,0.2608695652173913
42,E02000044,1,0.5416666666666666,0.4583333333333333
43,E02000045,1,0.5833333333333334,0.4166666666666667
44,E02000046,1,0.631578947368421,0.3684210526315789
45,E02000047,1,0.47540983606557374,0.5245901639344263
46,E02000048,1,0.48,0.52
47,E02000049,1,0.6666666666666666,0.3333333333333333
48,E02000050,1,0.6086956521739131,0.391304347826087
49,E02000051,1,0.58,0.42
50,E02000052,1,0.6875,0.3125
51,E02000054,1,0.5208333333333334,0.4791666666666667
52,E02000055,1,0.5106382978723404,0.48936170212765956
53,E02000056,1,0.6078431372549019,0.39215686274509803
54,E02000057,1,0.6153846153846154,0.38461538461538464
55,E02000058,1,0.6779661016949152,0.3220338983050847
56,E02000059,1,0.5,0.5
57,E02000060,1,0.6666666666666666,0.3333333333333333
58,E02000061,1,0.7169811320754716,0.2830188679245283
59,E02000062,1,0.6538461538461539,0.34615384615384615
60,E02000063,1,0.5319148936170213,0.46808510638297873
61,E02000064,1,0.4782608695652174,0.5217391304347826
62,E02000065,1,0.6190476190476191,0.38095238095238093
63,E02000066,1,0.6818181818181818,0.3181818181818182
64,E02000067,1,0.6956521739130435,0.30434782608695654
65,E02000068,1,0.5172413793103449,0.4827586206896552
66,E02000069,1,0.6923076923076923,0.3076923076923077
67,E02000070,1,0.7142857142857143,0.2857142857142857
68,E02000071,1,1.0,0.0
69,E02000072,1,0.45454545454545453,0.5454545454545454
70,E02000073,1,0.4,0.6
71,E02000074,1,0.6923076923076923,0.3076923076923077
72,E02000075,1,0.5,0.5
73,E02000077,1,0.4,0.6
74,E02000078,1,0.9,0.1
75,E02000079,1,0.75,0.25
76,E02000080,1,0.5714285714285714,0.42857142857142855
77,E02000081,1,0.7142857142857143,0.2857142857142857
78,E02000082,1,0.7142857142857143,0.2857142857142857
79,E02000083,1,0.4444444444444444,0.5555555555555556
