,GEOGRAPHY_CODE,1 car or van in household,2 cars or vans in household,3 or more cars or vans in household,No cars or vans in household,Total: All households
0,E02000001,0.19417870954610217,0.02503561978424588,0.00875228984327295,0.772033380826379,4913.0
1,E02000002,0.4435540069686411,0.19059233449477353,0.047386759581881537,0.3184668989547038,2870.0
2,E02000003,0.4684478371501272,0.18295165394402035,0.0544529262086514,0.29414758269720104,3930.0
3,E02000004,0.42615851017756606,0.24815937635339974,0.09008228670420096,0.23559982676483326,2309.0
4,E02000005,0.47657111356119075,0.19652701212789417,0.046857772877618525,0.28004410143329656,3628.0
5,E02000007,0.4383673469387755,0.15074829931972789,0.036734693877551024,0.3741496598639456,3675.0
6,E02000008,0.45112456747404844,0.1773356401384083,0.04519896193771626,0.326340830449827,4624.0
7,E02000009,0.4689703808180536,0.1476257639868359,0.04113775270333803,0.3422661024917725,4254.0
8,E02000010,0.4594594594594595,0.16546546546546548,0.04144144144144144,0.33363363363363363,3330.0
9,E02000011,0.46196345091372715,0.18997025074373142,0.04929876753081173,0.2987675308117297,2353.0
10,E02000012,0.4449848024316109,0.23768996960486322,0.08358662613981763,0.2337386018237082,3290.0
11,E02000013,0.45636140135218195,0.16195451751690226,0.03995082974800246,0.34173325138291333,3254.0
12,E02000014,0.46235606731620904,0.15087097726601711,0.04222025391201653,0.3445527015057573,3387.0
13,E02000015,0.43506921555702044,0.13810151615029664,0.036585365853658534,0.3902439024390244,3034.0
14,E02000016,0.3283464566929134,0.05721784776902887,0.008136482939632546,0.6062992125984252,3810.0
15,E02000017,0.4039783001808318,0.14936708860759493,0.04014466546112116,0.4065099457504521,2765.0
16,E02000018,0.4483611626468769,0.1645021645021645,0.03525046382189239,0.3518862090290662,3234.0
17,E02000019,0.46662507797878977,0.18371802869619464,0.037429819089207735,0.31222707423580787,3206.0
18,E02000020,0.481917397817248,0.13824095869890862,0.029531350310293174,0.35031029317355017,4673.0
19,E02000021,0.4609614728946471,0.1629730651210365,0.04295942720763723,0.33310603477667916,2933.0
20,E02000022,0.4280100035727045,0.07574133619149696,0.01429081814933905,0.4819578420864595,2799.0
21,E02000023,0.46226060833646265,0.13405933158092376,0.02853924145700338,0.3751408186256102,2663.0
22,E02000024,0.484476211748939,0.20951530042439134,0.0634353361626089,0.24257315166406077,4477.0
23,E02000025,0.48985584623598505,0.19087026161238654,0.0603310197544047,0.2589428723972237,3746.0
24,E02000026,0.49024293110314615,0.25806451612903225,0.1027479091995221,0.14894464356829948,2511.0
25,E02000027,0.4701573521432447,0.20781334780249594,0.0583288117200217,0.26370048833423765,3686.0
26,E02000028,0.47268673355629875,0.22445187662578966,0.0758082497212932,0.22705314009661837,2691.0
27,E02000029,0.47127056919341787,0.21634745076881576,0.05691934178581063,0.25546263825195575,3707.0
28,E02000030,0.38192668371696503,0.33105996021597045,0.15657857345836884,0.13043478260869565,3519.0
29,E02000031,0.4806131650135257,0.23234144875263,0.07333934475503456,0.21370604147880973,3327.0
30,E02000032,0.44331024425811155,0.3157127232956617,0.10353627415238789,0.13744075829383887,2743.0
31,E02000033,0.4705208929593589,0.2189467658843732,0.057813394390383514,0.25271894676588436,3494.0
32,E02000034,0.4577876845918083,0.21621621621621623,0.059348007801616046,0.26664809139035944,3589.0
33,E02000035,0.4631519274376417,0.18424036281179137,0.041666666666666664,0.31094104308390025,3528.0
34,E02000036,0.45701242708597517,0.2589398934821202,0.077859497844281,0.20618818158762364,3943.0
35,E02000037,0.42157654022060803,0.31692224912563893,0.09227871939736347,0.16922249125638955,3717.0
36,E02000038,0.47689233075193604,0.2065950537097177,0.05695728203847115,0.2595553334998751,4003.0
37,E02000039,0.4319371727748691,0.28272251308900526,0.1024682124158564,0.18287210172026927,2674.0
38,E02000040,0.4804787688800228,0.23852949558278713,0.05984611000284981,0.22114562553434028,3509.0
39,E02000041,0.4255639097744361,0.21022556390977443,0.06827067669172933,0.29593984962406017,3325.0
40,E02000042,0.45059372349448684,0.13528413910093298,0.02586938083121289,0.3882527565733673,4716.0
41,E02000043,0.4833020637898687,0.26153846153846155,0.0701688555347092,0.1849906191369606,2665.0
42,E02000044,0.4511400651465798,0.21172638436482086,0.05276872964169381,0.28436482084690556,3070.0
43,E02000045,0.47596382674916704,0.14707282246549264,0.032603522132317944,0.3443598286530224,4202.0
44,E02000046,0.464397360194512,0.140673845085099,0.024313997915943037,0.370614796804446,2879.0
45,E02000047,0.452386606506768,0.15198290192353361,0.036570885775350274,0.35905960579434815,4211.0
46,E02000048,0.4860759493670886,0.2569620253164557,0.06481012658227848,0.1921518987341772,3950.0
47,E02000049,0.4614575111812681,0.12628255722178375,0.026571954748750327,0.38568797684819783,3801.0
48,E02000050,0.473475458601884,0.15617253346554288,0.03594447198810114,0.334407535944472,4034.0
49,E02000051,0.44450303190087004,0.20511468494595309,0.06011073029264435,0.2902715528605326,3793.0
50,E02000052,0.4977332378907182,0.1145311381531854,0.01956573610116917,0.3681698878549272,4191.0
51,E02000054,0.4476607202961966,0.17872770111073713,0.06159542241669472,0.3120161561763716,2971.0
52,E02000055,0.39014647137150466,0.15335108743897027,0.047936085219707054,0.408566355969818,4506.0
53,E02000056,0.42039511911679256,0.2838466008134805,0.10226612434631029,0.19349215572341663,3442.0
54,E02000057,0.4057649667405765,0.21507760532150777,0.06171470805617147,0.3174427198817443,2706.0
55,E02000058,0.4491339351061234,0.189802390827031,0.04196145401317394,0.3191022200536716,4099.0
56,E02000059,0.4403876493125986,0.1300428217263917,0.031552851025467656,0.398016677935542,4437.0
57,E02000060,0.3894451962110961,0.2324763193504736,0.05196211096075778,0.3261163734776725,3695.0
58,E02000061,0.3891377379619261,0.15201567749160133,0.0425531914893617,0.4162933930571109,3572.0
59,E02000062,0.3927342256214149,0.11739961759082218,0.022944550669216062,0.46692160611854683,2615.0
60,E02000063,0.44193434521708436,0.1478997529121073,0.042710907165548886,0.36745499470525944,2833.0
61,E02000064,0.3950036205648081,0.11404779145546705,0.03041274438812455,0.46053584359160027,2762.0
62,E02000065,0.44700793078586876,0.1640230713770728,0.04650324441240086,0.3424657534246575,2774.0
63,E02000066,0.4240202988440936,0.14265576543557937,0.03467719199323372,0.3986467437270933,3547.0
64,E02000067,0.48154657293497366,0.1544062264624655,0.04745166959578207,0.3165955310067788,3983.0
65,E02000068,0.43898623279098875,0.14956195244055068,0.046620775969962454,0.3648310387984981,3196.0
66,E02000069,0.4541251778093883,0.21763869132290184,0.07396870554765292,0.2542674253200569,2812.0
67,E02000070,0.4493630573248408,0.25445859872611465,0.1089171974522293,0.18726114649681527,3140.0
68,E02000071,0.4417784050811574,0.2399435426958363,0.102681721947777,0.21559633027522937,2834.0
69,E02000072,0.45243174061433444,0.19752559726962457,0.05098122866894198,0.29906143344709896,4688.0
70,E02000073,0.426478019201617,0.3059626073774634,0.11950480040424456,0.1480545730166751,3958.0
71,E02000074,0.4584641735655153,0.21238938053097345,0.0642306594347702,0.2649157864687411,3503.0
72,E02000075,0.44490314385519214,0.28294696729120355,0.11178151794220387,0.16036837091140044,3149.0
73,E02000077,0.4662806539509537,0.2387602179836512,0.10183923705722071,0.1931198910081744,2936.0
74,E02000078,0.43940397350993377,0.29304635761589404,0.1119205298013245,0.15562913907284767,3020.0
75,E02000079,0.4553820412716118,0.2071946458449526,0.061628555493586167,0.27579475738984943,3586.0
76,E02000080,0.45478374836173,0.25137614678899084,0.08623853211009175,0.20760157273918742,3815.0
77,E02000081,0.4626410491003355,0.23543763342482465,0.08691674290942361,0.21500457456541627,3279.0
78,E02000082,0.43915190241068836,0.28695904734243394,0.11762997386000582,0.15625907638687192,3443.0
79,E02000083,0.4756975697569757,0.23537353735373537,0.07335733573357335,0.21557155715571558,4444.0
80,E02000084,0.44163887565507387,0.2977608384945212,0.12005717008099095,0.140543115769414,4198.0
81,E02000085,0.455609756097561,0.2786991869918699,0.10373983739837399,0.16195121951219513,3075.0
82,E02000086,0.44404591104734575,0.3066714490674319,0.12338593974175036,0.125896700143472,2788.0
83,E02000087,0.44156626506024094,0.2900602409638554,0.1141566265060241,0.15421686746987953,3320.0
84,E02000088,0.45838926174496647,0.2929530201342282,0.11644295302013423,0.13221476510067115,2980.0
85,E02000089,0.46797520661157027,0.3009641873278237,0.10055096418732783,0.13050964187327824,2904.0
86,E02000090,0.49224898640591463,0.1810159790126401,0.059623181492964465,0.2671118530884808,4193.0
87,E02000091,0.45301258992805754,0.22234712230215828,0.0766636690647482,0.24797661870503598,4448.0
88,E02000092,0.447310243183493,0.236551215917465,0.07442888725128961,0.2417096536477524,2714.0
89,E02000093,0.4409090909090909,0.2318181818181818,0.07914438502673797,0.24812834224598931,3740.0
90,E02000094,0.43759008359757856,0.2017872585759585,0.06630152781781493,0.294321130008648,3469.0
91,E02000095,0.4337311557788945,0.2292713567839196,0.07474874371859297,0.26224874371859297,3184.0
92,E02000096,0.4108,0.2932,0.1016,0.1944,2500.0
93,E02000097,0.4391046741277156,0.2228439763001975,0.08755760368663594,0.250493745885451,3038.0
94,E02000098,0.4257391304347826,0.20904347826086955,0.06713043478260869,0.2980869565217391,2875.0
95,E02000099,0.4610901611244429,0.1892355159410353,0.06102159753171066,0.2886527254028111,2917.0
96,E02000100,0.39696143358005453,0.26334242306194,0.1238800155823919,0.21581612777561357,2567.0
97,E02000101,0.40342587123449497,0.15888954518606024,0.051683402244536325,0.38600118133490846,3386.0
98,E02000102,0.42532588454376163,0.15195530726256984,0.047299813780260706,0.3754189944134078,2685.0
99,E02000103,0.4491623339110341,0.12853841709994224,0.03697284806470248,0.3853264009243212,3462.0
100,E02000104,0.41687344913151364,0.18114143920595532,0.08188585607940446,0.3200992555831266,2418.0
101,E02000105,0.4166666666666667,0.1640926640926641,0.05888030888030888,0.36036036036036034,3108.0
102,E02000106,0.3837144450641383,0.11517010596765198,0.03680981595092025,0.46430563301728944,3586.0
103,E02000107,0.32958973183589274,0.08434563373825349,0.02131560852624341,0.5647490258996104,4363.0
104,E02000108,0.44434667839859215,0.192696876374835,0.05367355917289925,0.30928288605367354,2273.0
105,E02000110,0.4107950872656755,0.10471881060116355,0.026826115061409177,0.45765998707175176,3094.0
106,E02000111,0.40564263322884014,0.145141065830721,0.045768025078369905,0.40344827586206894,3190.0
107,E02000112,0.36270022883295194,0.11727688787185354,0.036613272311212815,0.4834096109839817,3496.0
108,E02000113,0.38370325326847066,0.12192155670416539,0.029796290665855884,0.46457889936150804,3289.0
109,E02000114,0.3177771783113029,0.06420285945508497,0.019962233612085243,0.5980577286215268,3707.0
110,E02000115,0.3508771929824561,0.06888544891640867,0.017543859649122806,0.5626934984520123,3876.0
111,E02000116,0.3459993821439605,0.05869632375656472,0.01143033673154155,0.5838739573679332,3237.0
112,E02000117,0.36247110737549904,0.06934229880226939,0.013658331582265182,0.5545282622399664,4759.0
113,E02000118,0.39436173582515044,0.15394361735825152,0.04307887234716503,0.408615774469433,3157.0
114,E02000119,0.41295546558704455,0.0728744939271255,0.012145748987854251,0.5020242914979757,3952.0
115,E02000120,0.3297972654408298,0.04266855256954267,0.006129184347006129,0.6214049976426214,4242.0
116,E02000121,0.3979591836734694,0.1260341974627689,0.03612796469939327,0.43987865416436844,3626.0
117,E02000122,0.4292049414000634,0.14887551472917326,0.0408615774469433,0.38105796642382006,3157.0
118,E02000123,0.32189925979418665,0.059216465065896375,0.011734970211229464,0.6071493049286875,5539.0
119,E02000124,0.4054768196012491,0.07806870045640163,0.01633437424933942,0.5001201056930098,4163.0
120,E02000125,0.43810248604769153,0.09791983764586504,0.020801623541349568,0.44317605276509386,3942.0
121,E02000126,0.32912507339988256,0.04462712859659425,0.005578391074574281,0.6206694069289489,3406.0
122,E02000127,0.47041732699418914,0.16613840464870575,0.04754358161648178,0.3159006867406233,3786.0
123,E02000128,0.4975514201762977,0.2644466209598433,0.07541625857002938,0.16258570029382957,3063.0
124,E02000130,0.4870395634379263,0.12196452933151432,0.027830832196452934,0.3631650750341064,3665.0
125,E02000131,0.4442910668507198,0.06704791954249655,0.01538158154210215,0.47327943206468154,5071.0
126,E02000132,0.5248887090246863,0.11452853095912587,0.021246458923512748,0.33933630109267504,4942.0
127,E02000133,0.46440129449838186,0.30490060101710587,0.11858529819694869,0.11211280628756357,4326.0
128,E02000134,0.4949056603773585,0.13867924528301886,0.03490566037735849,0.3315094339622642,5300.0
129,E02000135,0.3958145814581458,0.0855085508550855,0.01665166516651665,0.5020252025202521,4444.0
130,E02000136,0.4091503267973856,0.2736383442265795,0.12549019607843137,0.19172113289760348,2295.0
131,E02000137,0.5155144256940664,0.21066956995100708,0.06124115405552531,0.2125748502994012,3674.0
132,E02000138,0.5111111111111111,0.1859903381642512,0.050724637681159424,0.25217391304347825,4140.0
133,E02000139,0.532043530834341,0.15145102781136638,0.039600967351874246,0.27690447400241835,3308.0
134,E02000140,0.4343918514080288,0.20371479928100658,0.07819053325344517,0.28370281605751946,3338.0
135,E02000141,0.5037204788094468,0.12811387900355872,0.045292785506308636,0.3228728566806859,3091.0
136,E02000142,0.49536768963520555,0.23827446438911407,0.07990735379270411,0.18645049218297627,3454.0
