,GEOGRAPHY_CODE,Apprenticeship,Level 1 and entry level qualifications,Level 2 qualifications,Level 3 qualifications,Level 4 qualifications or above,No qualifications,Other qualifications,Total: All usual residents aged 16 years and over
0,E02000001,0.009992505620784412,0.02785410941793655,0.04896327754184362,0.08843367474394204,0.7418186360229828,0.06607544341743692,0.016862353235073693,8006.0
1,E02000002,0.041938178780284045,0.10726817042606517,0.13132832080200502,0.13700918964076858,0.3091060985797828,0.23943191311612363,0.03391812865497076,5985.0
2,E02000003,0.04056955588202057,0.10362752853429766,0.12453384563227483,0.14125889931065658,0.340151429540061,0.21301842016047012,0.03684032094021923,8849.0
3,E02000004,0.05136406396989652,0.10536218250235184,0.12474129821260584,0.14619002822201316,0.3074317968015052,0.23499529633113828,0.02991533396048918,5315.0
4,E02000005,0.039429215170859934,0.09876079609463012,0.12704969332832644,0.13606208536738015,0.33783952935286016,0.22268118663161848,0.0381774940543247,7989.0
5,E02000007,0.04178944548620413,0.10634878114117331,0.1316635413876239,0.1319314224484329,0.31703723546745244,0.23801232252879723,0.0332172515403161,7466.0
6,E02000008,0.040097452035326366,0.10861841437417522,0.1385646127296721,0.1352146990153284,0.2851487158664095,0.25215714140696377,0.04019896457212466,9851.0
7,E02000009,0.039234552063288436,0.09846055163566389,0.13031858028650845,0.13737438528971563,0.33504383151592904,0.22204404532820185,0.03752405388069275,9354.0
8,E02000010,0.042120141342756184,0.10784452296819788,0.12763250883392227,0.13597173144876326,0.30996466431095404,0.2381625441696113,0.038303886925795054,7075.0
9,E02000011,0.04688076781100037,0.10299003322259136,0.12070874861572536,0.1256921373200443,0.31136950904392763,0.2547065337763012,0.03765227021040975,5418.0
10,E02000012,0.030525720746184284,0.10197851893725268,0.13114754098360656,0.16088185415488976,0.34166195590729226,0.19321650650084793,0.040587902769926514,8845.0
11,E02000013,0.04436468054558507,0.10753768844221105,0.12849964106245512,0.1273510409188801,0.3007896625987078,0.2592964824120603,0.032160804020100506,6965.0
12,E02000014,0.04412753935154043,0.11247141127404817,0.13736041974976457,0.12915377371182565,0.2825238799946186,0.25924929369030003,0.0351136822279026,7433.0
13,E02000015,0.0423166279455692,0.09824095585794888,0.13906405575838035,0.12894125456355793,0.32641885164288087,0.23149684699634915,0.03352140723531364,6026.0
14,E02000016,0.02927987338433131,0.08810340279609602,0.0990503824848325,0.1235821682933263,0.4390662094434186,0.18003165391717224,0.040886309680823005,7582.0
15,E02000017,0.03052793726368856,0.11090883629743734,0.1167903654950287,0.12323204033048593,0.34631004061055876,0.23134014843859405,0.04089063156420669,7141.0
16,E02000018,0.045590967557524655,0.10933257110190081,0.12148063455766757,0.13262826925825355,0.3168500786051165,0.23910247248820923,0.03501500643132771,6997.0
17,E02000019,0.036314440330390205,0.1086585018513244,0.12816861293078896,0.13899174024494446,0.3177157504984335,0.23412133295357448,0.036029621190544,7022.0
18,E02000020,0.03215120810600156,0.09236165237724084,0.11486749805144193,0.13065081839438816,0.37694855806703037,0.21492595479345283,0.03809431021044427,10264.0
19,E02000021,0.03910175879396985,0.11573492462311558,0.12766959798994976,0.13238065326633167,0.3142273869346734,0.23366834170854273,0.037217336683417084,6368.0
20,E02000022,0.025110782865583457,0.09361152141802068,0.11059822747415067,0.13607828655834564,0.4287296898079764,0.16672821270310192,0.03914327917282127,5416.0
21,E02000023,0.03728148412415269,0.09828754905458438,0.13039600428112735,0.12825544059935784,0.3694256154120585,0.20424545130217625,0.03210845522654299,5606.0
22,E02000024,0.03294855990137846,0.06152639246890059,0.09906981956741007,0.1187941275355822,0.5576599798274123,0.10713885464529867,0.022862266054017706,8923.0
23,E02000025,0.030762626985262557,0.07497496065245386,0.1028759479181571,0.14351123193589926,0.4827586206896552,0.13993418228645013,0.025182429532121905,6989.0
24,E02000026,0.033550613496932516,0.06825153374233128,0.11790644171779141,0.14206288343558282,0.4666411042944785,0.14532208588957055,0.026265337423312884,5216.0
25,E02000027,0.03584832405849618,0.0930503429532807,0.12100427073896726,0.13575773262585739,0.40352012423967903,0.18286527759803287,0.027953927785686554,7727.0
26,E02000028,0.03394305110314916,0.07203469734112766,0.1138977937016783,0.1312464642655101,0.4955685461059777,0.1254007165755233,0.027908730907033753,5303.0
27,E02000029,0.04732454961011025,0.08738908308685131,0.11374025275611724,0.1365958591019091,0.43170207044904546,0.15071255713901585,0.03253562785695079,7438.0
28,E02000030,0.0321451717433571,0.06325340246273493,0.11211924821775761,0.13156189241736876,0.48101101749837977,0.15463383020090732,0.025275437459494492,7715.0
29,E02000031,0.02393538913362702,0.05462555066079295,0.09162995594713656,0.11497797356828193,0.5649045521292217,0.1249632892804699,0.024963289280469897,6810.0
30,E02000032,0.03518057285180573,0.07207347447073474,0.11597135740971358,0.13402864259028643,0.4696450809464508,0.1449252801992528,0.028175591531755917,6424.0
31,E02000033,0.04072778166550035,0.08691392582225332,0.11784464660601819,0.14205738278516444,0.4271518544436669,0.15647305808257522,0.028831350594821555,7145.0
32,E02000034,0.038197306952459466,0.06292937620225336,0.10167628469359714,0.13520197856553998,0.4885957680681506,0.14193459741687275,0.03146468810112668,7278.0
33,E02000035,0.027377928309342364,0.05532034998588767,0.08537962178944397,0.10697149308495625,0.5548969799604855,0.14126446514253457,0.028789161727349702,7086.0
34,E02000036,0.03399629972247919,0.0774745605920444,0.10834875115633673,0.1347132284921369,0.44565217391304346,0.16581868640148012,0.03399629972247919,8648.0
35,E02000037,0.029229082937522834,0.07270734380708806,0.10985263670685666,0.1216660577274388,0.4919011082693947,0.1423699914748508,0.03227377907684813,8211.0
36,E02000038,0.03182133765332099,0.06653552418421661,0.10356398981717195,0.12057394121731081,0.48530432770192083,0.1635038185605184,0.028697060865540386,8642.0
37,E02000039,0.027046137528725474,0.06452183135937777,0.10129043662718755,0.1163160685875906,0.5283719285840551,0.13523068764362736,0.027222909669436097,5657.0
38,E02000040,0.0306249137812112,0.06138777762449993,0.10677334804800662,0.116016002207201,0.5287625879431646,0.13050075872534142,0.02593461167057525,7249.0
39,E02000041,0.031816351188078934,0.08202443280977312,0.1037723184320043,0.1288763592428514,0.42408376963350786,0.19250906161900927,0.03691770707477514,7449.0
40,E02000042,0.028279821390601742,0.06293854986179034,0.08685945141399107,0.1096108866680842,0.5078673187327238,0.17244312141186477,0.03200085052094408,9406.0
41,E02000043,0.023765065353929724,0.0490578849091835,0.07774571380071295,0.10643354269224241,0.6163639450008488,0.10354778475640808,0.02308606348667459,5891.0
42,E02000044,0.038836363636363634,0.08712727272727273,0.10458181818181818,0.12727272727272726,0.4,0.20349090909090908,0.03869090909090909,6875.0
43,E02000045,0.034282955094157415,0.07158377595364558,0.10562530178657653,0.13640753259295027,0.4518348623853211,0.16525832930951231,0.0350072428778368,8284.0
44,E02000046,0.02982456140350877,0.056666666666666664,0.0812280701754386,0.1075438596491228,0.5750877192982456,0.11596491228070176,0.03368421052631579,5700.0
45,E02000047,0.03486066172633337,0.09925895000521866,0.10176390773405698,0.12420415405490032,0.35893956789479176,0.2395365828201649,0.041436175764533976,9581.0
46,E02000048,0.028935328304686533,0.06071472734017559,0.09509088660813651,0.1269939408927909,0.5370347471250154,0.12538642265364164,0.025843947075553358,8087.0
47,E02000049,0.03154613466334165,0.08266832917705735,0.10311720698254365,0.13478802992518704,0.4188279301745636,0.19164588528678303,0.03740648379052369,8020.0
48,E02000050,0.02821279139270771,0.07017334130304842,0.09814704124327556,0.11978481769276748,0.4969515839808727,0.15732217573221757,0.02940824865511058,8365.0
49,E02000051,0.02468641579930611,0.052575393648251936,0.08780357619428876,0.10555110755270883,0.5551107552708834,0.14344809180677875,0.030824659727782224,7494.0
50,E02000052,0.025338685398896138,0.04666332162568992,0.08140993477170096,0.10737581535373808,0.6123933768188661,0.10436527847466132,0.022453587556447566,7972.0
51,E02000054,0.03665005626105128,0.07121041633177946,0.08069442211863044,0.12682848416653272,0.49557948882816266,0.15270856775438033,0.03632856453946311,6221.0
52,E02000055,0.032122169562927856,0.06814112690889942,0.0937335439705108,0.1434439178515008,0.4628751974723539,0.16092680358083203,0.03875724065297525,9495.0
53,E02000056,0.01847735482078355,0.040566824117810506,0.08780216726868574,0.10155598777438177,0.6437899416504584,0.08696860238955266,0.020839121978327314,7198.0
54,E02000057,0.03150800336983993,0.0628475147430497,0.10244313395113733,0.15518112889637742,0.454759898904802,0.1556866048862679,0.037573715248525694,5935.0
55,E02000058,0.022364618670687272,0.05767056162834527,0.09800226159065209,0.11169744942832015,0.5591154667671818,0.12212589521296645,0.029023746701846966,7959.0
56,E02000059,0.03730257689110557,0.08208645054031588,0.08717788861180382,0.11751870324189526,0.4318370739817124,0.20926849542809642,0.03480881130507066,9624.0
57,E02000060,0.024762381190595296,0.08341670835417708,0.1485742871435718,0.13619309654827413,0.39719859929964985,0.1727113556778389,0.03714357178589295,7996.0
58,E02000061,0.022506171046899958,0.04588354871497023,0.0726005517641934,0.10149557136634238,0.6065050094380717,0.12269493248148686,0.028314215188035428,6887.0
59,E02000062,0.03275388838060384,0.08270814272644099,0.09313815187557183,0.12955169258920401,0.39451052150045746,0.22891125343092406,0.0384263494967978,5465.0
60,E02000063,0.037304847986852914,0.07313064913722268,0.09498767460969597,0.12621199671322925,0.44338537387017257,0.18520953163516846,0.03976992604765817,6085.0
61,E02000064,0.03205248359887535,0.06073102155576383,0.0901593252108716,0.12127460168697282,0.5055295220243674,0.15463917525773196,0.03561387066541706,5335.0
62,E02000065,0.03636363636363636,0.09494949494949495,0.12323232323232323,0.14225589225589225,0.4084175084175084,0.17104377104377105,0.023737373737373738,5940.0
63,E02000066,0.04107512060647829,0.10778773259820813,0.12363886974500345,0.13756030323914542,0.35134390075809785,0.20868366643694003,0.02991040661612681,7255.0
64,E02000067,0.04578800910700734,0.10080951176321781,0.13255755122691626,0.1439413103971667,0.3448014166455856,0.2003541613964078,0.03174803946369846,7906.0
65,E02000068,0.04080278653176315,0.10947089069497429,0.13600928843921048,0.142809752861171,0.3372035163377011,0.19854038812406702,0.03516337701111295,6029.0
